date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.1,1.24
2000-01-04,1001.98,1035.36,985.47,1027.66,0.14,1.83
2000-01-05,1035.47,1057.85,1013.07,1028.87,0.25,2.9
2000-01-06,1025.38,1070.79,1011.0,1065.67,0.3,4.21
2000-01-07,1076.06,1117.71,1058.83,1106.19,0.65,8.75
2000-01-10,1108.57,1144.09,1082.38,1130.06,0.55,7.69
2000-01-11,1135.11,1145.76,1082.01,1104.18,0.59,8.02
2000-01-12,1094.59,1114.88,1061.11,1080.4,0.43,6.02
2000-01-13,1078.21,1091.29,1051.82,1066.57,0.26,3.77
2000-01-14,1070.44,1085.36,1041.54,1062.16,0.21,3.03
2000-01-17,1058.23,1094.8,1043.07,1085.92,0.31,4.72
2000-01-18,1097.11,1106.04,1062.56,1076.92,0.26,4.09
2000-01-19,1081.8,1124.59,1071.04,1110.19,0.3,5.18
2000-01-20,1110.87,1156.03,1100.1,1149.22,0.37,5.97
2000-01-21,1153.26,1179.03,1121.61,1148.63,0.43,6.55
2000-01-24,1147.1,1189.07,1120.02,1172.99,0.46,7.21
2000-01-25,1174.57,1225.91,1151.63,1196.05,0.52,8.61
2000-01-26,1192.9,1224.46,1167.39,1200.14,0.35,6.76
2000-01-27,1202.86,1239.35,1176.42,1210.27,0.53,7.82
2000-01-28,1208.3,1247.21,1169.71,1216.79,0.6,9.3
2000-02-14,1249.05,1332.89,1237.56,1328.78,0.76,11.99
2000-02-15,1356.08,1425.41,1303.61,1356.6,1.16,18.04
2000-02-16,1382.39,1432.74,1318.76,1404.39,1.05,16.12
2000-02-17,1432.38,1497.79,1332.59,1369.7,1.13,17.57
2000-02-18,1365.65,1435.01,1300.1,1413.28,0.64,10.36
2000-02-21,1420.27,1485.56,1353.47,1441.89,0.7,11.55
2000-02-22,1451.12,1484.9,1379.09,1419.15,0.7,12.91
2000-02-23,1398.92,1438.83,1337.89,1399.22,0.56,10.2
2000-02-24,1387.9,1449.93,1370.16,1424.87,0.38,7.52
2000-02-25,1425.04,1466.32,1387.81,1425.97,0.4,6.87
2000-02-28,1431.52,1509.36,1411.34,1493.82,0.66,11.19
2000-02-29,1512.28,1540.9,1438.07,1493.42,0.62,10.04
2000-03-01,1504.05,1536.04,1452.16,1502.71,0.48,7.96
2000-03-02,1506.7,1547.36,1466.25,1507.87,0.4,7.07
2000-03-03,1509.34,1548.43,1457.76,1498.59,0.72,10.82
2000-03-06,1508.17,1532.23,1426.92,1449.86,0.69,11.17
2000-03-07,1424.04,1466.68,1400.76,1449.21,0.33,5.49
2000-03-08,1459.98,1492.22,1424.02,1469.58,0.4,6.73
2000-03-09,1469.72,1501.94,1433.29,1474.38,0.42,6.7
2000-03-10,1474.44,1489.08,1422.6,1448.85,0.35,5.66
2000-03-13,1449.62,1494.09,1427.05,1478.78,0.49,7.66
2000-03-14,1439.23,1470.05,1376.15,1448.17,0.58,8.28
2000-03-15,1449.12,1484.24,1421.99,1450.1,0.48,7.82
2000-03-16,1439.31,1453.42,1369.27,1402.56,0.41,6.45
2000-03-17,1394.91,1453.19,1381.84,1444.13,0.41,6.0
2000-03-20,1432.86,1491.61,1407.23,1476.28,0.62,8.78
2000-03-21,1474.6,1507.31,1443.22,1484.09,0.68,9.92
2000-03-22,1486.43,1520.07,1438.58,1490.19,0.48,8.39
2000-03-23,1496.88,1534.89,1459.59,1510.84,0.62,9.84
2000-03-24,1516.08,1549.71,1468.86,1493.61,0.72,11.69
2000-03-27,1486.77,1546.59,1466.08,1523.32,0.69,10.96
2000-03-28,1532.94,1576.82,1491.69,1544.13,0.94,14.12
2000-03-29,1547.67,1575.19,1491.59,1537.14,0.76,12.23
2000-03-30,1538.54,1566.72,1511.16,1540.48,0.56,8.76
2000-03-31,1537.83,1563.98,1502.9,1537.94,0.58,8.63
2000-04-03,1534.95,1559.5,1503.19,1522.13,0.43,6.37
2000-04-04,1516.97,1538.59,1476.6,1507.87,0.57,8.77
2000-04-05,1505.08,1539.32,1480.26,1518.92,0.42,5.95
2000-04-06,1519.4,1548.8,1507.98,1541.46,0.4,5.86
2000-04-07,1551.43,1591.77,1530.68,1569.14,0.58,10.21
2000-04-10,1559.53,1589.56,1526.44,1557.76,0.53,8.15
2000-04-11,1560.6,1593.02,1532.53,1564.94,0.51,8.39
2000-04-12,1566.96,1578.03,1519.1,1551.9,0.33,5.54
2000-04-13,1550.22,1596.27,1526.49,1573.71,0.45,7.41
2000-04-14,1574.67,1593.45,1541.88,1568.76,0.5,7.68
2000-04-17,1561.24,1593.66,1508.32,1545.19,0.52,8.28
2000-04-18,1546.68,1582.41,1510.39,1550.94,0.49,7.35
2000-04-19,1567.62,1598.8,1544.46,1575.33,0.44,7.2
2000-04-20,1580.52,1623.35,1563.2,1587.4,0.52,7.85
2000-04-21,1589.99,1617.41,1543.58,1574.37,0.49,7.35
2000-04-24,1577.26,1609.36,1545.96,1576.25,0.56,8.53
2000-04-25,1580.94,1605.06,1548.03,1578.45,0.43,7.17
2000-04-26,1581.33,1605.3,1549.1,1578.58,0.41,6.71
2000-04-27,1589.42,1626.49,1546.23,1586.93,0.43,7.23
2000-04-28,1592.16,1637.51,1563.2,1619.77,0.46,7.88
2000-05-08,1622.57,1645.22,1580.23,1620.15,0.31,5.56
2000-05-09,1621.29,1638.72,1572.28,1598.22,0.27,4.55
2000-05-10,1585.55,1606.22,1526.82,1555.9,0.35,5.93
2000-05-11,1554.03,1576.51,1515.9,1532.81,0.38,5.91
2000-05-12,1535.88,1558.52,1504.79,1530.9,0.21,3.13
2000-05-15,1527.5,1537.65,1469.56,1498.2,0.2,3.39
2000-05-16,1496.06,1527.39,1480.28,1505.7,0.16,2.41
2000-05-17,1510.34,1539.06,1487.98,1510.09,0.19,3.0
2000-05-18,1514.41,1546.97,1496.32,1539.45,0.24,3.68
2000-05-19,1543.19,1569.97,1517.19,1556.01,0.38,6.12
2000-05-22,1565.11,1617.54,1543.23,1598.45,1.05,14.78
2000-05-23,1602.31,1629.71,1558.04,1594.74,0.62,9.46
2000-05-24,1596.24,1624.23,1564.0,1591.3,0.64,9.42
2000-05-25,1592.15,1632.33,1570.4,1612.55,1.04,15.86
2000-05-26,1613.14,1655.45,1577.82,1622.09,1.14,18.12
2000-05-29,1629.74,1662.13,1591.99,1629.95,1.12,16.49
2000-05-30,1636.77,1657.16,1589.41,1618.91,0.85,12.73
2000-05-31,1613.96,1644.33,1575.32,1614.32,0.91,14.1
2000-06-01,1619.04,1649.53,1584.01,1626.59,0.48,7.34
2000-06-02,1617.51,1649.1,1581.95,1617.56,0.82,12.12
2000-06-05,1614.97,1651.6,1572.62,1606.93,0.88,12.85
2000-06-06,1614.82,1650.73,1588.01,1635.82,0.67,10.96
2000-06-07,1642.63,1669.9,1606.06,1634.67,0.65,9.16
2000-06-08,1633.34,1648.6,1595.57,1615.73,0.48,7.34
2000-06-09,1613.26,1640.15,1582.29,1606.7,0.5,6.93
2000-06-12,1601.99,1632.46,1568.93,1612.07,0.57,7.64
2000-06-13,1617.74,1648.66,1589.68,1624.7,0.61,7.8
2000-06-14,1627.35,1660.84,1595.41,1624.34,0.67,9.31
2000-06-15,1621.29,1649.77,1588.81,1619.74,0.54,7.75
2000-06-16,1623.35,1641.41,1580.49,1603.84,0.49,6.51
2000-06-19,1603.71,1631.96,1571.93,1599.43,0.62,8.54
2000-06-20,1600.57,1630.55,1568.98,1594.29,0.69,9.85
2000-06-21,1594.91,1628.34,1572.31,1606.88,0.5,7.51
