date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.37,3.32
2000-01-04,1003.04,1031.38,990.18,1025.03,0.78,7.29
2000-01-05,1023.58,1063.54,1011.43,1034.06,1.44,12.83
2000-01-06,1030.64,1086.81,1020.61,1081.01,2.0,17.16
2000-01-07,1090.96,1131.69,1075.27,1114.65,3.31,31.38
2000-01-10,1122.38,1148.77,1086.94,1128.31,2.6,25.94
2000-01-11,1130.19,1138.69,1060.3,1074.06,1.87,17.85
2000-01-12,1069.81,1090.52,1031.51,1042.69,1.33,12.47
2000-01-13,1041.61,1057.9,1022.35,1034.76,0.77,7.01
2000-01-14,1037.33,1051.33,1012.85,1022.44,0.73,6.6
2000-01-17,1020.75,1045.88,1005.62,1038.64,0.78,7.11
2000-01-18,1040.82,1065.7,1023.86,1041.23,1.0,9.09
2000-01-19,1041.18,1066.63,1029.81,1051.28,0.88,8.85
2000-01-20,1055.23,1077.31,1041.82,1064.11,1.16,11.91
2000-01-21,1068.91,1089.12,1040.84,1056.18,1.65,16.41
2000-01-24,1055.22,1073.55,1022.06,1054.27,1.78,17.74
2000-01-25,1057.17,1089.84,1035.54,1060.84,1.55,16.32
2000-01-26,1064.59,1084.58,1043.76,1061.37,1.2,12.02
2000-01-27,1066.83,1089.19,1042.74,1066.38,1.92,19.84
2000-01-28,1071.17,1098.96,1046.48,1082.05,2.34,24.41
2000-02-14,1110.55,1181.26,1100.03,1177.35,3.07,32.04
2000-02-15,1203.13,1236.0,1135.32,1158.1,4.58,50.31
2000-02-16,1159.75,1196.37,1118.4,1173.22,4.2,44.35
2000-02-17,1194.09,1245.0,1112.89,1144.86,5.52,58.85
2000-02-18,1137.08,1181.82,1097.38,1159.92,3.16,33.05
2000-02-21,1168.6,1212.46,1130.71,1182.37,3.99,42.7
2000-02-22,1196.36,1227.47,1139.22,1153.48,3.72,37.99
2000-02-23,1147.09,1173.36,1113.49,1135.07,3.08,30.32
2000-02-24,1134.22,1174.65,1120.24,1156.27,2.31,22.68
2000-02-25,1160.41,1178.72,1128.45,1150.11,2.56,25.46
2000-02-28,1165.21,1217.03,1142.44,1200.21,3.55,37.85
2000-02-29,1213.01,1242.16,1164.73,1203.65,4.02,40.01
2000-03-01,1208.46,1239.32,1176.24,1202.37,3.36,35.64
2000-03-02,1202.63,1237.55,1176.2,1208.69,3.24,34.37
2000-03-03,1217.27,1256.83,1197.1,1226.32,3.73,39.51
2000-03-06,1236.36,1262.7,1175.47,1184.4,3.86,41.73
2000-03-07,1171.34,1206.32,1148.62,1194.54,2.27,23.49
2000-03-08,1199.88,1227.85,1176.36,1209.72,2.1,23.52
2000-03-09,1212.7,1233.36,1183.72,1205.07,2.32,24.46
2000-03-10,1205.08,1225.53,1171.92,1186.99,2.26,24.02
2000-03-13,1187.78,1222.67,1175.2,1210.03,2.14,23.08
2000-03-14,1194.3,1213.37,1141.32,1188.59,2.77,27.23
2000-03-15,1187.58,1224.87,1173.87,1199.45,2.3,21.99
2000-03-16,1191.68,1204.59,1128.56,1144.04,2.29,22.17
2000-03-17,1139.79,1190.17,1132.01,1174.56,1.83,18.57
2000-03-20,1166.26,1224.48,1148.52,1209.56,2.92,27.46
2000-03-21,1217.44,1244.14,1190.72,1218.91,3.16,32.38
2000-03-22,1224.73,1254.31,1197.43,1226.6,2.45,26.1
2000-03-23,1231.62,1265.56,1212.79,1252.56,3.13,32.72
2000-03-24,1260.78,1289.61,1225.38,1236.63,3.74,38.77
2000-03-27,1242.97,1298.31,1227.88,1281.57,4.05,42.51
2000-03-28,1294.04,1327.6,1262.21,1295.78,4.6,44.1
2000-03-29,1299.57,1324.35,1257.79,1290.86,3.67,36.0
2000-03-30,1294.4,1327.67,1275.56,1307.8,3.29,34.78
2000-03-31,1307.05,1334.05,1277.14,1302.26,3.81,38.54
2000-04-03,1305.95,1339.57,1281.26,1299.99,3.41,38.11
2000-04-04,1294.34,1301.68,1247.1,1255.22,2.37,25.01
