date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.15,1.87
2000-01-04,999.67,1054.99,987.74,1043.81,0.38,5.66
2000-01-05,1045.04,1090.93,1025.39,1047.01,0.66,10.09
2000-01-06,1041.12,1104.57,1028.01,1095.48,0.58,8.62
2000-01-07,1105.04,1155.26,1088.6,1128.03,1.21,17.71
2000-01-10,1139.8,1164.73,1108.8,1144.21,0.93,13.94
2000-01-11,1144.03,1167.1,1079.38,1102.85,1.01,14.1
2000-01-12,1095.79,1120.47,1048.66,1059.7,0.6,8.07
2000-01-13,1058.69,1079.49,1036.88,1052.12,0.32,4.48
2000-01-14,1055.88,1068.93,1029.04,1037.85,0.27,3.84
2000-01-17,1037.81,1063.45,1020.12,1056.25,0.27,3.82
2000-01-18,1057.93,1081.73,1036.23,1053.13,0.34,4.65
2000-01-19,1054.04,1083.23,1040.08,1068.37,0.37,5.61
2000-01-20,1071.02,1102.81,1061.11,1093.45,0.55,8.69
2000-01-21,1098.53,1146.55,1078.69,1109.01,0.93,15.53
2000-01-24,1108.97,1156.97,1085.34,1138.13,0.93,15.19
2000-01-25,1149.57,1185.25,1110.82,1143.11,1.04,16.87
2000-01-26,1141.1,1163.61,1117.05,1139.56,0.51,8.73
2000-01-27,1157.73,1217.77,1139.9,1199.35,0.95,16.44
2000-01-28,1215.8,1274.84,1189.95,1234.92,1.25,21.35
2000-02-14,1293.93,1353.35,1270.32,1352.56,1.21,20.11
2000-02-15,1412.01,1466.23,1349.97,1385.69,1.67,30.07
2000-02-16,1398.63,1467.26,1363.96,1427.97,1.51,28.04
2000-02-17,1463.26,1527.5,1306.07,1325.86,2.24,42.78
2000-02-18,1312.07,1384.27,1247.27,1367.6,1.21,21.6
2000-02-21,1371.56,1420.78,1302.05,1341.93,1.55,27.27
2000-02-22,1336.87,1391.81,1282.18,1317.96,1.45,24.91
2000-02-23,1300.19,1334.69,1243.82,1261.55,1.14,19.96
2000-02-24,1258.34,1316.75,1243.53,1304.43,0.84,14.33
