date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.23,2.42
2000-01-04,999.94,1032.35,988.37,1024.64,0.24,2.99
2000-01-05,1029.83,1055.07,1016.36,1029.26,0.29,3.87
2000-01-06,1027.92,1074.18,1017.33,1068.67,0.49,6.91
2000-01-07,1077.46,1122.22,1071.85,1110.33,0.9,12.71
2000-01-10,1121.88,1147.96,1094.62,1128.06,0.87,12.49
2000-01-11,1136.29,1153.45,1079.79,1100.37,1.27,18.16
2000-01-12,1096.43,1125.02,1058.79,1077.06,0.88,12.88
2000-01-13,1074.57,1089.63,1048.85,1065.91,0.51,7.14
2000-01-14,1067.0,1081.06,1039.63,1050.7,0.46,6.62
2000-01-17,1047.94,1073.57,1029.56,1067.68,0.39,5.61
2000-01-18,1067.43,1086.27,1043.95,1060.86,0.48,6.78
2000-01-19,1061.35,1098.15,1050.38,1080.1,0.54,7.7
2000-01-20,1082.08,1115.37,1069.22,1101.26,0.61,9.24
2000-01-21,1104.04,1124.64,1075.98,1095.67,0.67,10.01
2000-01-24,1102.49,1130.02,1073.31,1114.25,0.86,13.61
2000-01-25,1118.72,1143.26,1086.71,1106.62,0.69,10.82
2000-01-26,1119.83,1155.7,1089.46,1119.97,0.67,11.1
2000-01-27,1122.71,1145.81,1096.72,1122.66,0.69,10.99
2000-01-28,1131.67,1162.43,1105.46,1145.8,0.87,14.64
2000-02-14,1179.01,1251.7,1163.18,1244.34,1.14,18.36
2000-02-15,1261.69,1301.33,1193.64,1219.03,1.59,25.31
2000-02-16,1216.16,1255.05,1173.01,1222.73,1.24,20.02
2000-02-17,1241.92,1281.2,1145.4,1172.03,1.59,27.34
2000-02-18,1160.68,1220.98,1135.51,1206.57,1.07,17.68
2000-02-21,1214.52,1248.4,1168.29,1210.13,1.34,20.07
2000-02-22,1206.44,1265.59,1165.37,1186.69,1.32,20.84
2000-02-23,1173.56,1201.07,1138.29,1155.03,0.86,13.45
2000-02-24,1156.78,1194.36,1138.84,1182.26,0.63,9.85
2000-02-25,1186.44,1211.85,1154.64,1182.01,0.73,11.22
2000-02-28,1185.55,1250.18,1162.42,1232.92,1.22,19.71
2000-02-29,1240.65,1268.81,1187.1,1220.04,1.08,17.4
2000-03-01,1222.54,1249.16,1189.22,1211.0,0.8,11.56
2000-03-02,1210.59,1238.99,1186.0,1213.24,0.72,10.4
2000-03-03,1221.53,1264.91,1204.33,1235.28,1.06,16.27
2000-03-06,1244.82,1267.98,1181.22,1191.56,0.97,15.1
2000-03-07,1179.21,1215.14,1156.64,1200.46,0.59,8.93
2000-03-08,1200.75,1226.32,1177.45,1208.22,0.6,9.72
2000-03-09,1211.17,1233.64,1187.27,1208.07,0.64,9.79
2000-03-10,1208.58,1230.41,1179.92,1197.39,0.78,13.12
2000-03-13,1194.27,1231.59,1176.03,1211.25,0.75,11.46
2000-03-14,1193.97,1210.06,1148.2,1187.0,0.75,11.02
2000-03-15,1187.74,1220.57,1171.86,1192.61,0.71,9.93
2000-03-16,1189.14,1195.6,1126.84,1141.24,0.61,8.55
2000-03-17,1136.03,1187.73,1130.22,1175.83,0.54,7.81
2000-03-20,1158.12,1221.75,1144.89,1208.13,0.9,11.95
2000-03-21,1210.22,1243.71,1186.28,1213.55,0.93,12.21
2000-03-22,1216.64,1240.02,1194.44,1214.96,0.68,9.62
2000-03-23,1216.13,1245.53,1197.49,1233.22,0.73,10.16
2000-03-24,1241.84,1273.63,1214.74,1232.71,1.12,14.86
2000-03-27,1249.4,1301.83,1228.0,1276.49,1.09,15.59
2000-03-28,1289.58,1311.69,1256.26,1278.24,0.95,13.52
2000-03-29,1283.11,1308.73,1244.54,1274.47,0.98,14.35
2000-03-30,1278.31,1316.84,1259.29,1293.95,1.19,16.55
2000-03-31,1291.99,1307.49,1259.09,1277.41,0.86,11.86
2000-04-03,1279.49,1310.31,1254.76,1274.27,0.86,11.96
2000-04-04,1274.58,1290.61,1241.92,1257.82,0.63,9.06
2000-04-05,1259.85,1285.35,1239.78,1263.01,0.48,7.08
2000-04-06,1268.74,1295.37,1254.42,1278.17,0.58,8.43
2000-04-07,1285.71,1307.32,1261.8,1287.71,0.7,10.63
2000-04-10,1292.33,1317.63,1273.45,1295.62,0.71,11.12
2000-04-11,1299.82,1321.26,1274.01,1295.55,0.71,11.07
2000-04-12,1297.7,1312.97,1261.15,1277.84,0.57,9.01
2000-04-13,1277.12,1315.31,1263.52,1298.1,0.68,11.03
2000-04-14,1299.56,1324.31,1279.34,1304.1,0.68,10.15
