date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.12,1.32
2000-01-04,1001.01,1031.97,986.49,1024.9,0.29,3.25
2000-01-05,1024.54,1050.15,1010.1,1029.68,0.39,4.39
2000-01-06,1024.58,1063.14,1011.61,1058.86,0.46,5.39
2000-01-07,1065.89,1115.17,1056.46,1101.92,0.9,11.4
2000-01-10,1108.84,1151.82,1079.27,1133.9,0.91,11.46
2000-01-11,1132.38,1140.04,1062.52,1078.49,0.61,7.59
2000-01-12,1072.72,1090.57,1034.58,1047.47,0.42,4.89
2000-01-13,1045.71,1060.46,1027.97,1038.99,0.22,2.38
2000-01-14,1039.3,1052.41,1017.22,1026.18,0.19,2.03
2000-01-17,1024.19,1050.87,1010.33,1042.91,0.2,2.34
2000-01-18,1043.99,1063.47,1025.14,1043.68,0.23,2.77
2000-01-19,1043.46,1072.11,1034.98,1057.25,0.35,4.54
2000-01-20,1058.95,1087.31,1043.98,1070.17,0.42,5.39
2000-01-21,1073.58,1095.02,1048.28,1066.12,0.59,7.32
2000-01-24,1067.52,1105.5,1044.3,1095.26,0.7,8.8
2000-01-25,1098.78,1130.88,1072.01,1093.56,0.66,8.06
2000-01-26,1093.98,1119.56,1076.56,1097.7,0.4,5.07
2000-01-27,1101.15,1125.22,1075.11,1098.8,0.54,6.93
2000-01-28,1099.85,1136.66,1079.44,1119.34,0.65,8.57
2000-02-14,1157.71,1221.15,1139.49,1216.7,1.03,14.15
2000-02-15,1234.04,1282.8,1174.49,1196.63,1.33,18.69
2000-02-16,1197.45,1236.82,1155.27,1200.84,0.97,13.86
2000-02-17,1217.23,1270.03,1149.74,1183.78,1.71,22.42
2000-02-18,1173.85,1220.44,1127.03,1184.64,0.95,12.23
2000-02-21,1191.73,1251.89,1159.62,1217.88,1.18,15.53
2000-02-22,1228.13,1254.53,1155.07,1166.39,0.82,10.64
2000-02-23,1156.49,1199.55,1130.41,1172.62,0.85,10.4
2000-02-24,1178.46,1218.26,1159.12,1195.08,0.83,10.4
2000-02-25,1196.84,1218.64,1163.64,1184.65,0.72,9.0
2000-02-28,1184.56,1231.01,1164.21,1210.94,0.86,11.74
2000-02-29,1230.14,1260.28,1183.83,1224.02,0.95,12.76
2000-03-01,1235.44,1268.78,1197.34,1223.67,0.96,13.13
2000-03-02,1224.75,1267.56,1196.97,1237.36,0.98,12.6
2000-03-03,1250.95,1300.52,1230.41,1264.7,1.42,18.5
2000-03-06,1281.36,1309.46,1222.81,1240.87,1.67,21.32
2000-03-07,1229.2,1260.62,1198.44,1232.21,0.8,10.17
2000-03-08,1234.24,1279.01,1208.55,1258.6,0.86,11.49
2000-03-09,1262.56,1285.48,1232.58,1252.89,0.78,10.78
2000-03-10,1253.16,1271.96,1212.09,1228.78,0.59,8.04
2000-03-13,1227.89,1263.72,1209.95,1246.55,0.57,7.39
2000-03-14,1227.55,1265.06,1182.2,1240.25,0.77,10.0
