date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.09,0.97
2000-01-04,1005.48,1031.93,992.8,1025.14,0.13,1.45
2000-01-05,1024.17,1057.76,1012.14,1032.21,0.25,3.05
2000-01-06,1034.18,1077.56,1019.95,1069.82,0.25,3.09
2000-01-07,1082.85,1118.52,1070.25,1107.35,0.42,5.03
2000-01-10,1118.89,1140.13,1090.42,1126.33,0.55,6.0
2000-01-11,1131.83,1156.18,1070.24,1094.73,0.81,8.63
2000-01-12,1090.21,1111.77,1049.76,1059.84,0.49,5.08
2000-01-13,1061.77,1078.5,1035.84,1045.29,0.26,2.83
2000-01-14,1046.63,1069.38,1023.8,1042.81,0.24,2.61
2000-01-17,1039.38,1067.42,1027.68,1055.99,0.21,2.34
2000-01-18,1058.64,1082.44,1042.05,1059.99,0.18,2.05
2000-01-19,1057.5,1081.21,1043.26,1066.55,0.19,2.06
2000-01-20,1069.02,1098.92,1055.59,1088.12,0.23,2.46
2000-01-21,1090.25,1115.22,1062.09,1081.67,0.37,4.15
2000-01-24,1083.35,1107.64,1048.54,1085.43,0.57,5.87
2000-01-25,1089.34,1113.06,1058.89,1083.77,0.4,4.36
2000-01-26,1085.77,1109.07,1064.89,1088.15,0.32,3.21
2000-01-27,1093.02,1130.9,1071.1,1104.65,0.5,5.76
2000-01-28,1108.67,1139.38,1087.18,1120.25,0.57,6.38
2000-02-14,1160.17,1228.62,1146.4,1225.67,0.65,7.63
2000-02-15,1250.97,1300.87,1194.8,1220.77,1.02,12.62
2000-02-16,1228.12,1266.93,1179.22,1233.59,0.99,11.87
2000-02-17,1265.07,1315.99,1158.19,1218.85,1.62,21.49
2000-02-18,1212.39,1273.52,1158.75,1248.52,0.89,11.28
2000-02-21,1260.26,1327.0,1216.6,1282.21,1.22,15.64
2000-02-22,1285.07,1312.07,1209.3,1218.25,0.7,8.57
2000-02-23,1200.65,1225.35,1156.79,1176.4,0.53,5.94
2000-02-24,1171.3,1219.74,1163.59,1207.39,0.39,4.45
2000-02-25,1210.81,1237.96,1182.21,1207.02,0.45,5.19
2000-02-28,1204.7,1263.61,1188.52,1247.76,0.65,8.0
2000-02-29,1260.38,1286.21,1198.76,1241.34,0.68,8.63
2000-03-01,1247.67,1278.35,1206.08,1237.11,0.48,5.97
2000-03-02,1236.83,1283.85,1211.25,1258.44,0.56,8.91
2000-03-03,1269.03,1305.76,1250.08,1280.59,0.66,9.38
2000-03-06,1289.39,1318.04,1225.89,1236.7,0.74,9.53
2000-03-07,1225.3,1269.17,1204.75,1255.77,0.37,4.62
2000-03-08,1257.97,1294.48,1239.28,1279.85,0.38,5.22
2000-03-09,1286.13,1303.28,1239.42,1261.22,0.37,4.99
2000-03-10,1262.81,1280.25,1229.57,1244.77,0.29,3.51
2000-03-13,1241.6,1279.44,1230.29,1268.87,0.29,3.72
2000-03-14,1251.35,1268.8,1197.68,1248.89,0.47,5.58
2000-03-15,1246.28,1280.48,1225.99,1251.18,0.39,4.6
2000-03-16,1242.95,1258.89,1181.83,1199.98,0.36,4.22
2000-03-17,1193.32,1242.03,1188.14,1233.14,0.32,4.06
2000-03-20,1215.43,1278.53,1201.68,1265.05,0.46,5.74
