date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.2,2.28
2000-01-04,998.77,1034.87,985.3,1026.71,0.41,4.73
2000-01-05,1025.64,1055.21,1009.88,1029.57,0.59,6.85
2000-01-06,1028.38,1074.6,1013.8,1067.96,0.82,9.61
2000-01-07,1076.25,1120.62,1062.7,1108.28,1.43,17.54
2000-01-10,1117.18,1146.76,1091.84,1129.94,1.38,17.79
2000-01-11,1132.98,1144.69,1068.48,1086.76,1.08,13.69
2000-01-12,1079.3,1100.71,1040.23,1053.34,0.75,8.99
2000-01-13,1052.8,1069.57,1031.93,1048.31,0.41,4.7
2000-01-14,1048.79,1063.6,1024.3,1036.22,0.5,4.91
2000-01-17,1035.34,1066.98,1020.61,1057.05,0.53,6.24
2000-01-18,1059.23,1081.89,1039.0,1055.75,0.59,6.98
2000-01-19,1056.8,1085.29,1043.29,1071.83,0.64,7.27
2000-01-20,1071.82,1108.14,1061.15,1093.7,0.9,11.62
2000-01-21,1097.93,1123.3,1069.78,1088.86,1.29,16.77
2000-01-24,1090.79,1130.96,1065.34,1113.7,1.21,15.29
2000-01-25,1119.4,1149.55,1087.55,1109.4,1.13,14.64
2000-01-26,1111.27,1135.55,1090.68,1113.5,1.02,11.84
2000-01-27,1122.96,1158.06,1098.81,1134.28,1.42,17.92
2000-01-28,1145.65,1171.98,1118.32,1150.49,1.65,20.07
2000-02-14,1190.8,1255.94,1171.65,1252.47,2.22,30.21
2000-02-15,1278.85,1325.32,1213.11,1239.96,2.85,40.59
2000-02-16,1242.69,1277.26,1187.03,1237.01,2.75,37.42
2000-02-17,1256.74,1303.21,1151.64,1177.34,3.0,39.77
2000-02-18,1164.6,1220.92,1129.53,1202.81,1.76,23.39
2000-02-21,1206.37,1251.39,1160.7,1213.84,2.06,27.78
2000-02-22,1219.8,1269.33,1176.21,1202.8,1.89,26.69
2000-02-23,1191.42,1228.23,1153.25,1183.53,1.65,21.33
2000-02-24,1184.36,1252.78,1173.54,1232.86,2.09,27.18
2000-02-25,1243.73,1283.89,1210.96,1245.31,2.24,31.52
2000-02-28,1256.49,1325.78,1243.81,1307.64,2.57,36.32
2000-02-29,1321.62,1351.63,1251.08,1290.61,2.55,35.66
2000-03-01,1294.85,1318.85,1243.21,1273.97,2.24,29.16
2000-03-02,1269.67,1313.95,1243.6,1286.88,2.11,24.4
2000-03-03,1296.79,1332.71,1268.31,1299.51,2.44,27.62
2000-03-06,1309.49,1332.36,1232.56,1241.84,2.19,25.96
2000-03-07,1227.05,1276.18,1208.52,1263.4,1.64,18.12
2000-03-08,1266.16,1304.3,1241.85,1284.37,1.46,17.35
2000-03-09,1286.37,1318.96,1259.44,1287.81,1.71,20.52
2000-03-10,1287.97,1313.38,1247.88,1262.49,1.5,17.85
2000-03-13,1258.33,1299.85,1241.99,1282.28,1.27,14.28
2000-03-14,1260.63,1282.49,1206.22,1249.1,1.64,18.28
2000-03-15,1247.25,1291.06,1231.94,1260.48,1.25,15.46
2000-03-16,1253.51,1263.8,1191.07,1203.36,1.29,16.25
2000-03-17,1199.36,1253.47,1190.32,1240.69,1.27,16.77
2000-03-20,1226.56,1290.83,1210.18,1280.26,1.5,20.52
2000-03-21,1287.62,1325.17,1257.68,1297.75,1.79,25.17
2000-03-22,1300.83,1327.67,1268.86,1296.96,1.36,18.65
2000-03-23,1301.6,1333.54,1279.08,1318.16,1.38,18.84
2000-03-24,1331.89,1359.69,1289.66,1303.73,1.84,24.8
2000-03-27,1306.9,1359.56,1293.92,1342.66,1.76,22.4
2000-03-28,1355.49,1387.42,1317.51,1354.17,2.96,31.4
2000-03-29,1357.06,1380.81,1313.44,1346.99,2.21,24.0
2000-03-30,1353.15,1382.72,1330.14,1366.59,1.57,19.55
2000-03-31,1370.66,1394.33,1332.01,1357.69,1.77,21.8
2000-04-03,1359.38,1392.8,1333.72,1357.59,1.52,19.59
2000-04-04,1349.88,1372.79,1311.92,1336.62,1.49,18.75
2000-04-05,1335.07,1374.19,1315.57,1351.59,1.3,15.85
2000-04-06,1358.65,1399.24,1343.73,1384.33,1.58,19.64
2000-04-07,1391.34,1418.32,1364.63,1392.92,1.49,17.8
2000-04-10,1402.08,1430.11,1377.19,1404.81,1.76,20.88
2000-04-11,1405.48,1424.85,1370.22,1391.99,1.5,18.18
2000-04-12,1394.05,1414.6,1353.33,1380.04,1.16,15.13
2000-04-13,1380.01,1408.6,1361.39,1387.83,1.25,16.01
2000-04-14,1389.59,1415.93,1364.12,1388.8,1.5,19.22
2000-04-17,1381.38,1395.52,1327.14,1349.14,1.63,20.09
2000-04-18,1357.8,1387.6,1327.88,1361.48,0.59,7.59
2000-04-19,1380.28,1415.25,1364.53,1391.17,1.55,20.1
2000-04-20,1393.51,1423.14,1374.37,1398.2,1.42,18.05
2000-04-21,1401.98,1427.34,1369.84,1390.09,1.46,18.94
2000-04-24,1390.18,1407.75,1357.75,1374.36,1.2,15.64
2000-04-25,1377.34,1400.27,1348.92,1376.0,0.94,11.12
2000-04-26,1376.5,1402.13,1356.08,1373.59,0.96,11.14
2000-04-27,1376.12,1392.06,1341.25,1350.05,0.84,10.52
2000-04-28,1351.24,1385.74,1335.73,1374.81,0.88,11.85
2000-05-08,1378.32,1404.4,1354.69,1376.25,0.61,8.56
2000-05-09,1374.74,1395.48,1341.39,1358.75,0.73,10.08
2000-05-10,1356.1,1363.53,1304.83,1314.6,0.67,8.5
2000-05-11,1306.72,1327.71,1277.46,1291.1,0.62,7.78
2000-05-12,1295.08,1320.58,1276.09,1290.82,0.58,7.59
2000-05-15,1291.97,1310.11,1262.76,1284.05,0.45,5.9
2000-05-16,1286.76,1317.62,1277.63,1301.47,0.44,6.15
2000-05-17,1305.18,1324.87,1288.35,1301.5,0.46,6.35
2000-05-18,1300.21,1338.0,1288.17,1328.41,0.6,8.93
2000-05-19,1333.93,1358.72,1314.1,1346.9,0.85,12.45
2000-05-22,1350.1,1396.04,1334.66,1382.95,1.13,17.0
2000-05-23,1393.67,1432.95,1363.91,1403.35,1.65,22.42
2000-05-24,1405.55,1476.2,1390.14,1436.71,2.45,34.35
2000-05-25,1451.88,1481.83,1423.08,1454.9,2.14,28.96
2000-05-26,1460.12,1498.41,1429.74,1472.59,2.73,32.55
2000-05-29,1479.4,1520.77,1453.62,1484.53,2.64,33.57
2000-05-30,1491.39,1515.22,1443.57,1460.62,1.8,24.17
2000-05-31,1458.54,1501.54,1435.11,1478.79,1.58,21.2
2000-06-01,1486.94,1512.5,1456.96,1479.05,1.41,19.34
2000-06-02,1481.98,1512.06,1456.32,1487.03,1.54,21.49
2000-06-05,1492.53,1531.76,1454.81,1476.83,1.94,25.54
2000-06-06,1475.34,1507.24,1455.86,1491.51,1.44,18.52
2000-06-07,1499.18,1529.26,1476.95,1504.71,1.35,20.18
2000-06-08,1504.04,1522.61,1469.55,1490.35,1.31,17.97
2000-06-09,1491.75,1515.05,1456.44,1472.28,1.18,17.05
2000-06-12,1467.91,1497.63,1444.43,1475.27,1.06,15.86
2000-06-13,1480.3,1523.38,1467.26,1512.12,1.35,17.93
2000-06-14,1517.9,1536.28,1484.19,1501.15,1.32,17.57
2000-06-15,1502.64,1532.34,1480.06,1507.99,1.17,14.85
2000-06-16,1509.77,1539.43,1480.48,1501.25,1.58,19.45
2000-06-19,1499.72,1522.75,1468.55,1488.75,1.34,17.52
2000-06-20,1486.26,1505.78,1452.13,1471.71,0.94,13.06
2000-06-21,1470.1,1503.53,1455.72,1490.41,0.75,11.37
2000-06-22,1493.33,1517.33,1474.23,1493.45,0.77,11.8
2000-06-23,1494.77,1542.06,1483.24,1527.38,1.55,19.96
2000-06-26,1539.74,1577.94,1515.94,1551.83,2.43,28.98
2000-06-27,1553.15,1574.98,1523.32,1547.35,1.27,16.36
2000-06-28,1549.34,1598.27,1536.65,1571.34,1.62,23.05
2000-06-29,1574.27,1604.94,1542.56,1578.74,1.73,23.38
2000-06-30,1580.86,1601.74,1537.91,1555.86,1.45,19.31
2000-07-03,1549.57,1584.12,1510.35,1536.85,1.37,19.46
2000-07-04,1531.78,1558.54,1511.12,1540.36,0.77,10.47
2000-07-05,1541.32,1566.06,1517.09,1536.89,0.79,11.52
2000-07-06,1535.02,1557.31,1511.41,1533.18,0.84,12.17
2000-07-07,1531.87,1573.11,1522.14,1556.46,1.02,14.24
2000-07-10,1561.63,1598.11,1537.36,1577.6,1.38,18.19
2000-07-11,1581.31,1609.3,1541.83,1572.59,1.15,16.47
2000-07-12,1576.82,1606.22,1556.24,1582.4,1.17,17.02
2000-07-13,1583.64,1612.21,1549.38,1576.62,1.49,21.64
2000-07-14,1576.69,1600.47,1549.16,1577.73,0.96,14.57
2000-07-17,1578.84,1609.47,1551.57,1574.22,1.04,16.11
2000-07-18,1577.97,1604.89,1554.35,1578.65,0.84,13.57
2000-07-19,1581.97,1610.64,1559.87,1583.45,0.98,15.02
2000-07-20,1584.19,1604.11,1555.31,1582.18,0.91,13.43
2000-07-21,1584.18,1607.58,1567.69,1588.13,0.79,11.68
2000-07-24,1588.97,1605.81,1558.68,1574.78,0.87,12.64
2000-07-25,1575.57,1607.37,1558.08,1586.24,0.75,11.26
2000-07-26,1591.93,1617.56,1569.59,1594.56,1.0,15.34
2000-07-27,1599.22,1623.77,1573.79,1596.13,1.18,17.55
2000-07-28,1598.81,1622.48,1579.15,1598.31,0.91,13.24
2000-07-31,1600.87,1619.78,1575.64,1597.22,0.89,12.56
2000-08-01,1598.13,1625.44,1581.39,1603.09,0.91,13.87
2000-08-02,1606.47,1627.45,1585.69,1604.45,0.7,10.87
2000-08-03,1608.03,1630.35,1586.73,1605.05,0.89,13.46
2000-08-04,1607.08,1629.64,1578.59,1598.57,1.0,15.24
2000-08-07,1593.51,1616.79,1567.72,1596.45,0.98,14.42
2000-08-08,1599.04,1627.17,1580.23,1606.13,0.92,14.01
2000-08-09,1609.82,1633.98,1587.78,1612.72,1.12,17.02
2000-08-10,1616.29,1636.55,1588.68,1611.42,1.17,18.24
2000-08-11,1615.59,1645.34,1596.49,1619.53,1.16,18.94
2000-08-14,1622.81,1655.71,1608.62,1636.71,1.28,20.06
2000-08-15,1642.74,1662.3,1616.94,1638.08,1.17,17.59
2000-08-16,1640.28,1659.26,1614.77,1633.57,0.91,14.24
2000-08-17,1635.51,1651.34,1613.14,1625.36,0.8,12.04
2000-08-18,1627.84,1648.97,1608.09,1629.18,0.82,12.35
2000-08-21,1628.72,1654.19,1609.96,1637.61,1.05,15.29
2000-08-22,1642.79,1667.49,1610.0,1621.14,1.06,15.9
2000-08-23,1614.07,1641.58,1540.58,1615.51,1.69,24.41
2000-08-24,1617.85,1646.79,1593.08,1623.78,1.31,19.4
2000-08-25,1626.6,1654.63,1612.78,1643.54,0.98,15.31
2000-08-28,1647.08,1672.68,1628.78,1656.37,0.98,14.65
2000-08-29,1661.77,1696.86,1640.2,1671.08,1.16,17.79
2000-08-30,1673.93,1693.78,1635.91,1649.55,1.16,19.35
2000-08-31,1637.42,1656.11,1590.99,1608.79,1.14,17.34
2000-09-01,1599.91,1634.08,1578.21,1600.2,1.17,18.06
2000-09-04,1598.8,1636.95,1576.15,1626.03,1.11,18.16
2000-09-05,1632.39,1653.55,1579.37,1592.2,0.89,13.57
2000-09-06,1583.92,1605.42,1544.57,1557.07,0.8,11.66
2000-09-07,1560.63,1601.2,1549.79,1576.06,0.73,11.34
2000-09-08,1580.28,1599.93,1557.12,1577.44,0.59,9.68
2000-09-11,1581.7,1603.47,1560.35,1584.52,0.5,7.89
2000-09-12,1589.81,1612.74,1569.26,1597.18,0.5,7.72
2000-09-13,1599.65,1621.17,1578.51,1597.53,0.53,8.41
2000-09-14,1601.98,1620.19,1573.19,1593.42,0.54,8.32
2000-09-15,1596.36,1613.81,1572.95,1595.22,0.51,8.35
2000-09-18,1598.44,1620.81,1562.06,1572.61,0.47,7.57
2000-09-19,1562.35,1570.92,1518.03,1532.75,0.55,8.47
2000-09-20,1530.24,1560.52,1514.4,1543.87,0.41,6.55
2000-09-21,1546.09,1570.14,1521.87,1539.74,0.51,6.86
2000-09-22,1536.63,1556.29,1510.96,1528.94,0.43,6.53
2000-09-25,1525.16,1545.9,1501.08,1515.47,0.34,5.18
2000-09-26,1516.68,1545.17,1502.5,1527.23,0.36,5.52
2000-09-27,1529.06,1556.55,1514.53,1545.52,0.31,4.81
2000-09-28,1547.79,1560.54,1513.09,1527.53,0.34,5.18
2000-09-29,1526.21,1561.08,1519.56,1544.66,0.46,7.28
2000-10-09,1547.42,1573.64,1525.55,1557.52,0.36,5.39
2000-10-10,1564.81,1598.46,1546.32,1582.35,0.72,10.78
2000-10-11,1582.04,1599.29,1555.41,1570.04,0.52,8.52
2000-10-12,1571.67,1589.88,1542.86,1563.23,0.54,8.5
2000-10-13,1566.31,1588.67,1541.91,1556.72,0.57,9.41
2000-10-16,1553.92,1570.18,1524.98,1540.03,0.48,7.73
2000-10-17,1540.71,1564.1,1522.99,1547.58,0.37,6.04
2000-10-18,1551.41,1573.58,1532.66,1553.15,0.48,7.98
2000-10-19,1559.39,1576.22,1537.17,1549.88,0.42,6.66
2000-10-20,1549.73,1593.09,1534.09,1579.85,0.72,12.02
2000-10-23,1582.95,1608.08,1560.69,1586.82,0.75,12.4
2000-10-24,1589.78,1608.81,1567.65,1588.9,0.66,11.22
2000-10-25,1593.07,1624.39,1574.26,1600.77,0.97,17.78
2000-10-26,1601.63,1623.71,1576.2,1592.95,0.73,12.87
2000-10-27,1595.23,1614.68,1574.15,1593.61,0.63,10.78
2000-10-30,1594.52,1620.48,1573.54,1600.46,0.69,11.76
2000-10-31,1600.77,1621.92,1575.65,1589.5,0.57,9.87
2000-11-01,1592.32,1621.79,1577.0,1604.62,0.73,12.44
2000-11-02,1608.5,1634.89,1591.87,1609.01,0.76,12.49
2000-11-03,1610.94,1629.96,1591.83,1611.68,0.67,11.03
2000-11-06,1614.98,1645.68,1599.1,1627.74,0.82,13.12
2000-11-07,1634.18,1656.56,1612.69,1636.03,0.76,12.25
2000-11-08,1638.0,1662.11,1619.44,1643.95,0.72,12.26
2000-11-09,1646.06,1669.38,1626.68,1655.19,0.9,15.92
2000-11-10,1658.14,1688.15,1638.15,1663.61,1.09,18.42
2000-11-13,1668.19,1697.32,1648.98,1677.06,1.08,17.41
2000-11-14,1679.85,1714.21,1658.51,1695.41,1.13,18.52
2000-11-15,1698.54,1732.13,1673.52,1696.61,1.28,22.13
2000-11-16,1699.87,1730.67,1677.74,1708.54,1.25,20.96
2000-11-17,1709.53,1735.99,1684.63,1706.6,1.15,18.91
2000-11-20,1702.65,1726.18,1673.11,1705.29,1.21,20.01
2000-11-21,1707.16,1734.7,1685.03,1700.35,1.03,17.07
2000-11-22,1701.59,1738.89,1684.65,1723.05,1.13,18.73
2000-11-23,1727.63,1757.81,1705.77,1729.32,1.27,21.41
2000-11-24,1729.74,1744.78,1653.81,1673.15,1.33,21.73
2000-11-27,1661.33,1692.07,1638.15,1665.05,0.88,15.0
2000-11-28,1669.1,1715.87,1661.58,1702.81,0.82,13.64
2000-11-29,1707.52,1726.11,1676.19,1695.73,0.85,14.22
2000-11-30,1694.62,1716.78,1673.94,1695.91,0.6,9.71
2000-12-01,1695.92,1721.33,1679.74,1702.05,0.71,11.34
2000-12-04,1704.88,1737.63,1687.75,1719.46,0.82,12.65
2000-12-05,1722.69,1743.67,1701.44,1721.68,0.7,11.76
2000-12-06,1725.05,1739.49,1687.93,1703.2,0.83,13.73
2000-12-07,1698.13,1716.67,1673.75,1693.64,0.67,11.09
2000-12-08,1691.87,1717.13,1674.54,1691.03,0.71,11.82
2000-12-11,1686.66,1704.03,1648.11,1663.62,0.64,10.37
2000-12-12,1661.29,1687.45,1644.33,1674.46,0.56,8.76
2000-12-13,1673.12,1691.96,1655.05,1674.02,0.51,8.62
2000-12-14,1674.21,1695.17,1655.64,1670.79,0.46,7.4
2000-12-15,1671.11,1686.12,1647.89,1660.83,0.48,7.69
2000-12-18,1662.17,1686.11,1638.08,1671.56,0.58,9.77
2000-12-19,1675.04,1698.89,1658.69,1678.95,0.62,10.93
2000-12-20,1677.7,1708.91,1664.69,1694.88,0.6,10.96
2000-12-21,1697.71,1723.65,1677.64,1696.55,0.62,11.08
2000-12-22,1697.38,1719.96,1673.3,1691.96,0.81,13.98
2000-12-25,1696.57,1713.53,1666.37,1685.45,0.76,12.46
2000-12-26,1690.67,1716.19,1669.69,1697.65,0.71,12.25
2000-12-27,1699.22,1716.51,1670.06,1687.07,0.67,12.03
2000-12-28,1684.1,1709.76,1665.4,1690.05,0.59,10.57
2000-12-29,1690.99,1727.39,1678.54,1714.62,0.7,12.48
2001-01-02,1717.6,1795.45,1701.08,1774.38,1.71,30.25
2001-01-03,1784.22,1830.34,1766.34,1793.21,2.23,39.95
2001-01-04,1795.35,1811.61,1758.73,1778.35,1.2,23.06
2001-01-05,1778.48,1823.69,1760.79,1799.65,1.4,24.92
2001-01-08,1803.61,1823.5,1757.17,1780.34,1.11,19.65
2001-01-09,1775.58,1799.81,1743.43,1769.55,0.91,15.65
2001-01-10,1769.93,1809.42,1756.76,1786.03,0.96,17.14
