date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.27,2.67
2000-01-04,1000.42,1035.29,982.05,1024.38,0.53,5.29
2000-01-05,1024.48,1056.77,1007.8,1028.22,0.65,6.74
2000-01-06,1025.37,1076.78,1012.98,1070.19,0.75,7.79
2000-01-07,1075.41,1122.66,1062.37,1104.79,1.28,13.6
2000-01-10,1111.81,1144.58,1086.79,1126.27,1.12,13.14
2000-01-11,1127.46,1140.51,1061.11,1076.1,0.88,9.88
2000-01-12,1072.61,1094.95,1030.8,1045.81,0.63,6.85
2000-01-13,1046.07,1062.7,1022.0,1039.79,0.45,4.59
2000-01-14,1044.15,1058.66,1018.25,1033.03,0.35,4.05
2000-01-17,1033.94,1061.59,1018.8,1052.99,0.4,5.19
2000-01-18,1056.85,1093.68,1038.29,1063.16,0.51,6.07
2000-01-19,1065.04,1086.07,1046.9,1068.01,0.47,5.55
2000-01-20,1069.39,1092.0,1054.2,1079.78,0.53,6.27
2000-01-21,1082.09,1113.66,1057.54,1082.78,0.75,9.47
2000-01-24,1084.03,1122.62,1055.53,1101.43,1.01,12.52
2000-01-25,1106.36,1130.34,1073.25,1094.52,0.69,8.24
2000-01-26,1093.16,1118.2,1072.45,1097.6,0.56,6.93
2000-01-27,1104.71,1139.27,1082.58,1115.67,0.87,11.29
2000-01-28,1115.12,1159.31,1087.67,1135.44,1.1,13.7
2000-02-14,1177.28,1244.12,1162.95,1241.66,1.29,15.22
2000-02-15,1287.62,1321.93,1234.85,1268.06,2.39,32.13
2000-02-16,1276.18,1327.8,1225.0,1293.63,2.4,32.47
2000-02-17,1318.21,1380.08,1209.51,1238.69,2.79,38.6
2000-02-18,1221.02,1285.97,1176.04,1264.18,1.59,21.42
2000-02-21,1284.93,1322.51,1237.5,1281.6,1.48,18.79
2000-02-22,1300.95,1334.62,1224.07,1243.04,1.81,24.95
2000-02-23,1220.78,1266.75,1188.55,1219.2,1.13,17.8
2000-02-24,1209.52,1267.9,1194.68,1254.33,0.98,14.65
2000-02-25,1256.78,1282.54,1220.18,1245.04,1.18,16.37
2000-02-28,1259.18,1317.36,1227.35,1299.4,1.41,19.48
2000-02-29,1319.0,1346.39,1254.1,1296.69,1.95,27.05
2000-03-01,1298.21,1345.91,1265.57,1307.57,1.27,16.51
2000-03-02,1307.39,1344.56,1279.16,1305.92,1.19,16.09
2000-03-03,1316.02,1359.49,1288.02,1324.74,1.79,22.76
2000-03-06,1333.23,1366.16,1265.37,1274.91,1.57,20.49
2000-03-07,1264.92,1305.08,1231.98,1286.27,1.22,14.83
2000-03-08,1289.69,1343.04,1266.1,1325.98,1.86,23.84
2000-03-09,1329.74,1381.65,1304.54,1347.85,1.79,23.93
2000-03-10,1347.95,1371.38,1298.42,1311.49,1.13,14.98
2000-03-13,1301.23,1337.39,1285.13,1316.0,0.8,10.11
2000-03-14,1274.0,1318.43,1231.53,1286.24,1.38,16.47
2000-03-15,1279.5,1306.8,1250.84,1272.68,1.05,12.09
2000-03-16,1263.96,1268.21,1189.23,1205.59,0.89,10.24
2000-03-17,1198.22,1265.62,1192.97,1249.58,0.88,10.1
2000-03-20,1229.85,1291.64,1212.84,1277.52,1.14,13.01
