date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.21,2.09
2000-01-04,1000.78,1034.88,985.58,1026.69,0.38,3.48
2000-01-05,1031.05,1061.17,1015.98,1031.12,0.77,7.51
2000-01-06,1026.31,1071.1,1015.41,1066.99,0.7,7.22
2000-01-07,1077.5,1125.46,1066.42,1109.21,1.57,16.96
2000-01-10,1120.63,1147.76,1087.34,1126.38,1.63,17.56
2000-01-11,1127.81,1141.9,1064.46,1078.71,1.28,13.8
2000-01-12,1074.13,1099.38,1036.4,1050.72,0.96,10.33
2000-01-13,1051.39,1070.84,1026.79,1041.98,0.54,5.6
2000-01-14,1042.17,1060.46,1018.7,1030.26,0.44,4.49
2000-01-17,1028.79,1058.32,1018.2,1050.78,0.51,5.87
2000-01-18,1053.48,1078.1,1032.61,1048.31,0.6,6.5
2000-01-19,1047.5,1070.67,1037.79,1057.63,0.45,4.71
2000-01-20,1060.51,1082.66,1048.42,1069.98,0.63,6.44
2000-01-21,1075.09,1101.34,1048.98,1071.66,1.1,11.48
2000-01-24,1070.46,1099.71,1045.27,1079.28,0.98,10.3
2000-01-25,1083.75,1109.88,1055.23,1077.57,0.98,9.75
2000-01-26,1079.0,1104.08,1062.78,1083.72,0.74,7.72
2000-01-27,1088.21,1107.06,1065.91,1087.26,0.98,10.17
2000-01-28,1090.0,1120.43,1063.61,1100.44,1.31,14.28
2000-02-14,1140.03,1205.16,1121.54,1201.02,1.84,20.83
2000-02-15,1234.96,1266.57,1184.95,1208.12,2.29,27.7
2000-02-16,1219.26,1263.9,1180.27,1244.17,3.09,32.24
2000-02-17,1286.92,1345.04,1201.19,1253.45,4.56,48.61
2000-02-18,1251.13,1318.59,1190.29,1293.68,3.25,33.98
2000-02-21,1310.34,1368.57,1267.16,1316.53,3.17,37.69
2000-02-22,1323.5,1355.25,1240.99,1256.92,2.16,25.4
2000-02-23,1245.72,1276.17,1191.67,1208.42,1.96,20.7
2000-02-24,1211.71,1257.42,1196.28,1245.34,1.34,14.63
2000-02-25,1247.19,1263.08,1202.94,1226.1,1.24,14.2
2000-02-28,1226.65,1289.17,1205.41,1274.72,1.69,19.41
2000-02-29,1295.02,1322.35,1236.7,1279.83,1.82,21.17
2000-03-01,1281.82,1314.38,1244.04,1276.04,1.81,20.5
2000-03-02,1267.27,1317.15,1246.33,1282.66,1.47,16.73
2000-03-03,1302.35,1343.29,1270.11,1302.37,1.83,20.87
2000-03-06,1310.24,1334.99,1241.04,1251.79,1.67,18.42
2000-03-07,1242.19,1282.22,1224.25,1270.03,1.18,11.17
2000-03-08,1273.05,1313.96,1248.72,1294.08,1.35,14.29
2000-03-09,1297.41,1329.59,1267.44,1292.85,1.17,13.72
2000-03-10,1301.98,1324.61,1251.91,1271.98,1.35,14.85
2000-03-13,1269.97,1308.74,1252.51,1290.64,1.13,12.34
2000-03-14,1262.83,1285.27,1213.0,1254.83,1.21,13.07
2000-03-15,1258.12,1290.19,1236.01,1260.7,0.95,10.4
2000-03-16,1255.94,1261.69,1186.73,1200.73,0.99,10.14
2000-03-17,1197.51,1253.57,1191.52,1242.86,1.07,11.93
2000-03-20,1230.29,1282.36,1207.78,1263.95,1.37,14.67
2000-03-21,1269.82,1302.49,1244.39,1270.07,1.26,14.38
2000-03-22,1273.72,1310.72,1254.2,1285.84,1.2,14.21
2000-03-23,1286.83,1315.15,1260.34,1296.25,1.12,13.69
2000-03-24,1303.27,1330.99,1260.33,1273.26,1.34,15.83
2000-03-27,1273.47,1314.96,1253.57,1298.7,1.35,14.77
2000-03-28,1309.58,1354.01,1283.29,1325.58,1.89,18.79
2000-03-29,1333.63,1353.01,1293.79,1318.6,1.46,14.24
2000-03-30,1320.23,1350.89,1308.03,1338.34,0.96,10.43
2000-03-31,1334.52,1354.75,1299.58,1324.47,0.92,10.16
2000-04-03,1324.08,1354.06,1295.58,1314.35,1.01,11.82
2000-04-04,1303.74,1319.3,1270.48,1287.6,0.73,7.8
2000-04-05,1284.95,1322.67,1273.25,1303.14,0.81,8.98
2000-04-06,1309.21,1346.03,1297.13,1331.21,0.9,10.27
2000-04-07,1337.74,1371.71,1320.07,1350.93,1.48,17.91
2000-04-10,1353.13,1389.64,1330.92,1366.41,1.34,15.71
2000-04-11,1366.3,1391.48,1331.96,1354.17,0.85,10.2
2000-04-12,1350.87,1373.1,1315.09,1340.72,0.76,8.43
2000-04-13,1343.44,1374.35,1325.97,1354.21,1.03,10.63
2000-04-14,1355.88,1376.01,1329.93,1349.27,1.08,11.04
2000-04-17,1346.3,1358.66,1296.7,1322.25,1.01,10.62
2000-04-18,1335.48,1352.49,1299.75,1327.17,0.38,3.72
2000-04-19,1337.24,1370.93,1322.65,1352.47,0.99,11.81
2000-04-20,1353.95,1394.55,1338.34,1378.17,1.31,15.83
2000-04-21,1383.97,1415.4,1360.96,1386.56,1.33,17.06
2000-04-24,1391.71,1409.03,1352.93,1372.77,1.14,14.09
2000-04-25,1374.05,1400.57,1351.23,1379.21,0.66,8.32
2000-04-26,1380.85,1410.74,1362.27,1380.74,0.81,10.05
2000-04-27,1384.47,1407.01,1352.08,1365.46,0.82,9.08
2000-04-28,1367.97,1399.65,1348.42,1385.25,0.71,8.81
2000-05-08,1390.61,1429.1,1371.29,1406.56,0.81,11.33
2000-05-09,1406.8,1422.64,1364.32,1382.91,0.6,7.84
2000-05-10,1377.56,1383.99,1321.48,1333.03,0.56,6.71
2000-05-11,1326.49,1352.84,1295.67,1307.31,0.52,6.16
2000-05-12,1308.85,1332.74,1289.47,1306.64,0.41,4.71
2000-05-15,1308.16,1329.76,1271.58,1303.51,0.45,5.31
2000-05-16,1300.95,1329.8,1290.42,1315.63,0.35,4.23
2000-05-17,1317.07,1339.63,1302.62,1322.95,0.34,4.31
2000-05-18,1320.09,1363.59,1308.86,1351.95,0.45,5.76
2000-05-19,1358.58,1380.17,1340.27,1365.58,0.64,7.69
2000-05-22,1370.47,1418.16,1360.09,1399.75,0.81,10.57
2000-05-23,1404.89,1433.1,1375.21,1406.05,0.65,7.94
2000-05-24,1406.4,1444.27,1390.21,1419.98,0.93,12.46
2000-05-25,1429.63,1469.45,1412.28,1443.55,1.23,14.89
2000-05-26,1459.5,1483.87,1416.36,1441.23,1.42,15.3
2000-05-29,1439.3,1476.42,1419.68,1450.71,1.06,13.45
2000-05-30,1454.02,1481.25,1418.27,1438.33,1.1,12.32
2000-05-31,1439.53,1471.71,1414.31,1446.22,0.89,11.27
2000-06-01,1448.84,1480.9,1431.41,1455.51,0.82,10.65
2000-06-02,1464.07,1496.13,1436.31,1473.64,1.5,16.05
2000-06-05,1480.62,1512.36,1443.82,1460.99,1.6,16.77
2000-06-06,1459.68,1490.15,1437.88,1470.6,1.26,14.85
2000-06-07,1478.01,1517.48,1452.15,1500.32,1.57,17.74
2000-06-08,1500.6,1521.87,1468.15,1492.63,1.34,15.49
2000-06-09,1487.14,1511.46,1444.71,1460.09,1.93,19.8
2000-06-12,1454.09,1495.7,1427.74,1473.98,1.8,20.09
2000-06-13,1474.4,1511.55,1454.73,1491.82,1.74,17.93
2000-06-14,1499.71,1537.77,1470.4,1499.18,2.62,26.73
2000-06-15,1500.58,1523.8,1473.83,1503.38,1.27,14.11
2000-06-16,1504.82,1532.85,1473.35,1496.81,1.21,14.37
2000-06-19,1492.43,1521.06,1464.25,1487.3,1.13,13.1
2000-06-20,1481.53,1504.89,1451.7,1470.65,0.84,9.52
2000-06-21,1470.13,1503.34,1454.79,1481.73,0.91,10.1
2000-06-22,1486.33,1506.35,1461.9,1482.32,0.64,7.61
2000-06-23,1483.21,1514.28,1466.25,1498.67,1.08,12.33
2000-06-26,1503.26,1528.04,1485.36,1506.8,1.2,12.91
2000-06-27,1510.69,1531.32,1478.2,1503.44,0.97,10.99
2000-06-28,1505.95,1523.15,1484.46,1501.91,0.8,9.48
2000-06-29,1502.78,1522.08,1474.04,1499.13,1.0,11.95
2000-06-30,1498.14,1522.43,1466.37,1490.85,1.09,13.0
