date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.19,2.14
2000-01-04,1003.46,1039.87,991.98,1032.15,0.49,5.53
2000-01-05,1033.21,1064.41,1014.91,1034.17,0.8,9.84
2000-01-06,1030.2,1077.16,1017.56,1069.96,0.76,8.73
2000-01-07,1077.79,1121.05,1066.43,1107.52,1.5,17.02
2000-01-10,1118.61,1151.69,1089.97,1133.78,1.59,18.09
2000-01-11,1133.59,1148.37,1070.14,1083.97,1.24,14.43
2000-01-12,1080.62,1107.23,1044.88,1058.68,1.05,12.6
2000-01-13,1056.02,1078.96,1039.35,1051.14,0.65,7.55
2000-01-14,1054.28,1071.45,1027.0,1038.64,0.62,6.64
2000-01-17,1035.77,1069.68,1021.86,1057.72,0.72,6.8
2000-01-18,1060.37,1080.12,1037.63,1053.7,0.97,9.92
2000-01-19,1053.05,1076.04,1039.79,1062.14,0.65,7.12
2000-01-20,1063.51,1093.29,1053.53,1082.54,0.76,8.66
2000-01-21,1087.33,1111.84,1060.61,1080.92,1.23,14.01
2000-01-24,1080.84,1110.53,1052.77,1092.06,1.42,16.28
2000-01-25,1094.61,1128.01,1069.89,1093.5,1.24,14.67
2000-01-26,1094.51,1121.58,1075.89,1102.74,0.91,10.16
2000-01-27,1112.95,1145.73,1091.56,1119.8,1.36,15.67
2000-01-28,1129.81,1169.78,1109.91,1146.88,1.82,21.31
2000-02-14,1189.29,1253.16,1174.34,1250.26,2.13,25.89
2000-02-15,1277.68,1335.79,1219.99,1248.13,3.28,41.27
2000-02-16,1255.07,1307.44,1216.14,1281.06,3.36,38.65
2000-02-17,1312.24,1374.85,1213.75,1250.23,4.8,58.4
2000-02-18,1245.89,1288.66,1187.87,1263.63,2.42,29.65
2000-02-21,1281.88,1332.54,1231.1,1288.6,3.18,41.91
2000-02-22,1304.38,1343.44,1225.93,1241.08,3.01,42.87
2000-02-23,1230.64,1259.6,1187.95,1212.82,1.88,25.02
2000-02-24,1208.48,1250.11,1190.78,1233.37,1.38,21.42
2000-02-25,1232.83,1260.1,1199.03,1225.59,1.77,24.12
2000-02-28,1228.31,1295.67,1214.15,1279.61,2.37,31.41
2000-02-29,1296.64,1346.8,1248.86,1305.27,3.2,42.57
2000-03-01,1315.17,1356.33,1274.56,1308.49,2.59,33.48
2000-03-02,1310.35,1350.61,1276.94,1309.6,2.4,30.19
2000-03-03,1321.68,1358.3,1294.4,1320.73,2.3,29.42
2000-03-06,1329.67,1353.7,1245.82,1255.9,2.22,27.82
2000-03-07,1236.06,1268.75,1217.46,1255.62,1.31,15.57
2000-03-08,1263.69,1303.2,1244.02,1282.95,1.37,16.32
2000-03-09,1286.61,1309.86,1250.31,1274.54,1.23,15.37
2000-03-10,1274.75,1300.29,1242.24,1258.28,1.25,16.42
2000-03-13,1257.53,1305.26,1242.99,1288.19,1.32,17.59
2000-03-14,1259.72,1292.37,1212.51,1263.84,1.94,22.7
2000-03-15,1260.88,1305.69,1242.25,1277.46,1.96,21.46
2000-03-16,1269.38,1278.42,1195.68,1213.87,1.54,16.62
2000-03-17,1207.99,1270.23,1201.51,1258.05,1.83,21.16
2000-03-20,1247.51,1309.9,1221.34,1293.07,2.21,27.04
2000-03-21,1295.47,1338.35,1269.28,1305.41,2.06,24.56
2000-03-22,1306.02,1344.24,1282.66,1310.16,1.82,22.26
2000-03-23,1313.62,1349.67,1290.99,1332.27,1.84,22.25
2000-03-24,1339.84,1377.22,1305.83,1326.93,2.58,31.94
2000-03-27,1334.58,1397.17,1320.47,1378.08,2.84,33.1
2000-03-28,1395.22,1427.12,1348.52,1377.17,2.93,34.0
2000-03-29,1388.0,1406.61,1333.27,1366.09,2.44,26.47
2000-03-30,1370.15,1407.97,1349.44,1384.85,2.24,25.9
2000-03-31,1385.42,1411.6,1349.63,1375.7,2.25,25.99
2000-04-03,1380.24,1421.44,1355.7,1379.91,2.75,31.68
2000-04-04,1374.22,1395.08,1334.85,1356.99,2.02,23.3
2000-04-05,1350.86,1397.54,1335.07,1375.83,1.78,20.74
2000-04-06,1384.43,1440.31,1371.21,1429.48,3.08,36.7
2000-04-07,1444.5,1472.99,1407.4,1431.03,3.54,41.76
2000-04-10,1436.85,1469.78,1408.16,1438.1,2.43,29.24
2000-04-11,1439.44,1461.73,1398.27,1419.2,2.18,26.31
2000-04-12,1419.42,1446.23,1382.44,1409.77,1.84,22.34
2000-04-13,1413.74,1450.13,1395.57,1425.27,1.73,21.31
2000-04-14,1434.33,1452.07,1399.45,1423.12,2.24,24.32
2000-04-17,1417.99,1435.15,1364.06,1390.51,2.61,26.67
2000-04-18,1404.94,1429.42,1365.61,1398.64,0.69,7.52
2000-04-19,1405.42,1440.51,1386.82,1415.18,1.66,19.69
2000-04-20,1416.18,1454.85,1396.07,1427.46,2.04,25.51
2000-04-21,1432.67,1469.35,1403.59,1423.42,2.18,27.91
2000-04-24,1424.67,1463.37,1393.02,1425.73,2.17,25.26
2000-04-25,1426.74,1445.66,1394.03,1411.96,1.37,16.09
2000-04-26,1414.79,1441.46,1393.6,1408.93,1.14,13.15
2000-04-27,1410.08,1430.33,1374.53,1386.57,1.35,15.14
2000-04-28,1385.74,1425.04,1368.44,1411.46,1.7,18.39
2000-05-08,1417.37,1444.48,1388.7,1414.24,1.35,14.94
2000-05-09,1412.94,1431.31,1370.87,1388.61,1.29,14.78
2000-05-10,1382.22,1395.24,1328.79,1341.8,1.51,15.59
2000-05-11,1334.07,1361.06,1299.61,1315.09,1.22,12.38
2000-05-12,1317.49,1344.71,1292.62,1310.9,1.34,13.52
2000-05-15,1311.47,1326.15,1267.28,1288.52,1.04,10.38
2000-05-16,1290.92,1325.56,1279.13,1307.83,0.84,8.95
2000-05-17,1311.72,1337.6,1291.8,1308.66,0.8,7.85
2000-05-18,1312.06,1348.81,1295.47,1340.21,0.89,9.67
2000-05-19,1348.4,1377.82,1327.07,1361.13,1.52,17.68
2000-05-22,1369.35,1418.47,1356.02,1400.74,1.89,22.56
2000-05-23,1407.53,1429.16,1369.54,1398.42,1.44,17.2
2000-05-24,1395.05,1445.99,1376.37,1419.91,2.12,23.93
2000-05-25,1431.42,1464.33,1406.93,1439.4,2.27,25.41
2000-05-26,1444.22,1470.08,1413.04,1434.47,1.73,20.5
2000-05-29,1437.91,1475.1,1415.55,1448.57,1.85,22.26
2000-05-30,1452.81,1479.17,1412.15,1434.62,1.78,21.37
2000-05-31,1432.84,1474.58,1415.97,1454.02,1.79,20.77
2000-06-01,1461.76,1510.75,1443.39,1476.42,2.5,30.76
2000-06-02,1478.98,1512.31,1449.28,1484.7,2.66,28.39
2000-06-05,1489.63,1522.58,1447.17,1465.99,2.79,30.73
2000-06-06,1463.63,1511.15,1444.75,1495.32,2.47,27.58
2000-06-07,1502.94,1530.73,1478.87,1504.37,2.11,24.43
2000-06-08,1508.2,1538.04,1471.86,1503.17,2.65,29.04
2000-06-09,1502.12,1536.37,1468.18,1487.54,2.18,24.45
2000-06-12,1480.86,1518.84,1456.27,1496.88,1.7,20.1
2000-06-13,1501.78,1534.71,1478.74,1517.58,1.71,20.44
2000-06-14,1522.85,1551.82,1490.23,1513.91,1.82,22.9
2000-06-15,1515.59,1549.7,1488.5,1523.54,2.1,26.05
2000-06-16,1524.14,1548.35,1483.83,1499.66,1.96,23.68
2000-06-19,1495.63,1520.68,1462.81,1485.48,1.48,18.77
2000-06-20,1481.79,1515.33,1456.83,1482.97,1.37,17.52
2000-06-21,1482.87,1510.55,1465.57,1493.01,0.92,11.98
2000-06-22,1497.09,1515.82,1469.42,1486.63,0.89,11.22
2000-06-23,1485.97,1517.94,1469.37,1500.39,1.11,13.62
2000-06-26,1500.22,1537.42,1480.31,1512.93,1.26,16.27
2000-06-27,1517.13,1545.0,1491.27,1517.19,1.67,19.47
2000-06-28,1525.36,1558.42,1501.16,1525.22,1.64,19.74
2000-06-29,1530.51,1561.65,1495.53,1523.14,1.83,24.78
2000-06-30,1525.01,1562.59,1495.9,1512.63,2.01,26.92
2000-07-03,1505.59,1528.87,1463.05,1481.29,1.52,19.01
2000-07-04,1476.82,1503.19,1458.77,1490.8,0.8,9.87
2000-07-05,1495.61,1515.88,1471.84,1486.81,0.88,11.17
2000-07-06,1486.04,1504.21,1462.1,1476.0,0.72,8.91
2000-07-07,1476.68,1510.94,1466.58,1493.97,0.78,9.86
2000-07-10,1496.97,1527.21,1472.6,1503.29,1.13,14.33
2000-07-11,1507.32,1546.01,1485.68,1517.57,1.36,18.02
2000-07-12,1521.09,1548.96,1496.85,1519.59,1.37,17.24
2000-07-13,1523.53,1557.42,1499.29,1525.79,1.89,24.15
2000-07-14,1526.41,1557.87,1504.49,1533.88,1.6,21.1
2000-07-17,1539.07,1561.22,1507.45,1522.12,1.58,19.04
2000-07-18,1523.26,1546.45,1502.07,1527.79,1.14,13.99
2000-07-19,1531.69,1550.63,1507.12,1525.1,1.15,14.01
2000-07-20,1525.44,1549.46,1499.02,1525.49,1.38,16.68
2000-07-21,1527.96,1559.54,1511.59,1530.9,1.53,18.22
2000-07-24,1533.58,1562.09,1508.82,1539.21,1.42,17.18
2000-07-25,1541.56,1568.24,1525.98,1545.84,1.18,14.37
2000-07-26,1548.9,1573.39,1530.16,1557.13,1.19,14.71
2000-07-27,1561.85,1584.97,1533.46,1553.66,1.69,21.25
2000-07-28,1555.88,1583.41,1533.88,1556.24,1.57,19.41
2000-07-31,1560.49,1582.85,1536.78,1561.77,1.67,20.39
2000-08-01,1565.92,1593.66,1542.66,1567.34,1.46,17.72
2000-08-02,1568.39,1583.6,1541.17,1561.09,1.18,14.35
2000-08-03,1561.51,1586.77,1542.86,1563.25,1.33,16.68
2000-08-04,1563.93,1582.63,1531.32,1549.01,1.47,17.68
2000-08-07,1548.0,1577.88,1526.17,1560.27,1.12,14.25
2000-08-08,1563.83,1588.11,1545.06,1567.57,1.39,16.99
2000-08-09,1572.6,1596.52,1550.33,1573.37,1.51,19.39
2000-08-10,1577.75,1598.23,1551.12,1570.88,1.46,18.38
2000-08-11,1575.38,1603.67,1554.63,1577.17,1.41,18.1
2000-08-14,1583.94,1606.9,1565.72,1584.2,1.47,18.98
2000-08-15,1588.54,1604.32,1564.61,1578.54,1.22,15.34
2000-08-16,1582.9,1607.88,1567.08,1587.15,1.23,15.57
2000-08-17,1589.07,1610.6,1571.8,1585.41,0.98,12.46
2000-08-18,1589.71,1606.79,1569.32,1583.69,0.98,12.17
2000-08-21,1585.07,1608.07,1560.82,1593.12,1.48,18.13
2000-08-22,1597.96,1623.29,1560.81,1569.72,1.71,20.66
2000-08-23,1559.42,1590.65,1486.29,1558.68,2.63,32.44
2000-08-24,1559.57,1590.34,1537.96,1573.09,1.99,23.01
2000-08-25,1578.75,1603.02,1558.01,1584.77,1.45,17.19
2000-08-28,1588.31,1611.79,1567.69,1591.09,1.5,18.41
2000-08-29,1592.66,1617.73,1573.12,1595.56,1.46,18.09
2000-08-30,1596.73,1618.38,1567.03,1578.16,1.37,16.86
2000-08-31,1568.66,1581.98,1523.54,1529.68,1.51,18.17
2000-09-01,1521.17,1549.02,1498.91,1513.83,1.19,14.24
2000-09-04,1508.02,1535.54,1483.47,1519.92,1.39,15.79
2000-09-05,1534.71,1552.91,1478.99,1492.72,1.26,14.21
2000-09-06,1485.98,1503.19,1447.08,1457.91,0.96,11.27
2000-09-07,1463.59,1502.16,1453.36,1477.65,0.79,9.27
2000-09-08,1481.72,1502.6,1458.3,1483.41,0.81,10.07
2000-09-11,1488.78,1510.42,1465.65,1491.97,0.68,8.43
2000-09-12,1495.75,1524.72,1477.04,1510.11,0.74,9.19
2000-09-13,1510.57,1537.17,1493.12,1516.57,0.86,10.85
2000-09-14,1517.03,1537.43,1495.71,1512.39,0.73,9.16
2000-09-15,1517.17,1535.95,1495.08,1515.97,0.7,9.22
2000-09-18,1517.92,1534.94,1480.8,1488.88,0.75,9.42
2000-09-19,1478.85,1490.9,1442.3,1456.91,0.74,8.57
2000-09-20,1456.62,1486.16,1440.34,1474.32,0.56,7.06
2000-09-21,1474.82,1492.7,1450.59,1460.31,0.6,8.04
2000-09-22,1456.0,1474.2,1431.78,1445.6,0.59,7.04
2000-09-25,1446.2,1464.91,1424.75,1436.25,0.5,6.35
