date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.2,2.14
2000-01-04,1006.13,1043.9,991.58,1037.24,0.42,4.24
2000-01-05,1037.09,1077.78,1023.35,1049.97,0.77,7.65
2000-01-06,1044.99,1094.88,1034.16,1087.33,1.02,10.61
2000-01-07,1103.45,1156.12,1089.82,1142.12,2.09,22.16
2000-01-10,1156.14,1195.67,1127.39,1174.94,2.07,22.8
2000-01-11,1183.48,1202.62,1113.69,1134.88,2.06,21.74
2000-01-12,1126.54,1167.62,1090.9,1108.82,1.67,17.91
2000-01-13,1109.86,1125.45,1070.84,1083.83,0.85,8.88
2000-01-14,1087.74,1113.57,1061.24,1081.99,0.86,8.54
2000-01-17,1084.26,1128.85,1068.68,1116.49,1.03,10.65
2000-01-18,1119.53,1144.08,1085.66,1103.0,1.22,12.98
2000-01-19,1100.14,1131.77,1083.98,1113.65,0.8,8.56
2000-01-20,1115.25,1154.89,1101.57,1144.86,1.09,12.01
2000-01-21,1148.69,1186.0,1120.65,1150.31,1.78,19.56
2000-01-24,1151.27,1201.41,1128.51,1181.01,1.89,21.72
2000-01-25,1191.08,1222.49,1148.98,1174.23,1.65,18.94
2000-01-26,1173.31,1199.14,1145.67,1177.57,1.05,12.21
2000-01-27,1186.74,1228.11,1166.39,1203.78,1.64,19.91
2000-01-28,1212.21,1271.92,1188.88,1247.55,2.51,29.64
2000-02-14,1303.3,1369.56,1283.9,1366.71,2.02,25.49
2000-02-15,1418.51,1482.56,1364.63,1409.16,3.49,45.64
2000-02-16,1429.83,1509.6,1383.29,1482.1,4.53,59.46
2000-02-17,1554.56,1596.1,1364.29,1403.74,5.81,77.25
2000-02-18,1367.45,1471.84,1312.89,1447.85,3.34,44.43
2000-02-21,1455.64,1502.61,1372.01,1421.54,3.48,47.6
2000-02-22,1412.71,1465.81,1345.28,1368.14,2.5,33.13
2000-02-23,1349.6,1386.66,1293.28,1316.6,1.97,24.33
2000-02-24,1309.5,1374.59,1299.66,1359.91,1.39,17.81
2000-02-25,1364.7,1396.29,1316.81,1348.75,1.82,23.61
2000-02-28,1351.66,1440.03,1328.41,1423.51,2.58,33.46
2000-02-29,1438.33,1469.47,1362.74,1404.43,2.37,31.89
