date,open,high,low,close,volume,amount
2014-02-21,3110.43,3119.54,3047.39,3068.08,3.87,31.28
2014-02-24,3044.36,3044.89,2964.14,2992.49,4.94,40.23
2014-02-25,2994.67,3008.61,2903.0,2911.83,4.67,38.8
2014-02-26,2902.28,2928.3,2888.41,2928.3,4.17,33.91
2014-02-27,2936.83,2949.31,2910.36,2910.74,4.69,37.74
2014-02-28,2907.31,2951.36,2888.66,2948.91,3.21,27.24
2014-03-03,2944.88,2977.51,2939.43,2977.51,3.2,27.56
2014-03-04,2967.41,2967.92,2938.39,2966.14,3.03,25.52
2014-03-05,2972.72,2996.34,2963.52,2968.53,3.53,28.52
2014-03-06,2964.13,2996.12,2937.2,2994.49,3.7,30.18
2014-03-07,2990.23,2998.63,2961.3,2972.39,3.36,27.36
2014-03-10,2950.34,2951.22,2858.38,2859.12,3.48,26.97
2014-03-11,2855.57,2905.45,2854.96,2894.23,3.12,24.2
2014-03-12,2886.13,2922.88,2873.78,2914.05,3.67,28.34
2014-03-13,2912.19,2934.54,2903.06,2934.09,3.56,26.3
2014-03-14,2923.14,2935.9,2906.74,2923.72,2.91,21.82
2014-03-17,2961.8,2989.72,2954.35,2989.47,4.19,32.7
2014-03-18,2988.83,2999.64,2977.3,2991.26,4.11,33.47
2014-03-19,2983.61,3022.99,2950.84,3022.99,4.99,41.42
2014-03-20,3022.85,3049.3,2983.21,2983.99,5.73,46.75
2014-03-21,2970.81,3061.15,2968.46,3060.94,6.02,46.27
2014-03-24,3066.81,3135.74,3066.51,3128.6,6.83,56.92
2014-03-25,3125.85,3143.15,3095.97,3113.7,6.02,49.25
2014-03-26,3116.99,3126.13,3103.63,3120.49,5.08,42.37
2014-03-27,3119.32,3127.55,3074.8,3074.8,4.66,39.51
2014-03-28,3075.77,3116.96,3056.81,3087.81,4.78,42.62
2014-03-31,3090.38,3105.79,3057.22,3077.63,4.16,34.16
2014-04-01,3072.96,3099.9,3062.24,3099.6,3.23,26.44
2014-04-02,3100.4,3166.62,3099.96,3155.69,5.16,43.79
2014-04-03,3178.8,3188.86,3132.63,3144.29,4.9,44.33
2014-04-04,3137.96,3162.36,3131.1,3161.99,3.35,29.38
2014-04-08,3151.03,3211.8,3147.37,3208.32,4.76,41.17
2014-04-09,3212.66,3245.87,3208.14,3227.0,4.68,40.77
2014-04-10,3233.3,3317.12,3215.39,3306.93,7.12,73.92
2014-04-11,3289.5,3294.29,3247.48,3253.91,6.11,66.64
2014-04-14,3246.06,3284.65,3226.81,3284.18,5.37,47.48
2014-04-15,3279.27,3281.49,3217.97,3222.35,5.73,48.5
2014-04-16,3213.63,3249.13,3211.22,3249.13,5.59,46.99
2014-04-17,3254.95,3255.26,3205.65,3207.56,4.27,36.76
2014-04-18,3195.92,3208.93,3177.27,3205.59,3.03,25.85
2014-04-21,3185.27,3206.15,3139.31,3139.31,4.03,34.91
2014-04-22,3130.65,3139.11,3076.65,3121.61,3.8,31.51
2014-04-23,3118.76,3136.2,3112.39,3133.51,2.83,23.66
2014-04-24,3131.42,3143.36,3105.91,3107.6,2.93,23.64
2014-04-25,3112.2,3119.31,3037.6,3037.6,3.22,26.36
2014-04-28,3021.92,3025.5,2985.16,2986.84,3.03,23.72
2014-04-29,2990.68,3046.24,2988.79,3046.24,2.98,23.05
2014-04-30,3052.27,3060.82,3045.77,3053.19,2.88,21.58
2014-05-05,3050.9,3071.44,3040.43,3070.43,3.34,23.54
2014-05-06,3069.41,3082.41,3053.7,3067.8,3.49,26.43
2014-05-07,3059.84,3064.3,3018.3,3021.34,3.59,26.14
2014-05-08,3012.88,3051.76,3005.86,3015.3,3.51,25.04
2014-05-09,3011.62,3012.92,2970.7,2989.71,3.46,23.63
2014-05-12,3008.83,3049.86,2994.71,3049.83,4.17,30.78
2014-05-13,3048.19,3069.61,3040.66,3056.99,3.83,27.85
2014-05-14,3053.22,3068.82,3049.91,3055.12,2.81,21.11
