date,open,high,low,close,volume,amount
2014-02-21,1507.22,1508.49,1483.39,1492.41,6.27,44.45
2014-02-24,1484.84,1484.97,1438.8,1449.97,8.04,56.51
2014-02-25,1448.75,1455.35,1406.99,1412.27,7.1,49.68
2014-02-26,1408.51,1411.75,1394.22,1410.77,6.33,38.94
2014-02-27,1414.1,1415.34,1391.8,1392.68,6.93,43.31
2014-02-28,1393.28,1412.73,1384.85,1411.52,5.9,49.15
2014-03-03,1411.14,1437.38,1408.01,1436.49,6.2,50.17
2014-03-04,1432.11,1434.27,1416.17,1429.04,5.67,52.86
2014-03-05,1430.5,1435.57,1422.15,1425.53,5.33,45.34
2014-03-06,1423.72,1437.22,1408.97,1433.88,5.87,46.56
2014-03-07,1431.4,1439.41,1416.83,1423.2,5.76,43.48
2014-03-10,1413.89,1413.95,1378.7,1381.08,6.11,41.44
2014-03-11,1378.74,1388.12,1372.56,1383.3,4.96,37.57
2014-03-12,1381.18,1397.72,1375.27,1394.09,6.11,43.48
2014-03-13,1393.7,1403.98,1390.53,1399.36,4.98,34.04
2014-03-14,1391.52,1393.4,1375.39,1384.39,4.07,27.75
2014-03-17,1388.03,1408.11,1387.87,1408.05,4.57,31.54
2014-03-18,1409.23,1412.81,1403.22,1409.71,4.94,38.59
2014-03-19,1408.74,1408.77,1390.35,1401.91,4.7,37.52
2014-03-20,1400.08,1410.61,1386.99,1387.02,5.96,44.02
2014-03-21,1382.35,1423.43,1377.74,1422.7,8.13,50.8
2014-03-24,1429.12,1443.58,1421.8,1440.57,10.03,59.59
2014-03-25,1438.38,1453.32,1432.35,1449.81,9.18,57.08
2014-03-26,1450.79,1452.78,1436.79,1442.04,5.25,37.89
2014-03-27,1438.76,1441.97,1422.02,1422.82,5.65,38.28
2014-03-28,1421.56,1429.24,1408.88,1416.08,5.99,42.0
2014-03-31,1415.62,1419.64,1401.63,1409.05,6.49,39.4
2014-04-01,1409.04,1429.36,1408.94,1428.42,6.19,38.83
2014-04-02,1430.09,1440.81,1428.21,1440.41,7.28,44.34
2014-04-03,1449.09,1453.13,1427.61,1431.96,9.25,57.29
2014-04-04,1426.62,1436.92,1423.02,1436.92,4.79,31.65
2014-04-08,1431.4,1456.64,1430.59,1456.18,7.4,43.75
2014-04-09,1458.59,1463.45,1454.12,1458.5,5.92,38.38
2014-04-10,1462.79,1493.86,1457.59,1485.76,14.6,76.94
2014-04-11,1486.48,1489.32,1473.92,1477.67,10.9,56.52
2014-04-14,1474.78,1483.9,1471.0,1483.24,6.64,41.88
2014-04-15,1482.5,1482.5,1464.21,1466.32,7.92,49.49
2014-04-16,1463.34,1474.49,1460.54,1471.27,6.19,43.88
2014-04-17,1473.83,1475.48,1467.38,1468.63,6.3,44.1
2014-04-18,1465.94,1466.29,1457.26,1464.8,5.57,35.51
2014-04-21,1455.74,1469.09,1445.82,1446.67,6.4,45.15
2014-04-22,1443.74,1450.78,1424.21,1446.23,6.19,41.71
2014-04-23,1443.1,1448.26,1435.62,1440.63,4.58,29.83
2014-04-24,1441.48,1449.76,1433.59,1435.42,5.36,33.8
2014-04-25,1435.01,1437.98,1410.06,1410.21,5.66,37.4
2014-04-28,1408.63,1408.66,1377.87,1379.18,5.43,33.58
2014-04-29,1378.28,1397.4,1376.69,1397.4,4.58,30.58
2014-04-30,1399.13,1410.23,1396.51,1409.39,4.97,31.7
2014-05-05,1413.42,1420.64,1404.39,1419.45,5.74,34.5
2014-05-06,1417.79,1430.77,1416.62,1427.15,5.32,36.28
2014-05-07,1423.43,1426.68,1409.71,1411.2,5.26,32.98
2014-05-08,1408.22,1426.24,1405.19,1406.8,4.63,29.63
2014-05-09,1407.29,1408.91,1384.39,1397.4,5.64,35.57
2014-05-12,1407.01,1426.91,1400.36,1425.96,7.67,40.0
2014-05-13,1426.5,1430.86,1418.64,1424.69,5.84,36.26
2014-05-14,1423.28,1427.95,1418.72,1425.13,4.19,25.79
2014-05-15,1421.87,1424.42,1407.32,1407.96,4.66,33.01
2014-05-16,1404.17,1407.08,1393.05,1406.58,3.43,23.99
2014-05-19,1403.03,1403.07,1387.23,1391.21,3.55,22.08
2014-05-20,1397.38,1404.42,1392.64,1397.3,3.33,23.31
2014-05-21,1394.39,1410.05,1387.44,1410.03,3.43,25.03
2014-05-22,1411.26,1421.75,1403.35,1403.76,4.67,31.52
2014-05-23,1403.39,1412.84,1400.77,1412.57,3.79,24.72
