date,open,high,low,close,volume,amount
2014-02-21,998.18,1008.91,989.96,1001.27,2.75,35.48
2014-02-24,996.07,996.07,983.33,989.16,2.9,38.64
2014-02-25,989.8,992.98,926.77,934.96,4.32,59.88
2014-02-26,926.73,930.43,905.74,929.9,2.62,33.94
2014-02-27,933.1,961.87,931.57,935.6,3.62,44.64
2014-02-28,932.08,948.91,922.38,948.22,2.41,29.14
2014-03-03,962.43,976.21,962.43,972.08,3.6,46.77
2014-03-04,969.72,985.53,961.67,980.29,3.6,46.19
2014-03-05,981.03,982.78,964.76,966.58,2.87,37.38
2014-03-06,964.71,964.73,941.34,952.95,2.43,29.87
2014-03-07,954.94,964.19,947.68,952.18,2.3,28.08
2014-03-10,941.04,941.26,901.38,904.95,3.55,40.08
2014-03-11,903.1,908.77,891.16,900.68,2.96,31.72
2014-03-12,902.29,906.21,882.11,897.35,2.84,28.88
2014-03-13,898.43,918.97,895.48,914.61,3.33,38.15
2014-03-14,909.08,910.02,897.53,905.2,2.51,28.38
2014-03-17,911.95,922.89,907.01,922.77,2.77,33.01
2014-03-18,922.97,928.03,917.64,918.56,2.68,30.41
2014-03-19,914.26,918.13,902.47,918.06,3.29,33.56
2014-03-20,915.0,916.99,883.7,884.37,3.2,33.65
2014-03-21,880.3,902.22,871.69,900.91,3.16,32.86
2014-03-24,898.02,906.86,896.28,902.99,2.9,30.64
2014-03-25,901.5,910.6,898.93,904.77,2.66,29.05
2014-03-26,904.71,905.89,893.95,897.74,1.97,21.85
2014-03-27,896.7,897.03,881.68,881.68,2.08,22.64
2014-03-28,881.36,882.83,852.43,854.09,2.58,30.04
2014-03-31,854.28,869.74,852.32,862.86,1.99,22.68
2014-04-01,861.27,872.32,858.98,869.99,1.84,21.05
2014-04-02,869.57,870.36,862.22,863.68,1.59,17.01
2014-04-03,866.33,869.74,859.57,861.87,1.55,17.36
2014-04-04,860.92,876.81,858.34,876.71,1.87,21.71
2014-04-08,875.86,913.37,875.07,909.73,3.7,43.42
2014-04-09,912.73,915.22,906.72,912.3,2.34,28.96
2014-04-10,912.22,920.76,908.58,915.79,2.41,25.96
2014-04-11,913.25,920.05,909.36,917.29,2.61,28.7
2014-04-14,915.44,921.6,915.26,921.1,1.72,19.81
2014-04-15,933.29,937.5,915.34,916.42,2.68,32.26
2014-04-16,914.28,918.55,907.1,914.81,1.99,22.06
2014-04-17,918.07,920.29,906.17,907.22,1.79,22.11
2014-04-18,902.06,912.53,899.19,911.67,1.81,22.64
2014-04-21,903.5,912.85,890.98,891.82,1.88,22.99
2014-04-22,889.81,895.69,873.51,892.36,1.91,23.26
2014-04-23,890.54,917.99,887.77,917.51,2.64,30.75
2014-04-24,915.0,922.52,902.59,902.69,2.7,31.8
2014-04-25,899.36,899.36,881.34,882.03,2.47,24.5
2014-04-28,877.39,877.56,850.68,850.79,2.28,22.95
2014-04-29,848.75,859.27,847.5,857.21,2.0,18.57
2014-04-30,855.41,862.79,854.03,861.71,1.37,13.64
2014-05-05,861.48,873.01,857.41,871.49,1.44,14.95
2014-05-06,870.44,882.47,869.92,875.52,1.66,17.8
2014-05-07,872.9,875.33,865.77,866.02,1.83,17.99
2014-05-08,864.68,880.45,864.51,869.64,1.77,18.46
2014-05-09,870.54,871.84,856.47,862.61,1.54,15.9
2014-05-12,871.08,882.23,863.93,882.22,2.24,22.92
2014-05-13,881.08,888.53,879.56,888.25,2.24,23.56
2014-05-14,886.64,887.87,879.89,881.84,1.72,18.2
2014-05-15,881.5,904.21,880.22,880.54,3.11,32.45
2014-05-16,880.29,887.88,871.8,885.3,2.23,23.24
2014-05-19,902.75,905.99,875.01,876.46,2.87,31.68
2014-05-20,878.84,882.3,868.69,873.43,2.98,31.31
2014-05-21,870.96,878.33,863.6,878.29,2.03,20.91
2014-05-22,877.67,886.5,874.7,875.09,2.69,28.0
2014-05-23,873.1,878.42,870.67,877.93,1.81,19.2
2014-05-26,888.92,892.96,884.47,888.5,2.57,28.48
2014-05-27,887.79,887.8,878.36,879.0,2.32,24.08
2014-05-28,877.58,888.61,873.49,888.2,2.61,27.83
2014-05-29,887.59,888.1,876.45,876.74,2.34,24.92
2014-05-30,879.63,895.58,874.6,893.34,3.26,36.92
2014-06-03,894.65,898.16,891.16,891.61,2.47,29.16
2014-06-04,888.96,889.05,877.22,885.57,2.43,26.96
2014-06-05,882.87,894.93,880.62,894.83,2.38,26.54
2014-06-06,893.26,894.35,883.72,888.13,2.2,23.45
2014-06-09,885.87,893.65,885.07,885.61,2.11,23.65
2014-06-10,885.55,893.92,881.65,893.85,2.58,28.0
2014-06-11,891.37,896.75,890.0,894.25,2.26,24.85
2014-06-12,893.53,912.76,893.3,909.61,3.7,39.29
2014-06-13,908.49,916.63,904.63,915.17,2.91,32.84
2014-06-16,915.15,929.0,914.41,928.64,3.5,38.68
2014-06-17,925.68,925.68,912.5,912.84,2.36,25.97
2014-06-18,916.15,928.7,913.18,914.35,2.83,34.61
2014-06-19,911.46,917.72,886.99,892.22,3.1,34.97
2014-06-20,891.07,899.5,889.57,899.5,1.7,19.05
2014-06-23,901.03,913.61,901.02,907.78,2.03,23.75
2014-06-24,906.98,925.6,905.58,925.51,2.6,32.18
2014-06-25,924.82,926.04,918.04,920.39,2.34,29.8
2014-06-26,919.51,932.62,919.51,930.99,2.59,29.77
2014-06-27,930.77,959.51,928.54,949.98,5.53,52.33
2014-06-30,954.13,1000.65,954.07,991.95,7.55,91.33
2014-07-01,999.78,1000.7,976.85,981.81,5.68,71.21
2014-07-02,984.49,1020.44,984.26,1009.65,7.91,112.6
2014-07-03,1003.23,1007.54,993.44,995.69,4.93,75.5
2014-07-04,990.75,996.4,987.95,993.67,4.05,71.62
2014-07-07,998.2,1027.73,998.2,1024.67,6.22,100.34
2014-07-08,1027.63,1035.05,1008.55,1023.15,5.6,99.57
2014-07-09,1018.63,1070.29,1013.97,1027.79,9.48,147.56
2014-07-10,1025.3,1044.23,1022.26,1025.34,6.49,106.05
2014-07-11,1022.95,1061.83,1021.18,1057.06,6.93,114.85
2014-07-14,1061.3,1065.35,1047.43,1051.4,5.1,86.94
2014-07-15,1049.64,1068.78,1041.72,1056.65,5.12,83.24
2014-07-16,1048.59,1048.59,1005.53,1008.6,5.36,77.14
2014-07-17,1001.13,1008.54,982.54,992.29,4.01,65.23
2014-07-18,991.46,999.37,981.83,983.46,3.72,68.69
2014-07-21,984.41,999.66,970.95,999.66,4.49,77.92
2014-07-22,993.26,1005.31,988.14,1003.03,4.25,71.63
2014-07-23,1000.67,1013.54,998.16,1005.29,4.69,79.86
2014-07-24,1003.56,1008.07,971.95,989.99,4.39,75.75
2014-07-25,990.77,996.43,987.29,994.92,2.99,48.51
2014-07-28,1001.77,1029.96,1001.77,1029.07,5.76,89.73
2014-07-29,1033.8,1057.27,1031.2,1050.83,6.6,106.99
2014-07-30,1050.53,1078.83,1041.6,1064.06,8.39,131.65
2014-07-31,1058.24,1080.36,1053.3,1074.57,5.36,101.16
2014-08-01,1069.47,1079.94,1050.81,1050.81,6.1,100.93
2014-08-04,1051.21,1075.66,1051.21,1066.75,4.58,73.35
2014-08-05,1066.64,1071.54,1052.19,1068.08,4.67,79.03
2014-08-06,1064.24,1095.75,1062.21,1085.72,6.48,106.13
2014-08-07,1086.5,1097.41,1072.78,1074.07,6.34,99.27
2014-08-08,1075.12,1092.26,1075.12,1082.13,5.12,86.55
2014-08-11,1087.44,1099.67,1087.44,1099.46,5.33,85.17
2014-08-12,1103.86,1109.09,1094.93,1102.29,5.37,89.44
2014-08-13,1098.7,1101.93,1076.2,1088.29,4.53,75.82
2014-08-14,1085.17,1097.06,1077.12,1078.18,5.03,75.11
2014-08-15,1080.11,1089.22,1077.4,1087.43,3.46,54.54
2014-08-18,1090.98,1100.42,1087.78,1099.04,4.28,67.13
2014-08-19,1101.27,1108.15,1094.73,1106.86,4.95,91.42
2014-08-20,1106.88,1116.43,1102.96,1107.04,4.72,89.36
2014-08-21,1108.17,1118.77,1104.27,1111.82,4.74,88.53
2014-08-22,1110.84,1115.48,1107.29,1112.8,4.67,87.4
2014-08-25,1112.56,1112.8,1093.69,1093.95,3.76,66.89
2014-08-26,1089.83,1093.95,1070.38,1076.14,3.92,68.8
2014-08-27,1079.22,1117.76,1079.22,1113.76,5.05,91.25
2014-08-28,1121.83,1121.83,1086.87,1087.06,4.94,93.97
2014-08-29,1090.38,1127.86,1089.71,1127.86,5.45,94.66
2014-09-01,1141.89,1165.28,1141.89,1164.75,7.75,132.3
2014-09-02,1169.04,1225.77,1165.08,1215.28,11.73,203.88
2014-09-03,1214.55,1229.41,1207.0,1223.04,10.96,190.19
2014-09-04,1218.48,1272.81,1215.81,1244.18,11.61,208.34
2014-09-05,1240.57,1264.5,1228.14,1264.19,11.34,175.71
2014-09-09,1260.86,1283.63,1256.81,1267.76,9.93,160.64
2014-09-10,1262.49,1288.5,1253.56,1273.06,8.32,148.56
2014-09-11,1268.28,1296.58,1259.18,1279.71,8.57,153.03
2014-09-12,1281.33,1321.42,1281.33,1321.26,10.9,175.81
2014-09-15,1327.1,1340.36,1318.35,1328.69,9.98,165.97
2014-09-16,1325.17,1325.17,1262.29,1266.13,11.14,192.22
2014-09-17,1261.77,1268.16,1229.47,1255.8,6.56,117.93
2014-09-18,1248.49,1255.8,1238.44,1248.24,4.53,76.91
2014-09-19,1248.05,1294.8,1247.69,1290.56,7.6,119.34
2014-09-22,1287.96,1287.96,1258.1,1264.04,5.9,98.39
2014-09-23,1264.58,1308.6,1264.58,1301.66,8.07,137.22
2014-09-24,1298.99,1349.58,1294.35,1341.43,10.0,171.24
2014-09-25,1347.28,1373.61,1340.4,1350.13,10.27,177.83
2014-09-26,1351.43,1351.97,1321.78,1336.47,6.22,112.51
2014-09-29,1354.01,1372.09,1349.85,1360.79,11.05,138.24
2014-09-30,1358.66,1359.25,1347.89,1357.48,7.03,100.96
2014-10-08,1357.31,1393.76,1354.68,1391.82,8.61,141.66
2014-10-09,1390.62,1399.11,1364.27,1395.42,9.12,146.13
2014-10-10,1386.52,1418.77,1374.55,1404.82,9.31,178.43
2014-10-13,1398.59,1426.96,1382.04,1426.31,8.47,166.25
2014-10-14,1428.25,1452.86,1410.15,1421.78,10.79,193.71
2014-10-15,1414.88,1422.76,1378.34,1397.41,7.08,136.63
2014-10-16,1385.07,1404.3,1362.66,1362.91,6.43,118.92
2014-10-17,1357.8,1379.55,1340.2,1372.06,7.03,123.3
2014-10-20,1374.41,1386.7,1364.46,1376.68,4.99,85.24
2014-10-21,1376.89,1380.85,1348.42,1349.52,5.49,89.65
2014-10-22,1349.97,1389.6,1346.96,1361.98,6.99,118.23
2014-10-23,1354.49,1372.19,1347.54,1355.91,5.48,96.6
2014-10-24,1357.23,1361.03,1332.82,1334.12,4.8,75.42
2014-10-27,1327.35,1345.24,1316.04,1343.12,4.96,75.61
2014-10-28,1346.14,1403.38,1346.14,1403.37,8.02,140.8
2014-10-29,1405.09,1418.63,1398.55,1412.03,8.55,156.4
2014-10-30,1410.19,1419.95,1385.71,1389.42,6.5,117.19
2014-10-31,1394.62,1404.02,1365.98,1384.49,6.5,113.72
2014-11-03,1395.03,1405.06,1385.05,1394.84,6.34,108.6
2014-11-04,1393.66,1393.66,1374.25,1384.33,6.37,103.06
2014-11-05,1386.54,1402.11,1382.75,1389.79,5.56,95.91
2014-11-06,1392.48,1392.57,1367.89,1388.33,5.66,91.16
2014-11-07,1393.61,1407.73,1373.83,1379.67,6.09,101.41
2014-11-10,1385.2,1388.49,1354.73,1377.55,6.54,113.77
2014-11-11,1378.87,1380.04,1305.8,1312.3,7.52,129.24
2014-11-12,1307.88,1329.27,1307.88,1327.5,4.3,73.81
2014-11-13,1327.93,1327.93,1262.77,1271.22,6.18,103.63
2014-11-14,1264.24,1296.82,1253.53,1282.71,5.27,83.4
2014-11-17,1285.86,1310.11,1272.31,1298.87,4.19,74.65
2014-11-18,1296.13,1306.6,1293.32,1296.09,3.51,55.89
