date,open,high,low,close,volume,amount
2014-02-21,2819.89,2880.18,2816.2,2851.45,8.44,166.96
2014-02-24,2839.54,2890.71,2817.78,2890.59,8.6,182.15
2014-02-25,2903.82,2948.65,2751.18,2779.35,15.41,314.34
2014-02-26,2743.0,2783.95,2675.43,2783.58,10.18,199.33
2014-02-27,2798.07,2855.47,2747.24,2752.81,10.63,217.34
2014-02-28,2784.05,2793.8,2713.16,2783.94,10.01,204.04
2014-03-03,2808.5,2856.98,2802.36,2856.98,9.68,194.4
2014-03-04,2839.89,2846.03,2788.18,2825.4,8.84,175.08
2014-03-05,2831.32,2840.71,2811.65,2823.72,7.78,149.66
2014-03-06,2815.65,2817.18,2761.35,2800.77,7.58,156.71
2014-03-07,2797.72,2807.37,2758.59,2771.2,7.08,140.48
2014-03-10,2754.41,2754.48,2663.36,2669.61,7.75,143.72
2014-03-11,2656.02,2682.64,2617.96,2646.34,7.17,137.61
2014-03-12,2636.26,2658.86,2568.47,2612.87,6.35,123.94
2014-03-13,2610.98,2665.7,2610.74,2665.39,5.52,110.35
2014-03-14,2652.22,2690.7,2644.55,2668.88,5.95,122.35
2014-03-17,2667.63,2734.47,2662.88,2734.47,6.71,134.65
2014-03-18,2738.19,2786.92,2738.1,2765.51,7.81,165.01
2014-03-19,2760.25,2760.86,2715.39,2739.35,6.68,134.67
2014-03-20,2731.72,2748.41,2640.66,2640.66,7.49,141.31
2014-03-21,2621.72,2695.26,2580.83,2687.57,7.08,133.5
2014-03-24,2681.69,2683.5,2640.93,2648.49,6.26,120.66
2014-03-25,2637.11,2662.2,2621.08,2640.58,6.06,108.44
2014-03-26,2640.12,2667.5,2639.51,2659.75,5.55,105.71
2014-03-27,2654.06,2655.07,2584.03,2584.03,6.39,119.85
2014-03-28,2571.21,2574.05,2492.01,2500.49,6.61,114.85
2014-03-31,2499.84,2516.19,2476.09,2498.5,4.88,86.35
2014-04-01,2494.15,2552.73,2493.58,2552.19,4.12,75.56
2014-04-02,2552.05,2559.02,2502.03,2518.21,4.22,80.02
2014-04-03,2519.73,2562.67,2518.03,2531.88,4.53,83.36
2014-04-04,2524.71,2571.75,2518.2,2571.33,4.58,76.75
2014-04-08,2560.5,2589.49,2549.25,2586.73,4.78,82.53
2014-04-09,2602.78,2634.97,2602.21,2631.24,5.27,96.97
2014-04-10,2646.0,2677.62,2643.2,2654.93,6.85,127.14
2014-04-11,2637.58,2638.55,2603.72,2619.04,6.7,110.52
2014-04-14,2620.93,2628.63,2609.1,2622.53,5.52,102.15
2014-04-15,2619.84,2632.88,2610.52,2616.44,6.09,102.91
2014-04-16,2608.91,2622.5,2597.52,2605.21,4.78,83.32
2014-04-17,2608.34,2626.4,2607.7,2609.86,5.38,83.79
2014-04-18,2599.32,2619.67,2591.95,2618.86,5.27,84.21
2014-04-21,2603.27,2633.09,2589.75,2591.03,5.83,104.78
2014-04-22,2587.75,2601.02,2518.58,2559.87,5.52,97.02
2014-04-23,2554.95,2566.97,2523.37,2535.81,4.35,72.95
2014-04-24,2530.91,2532.59,2491.99,2500.88,4.68,79.87
2014-04-25,2495.85,2498.3,2447.47,2448.59,4.67,75.21
2014-04-28,2435.4,2438.62,2374.98,2375.55,4.94,79.1
2014-04-29,2366.51,2396.99,2365.89,2396.59,4.02,64.09
2014-04-30,2391.06,2423.52,2388.3,2421.14,4.13,64.75
2014-05-05,2417.2,2455.18,2409.43,2455.18,4.2,67.01
2014-05-06,2454.64,2498.19,2451.73,2482.56,4.99,85.71
2014-05-07,2473.09,2476.93,2427.0,2427.0,4.48,75.12
2014-05-08,2415.64,2452.11,2411.72,2413.47,4.05,68.0
2014-05-09,2413.08,2415.27,2354.24,2371.9,4.09,65.07
2014-05-12,2390.79,2426.46,2377.09,2426.18,4.51,71.3
2014-05-13,2426.56,2442.91,2415.16,2426.95,4.1,65.47
2014-05-14,2424.23,2435.09,2419.0,2431.4,3.29,54.43
2014-05-15,2427.96,2434.09,2383.05,2384.65,4.18,68.78
2014-05-16,2381.82,2382.74,2330.07,2361.91,4.09,65.76
2014-05-19,2355.31,2361.23,2336.24,2353.1,3.19,49.04
2014-05-20,2373.82,2408.5,2372.33,2396.93,5.39,88.49
