date,open,high,low,close,volume,amount
2014-02-21,1623.33,1637.18,1611.42,1629.97,5.2,65.55
2014-02-24,1625.39,1635.44,1600.62,1635.43,5.91,74.3
2014-02-25,1640.66,1653.37,1552.39,1559.66,8.23,112.63
2014-02-26,1543.3,1551.18,1516.6,1550.98,5.47,75.01
2014-02-27,1553.68,1580.19,1518.79,1521.25,6.33,81.79
2014-02-28,1532.62,1547.04,1504.11,1545.1,5.67,68.01
2014-03-03,1541.76,1583.49,1537.27,1583.49,9.56,78.52
2014-03-04,1572.51,1592.77,1563.8,1589.59,6.76,71.13
2014-03-05,1592.25,1601.04,1580.81,1585.83,5.83,68.55
2014-03-06,1584.61,1604.37,1572.48,1602.7,5.99,77.06
2014-03-07,1601.32,1615.54,1575.82,1582.77,5.69,69.9
2014-03-10,1567.05,1567.49,1506.88,1511.47,5.86,64.86
2014-03-11,1505.25,1514.46,1484.3,1502.59,3.98,44.71
2014-03-12,1499.56,1508.36,1463.34,1489.32,4.11,44.6
2014-03-13,1490.79,1510.69,1481.94,1510.4,4.1,43.96
2014-03-14,1501.48,1511.86,1493.41,1505.25,4.11,50.67
2014-03-17,1512.78,1541.31,1505.82,1540.46,3.92,51.85
2014-03-18,1543.81,1562.21,1543.1,1546.26,4.31,59.71
2014-03-19,1548.63,1554.49,1540.69,1552.92,4.39,55.2
2014-03-20,1551.19,1557.36,1513.37,1513.37,5.14,66.87
2014-03-21,1504.05,1538.28,1488.14,1538.28,5.13,62.01
2014-03-24,1538.65,1541.28,1524.99,1533.93,4.89,54.25
2014-03-25,1529.96,1537.9,1521.91,1534.47,3.95,43.74
2014-03-26,1535.09,1544.95,1534.14,1537.68,3.66,46.34
2014-03-27,1536.68,1536.8,1490.85,1490.85,4.23,54.09
2014-03-28,1488.59,1493.32,1449.05,1452.1,4.21,50.99
2014-03-31,1457.49,1462.29,1435.51,1446.34,3.07,37.79
2014-04-01,1450.99,1482.16,1448.8,1481.32,3.33,42.05
2014-04-02,1483.96,1485.89,1464.86,1471.86,3.63,46.2
2014-04-03,1472.14,1492.89,1467.01,1475.96,4.32,53.11
2014-04-04,1472.4,1488.54,1467.92,1488.54,3.48,43.76
2014-04-08,1476.94,1504.34,1473.98,1504.34,5.0,52.09
2014-04-09,1505.81,1527.09,1505.03,1527.09,4.84,60.68
2014-04-10,1528.06,1542.61,1525.75,1530.87,5.67,65.29
2014-04-11,1525.65,1537.28,1514.91,1530.65,4.85,57.23
2014-04-14,1530.55,1541.22,1529.03,1534.86,4.1,50.88
2014-04-15,1534.79,1544.21,1528.37,1533.53,4.43,54.18
2014-04-16,1532.93,1539.83,1523.4,1537.86,4.9,57.22
2014-04-17,1540.65,1550.3,1540.56,1545.65,4.04,50.71
2014-04-18,1547.63,1558.89,1544.78,1552.55,4.7,55.31
2014-04-21,1538.0,1550.74,1527.36,1528.17,4.51,55.0
2014-04-22,1525.97,1537.72,1503.41,1524.84,6.31,66.94
2014-04-23,1519.77,1529.35,1506.85,1514.87,4.22,48.87
2014-04-24,1513.66,1516.21,1489.77,1497.05,3.89,51.9
2014-04-25,1495.25,1495.46,1459.71,1460.65,3.99,49.96
2014-04-28,1455.28,1456.58,1418.11,1419.8,4.24,49.92
2014-04-29,1415.66,1443.07,1415.11,1443.07,2.93,37.26
2014-04-30,1444.12,1460.46,1442.55,1459.74,4.84,42.42
2014-05-05,1453.5,1468.81,1447.06,1468.81,3.51,38.17
2014-05-06,1468.23,1494.18,1467.57,1486.12,3.95,44.83
2014-05-07,1481.68,1482.92,1457.99,1458.8,3.48,40.9
2014-05-08,1452.49,1479.28,1449.78,1456.84,4.41,41.96
2014-05-09,1452.66,1459.66,1430.14,1440.01,4.25,37.49
2014-05-12,1448.52,1469.49,1440.36,1467.84,4.85,48.52
2014-05-13,1467.06,1492.07,1466.15,1478.07,6.43,51.3
2014-05-14,1477.01,1485.1,1474.05,1482.49,3.41,38.18
2014-05-15,1480.05,1485.97,1447.24,1448.37,3.89,40.21
2014-05-16,1444.81,1451.74,1420.79,1436.98,2.94,35.31
2014-05-19,1433.1,1436.74,1419.06,1434.06,3.03,36.43
2014-05-20,1443.3,1454.98,1435.42,1440.81,4.29,46.1
2014-05-21,1437.2,1460.04,1425.74,1460.04,3.6,41.13
2014-05-22,1460.28,1479.62,1456.93,1459.82,4.27,51.02
2014-05-23,1459.78,1488.88,1457.27,1488.56,4.28,48.89
2014-05-26,1493.96,1505.84,1490.15,1505.69,4.22,53.62
2014-05-27,1505.34,1507.91,1494.15,1495.5,4.11,51.96
2014-05-28,1495.18,1540.95,1492.54,1540.95,5.82,76.45
2014-05-29,1540.37,1541.73,1514.46,1517.28,4.34,58.95
2014-05-30,1515.8,1540.52,1510.81,1536.5,4.26,51.84
2014-06-03,1535.06,1540.35,1515.98,1516.67,3.77,46.24
2014-06-04,1515.0,1515.09,1488.53,1506.87,3.49,43.13
2014-06-05,1503.75,1532.7,1503.47,1532.25,3.87,47.99
2014-06-06,1532.57,1533.42,1509.49,1519.39,3.65,44.8
2014-06-09,1516.42,1523.05,1498.86,1499.85,3.63,44.8
2014-06-10,1503.56,1527.53,1496.94,1527.53,4.59,55.46
2014-06-11,1526.69,1537.56,1524.61,1535.75,4.5,59.74
2014-06-12,1532.47,1539.37,1526.21,1535.38,4.48,59.13
2014-06-13,1529.31,1556.87,1529.31,1551.57,4.9,63.97
2014-06-16,1554.76,1573.31,1554.12,1572.3,5.57,70.93
2014-06-17,1570.54,1572.23,1559.14,1560.21,4.88,66.84
2014-06-18,1558.99,1564.18,1544.82,1547.71,4.12,52.72
2014-06-19,1546.33,1551.71,1493.96,1504.25,5.45,61.34
2014-06-20,1502.95,1520.49,1495.77,1519.81,3.42,37.83
2014-06-23,1521.93,1547.19,1521.74,1538.62,3.68,43.68
2014-06-24,1538.39,1550.56,1538.16,1550.37,4.1,41.66
2014-06-25,1549.01,1549.01,1532.83,1543.63,3.51,35.56
2014-06-26,1544.01,1578.56,1543.99,1573.35,4.76,53.7
2014-06-27,1578.26,1599.83,1578.14,1591.63,5.53,65.48
2014-06-30,1600.8,1611.75,1591.71,1611.44,6.34,72.68
2014-07-01,1615.78,1623.84,1605.87,1622.38,6.01,74.75
2014-07-02,1625.51,1637.28,1612.36,1632.51,5.85,73.17
2014-07-03,1631.85,1648.68,1623.21,1641.05,5.34,65.45
2014-07-04,1641.16,1641.51,1625.94,1633.36,4.8,60.87
2014-07-07,1634.85,1647.54,1630.02,1647.54,5.23,65.99
2014-07-08,1645.27,1660.7,1630.2,1660.7,4.83,63.24
2014-07-09,1661.63,1671.11,1635.93,1637.13,6.58,85.43
2014-07-10,1636.55,1652.07,1634.63,1637.9,6.45,78.98
2014-07-11,1634.55,1655.28,1631.97,1647.24,5.39,65.43
2014-07-14,1649.97,1664.06,1649.52,1662.11,5.08,59.43
2014-07-15,1663.74,1663.74,1630.69,1640.16,6.86,83.2
2014-07-16,1637.48,1642.24,1615.99,1619.1,5.92,68.51
2014-07-17,1616.23,1617.77,1596.28,1605.87,3.95,47.97
2014-07-18,1598.07,1615.67,1597.69,1603.76,3.53,41.68
2014-07-21,1602.75,1607.43,1585.63,1597.67,3.31,38.7
2014-07-22,1595.12,1620.8,1593.79,1620.15,4.22,45.81
2014-07-23,1618.14,1618.14,1585.48,1592.44,4.48,51.79
2014-07-24,1589.31,1594.99,1564.31,1579.4,4.83,53.2
2014-07-25,1579.64,1596.56,1578.63,1596.56,4.71,45.14
2014-07-28,1602.11,1622.58,1599.76,1620.62,5.98,61.65
2014-07-29,1623.32,1643.73,1623.32,1631.73,6.23,67.52
2014-07-30,1632.79,1648.95,1626.16,1648.2,6.29,66.63
2014-07-31,1647.08,1650.88,1636.51,1650.88,4.95,56.53
2014-08-01,1643.3,1648.24,1619.87,1619.87,6.06,65.82
2014-08-04,1620.46,1646.59,1620.45,1646.56,5.51,53.69
2014-08-05,1647.73,1664.07,1641.02,1663.6,5.62,66.23
2014-08-06,1660.76,1668.09,1650.5,1662.64,4.76,55.55
2014-08-07,1662.14,1669.76,1643.59,1644.38,5.49,58.96
2014-08-08,1648.61,1665.3,1648.47,1662.46,4.65,52.69
2014-08-11,1664.21,1682.59,1664.0,1682.07,5.57,63.06
2014-08-12,1684.1,1688.92,1677.15,1687.01,6.45,72.1
2014-08-13,1684.29,1684.6,1657.79,1682.01,5.52,64.28
2014-08-14,1680.98,1690.83,1668.19,1669.74,6.3,66.59
2014-08-15,1667.14,1694.59,1666.93,1694.59,7.15,73.79
2014-08-18,1698.28,1727.95,1698.22,1727.95,7.69,92.5
2014-08-19,1730.59,1743.88,1723.43,1739.59,8.74,105.61
2014-08-20,1737.24,1737.29,1720.29,1724.86,6.52,77.93
2014-08-21,1728.72,1729.29,1709.59,1728.45,6.29,77.27
2014-08-22,1729.92,1746.82,1725.79,1744.11,6.31,83.17
2014-08-25,1743.07,1744.11,1710.85,1715.08,6.39,73.03
2014-08-26,1711.42,1715.08,1673.83,1679.84,5.7,66.63
2014-08-27,1678.83,1699.17,1678.83,1691.06,4.26,49.82
2014-08-28,1690.72,1693.24,1669.36,1674.64,4.33,51.03
2014-08-29,1674.1,1699.82,1674.1,1699.82,4.39,45.12
2014-09-01,1704.89,1732.11,1704.84,1731.6,5.56,66.4
2014-09-02,1737.78,1761.08,1737.78,1760.99,7.82,96.18
2014-09-03,1765.47,1776.89,1756.95,1773.26,8.92,103.87
2014-09-04,1776.78,1807.07,1772.42,1801.93,9.18,116.25
2014-09-05,1807.81,1809.59,1789.26,1805.42,7.29,95.48
2014-09-09,1808.47,1819.0,1792.19,1814.83,7.21,99.71
2014-09-10,1808.89,1832.5,1795.84,1827.91,7.92,101.71
2014-09-11,1828.05,1847.29,1806.88,1818.36,8.15,109.02
2014-09-12,1816.84,1843.84,1814.9,1843.84,6.53,85.86
2014-09-15,1843.73,1860.84,1839.25,1857.64,7.25,98.49
2014-09-16,1857.7,1857.74,1787.04,1789.14,10.76,126.43
2014-09-17,1788.99,1802.76,1772.19,1801.1,6.56,76.44
2014-09-18,1801.64,1817.7,1796.77,1815.67,5.56,71.42
2014-09-19,1818.83,1844.31,1813.96,1840.54,6.76,83.81
2014-09-22,1843.13,1850.79,1830.72,1836.39,7.82,98.6
2014-09-23,1839.3,1865.65,1839.04,1864.59,6.26,81.11
2014-09-24,1861.45,1894.43,1859.53,1894.22,7.63,99.14
2014-09-25,1902.84,1912.1,1886.92,1893.75,7.91,105.7
2014-09-26,1897.05,1913.65,1883.44,1910.22,7.67,100.07
2014-09-29,1921.78,1937.98,1921.78,1933.59,8.28,108.51
2014-09-30,1939.29,1945.09,1929.43,1943.96,6.88,90.33
2014-10-08,1951.38,1971.13,1942.48,1971.13,7.28,92.07
2014-10-09,1984.24,1986.97,1952.37,1976.46,9.22,117.12
2014-10-10,1971.72,1974.84,1950.83,1963.86,9.17,122.91
2014-10-13,1954.3,1954.3,1920.95,1951.92,7.57,104.49
2014-10-14,1945.3,1969.04,1930.55,1942.26,7.0,96.35
2014-10-15,1937.63,1948.67,1923.08,1948.67,6.32,81.72
2014-10-16,1934.39,1954.15,1915.56,1915.56,7.72,85.99
2014-10-17,1909.49,1920.84,1860.09,1887.17,7.28,83.42
2014-10-20,1890.61,1915.21,1890.56,1915.21,4.97,60.56
2014-10-21,1918.78,1930.77,1902.12,1902.88,6.08,72.06
2014-10-22,1903.74,1918.12,1883.43,1884.57,4.96,61.35
2014-10-23,1881.19,1889.84,1855.92,1872.96,4.82,58.32
2014-10-24,1875.79,1884.81,1863.54,1869.24,3.83,52.94
2014-10-27,1863.12,1878.91,1849.18,1876.08,3.9,51.13
2014-10-28,1881.09,1915.39,1880.96,1915.39,5.22,69.7
2014-10-29,1920.78,1941.64,1917.45,1930.06,7.68,97.82
2014-10-30,1929.8,1939.77,1921.66,1929.5,7.77,84.94
2014-10-31,1933.44,1937.78,1914.37,1927.05,8.43,86.18
2014-11-03,1932.11,1941.1,1927.92,1938.71,8.15,80.28
2014-11-04,1940.19,1942.37,1921.23,1931.78,9.04,90.55
2014-11-05,1926.96,1932.67,1922.26,1926.92,5.85,64.71
2014-11-06,1925.94,1945.21,1919.32,1944.79,6.22,68.97
2014-11-07,1948.46,1952.53,1919.44,1925.23,7.32,87.03
2014-11-10,1929.21,1932.96,1915.09,1931.55,7.09,72.81
2014-11-11,1943.47,1945.22,1878.66,1895.65,12.56,117.17
2014-11-12,1888.63,1912.35,1885.46,1912.13,7.54,84.99
2014-11-13,1909.84,1910.44,1863.98,1874.39,8.69,91.85
2014-11-14,1877.2,1887.87,1869.04,1884.03,6.46,77.35
2014-11-17,1891.13,1913.34,1876.37,1904.8,7.34,81.43
2014-11-18,1903.84,1911.22,1898.34,1906.44,6.21,70.87
2014-11-19,1905.11,1936.22,1903.1,1926.69,6.69,85.95
2014-11-20,1922.05,1927.03,1916.32,1918.97,5.06,66.2
2014-11-21,1917.08,1931.75,1917.08,1931.33,5.85,71.11
2014-11-24,1944.42,1950.02,1930.13,1948.75,9.5,101.98
2014-11-25,1948.14,1989.47,1947.29,1987.63,9.84,120.03
2014-11-26,1993.13,2000.81,1979.35,1995.08,8.73,110.49
2014-11-27,1998.66,2003.87,1980.45,1994.99,8.6,103.75
2014-11-28,1998.05,2012.13,1986.91,2002.4,13.13,134.86
2014-12-01,2005.72,2017.44,1975.28,1988.11,14.05,147.63
2014-12-02,1985.89,2013.37,1981.32,2013.37,10.61,113.34
2014-12-03,2015.81,2033.48,1994.78,2033.3,13.22,143.32
2014-12-04,2037.26,2084.63,2037.15,2080.5,14.83,153.74
2014-12-05,2079.19,2086.22,1999.07,2055.42,17.26,184.48
2014-12-08,2052.54,2103.6,2045.84,2103.01,15.78,172.16
2014-12-09,2098.36,2115.34,1988.82,1993.77,19.02,202.05
2014-12-10,1988.01,2066.37,1988.01,2064.67,11.31,121.75
2014-12-11,2052.29,2077.25,2038.91,2060.99,9.3,107.38
2014-12-12,2065.36,2084.49,2065.32,2083.39,8.12,99.67
2014-12-15,2071.88,2113.02,2065.83,2109.52,9.69,117.45
2014-12-16,2110.61,2114.36,2086.74,2105.1,10.15,107.2
2014-12-17,2105.5,2112.77,2088.34,2106.67,12.15,149.68
2014-12-18,2104.18,2127.24,2098.75,2110.61,10.74,123.21
