date,open,high,low,close,volume,amount
2014-02-21,2069.85,2076.96,2037.83,2049.03,9.46,62.31
2014-02-24,2031.78,2031.78,1983.27,1994.13,12.89,82.76
2014-02-25,1994.3,2007.3,1964.31,1969.95,10.93,67.95
2014-02-26,1960.4,1986.42,1960.39,1976.77,8.54,51.2
2014-02-27,1981.19,2020.41,1963.1,2005.24,13.35,83.44
2014-02-28,1993.33,2007.53,1967.79,1993.5,9.43,58.06
2014-03-03,1984.57,1985.43,1971.98,1979.15,9.67,57.31
2014-03-04,1971.99,1999.99,1956.78,1992.31,9.75,60.88
2014-03-05,1991.76,1994.88,1962.08,1963.5,7.52,47.86
2014-03-06,1961.61,1993.77,1953.67,1982.85,10.56,62.15
2014-03-07,1979.9,2007.48,1971.61,1976.56,9.65,58.55
2014-03-10,1963.95,1964.71,1915.41,1917.13,10.92,65.9
2014-03-11,1914.61,1931.55,1907.41,1917.14,7.88,45.87
2014-03-12,1915.34,1955.71,1907.68,1940.9,11.52,68.99
2014-03-13,1958.62,2009.08,1949.39,1968.8,15.53,86.66
2014-03-14,1957.95,1973.86,1934.36,1951.89,11.68,67.12
2014-03-17,1960.91,1964.12,1939.24,1952.78,6.91,35.53
2014-03-18,1958.84,1959.15,1936.0,1939.84,8.19,51.24
2014-03-19,1931.6,1931.6,1908.76,1929.54,6.92,41.52
2014-03-20,1923.09,1952.37,1920.15,1920.96,8.85,54.81
2014-03-21,1916.5,2022.49,1916.5,2016.34,24.78,162.14
2014-03-24,2022.25,2042.24,2012.0,2027.42,21.11,142.87
2014-03-25,2022.95,2028.77,2001.55,2007.74,9.91,66.67
2014-03-26,2013.5,2020.49,1999.96,2007.55,7.47,48.12
2014-03-27,2004.81,2063.9,1994.02,2028.72,14.6,101.54
2014-03-28,2025.13,2064.21,2024.16,2043.06,13.87,86.05
2014-03-31,2039.06,2049.93,2014.86,2031.17,9.88,60.55
2014-04-01,2023.68,2041.58,2017.43,2029.7,7.52,49.61
2014-04-02,2030.17,2060.32,2025.92,2052.74,9.94,67.4
2014-04-03,2058.1,2063.62,2020.22,2023.06,11.66,69.39
2014-04-04,2013.27,2042.76,2009.58,2040.59,6.71,44.1
2014-04-08,2042.88,2138.4,2042.88,2118.0,24.86,181.35
2014-04-09,2115.06,2119.92,2100.02,2107.04,10.91,76.2
2014-04-10,2108.74,2154.14,2096.34,2129.47,16.54,116.22
2014-04-11,2120.58,2142.73,2112.41,2132.67,14.36,96.28
