date,open,high,low,close,volume,amount
2014-02-21,997.86,998.7,981.99,989.24,9.63,111.29
2014-02-24,981.28,981.28,965.27,974.47,9.29,108.67
2014-02-25,974.59,977.89,945.03,946.67,9.55,111.29
2014-02-26,941.1,946.27,932.37,943.78,7.45,84.86
2014-02-27,949.86,953.12,940.34,945.4,7.94,93.69
2014-02-28,944.97,974.6,939.71,971.61,11.91,127.8
2014-03-03,965.17,967.99,957.91,962.89,9.04,89.15
2014-03-04,961.64,965.84,955.84,963.03,8.41,89.08
2014-03-05,966.65,966.65,951.09,952.72,7.24,78.46
2014-03-06,951.09,965.24,940.27,960.73,8.85,93.85
2014-03-07,955.32,968.22,948.89,950.85,7.34,81.76
2014-03-10,939.68,939.8,917.48,917.65,8.05,87.41
2014-03-11,915.09,924.32,910.97,919.7,6.58,71.4
2014-03-12,916.07,924.97,908.1,916.72,7.55,76.43
2014-03-13,920.06,935.02,917.58,926.83,7.46,75.13
2014-03-14,922.04,928.94,917.29,921.47,5.78,64.57
2014-03-17,925.45,926.93,917.07,926.78,5.49,60.84
2014-03-18,927.82,930.45,921.74,921.96,5.59,59.61
2014-03-19,918.92,918.92,907.47,914.18,4.82,52.74
2014-03-20,913.62,924.68,904.14,904.14,5.56,63.63
2014-03-21,901.09,944.82,900.52,942.58,11.5,126.92
2014-03-24,943.76,966.77,939.71,958.12,13.76,146.26
2014-03-25,952.85,965.7,950.82,953.21,9.61,101.93
2014-03-26,962.04,964.78,946.75,948.61,7.17,77.16
2014-03-27,946.91,958.62,933.59,943.34,9.17,100.71
2014-03-28,940.98,949.88,936.53,941.39,7.86,85.91
2014-03-31,944.45,945.99,931.05,935.77,5.32,58.0
2014-04-01,936.34,950.87,935.75,944.74,4.94,58.84
2014-04-02,946.04,954.13,944.18,954.08,5.55,68.55
2014-04-03,958.69,973.54,955.12,955.36,8.8,100.22
2014-04-04,950.43,965.49,949.68,965.49,5.93,63.97
2014-04-08,962.23,993.96,961.41,991.02,12.65,143.99
2014-04-09,991.93,993.97,981.4,985.1,7.5,87.13
2014-04-10,986.06,1052.09,981.42,1036.82,22.6,283.89
2014-04-11,1035.6,1043.63,1019.82,1023.42,15.19,196.39
2014-04-14,1022.37,1027.3,1009.51,1017.5,7.93,97.4
2014-04-15,1012.33,1012.33,993.41,995.52,8.88,102.16
2014-04-16,993.33,1011.7,993.33,1001.62,8.84,90.94
2014-04-17,1006.22,1007.68,993.65,996.98,7.46,77.83
2014-04-18,991.28,1005.48,986.09,1000.59,7.45,78.15
2014-04-21,995.89,1007.88,977.89,977.89,8.89,93.06
2014-04-22,975.54,985.47,967.32,985.47,8.64,89.87
2014-04-23,981.49,984.57,974.43,976.95,5.64,60.18
2014-04-24,975.63,986.55,973.95,979.16,5.34,64.01
2014-04-25,981.14,984.84,967.4,967.53,6.17,65.88
2014-04-28,965.26,969.5,949.45,950.24,6.67,71.2
2014-04-29,952.67,970.17,949.29,969.22,6.43,67.54
2014-04-30,968.6,970.23,964.32,968.34,4.8,50.73
2014-05-05,964.45,975.78,959.16,974.39,5.12,59.53
2014-05-06,970.14,982.99,969.77,975.11,5.46,57.62
2014-05-07,971.13,978.77,968.85,971.1,5.53,62.48
2014-05-08,969.46,994.96,967.0,974.56,7.73,81.23
2014-05-09,976.08,980.75,967.19,976.96,6.74,69.16
2014-05-12,992.38,1008.45,983.67,1003.73,13.83,146.69
2014-05-13,1001.36,1005.99,994.54,999.06,7.31,79.98
2014-05-14,1000.86,1007.5,997.64,1000.77,6.38,70.88
2014-05-15,1001.06,1002.43,980.7,982.09,7.08,74.92
2014-05-16,984.08,985.61,968.11,974.92,6.68,71.02
2014-05-19,971.16,971.18,950.66,953.21,6.44,72.98
2014-05-20,960.54,963.88,953.41,956.68,4.22,46.96
2014-05-21,951.91,966.96,947.29,966.43,5.05,54.89
2014-05-22,965.87,980.02,963.23,964.17,5.81,63.71
2014-05-23,964.24,972.55,963.61,972.54,4.31,47.11
2014-05-26,977.43,978.29,966.15,970.97,4.51,49.3
2014-05-27,970.19,972.95,964.24,964.32,4.24,49.88
2014-05-28,965.15,982.26,962.05,981.13,7.4,83.75
2014-05-29,980.41,983.47,971.58,971.59,5.99,69.2
2014-05-30,972.39,980.57,966.96,973.29,5.65,64.47
2014-06-03,974.53,982.86,969.79,969.79,5.17,61.61
2014-06-04,969.1,969.1,955.37,959.82,4.75,53.39
2014-06-05,958.76,971.58,958.13,971.3,4.48,55.89
2014-06-06,971.28,971.28,958.48,964.54,4.52,53.57
2014-06-09,959.56,974.46,958.45,963.27,4.27,52.25
2014-06-10,967.28,982.19,965.32,981.75,7.48,92.28
2014-06-11,976.72,979.61,970.92,974.28,4.97,57.92
2014-06-12,973.02,976.9,970.16,971.41,4.37,56.1
2014-06-13,970.97,991.69,970.97,986.59,7.51,93.89
2014-06-16,986.89,997.26,985.96,993.78,7.0,88.28
2014-06-17,990.19,990.24,980.45,981.19,5.16,64.36
2014-06-18,981.54,984.73,975.39,975.7,4.27,50.01
2014-06-19,977.28,980.44,956.69,959.28,6.16,70.74
2014-06-20,960.22,964.44,957.25,964.44,4.45,50.66
2014-06-23,964.36,971.34,960.43,960.59,3.66,44.85
2014-06-24,961.32,967.32,959.3,967.2,3.59,44.68
2014-06-25,965.68,965.68,957.11,959.07,3.14,36.59
2014-06-26,960.31,971.58,960.28,967.97,5.61,59.87
2014-06-27,964.96,966.35,957.7,962.63,5.09,58.71
2014-06-30,965.44,976.04,965.43,971.39,6.57,72.19
2014-07-01,975.07,976.59,966.55,969.23,4.83,54.98
2014-07-02,969.86,977.27,968.96,976.29,6.07,67.89
2014-07-03,975.63,982.3,973.57,978.96,5.96,66.26
2014-07-04,979.38,986.24,979.38,981.22,5.25,60.05
2014-07-07,981.24,986.59,979.64,983.31,4.95,56.72
2014-07-08,981.88,984.0,976.8,982.77,4.69,51.73
2014-07-09,981.98,986.8,969.4,969.4,6.92,73.54
2014-07-10,971.16,972.57,964.64,966.41,5.83,63.56
2014-07-11,967.04,975.12,965.52,970.95,4.52,48.11
2014-07-14,972.34,985.09,971.05,985.07,6.81,73.29
2014-07-15,983.39,986.14,978.85,983.43,5.5,62.79
2014-07-16,983.18,990.52,978.45,980.1,5.17,59.6
2014-07-17,978.7,979.11,972.96,977.72,4.42,50.07
2014-07-18,972.95,986.7,971.06,981.58,6.29,69.35
2014-07-21,981.96,984.96,977.03,979.0,5.35,56.12
2014-07-22,978.04,995.38,977.98,994.19,9.28,104.09
2014-07-23,993.84,1011.26,993.84,1006.07,10.86,126.89
2014-07-24,1006.19,1039.46,1006.19,1034.1,20.46,214.87
2014-07-25,1036.49,1044.74,1031.15,1044.74,15.61,153.56
2014-07-28,1056.44,1100.29,1056.44,1086.28,31.8,336.05
2014-07-29,1085.76,1093.02,1080.28,1088.67,19.58,196.59
2014-07-30,1087.58,1099.39,1085.89,1089.48,18.14,194.81
2014-07-31,1090.26,1105.6,1083.97,1105.6,17.87,195.12
2014-08-01,1100.43,1109.06,1082.89,1083.07,18.2,195.06
2014-08-04,1090.32,1122.36,1087.65,1122.36,22.01,239.87
2014-08-05,1122.09,1123.08,1103.67,1114.08,16.96,182.43
2014-08-06,1108.04,1115.01,1093.86,1109.03,17.23,188.94
2014-08-07,1109.03,1109.03,1084.84,1085.44,15.75,173.17
2014-08-08,1089.52,1092.55,1079.91,1084.74,12.49,133.72
2014-08-11,1089.01,1109.16,1087.79,1104.83,13.84,155.94
2014-08-12,1101.98,1102.37,1091.19,1097.16,11.52,126.94
2014-08-13,1097.18,1110.21,1090.81,1108.05,14.18,158.18
2014-08-14,1109.69,1110.91,1091.9,1092.69,12.45,143.72
2014-08-15,1094.11,1117.61,1089.57,1115.07,16.38,182.92
2014-08-18,1117.44,1124.86,1110.34,1116.53,13.73,151.95
2014-08-19,1117.69,1117.69,1098.5,1107.98,12.84,143.9
2014-08-20,1105.36,1108.88,1098.82,1101.97,11.8,131.61
2014-08-21,1102.51,1103.94,1082.3,1089.63,12.61,140.71
2014-08-22,1088.88,1097.66,1087.93,1097.26,10.29,115.77
2014-08-25,1098.27,1098.35,1079.36,1080.2,10.04,110.87
2014-08-26,1078.38,1084.54,1066.84,1070.91,9.23,98.04
2014-08-27,1071.97,1079.39,1070.3,1071.15,6.49,70.65
2014-08-28,1072.34,1080.74,1067.45,1068.33,7.3,86.71
2014-08-29,1072.55,1080.96,1068.39,1080.96,6.33,71.3
2014-09-01,1082.23,1086.77,1078.41,1086.64,7.29,84.75
2014-09-02,1088.39,1106.77,1082.36,1105.97,15.69,175.35
2014-09-03,1106.98,1116.96,1106.86,1110.86,14.08,163.8
2014-09-04,1113.64,1128.76,1110.63,1128.54,15.28,176.15
2014-09-05,1134.1,1145.64,1129.01,1136.36,16.85,191.74
2014-09-09,1137.02,1139.49,1123.3,1125.05,11.05,129.58
2014-09-10,1118.31,1118.82,1110.91,1114.36,9.6,111.15
2014-09-11,1113.05,1138.08,1111.75,1114.31,16.18,190.63
2014-09-12,1109.04,1116.92,1105.26,1116.8,9.83,111.81
2014-09-15,1113.78,1116.8,1103.87,1114.48,13.4,158.27
2014-09-16,1116.88,1118.32,1088.05,1088.62,17.52,197.93
2014-09-17,1093.86,1097.55,1084.73,1092.38,10.47,115.22
2014-09-18,1089.81,1105.42,1085.49,1097.48,12.28,123.24
2014-09-19,1098.58,1107.95,1095.04,1105.75,9.69,100.59
2014-09-22,1101.92,1101.92,1079.15,1081.09,11.09,120.15
2014-09-23,1081.38,1096.99,1080.79,1094.73,12.16,118.83
2014-09-24,1089.83,1137.32,1089.02,1133.07,28.13,282.84
2014-09-25,1139.26,1142.08,1120.58,1124.64,23.96,240.06
2014-09-26,1120.29,1128.96,1116.09,1124.32,13.85,141.28
2014-09-29,1130.18,1135.76,1123.69,1131.49,18.04,190.04
2014-09-30,1135.01,1136.08,1127.95,1130.29,12.95,154.49
2014-10-08,1134.48,1138.36,1124.42,1138.36,12.92,152.13
2014-10-09,1139.12,1146.07,1129.01,1135.77,14.22,160.03
2014-10-10,1129.76,1138.8,1123.7,1129.1,15.21,172.25
2014-10-13,1121.94,1121.94,1109.09,1117.46,11.71,137.78
2014-10-14,1114.7,1126.52,1110.46,1114.18,12.19,138.92
2014-10-15,1115.89,1148.68,1114.3,1144.6,23.79,253.67
2014-10-16,1134.03,1154.11,1131.85,1131.85,21.37,229.14
2014-10-17,1134.34,1147.15,1120.95,1142.97,21.0,226.35
2014-10-20,1147.31,1153.84,1141.21,1146.68,16.39,186.64
2014-10-21,1145.91,1158.37,1139.89,1140.34,18.53,207.01
2014-10-22,1141.42,1156.81,1135.48,1135.94,15.05,181.01
2014-10-23,1131.64,1143.2,1124.79,1125.89,13.06,161.41
2014-10-24,1127.56,1131.63,1118.95,1121.57,10.24,118.34
2014-10-27,1102.17,1102.17,1088.65,1090.92,14.04,153.71
2014-10-28,1093.37,1122.53,1093.37,1122.53,14.84,166.57
2014-10-29,1130.75,1167.55,1127.86,1153.39,25.65,303.09
2014-10-30,1152.3,1160.43,1148.89,1155.88,18.02,205.73
2014-10-31,1162.2,1198.62,1160.51,1188.46,31.06,366.55
2014-11-03,1193.3,1204.05,1181.42,1186.11,27.28,301.13
2014-11-04,1182.06,1190.09,1178.02,1182.84,19.58,216.88
2014-11-05,1185.69,1211.43,1176.74,1198.42,29.14,322.45
2014-11-06,1197.52,1201.0,1180.89,1193.37,22.96,253.77
2014-11-07,1196.24,1247.74,1194.61,1219.65,47.65,519.65
2014-11-10,1249.33,1260.49,1223.6,1258.24,41.9,509.03
2014-11-11,1274.15,1306.66,1241.7,1263.17,57.59,730.73
2014-11-12,1251.29,1307.57,1247.45,1307.46,38.04,460.39
2014-11-13,1308.33,1333.6,1299.1,1303.28,44.53,588.26
2014-11-14,1291.96,1302.42,1275.19,1299.1,29.36,380.87
2014-11-17,1319.72,1319.72,1275.76,1277.11,26.77,351.1
2014-11-18,1271.6,1279.94,1256.07,1259.19,19.73,249.83
2014-11-19,1257.25,1269.21,1254.11,1255.14,16.48,203.57
2014-11-20,1254.57,1282.41,1254.02,1275.15,18.85,244.51
2014-11-21,1274.25,1341.74,1266.84,1338.04,41.85,533.74
2014-11-24,1377.75,1435.84,1371.47,1416.87,61.15,877.99
2014-11-25,1412.7,1435.92,1405.49,1422.58,37.94,527.21
2014-11-26,1434.53,1500.53,1422.58,1492.75,48.61,731.74
2014-11-27,1511.15,1565.24,1492.4,1563.28,58.59,911.59
2014-11-28,1557.92,1576.22,1529.93,1562.07,55.99,870.31
2014-12-01,1597.31,1620.22,1560.23,1577.82,56.91,961.71
2014-12-02,1556.83,1715.96,1553.05,1697.78,63.1,1080.21
2014-12-03,1714.65,1803.15,1673.04,1717.99,75.1,1372.39
2014-12-04,1711.96,1864.56,1710.32,1864.06,62.57,1200.34
2014-12-05,1932.81,2003.8,1863.98,1970.66,85.48,1787.14
2014-12-08,1963.71,2150.42,1963.71,2138.65,74.88,1694.59
2014-12-09,2135.62,2288.94,1988.64,2047.48,100.79,2441.16
2014-12-10,2050.31,2116.93,1910.26,2059.65,83.37,1800.57
2014-12-11,1986.34,2042.46,1928.81,1929.0,59.48,1254.03
2014-12-12,1908.16,2043.37,1908.16,1964.88,59.9,1248.6
2014-12-15,1951.4,2027.42,1937.88,2021.01,45.14,946.42
2014-12-16,2038.25,2198.44,2025.62,2198.15,78.57,1794.85
2014-12-17,2266.63,2312.97,2154.3,2279.57,86.46,2090.97
2014-12-18,2245.24,2279.83,2192.04,2194.38,54.31,1370.37
2014-12-19,2203.95,2226.38,2077.86,2176.68,51.55,1229.01
2014-12-22,2158.91,2209.22,2104.54,2146.62,45.36,1095.62
2014-12-23,2134.15,2219.57,2120.89,2155.27,37.22,937.95
2014-12-24,2183.12,2190.19,1987.69,2013.56,44.75,1053.07
2014-12-25,2027.59,2113.25,1991.48,2103.55,43.0,985.51
2014-12-26,2111.11,2287.94,2107.43,2283.59,63.97,1538.13
2014-12-29,2365.44,2370.98,2243.5,2289.96,61.43,1625.64
2014-12-30,2284.57,2381.9,2237.85,2336.3,51.78,1327.26
2014-12-31,2335.21,2425.36,2307.95,2370.52,52.38,1329.38
2015-01-05,2398.25,2416.99,2333.98,2384.07,49.13,1286.03
