date,open,high,low,close,volume,amount
2014-02-21,997.46,1001.31,984.59,993.69,12.88,141.49
2014-02-24,990.02,990.11,974.93,988.62,13.36,156.26
2014-02-25,988.55,995.89,942.92,947.56,17.08,208.71
2014-02-26,940.95,948.68,927.79,948.62,11.77,133.55
2014-02-27,949.72,959.72,934.93,935.81,13.32,148.29
2014-02-28,933.9,949.84,925.76,949.71,11.05,120.51
2014-03-03,948.64,969.98,947.68,969.98,12.57,144.56
2014-03-04,965.17,969.92,955.26,967.41,11.98,139.1
2014-03-05,969.34,972.79,961.59,964.42,11.83,129.88
2014-03-06,961.58,965.33,948.04,963.49,10.96,123.32
2014-03-07,962.79,969.41,953.77,958.59,11.31,125.56
2014-03-10,951.6,951.66,923.55,924.72,12.49,130.65
2014-03-11,920.52,928.85,915.25,923.83,10.04,105.58
2014-03-12,921.58,929.59,909.15,923.14,9.75,105.25
2014-03-13,922.98,936.16,922.83,936.1,9.03,96.28
2014-03-14,935.54,943.77,928.99,935.63,10.65,103.53
2014-03-17,935.12,954.8,933.45,954.62,11.54,123.09
2014-03-18,956.0,964.7,955.38,959.12,13.08,137.1
2014-03-19,957.97,958.51,947.14,958.45,12.86,138.82
2014-03-20,956.68,962.25,935.71,935.71,14.68,147.33
2014-03-21,929.88,953.12,924.6,950.85,15.43,146.1
2014-03-24,952.01,956.97,946.34,954.29,14.9,138.98
2014-03-25,952.57,958.94,950.2,956.03,12.27,125.46
2014-03-26,957.32,960.33,954.39,958.3,10.11,105.73
2014-03-27,958.72,959.08,942.36,942.36,11.66,122.29
2014-03-28,939.55,941.52,922.26,924.34,11.3,117.9
2014-03-31,923.35,925.81,911.48,916.92,8.93,84.09
2014-04-01,916.23,932.86,915.91,932.72,8.97,86.05
2014-04-02,932.7,934.3,926.25,928.83,10.09,92.87
2014-04-03,933.06,935.9,923.49,927.09,11.24,103.07
2014-04-04,923.64,934.78,922.75,934.59,8.46,85.07
2014-04-08,930.09,947.35,928.96,947.35,10.75,107.4
2014-04-09,948.35,955.71,948.34,954.32,10.95,110.97
