date,open,high,low,close,volume,amount
2014-02-21,996.02,1015.05,974.68,997.49,0.27,6.0
2014-02-24,986.58,1011.78,977.75,992.19,0.25,5.64
2014-02-25,993.91,996.64,895.15,910.23,0.69,14.94
2014-02-26,905.87,911.95,859.04,899.24,0.35,7.04
2014-02-27,904.8,946.94,901.06,904.85,0.44,9.19
2014-02-28,904.57,935.33,892.71,926.41,0.25,5.29
2014-03-03,951.88,984.0,939.63,953.47,0.4,8.74
2014-03-04,949.19,980.7,939.38,966.74,0.39,8.35
2014-03-05,962.42,973.36,937.67,945.46,0.27,5.79
2014-03-06,944.33,949.33,915.29,928.0,0.21,4.54
2014-03-07,928.06,945.32,917.44,920.27,0.17,3.62
2014-03-10,902.2,909.3,871.76,889.99,0.25,4.99
2014-03-11,885.73,897.61,871.57,882.34,0.18,3.49
2014-03-12,883.62,892.08,862.31,879.48,0.18,3.44
2014-03-13,881.53,915.32,876.88,909.6,0.28,5.56
2014-03-14,904.49,907.71,884.66,892.29,0.16,3.18
2014-03-17,905.59,917.49,889.95,907.22,0.21,4.19
2014-03-18,909.44,918.02,898.55,906.26,0.21,4.25
2014-03-19,895.28,903.08,878.17,898.32,0.16,3.13
2014-03-20,892.75,897.47,859.25,859.68,0.21,3.93
2014-03-21,857.96,889.51,842.94,883.5,0.23,4.6
2014-03-24,885.54,894.7,875.24,879.57,0.16,3.16
2014-03-25,881.6,891.89,872.72,883.2,0.12,2.29
2014-03-26,883.53,889.66,868.76,878.35,0.13,2.5
2014-03-27,872.08,880.2,858.75,859.43,0.14,2.69
2014-03-28,859.59,863.98,818.73,823.53,0.25,4.58
2014-03-31,824.09,839.07,813.45,832.12,0.14,2.48
2014-04-01,833.13,844.21,824.82,841.26,0.14,2.64
2014-04-02,841.51,846.59,829.59,832.77,0.11,1.91
2014-04-03,836.73,846.1,823.63,830.67,0.16,2.78
2014-04-04,828.97,847.18,827.1,846.73,0.14,2.41
2014-04-08,845.66,910.36,842.71,895.04,0.4,7.95
2014-04-09,899.36,910.91,885.6,901.83,0.32,6.43
2014-04-10,895.62,909.27,886.77,903.47,0.11,1.82
2014-04-11,895.39,905.06,885.6,900.43,0.07,1.23
2014-04-14,894.45,909.5,887.71,903.71,0.07,1.28
2014-04-15,908.25,922.37,891.22,904.17,0.14,2.5
2014-04-16,897.96,910.21,886.54,905.11,0.07,1.25
2014-04-17,920.41,925.84,884.11,889.56,0.26,5.79
2014-04-18,883.63,901.28,880.35,897.73,0.16,3.35
2014-04-21,885.71,901.6,868.53,869.86,0.16,3.14
2014-04-22,869.65,888.26,847.33,881.49,0.2,3.85
2014-04-23,878.27,917.98,872.29,913.41,0.31,6.44
2014-04-24,914.4,921.49,888.37,890.56,0.23,4.77
2014-04-25,889.78,892.45,866.93,869.55,0.13,2.54
2014-04-28,862.79,863.73,831.55,839.78,0.16,3.12
2014-04-29,845.37,856.9,830.27,851.18,0.13,2.55
2014-04-30,848.8,862.2,847.4,853.35,0.1,2.03
2014-05-05,854.22,869.3,846.15,866.01,0.09,1.83
2014-05-06,866.01,884.95,864.28,877.26,0.14,2.87
2014-05-07,874.06,876.62,856.09,857.88,0.09,1.87
2014-05-08,855.81,884.28,853.34,869.66,0.12,2.55
2014-05-09,874.81,875.04,851.73,863.71,0.11,2.16
2014-05-12,872.6,885.58,866.21,881.68,0.2,3.94
2014-05-13,880.59,888.27,873.44,886.75,0.17,3.3
2014-05-14,884.3,890.47,878.43,879.99,0.12,2.35
2014-05-15,880.56,903.84,871.27,872.86,0.23,4.55
2014-05-16,871.97,889.77,867.29,879.69,0.15,2.99
2014-05-19,901.74,906.99,847.03,850.43,0.25,5.01
2014-05-20,849.89,865.36,832.12,859.07,0.3,5.62
2014-05-21,853.23,866.43,847.09,863.19,0.18,3.39
2014-05-22,864.82,877.72,855.59,856.92,0.23,4.27
2014-05-23,855.76,864.65,849.28,859.67,0.14,2.65
2014-05-26,871.12,875.13,854.24,860.63,0.2,3.68
2014-05-27,859.7,867.8,849.44,850.53,0.13,2.42
2014-05-28,850.52,861.74,840.63,860.65,0.21,3.93
2014-05-29,863.5,870.57,850.36,854.07,0.19,3.54
2014-05-30,859.68,888.53,853.06,881.64,0.43,7.83
2014-06-03,881.84,887.95,871.74,877.83,0.28,5.1
2014-06-04,873.57,875.58,851.43,861.37,0.21,3.89
2014-06-05,861.04,877.46,851.44,872.25,0.21,3.95
2014-06-06,872.04,876.81,854.8,862.08,0.15,2.74
2014-06-09,862.96,880.58,860.42,869.0,0.18,3.57
2014-06-10,869.0,879.82,862.01,875.22,0.18,3.38
2014-06-11,873.75,884.72,869.16,874.03,0.18,3.38
2014-06-12,878.83,922.91,877.45,908.26,0.38,7.93
2014-06-13,912.0,918.53,901.06,909.92,0.28,5.9
2014-06-16,911.12,935.84,904.66,927.85,0.38,7.85
2014-06-17,923.94,926.1,906.27,907.38,0.18,3.75
2014-06-18,920.13,948.24,907.7,914.1,0.31,6.81
2014-06-19,902.94,916.54,869.1,883.53,0.23,4.59
2014-06-20,881.6,889.67,873.53,886.81,0.1,2.03
2014-06-23,892.76,904.44,882.31,885.63,0.15,3.03
2014-06-24,887.66,916.58,878.12,913.87,0.22,4.55
2014-06-25,908.55,918.03,899.5,903.36,0.21,4.32
2014-06-26,904.29,914.51,899.65,907.38,0.17,3.46
2014-06-27,913.81,937.07,906.22,926.64,0.3,6.49
2014-06-30,931.88,1004.11,931.88,986.35,0.76,15.91
2014-07-01,998.22,999.36,958.02,964.0,0.48,10.24
2014-07-02,963.51,1004.66,957.96,975.85,0.55,11.72
2014-07-03,971.18,982.99,959.34,963.87,0.29,6.26
2014-07-04,962.37,969.12,948.33,961.36,0.23,5.01
2014-07-07,966.87,992.28,958.87,980.19,0.53,10.94
2014-07-08,979.29,1006.02,957.74,972.74,0.63,12.92
2014-07-09,964.74,1022.13,956.04,975.51,0.89,18.62
2014-07-10,970.0,988.02,950.24,955.41,0.53,10.89
2014-07-11,955.98,985.59,943.6,975.42,0.45,9.26
2014-07-14,977.91,988.55,956.58,968.33,0.39,8.2
2014-07-15,969.41,990.65,955.96,970.93,0.38,7.84
2014-07-16,968.75,970.84,921.49,925.54,0.46,9.34
2014-07-17,924.83,932.03,914.91,924.72,0.21,4.23
2014-07-18,937.39,945.63,921.67,929.26,0.23,4.58
2014-07-21,929.7,939.04,909.87,935.92,0.32,6.14
2014-07-22,930.52,943.13,921.02,935.88,0.26,5.13
