date,open,high,low,close,volume,amount
2021-12-13,2209.71,2231.07,2209.71,2226.74,10.3,106.23
2021-12-14,2223.88,2244.89,2216.01,2242.78,10.17,106.77
2021-12-15,2242.74,2274.88,2242.72,2264.18,12.69,118.16
2021-12-16,2269.81,2317.5,2269.81,2317.21,16.17,151.47
2021-12-17,2313.09,2331.79,2305.83,2313.04,15.36,140.58
2021-12-20,2310.11,2310.11,2282.5,2284.1,13.75,124.06
2021-12-21,2281.97,2316.53,2279.6,2316.07,13.12,108.81
2021-12-22,2323.09,2323.12,2295.43,2297.55,12.36,106.82
2021-12-23,2293.47,2302.31,2283.3,2296.15,12.2,108.05
2021-12-24,2295.52,2297.52,2250.0,2250.44,12.2,112.65
2021-12-27,2247.23,2282.35,2243.44,2272.03,10.21,93.23
2021-12-28,2280.22,2280.22,2257.72,2267.68,9.41,88.02
2021-12-29,2264.82,2283.58,2259.62,2274.3,10.48,97.2
2021-12-30,2271.03,2284.86,2269.05,2273.42,9.52,87.71
2021-12-31,2275.52,2301.41,2274.72,2293.17,11.29,101.95
2022-01-04,2305.25,2313.75,2297.7,2308.54,14.25,123.42
2022-01-05,2314.24,2315.99,2269.61,2285.24,12.8,118.02
2022-01-06,2276.44,2329.74,2275.87,2321.11,14.54,133.03
2022-01-07,2320.89,2322.28,2274.01,2274.01,13.64,127.8
2022-01-10,2270.95,2287.0,2256.58,2282.65,11.06,104.96
2022-01-11,2285.56,2301.86,2267.62,2270.71,11.09,112.24
2022-01-12,2277.96,2295.14,2270.54,2281.28,10.89,104.83
2022-01-13,2280.29,2280.32,2247.81,2248.12,10.77,100.35
2022-01-14,2242.66,2245.93,2214.95,2218.13,10.94,97.51
2022-01-17,2216.39,2239.24,2216.1,2237.88,9.47,86.63
2022-01-18,2238.65,2239.0,2218.55,2224.74,10.72,92.21
2022-01-19,2218.07,2228.45,2204.81,2223.79,9.07,80.39
2022-01-20,2225.6,2225.6,2173.69,2175.3,10.33,94.29
2022-01-21,2168.16,2174.17,2139.86,2143.49,7.97,68.94
2022-01-24,2140.05,2149.76,2124.2,2141.4,6.96,64.42
2022-01-25,2137.7,2138.77,2058.73,2058.73,10.64,81.48
2022-01-26,2058.75,2085.9,2058.62,2080.0,7.63,60.01
2022-01-27,2084.67,2084.7,2036.49,2036.49,8.98,67.51
2022-01-28,2051.25,2076.43,2023.52,2059.22,8.35,60.84
2022-02-07,2086.04,2106.94,2082.51,2100.25,9.28,69.06
2022-02-08,2096.93,2146.25,2095.02,2146.25,9.81,73.26
2022-02-09,2142.56,2176.29,2137.74,2175.77,10.0,77.62
2022-02-10,2202.52,2222.45,2181.15,2194.67,13.74,112.63
2022-02-11,2183.89,2197.5,2171.13,2174.36,13.26,111.84
2022-02-14,2159.07,2169.78,2142.98,2151.82,10.06,84.12
2022-02-15,2154.22,2154.22,2129.07,2145.17,8.59,68.04
2022-02-16,2152.11,2177.94,2152.11,2177.58,9.14,75.72
2022-02-17,2188.04,2246.99,2187.89,2226.41,18.72,170.17
2022-02-18,2203.88,2234.65,2198.99,2233.83,15.2,140.13
2022-02-21,2229.21,2237.23,2219.79,2237.23,12.85,111.05
2022-02-22,2221.91,2224.43,2198.86,2211.64,11.78,107.68
2022-02-23,2215.61,2226.71,2203.89,2225.69,10.57,101.61
2022-02-24,2218.68,2236.13,2143.04,2165.68,16.07,139.02
2022-02-25,2182.24,2204.2,2180.18,2195.05,10.88,95.5
2022-02-28,2199.31,2217.88,2172.96,2217.88,9.7,89.51
2022-03-01,2220.22,2231.49,2216.7,2231.14,9.9,90.84
2022-03-02,2219.85,2224.73,2211.1,2224.73,9.12,78.51
2022-03-04,2218.89,2227.47,2194.64,2200.13,12.54,100.35
2022-03-07,2193.09,2195.16,2146.97,2157.74,11.16,91.91
2022-03-08,2155.61,2155.67,2096.92,2098.09,12.63,106.08
2022-03-09,2102.11,2116.92,1998.05,2069.85,16.38,124.53
2022-03-10,2106.73,2136.42,2104.27,2116.95,15.56,123.53
2022-03-11,2094.61,2109.79,2041.58,2105.25,12.56,100.12
2022-03-14,2091.52,2091.69,2022.77,2022.77,11.44,93.73
2022-03-15,2008.56,2008.82,1904.98,1904.98,14.23,103.19
2022-03-16,1934.33,1972.11,1870.16,1964.84,13.46,98.8
2022-03-17,1986.2,2018.86,1983.46,1993.7,12.68,100.31
2022-03-18,1988.28,2025.53,1983.52,2021.99,11.43,85.41
2022-03-21,2026.57,2047.59,2009.9,2047.39,13.18,100.46
2022-03-22,2040.54,2049.67,2021.32,2037.02,10.44,86.16
2022-03-24,2017.92,2018.87,2000.74,2004.87,8.53,70.89
2022-03-25,2006.16,2014.33,1988.85,1990.71,8.72,68.66
2022-03-28,1979.77,1999.29,1956.85,1988.89,8.24,62.44
2022-03-29,1991.73,1992.11,1961.94,1968.89,8.02,66.28
2022-03-30,1978.57,2000.06,1973.13,2000.06,7.37,63.39
2022-04-01,1997.02,2005.97,1991.06,2003.8,10.65,81.69
2022-04-06,1997.23,2018.74,1991.71,2018.74,10.16,79.16
2022-04-07,2013.03,2015.51,1970.95,1970.95,8.68,69.06
2022-04-08,1970.59,1981.93,1944.98,1973.03,10.39,83.24
2022-04-11,1971.51,1971.51,1902.54,1910.53,10.51,82.21
2022-04-12,1910.35,1936.62,1890.22,1936.62,9.11,76.12
2022-04-13,1929.64,1929.88,1901.0,1901.0,8.5,80.95
2022-04-15,1909.33,1909.43,1866.07,1870.52,9.0,74.72
2022-04-18,1861.61,1870.93,1832.58,1868.81,7.66,59.98
2022-04-19,1865.0,1890.89,1865.0,1887.57,7.51,59.52
2022-04-20,1887.79,1889.47,1852.85,1871.35,9.23,71.51
2022-04-21,1861.86,1863.38,1790.2,1794.27,10.46,75.85
2022-04-22,1779.25,1796.4,1762.19,1781.36,8.62,62.78
2022-04-25,1759.8,1759.85,1651.93,1651.93,11.73,79.18
2022-04-26,1656.96,1675.35,1612.49,1617.11,9.76,65.63
2022-04-27,1601.04,1663.08,1589.61,1663.05,10.56,74.09
2022-04-28,1652.15,1666.38,1612.83,1634.75,8.72,62.79
2022-04-29,1644.16,1704.53,1643.79,1700.22,10.04,72.83
