date,open,high,low,close,volume,amount
2021-12-13,8193.55,8233.09,8148.55,8179.52,1.9,49.34
2021-12-14,8199.7,8199.7,8100.32,8112.6,1.59,39.53
2021-12-15,8120.74,8149.42,7964.15,7993.47,1.83,46.95
2021-12-16,8010.66,8104.9,7998.93,8060.25,1.5,40.89
2021-12-17,8031.9,8059.35,7840.27,7840.27,1.27,38.46
2021-12-20,7796.35,7828.09,7688.05,7698.44,1.4,33.41
2021-12-21,7734.9,7817.4,7719.24,7812.18,1.18,29.59
2021-12-22,7837.7,7855.71,7806.8,7822.9,1.29,27.42
2021-12-23,7827.47,7829.09,7696.9,7744.14,1.19,30.97
2021-12-24,7774.84,7784.53,7702.52,7713.71,1.2,27.94
2021-12-27,7721.27,7743.19,7642.16,7680.2,1.01,25.37
2021-12-28,7686.62,7717.64,7630.54,7697.2,0.96,26.51
2021-12-29,7707.62,7707.62,7629.4,7639.73,1.49,31.19
2021-12-30,7622.06,7749.57,7622.06,7684.98,1.61,30.01
2021-12-31,7692.85,7726.42,7660.61,7668.61,1.44,31.22
2022-01-04,7671.56,7714.47,7622.84,7648.91,1.51,35.95
2022-01-05,7648.28,7655.83,7537.77,7585.89,1.38,35.02
2022-01-06,7561.09,7561.81,7363.82,7399.01,1.56,50.73
2022-01-07,7403.38,7403.38,7243.87,7253.74,2.22,60.94
2022-01-10,7243.47,7382.43,7147.61,7379.9,2.1,57.58
2022-01-11,7357.69,7482.53,7331.25,7349.3,1.94,50.73
2022-01-12,7384.14,7458.98,7354.53,7431.07,1.69,42.08
2022-01-13,7413.3,7413.32,7262.09,7264.61,1.57,35.69
2022-01-14,7224.91,7320.09,7224.91,7255.79,1.89,44.36
2022-01-17,7244.63,7288.69,7217.21,7267.05,1.89,42.34
2022-01-18,7321.62,7326.04,7207.35,7233.28,2.29,52.67
2022-01-19,7186.48,7223.93,7134.69,7150.28,1.73,43.11
2022-01-20,7167.46,7181.72,7032.81,7038.41,1.71,38.37
2022-01-21,7025.69,7041.48,6929.1,6973.08,1.36,33.99
2022-01-24,6958.49,6999.91,6936.96,6961.89,1.04,29.75
2022-01-25,6921.4,6948.79,6758.9,6764.84,1.31,29.28
2022-01-26,6743.49,6876.23,6729.29,6790.83,1.14,23.16
2022-01-27,6786.73,6822.45,6663.09,6663.09,1.13,26.94
2022-01-28,6727.53,6746.66,6556.63,6587.9,0.98,24.63
2022-02-07,6690.91,6813.38,6690.44,6711.31,0.95,24.65
2022-02-08,6707.97,6763.26,6619.4,6763.26,0.89,23.8
2022-02-09,6765.85,6807.04,6690.36,6803.84,0.81,19.8
2022-02-10,6807.18,6807.29,6680.34,6686.19,0.89,20.58
2022-02-11,6676.35,6676.35,6475.59,6490.51,0.9,25.04
2022-02-14,6420.88,6514.49,6402.47,6485.14,0.89,22.39
2022-02-15,6484.52,6716.56,6475.48,6713.82,0.88,32.47
2022-02-16,6722.14,6818.86,6704.02,6780.93,0.91,27.02
2022-02-17,6787.63,6795.75,6741.41,6756.53,0.86,21.76
2022-02-18,6727.77,6790.88,6701.22,6773.34,0.8,17.66
2022-02-21,6771.06,6889.6,6766.37,6815.49,0.96,23.96
2022-02-22,6795.33,6795.33,6677.42,6717.42,1.14,24.55
2022-02-23,6724.68,6871.4,6724.52,6867.4,0.96,24.15
2022-02-24,6835.42,6856.27,6618.46,6675.62,1.53,32.98
2022-02-25,6731.43,6932.52,6730.84,6846.65,1.33,34.48
2022-02-28,6827.03,6870.28,6761.9,6870.28,1.17,26.01
2022-03-01,6868.05,6890.46,6843.06,6863.0,0.94,20.07
2022-03-02,6833.83,6866.95,6748.51,6856.8,1.05,20.54
2022-03-04,6707.24,6873.46,6704.66,6786.48,1.66,29.91
2022-03-07,6764.76,6781.27,6633.67,6713.06,1.72,35.75
2022-03-08,6644.98,6713.71,6475.08,6503.74,1.72,38.46
2022-03-09,6539.84,6567.64,6241.54,6456.41,1.7,38.51
2022-03-10,6616.64,6663.62,6557.5,6563.53,1.43,36.76
2022-03-11,6476.03,6520.95,6347.09,6513.34,1.42,33.5
2022-03-14,6449.71,6449.94,6253.21,6253.21,1.59,30.31
