date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.16,1.01
2000-01-04,1004.12,1028.41,993.13,1022.21,0.29,1.81
2000-01-05,1024.75,1048.14,1010.43,1022.25,0.41,2.53
2000-01-06,1021.89,1061.86,1008.39,1056.28,0.47,2.93
2000-01-07,1066.59,1110.99,1058.22,1102.06,1.25,9.29
2000-01-10,1112.79,1126.79,1080.0,1107.3,0.93,7.37
2000-01-11,1107.2,1112.23,1045.73,1057.53,0.59,4.25
2000-01-12,1048.76,1067.8,1020.4,1032.39,0.46,3.23
2000-01-13,1035.22,1073.69,1024.64,1045.07,0.5,3.33
2000-01-14,1046.71,1056.01,1020.55,1027.91,0.26,1.76
2000-01-17,1024.65,1044.3,1014.5,1039.32,0.24,1.82
2000-01-18,1039.7,1060.33,1027.06,1040.98,0.23,1.61
2000-01-19,1039.87,1081.36,1032.49,1067.94,0.52,3.94
2000-01-20,1069.34,1083.92,1049.76,1068.96,0.41,3.14
2000-01-21,1068.89,1081.29,1036.35,1055.93,0.64,4.71
2000-01-24,1056.11,1095.31,1037.9,1069.07,0.8,5.61
2000-01-25,1073.92,1103.83,1047.33,1079.05,1.19,7.67
2000-01-26,1080.49,1109.16,1062.61,1090.39,0.94,6.7
2000-01-27,1089.88,1106.09,1059.05,1077.36,0.82,5.93
2000-01-28,1078.99,1099.0,1052.69,1083.06,0.98,7.04
2000-02-14,1111.97,1180.0,1098.4,1175.3,1.6,11.74
2000-02-15,1187.44,1214.67,1118.35,1131.53,1.92,14.74
2000-02-16,1126.26,1152.98,1088.51,1128.89,1.42,10.25
2000-02-17,1138.22,1201.63,1087.66,1139.81,2.46,17.13
2000-02-18,1148.61,1163.44,1084.28,1107.09,1.09,7.58
2000-02-21,1108.04,1144.67,1083.91,1123.19,1.28,8.85
2000-02-22,1129.89,1154.91,1091.61,1097.77,0.97,6.89
2000-02-23,1091.1,1108.72,1067.51,1081.86,0.73,4.93
2000-02-24,1080.15,1104.86,1071.67,1093.77,0.63,4.17
2000-02-25,1094.98,1129.79,1073.6,1106.63,1.17,7.85
2000-02-28,1113.96,1147.2,1096.45,1134.32,1.54,11.0
2000-02-29,1153.57,1175.04,1107.45,1141.95,1.8,12.84
2000-03-01,1147.03,1178.45,1124.69,1146.87,1.2,8.9
2000-03-02,1146.77,1164.89,1120.58,1142.28,0.87,6.55
2000-03-03,1146.33,1173.52,1131.49,1152.16,1.03,7.86
2000-03-06,1161.58,1195.29,1131.99,1140.69,1.48,10.59
2000-03-07,1139.94,1176.35,1121.89,1162.22,1.83,11.46
2000-03-08,1165.27,1180.02,1129.43,1151.34,1.27,8.96
2000-03-09,1153.78,1168.79,1125.53,1146.85,1.2,8.66
2000-03-10,1146.97,1171.24,1112.5,1137.11,1.31,9.24
2000-03-13,1135.7,1175.31,1124.13,1161.63,1.38,9.56
2000-03-14,1145.47,1167.01,1102.53,1143.51,1.59,11.12
2000-03-15,1142.22,1187.6,1128.71,1161.73,1.86,11.6
2000-03-16,1149.9,1167.99,1101.91,1122.49,2.59,12.61
2000-03-17,1117.19,1160.87,1111.1,1146.79,1.79,10.29
2000-03-20,1133.98,1199.11,1124.74,1184.34,2.18,13.22
2000-03-21,1187.73,1210.6,1160.19,1187.56,2.06,13.03
2000-03-22,1187.95,1215.34,1162.23,1193.54,1.42,10.18
2000-03-23,1187.37,1221.88,1170.87,1200.47,1.51,11.21
2000-03-24,1197.09,1218.79,1167.08,1176.11,1.98,13.87
2000-03-27,1173.38,1224.23,1162.66,1212.78,1.53,11.72
2000-03-28,1222.48,1257.1,1204.89,1230.26,2.22,16.09
2000-03-29,1236.27,1254.51,1191.71,1221.2,1.46,10.27
2000-03-30,1223.92,1249.76,1202.33,1232.22,1.41,10.76
2000-03-31,1227.98,1262.42,1204.96,1238.12,2.46,16.14
2000-04-03,1241.47,1270.91,1221.69,1235.51,1.59,11.99
2000-04-04,1236.16,1250.06,1193.24,1208.87,1.75,11.35
2000-04-05,1206.83,1237.55,1190.32,1218.21,1.06,7.22
2000-04-06,1226.46,1263.64,1212.77,1246.97,1.73,11.22
2000-04-07,1257.31,1295.74,1240.2,1272.05,2.47,17.24
2000-04-10,1279.29,1315.46,1263.12,1292.96,2.16,15.52
2000-04-11,1305.67,1319.74,1261.42,1279.34,1.6,11.42
