date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.1,0.87
2000-01-04,1001.82,1036.06,989.75,1029.82,0.16,1.31
2000-01-05,1028.39,1066.16,1015.6,1032.6,0.24,1.99
2000-01-06,1028.45,1079.77,1017.04,1071.66,0.29,2.38
2000-01-07,1077.92,1131.29,1067.68,1116.23,0.7,6.19
2000-01-10,1152.61,1194.69,1130.51,1178.55,1.01,9.6
2000-01-11,1185.33,1204.64,1097.63,1115.6,0.71,6.88
2000-01-12,1110.34,1138.84,1073.64,1083.88,0.37,3.55
2000-01-13,1079.17,1104.55,1059.64,1074.29,0.2,1.73
2000-01-14,1077.67,1094.1,1050.45,1060.16,0.16,1.44
2000-01-17,1059.92,1098.71,1047.77,1088.92,0.25,2.42
2000-01-18,1092.65,1110.72,1065.9,1083.01,0.27,2.33
2000-01-19,1080.81,1109.84,1066.52,1089.33,0.2,1.71
2000-01-20,1092.25,1131.76,1078.12,1119.08,0.41,3.55
2000-01-21,1123.13,1150.9,1093.25,1111.1,0.51,5.05
2000-01-24,1110.32,1146.68,1080.86,1126.48,0.53,5.41
2000-01-25,1130.07,1162.86,1101.39,1131.02,0.45,4.44
2000-01-26,1134.0,1156.84,1112.44,1134.4,0.3,3.24
2000-01-27,1147.72,1180.11,1118.01,1149.17,0.62,8.03
2000-01-28,1153.1,1197.13,1128.89,1168.21,0.59,8.04
2000-02-14,1210.65,1277.89,1180.33,1274.65,0.77,9.56
2000-02-15,1306.14,1350.63,1240.62,1273.18,1.04,13.06
2000-02-16,1273.75,1329.85,1231.8,1282.95,1.03,13.0
2000-02-17,1306.5,1352.13,1188.66,1209.91,1.1,14.0
2000-02-18,1180.63,1251.75,1150.98,1218.87,0.56,7.56
2000-02-21,1226.0,1264.02,1183.79,1224.73,0.67,8.7
2000-02-22,1239.22,1263.05,1170.31,1181.78,0.57,7.34
2000-02-23,1165.6,1199.45,1143.35,1164.12,0.39,4.97
