date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.1,1.32
2000-01-04,1002.04,1042.27,985.23,1033.04,0.29,4.03
2000-01-05,1032.83,1053.73,1011.95,1022.01,0.32,4.38
2000-01-06,1015.94,1095.27,1005.47,1080.93,0.54,7.73
2000-01-07,1096.17,1158.53,1091.06,1147.08,1.32,20.1
2000-01-10,1168.34,1193.19,1131.68,1163.55,1.41,22.1
2000-01-11,1164.99,1170.45,1082.49,1095.61,0.85,12.1
2000-01-12,1090.98,1115.03,1051.77,1064.93,0.62,8.45
2000-01-13,1065.79,1076.81,1041.4,1051.97,0.33,4.18
2000-01-14,1053.94,1067.64,1027.63,1035.04,0.27,3.41
2000-01-17,1035.02,1063.05,1021.19,1056.72,0.38,4.2
2000-01-18,1059.77,1075.45,1035.88,1047.28,0.32,4.07
2000-01-19,1046.19,1074.19,1038.62,1059.81,0.29,4.17
2000-01-20,1065.57,1089.39,1050.15,1076.99,0.42,5.81
2000-01-21,1083.27,1112.55,1060.35,1082.81,0.6,8.52
2000-01-24,1085.45,1115.31,1063.04,1095.5,0.87,12.18
2000-01-25,1101.91,1130.06,1079.61,1099.64,0.84,10.26
2000-01-26,1101.34,1117.7,1079.42,1096.63,0.44,5.68
2000-01-27,1108.37,1131.16,1087.25,1109.53,0.68,9.58
2000-01-28,1113.51,1158.97,1091.6,1130.98,0.89,13.22
2000-02-14,1160.71,1241.2,1148.7,1238.34,1.52,22.71
2000-02-15,1251.52,1314.1,1193.32,1222.6,2.05,33.37
2000-02-16,1221.12,1255.3,1170.7,1210.59,1.42,22.0
2000-02-17,1229.43,1276.31,1131.33,1161.76,1.67,25.3
2000-02-18,1156.3,1190.03,1113.08,1171.32,0.84,11.65
2000-02-21,1173.67,1232.03,1127.96,1175.7,1.18,16.91
2000-02-22,1182.19,1202.56,1128.82,1141.3,0.78,10.11
2000-02-23,1132.12,1143.36,1102.18,1109.04,0.56,7.02
2000-02-24,1102.37,1138.46,1097.17,1128.22,0.43,6.55
2000-02-25,1130.22,1140.39,1101.5,1117.33,0.52,7.19
2000-02-28,1118.77,1167.54,1099.23,1153.57,0.8,12.15
2000-02-29,1162.85,1222.78,1127.29,1189.96,1.58,25.87
2000-03-01,1199.88,1231.0,1159.81,1175.76,1.51,23.31
2000-03-02,1174.76,1199.05,1146.05,1172.76,1.18,15.91
2000-03-03,1179.02,1230.45,1166.77,1199.11,1.45,22.3
2000-03-06,1221.36,1248.85,1160.26,1173.08,1.49,26.16
2000-03-07,1159.17,1237.35,1142.0,1227.63,1.58,26.83
2000-03-08,1244.33,1274.14,1207.19,1241.4,1.66,27.9
2000-03-09,1266.93,1312.64,1224.95,1272.97,1.73,29.41
2000-03-10,1272.45,1294.62,1220.89,1235.44,1.63,25.98
2000-03-13,1238.32,1283.66,1224.59,1255.81,1.16,19.31
2000-03-14,1217.91,1253.48,1167.33,1213.12,1.84,26.81
2000-03-15,1213.81,1237.39,1172.68,1195.0,1.49,18.92
2000-03-16,1183.66,1189.61,1122.54,1134.16,1.04,14.23
2000-03-17,1129.28,1183.21,1125.56,1173.04,1.01,14.46
2000-03-20,1164.09,1204.15,1140.8,1191.06,0.96,13.71
2000-03-21,1195.77,1222.63,1170.59,1201.22,0.86,11.85
2000-03-22,1205.46,1243.21,1191.39,1215.83,1.53,18.51
2000-03-23,1219.96,1240.14,1190.9,1224.65,1.14,14.32
2000-03-24,1232.3,1271.66,1206.71,1218.91,1.49,19.37
2000-03-27,1223.48,1259.98,1211.02,1243.49,1.03,13.64
2000-03-28,1256.77,1276.31,1223.84,1248.33,1.73,19.49
2000-03-29,1250.21,1272.56,1222.78,1247.06,0.92,12.36
2000-03-30,1254.23,1282.08,1235.03,1260.91,0.86,11.77
2000-03-31,1263.62,1286.55,1230.08,1249.55,1.12,14.39
2000-04-03,1250.77,1273.06,1230.61,1240.88,0.65,9.16
2000-04-04,1236.84,1241.94,1198.95,1211.44,0.6,8.35
2000-04-05,1211.92,1234.86,1196.27,1218.56,0.53,7.39
2000-04-06,1223.96,1250.02,1214.02,1241.43,0.58,8.19
2000-04-07,1246.3,1263.84,1228.74,1246.55,0.63,9.15
2000-04-10,1250.49,1261.57,1228.57,1243.86,0.59,8.46
2000-04-11,1244.2,1275.61,1226.8,1258.04,0.71,10.66
2000-04-12,1259.01,1280.22,1226.14,1246.95,0.77,11.78
2000-04-13,1248.33,1271.3,1233.27,1253.66,0.69,10.32
2000-04-14,1256.07,1298.42,1241.76,1273.48,0.97,15.41
2000-04-17,1273.74,1299.77,1228.41,1250.11,0.9,14.14
2000-04-18,1258.67,1281.06,1229.01,1248.36,0.19,3.25
2000-04-19,1255.99,1280.09,1239.24,1255.25,0.54,8.28
2000-04-20,1243.27,1270.67,1220.78,1251.81,0.68,11.31
2000-04-21,1251.75,1264.92,1221.08,1234.96,0.76,11.08
2000-04-24,1234.55,1246.88,1206.55,1219.0,0.58,8.05
2000-04-25,1220.22,1246.14,1202.32,1228.04,0.54,7.05
2000-04-26,1229.43,1243.7,1212.12,1227.0,0.38,5.29
2000-04-27,1229.29,1245.82,1206.12,1219.55,0.55,8.56
2000-04-28,1221.69,1251.38,1208.4,1238.94,0.56,8.8
2000-05-08,1245.2,1262.36,1219.14,1234.83,0.44,6.82
2000-05-09,1233.42,1242.95,1199.11,1212.03,0.45,6.43
2000-05-10,1196.17,1210.96,1161.36,1171.27,0.4,5.29
2000-05-11,1168.0,1185.72,1143.51,1154.74,0.32,4.4
2000-05-12,1156.52,1173.53,1138.64,1148.59,0.3,4.13
2000-05-15,1146.75,1158.54,1117.36,1129.13,0.26,3.43
2000-05-16,1131.42,1152.7,1124.16,1143.74,0.16,2.22
