date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.06,0.55
2000-01-04,1001.85,1029.11,982.99,1023.37,0.08,0.81
2000-01-05,1022.9,1054.85,1010.15,1031.92,0.12,1.15
2000-01-06,1026.58,1074.49,1013.66,1068.37,0.18,1.91
2000-01-07,1076.46,1118.43,1064.32,1103.45,0.33,3.57
2000-01-10,1116.35,1143.64,1081.79,1128.08,0.3,3.23
2000-01-11,1129.1,1138.69,1058.49,1077.84,0.22,2.31
2000-01-12,1068.27,1090.1,1032.98,1042.32,0.17,1.66
2000-01-13,1042.56,1058.1,1021.23,1035.9,0.09,0.93
2000-01-14,1037.91,1060.67,1012.81,1030.25,0.13,1.43
2000-01-17,1032.25,1060.15,1016.18,1049.38,0.15,1.98
2000-01-18,1049.43,1064.99,1031.23,1045.66,0.12,1.33
2000-01-19,1047.53,1067.97,1028.49,1052.51,0.12,1.33
2000-01-20,1056.84,1086.89,1043.73,1077.26,0.2,2.43
2000-01-21,1079.56,1101.05,1054.58,1074.77,0.27,3.08
2000-01-24,1080.83,1114.94,1043.8,1093.15,0.31,3.84
2000-01-25,1095.03,1147.97,1062.6,1097.23,0.3,2.93
2000-01-26,1099.44,1132.17,1074.03,1099.85,0.29,3.02
2000-01-27,1108.71,1143.34,1080.12,1121.62,0.31,3.87
2000-01-28,1125.7,1178.62,1105.48,1166.6,0.37,4.84
2000-02-14,1215.71,1279.2,1194.36,1278.0,0.41,4.85
2000-02-15,1329.12,1371.99,1264.95,1298.58,0.63,7.69
2000-02-16,1308.05,1363.41,1244.77,1325.12,0.78,9.48
2000-02-17,1358.65,1417.18,1237.98,1257.92,0.96,11.98
2000-02-18,1240.27,1311.33,1194.45,1293.14,0.5,6.26
2000-02-21,1306.48,1351.4,1255.12,1305.12,0.64,7.85
2000-02-22,1308.59,1359.68,1244.64,1273.18,0.47,5.99
2000-02-23,1258.2,1293.98,1205.58,1242.61,0.39,4.88
2000-02-24,1236.76,1303.69,1226.49,1296.58,0.4,5.12
2000-02-25,1301.89,1340.06,1263.3,1303.98,0.48,6.65
2000-02-28,1296.6,1376.75,1277.32,1357.05,0.52,5.53
2000-02-29,1403.45,1433.32,1322.82,1360.6,0.7,9.07
2000-03-01,1362.71,1411.89,1310.06,1350.83,0.58,6.97
2000-03-02,1350.27,1408.58,1316.32,1362.68,0.56,6.62
2000-03-03,1370.01,1429.47,1349.68,1388.71,0.67,7.97
2000-03-06,1398.77,1428.01,1309.39,1319.53,0.61,7.05
2000-03-07,1298.13,1339.15,1271.62,1322.34,0.29,3.23
2000-03-08,1326.38,1373.22,1307.09,1351.43,0.33,3.85
2000-03-09,1355.22,1408.92,1331.57,1384.37,0.38,5.06
2000-03-10,1382.03,1416.77,1337.03,1352.63,0.35,4.48
2000-03-13,1350.56,1400.16,1325.91,1382.92,0.4,4.49
2000-03-14,1326.66,1379.56,1280.37,1350.6,0.44,4.81
2000-03-15,1349.32,1395.37,1328.67,1353.87,0.38,4.08
2000-03-16,1343.51,1363.32,1267.12,1288.53,0.36,4.01
2000-03-17,1283.82,1364.68,1280.36,1347.56,0.41,4.87
2000-03-20,1337.34,1429.94,1317.12,1418.52,0.64,7.27
2000-03-21,1434.47,1468.95,1383.98,1418.8,0.82,9.8
2000-03-22,1420.49,1467.61,1381.57,1427.29,0.53,6.12
