date,open,high,low,close,volume,amount
2014-02-21,997.65,1007.01,987.36,1000.62,5.63,119.27
2014-02-24,999.21,1018.99,996.1,1017.51,6.16,136.94
2014-02-25,1017.66,1040.43,972.04,978.67,9.52,201.57
2014-02-26,967.83,967.83,934.29,959.03,6.37,133.27
2014-02-27,960.79,975.0,918.45,923.77,7.09,151.09
2014-02-28,921.08,933.47,903.98,931.63,5.35,107.18
2014-03-03,927.87,949.92,925.35,948.93,4.54,88.9
2014-03-04,946.0,951.54,931.08,942.63,4.26,91.57
2014-03-05,944.57,948.72,936.83,938.58,4.31,87.6
2014-03-06,939.19,947.15,923.11,945.06,4.55,101.65
2014-03-07,949.32,955.41,939.13,942.18,4.91,107.85
2014-03-10,928.24,928.24,895.54,896.54,5.11,100.96
2014-03-11,891.9,905.19,887.05,898.41,3.4,69.09
2014-03-12,899.4,917.59,889.65,906.57,3.9,82.62
2014-03-13,906.46,916.83,903.9,916.83,2.91,62.37
2014-03-14,913.9,927.11,911.18,920.15,2.9,66.4
2014-03-17,921.4,942.76,921.4,942.6,3.53,72.68
2014-03-18,946.28,953.8,943.42,952.35,4.43,90.89
2014-03-19,949.92,950.93,936.13,939.98,3.48,77.55
2014-03-20,938.35,944.21,903.17,903.45,4.14,90.61
2014-03-21,895.92,918.75,880.69,917.85,4.75,89.74
2014-03-24,913.9,917.23,907.99,910.39,3.25,70.09
2014-03-25,909.62,921.33,908.72,919.53,3.39,68.15
2014-03-26,921.49,928.13,920.43,926.16,3.17,66.82
2014-03-27,923.62,923.63,897.5,897.5,3.27,67.97
2014-03-28,895.81,897.79,869.26,873.41,3.42,67.43
2014-03-31,869.33,869.39,855.36,860.69,3.17,58.41
2014-04-01,856.03,873.3,855.87,871.45,2.77,52.97
2014-04-02,872.37,874.61,851.22,860.06,3.12,58.76
2014-04-03,859.26,872.16,855.92,861.42,2.78,53.22
2014-04-04,860.25,876.94,857.59,876.94,2.88,55.47
2014-04-08,869.96,882.24,867.11,882.05,3.39,64.32
2014-04-09,889.77,909.03,889.64,899.11,5.03,89.28
2014-04-10,901.02,910.43,897.85,904.22,3.74,77.0
2014-04-11,898.43,902.91,894.38,900.87,3.14,62.43
2014-04-14,903.39,911.1,903.38,908.09,3.33,67.77
2014-04-15,908.68,911.09,901.95,902.68,3.6,77.15
2014-04-16,900.61,904.57,896.93,902.56,3.19,63.63
2014-04-17,905.45,914.46,905.1,905.29,3.8,72.1
2014-04-18,903.58,913.66,901.54,910.17,3.44,67.93
2014-04-21,903.73,914.05,899.11,899.75,4.33,79.84
2014-04-22,897.3,905.52,878.74,893.0,4.73,85.08
2014-04-23,890.44,892.34,876.7,880.54,3.78,72.68
2014-04-24,880.06,882.58,865.64,875.48,4.13,76.69
2014-04-25,872.96,874.63,854.53,855.55,3.41,60.0
2014-04-28,847.93,848.93,828.41,828.52,3.83,66.91
2014-04-29,827.11,840.13,827.11,839.82,3.01,51.97
2014-04-30,841.35,857.64,840.99,852.63,3.31,62.71
2014-05-05,851.06,860.43,849.34,860.22,2.95,55.9
2014-05-06,860.2,872.88,859.24,868.34,3.5,70.34
2014-05-07,863.43,865.49,849.29,849.29,3.19,60.71
2014-05-08,845.91,860.79,844.18,847.73,3.07,53.85
2014-05-09,848.32,850.06,832.38,841.18,3.55,59.1
2014-05-12,845.65,860.13,840.82,857.34,3.68,60.97
2014-05-13,856.91,868.96,856.56,862.31,3.63,62.74
2014-05-14,861.54,866.65,856.75,859.94,3.05,49.87
2014-05-15,859.72,863.46,846.0,846.1,3.52,61.71
2014-05-16,844.0,846.86,826.99,835.87,3.1,55.01
2014-05-19,834.98,840.1,828.6,836.13,2.88,49.22
2014-05-20,841.39,851.55,840.54,842.9,3.7,65.79
2014-05-21,838.48,846.52,831.14,846.5,3.38,56.29
2014-05-22,846.59,860.72,846.58,848.85,4.42,78.12
2014-05-23,847.93,865.91,845.11,865.87,4.24,76.14
2014-05-26,868.72,880.25,868.52,880.17,5.46,95.39
2014-05-27,878.32,878.33,868.73,869.81,4.18,70.56
2014-05-28,869.68,887.05,868.41,886.1,5.33,90.59
2014-05-29,885.95,887.81,867.97,868.52,4.32,73.38
