date,open,high,low,close,volume,amount
2014-02-21,2991.2,3006.57,2953.55,2984.5,7.43,77.89
2014-02-24,2965.07,2965.12,2910.27,2944.25,7.91,93.58
2014-02-25,2945.01,2954.3,2812.86,2830.47,12.23,141.8
2014-02-26,2819.98,2886.53,2809.91,2886.53,10.73,122.31
2014-02-27,2902.14,2962.04,2864.7,2865.18,12.43,146.0
2014-02-28,2852.85,2932.15,2831.96,2929.19,9.87,118.48
2014-03-03,2937.21,2989.16,2931.18,2988.02,10.71,125.46
2014-03-04,2972.82,2982.93,2950.58,2978.01,10.66,129.53
2014-03-05,2983.91,2993.91,2947.87,2954.23,9.76,109.86
2014-03-06,2948.69,2948.92,2883.38,2930.15,8.35,99.3
2014-03-07,2925.99,2956.76,2924.01,2944.66,8.98,107.22
2014-03-10,2925.42,2925.53,2854.73,2857.32,9.28,107.87
2014-03-11,2848.12,2867.51,2813.83,2842.92,7.69,94.91
2014-03-12,2832.83,2845.86,2787.17,2842.74,8.12,95.42
2014-03-13,2839.28,2867.1,2830.04,2867.1,6.25,72.22
2014-03-14,2851.31,2863.57,2833.19,2845.57,6.26,69.29
2014-03-17,2850.52,2920.03,2850.46,2920.03,7.66,87.21
2014-03-18,2920.43,2955.26,2917.53,2927.35,8.62,97.98
2014-03-19,2918.7,2918.72,2877.65,2909.06,8.12,94.05
2014-03-20,2896.42,2911.57,2816.4,2816.4,9.0,102.38
2014-03-21,2805.08,2880.15,2783.3,2872.58,8.95,94.47
2014-03-24,2874.37,2896.75,2857.7,2892.17,8.68,89.75
2014-03-25,2885.24,2929.03,2876.09,2907.56,8.89,91.93
2014-03-26,2909.76,2939.29,2907.44,2928.69,8.84,89.63
2014-03-27,2925.91,2926.66,2885.82,2885.82,9.31,96.11
2014-03-28,2895.84,2910.84,2859.05,2862.26,10.5,109.09
2014-03-31,2861.5,2872.99,2823.91,2842.02,6.53,66.34
2014-04-01,2836.46,2870.25,2832.68,2868.84,5.22,53.63
2014-04-02,2871.62,2894.18,2871.37,2883.6,6.19,66.12
2014-04-03,2886.53,2905.44,2871.64,2882.83,6.49,72.72
2014-04-04,2880.45,2927.34,2878.01,2927.1,6.44,67.41
