date,open,high,low,close,volume,amount
2021-12-13,2414.84,2485.85,2414.8,2461.32,17.11,174.9
2021-12-14,2452.49,2452.49,2415.94,2420.94,13.13,114.54
2021-12-15,2416.25,2424.19,2412.32,2416.52,10.76,80.95
2021-12-16,2422.23,2458.42,2416.41,2458.42,16.51,102.9
2021-12-17,2458.86,2483.64,2455.08,2455.65,18.76,115.0
2021-12-20,2440.83,2454.61,2402.59,2405.59,15.97,103.09
2021-12-21,2404.22,2420.92,2399.85,2419.55,14.99,81.89
2021-12-22,2436.02,2453.38,2420.84,2428.46,19.47,99.56
2021-12-23,2432.09,2442.19,2417.01,2440.86,18.38,113.31
2021-12-24,2442.45,2442.45,2405.23,2406.85,16.45,98.79
2021-12-27,2407.0,2417.53,2400.41,2405.58,14.45,99.91
2021-12-28,2416.09,2416.18,2386.09,2409.66,14.34,103.59
2021-12-29,2404.24,2422.41,2393.07,2411.18,14.66,106.59
2021-12-30,2415.13,2425.72,2407.65,2411.22,15.66,105.51
2021-12-31,2411.56,2436.85,2402.87,2428.91,19.38,112.27
2022-01-04,2433.51,2441.38,2420.36,2436.47,18.9,114.28
2022-01-05,2433.18,2471.29,2429.06,2458.01,20.43,142.62
2022-01-06,2461.22,2502.27,2460.76,2489.91,18.23,150.2
2022-01-07,2499.42,2540.75,2486.66,2504.9,27.88,180.53
2022-01-10,2485.16,2520.11,2484.66,2515.12,22.38,159.89
2022-01-11,2513.97,2523.03,2489.1,2493.24,16.11,116.35
2022-01-12,2515.95,2527.2,2510.69,2524.99,17.74,123.57
2022-01-13,2542.92,2570.31,2529.9,2530.6,20.8,143.05
2022-01-14,2519.5,2519.51,2464.25,2464.25,18.65,119.91
2022-01-17,2468.44,2475.88,2444.21,2458.94,14.78,101.98
2022-01-18,2460.2,2485.65,2455.56,2481.58,16.53,105.76
2022-01-19,2486.31,2511.11,2463.37,2476.16,15.31,104.03
2022-01-20,2453.36,2462.84,2425.3,2432.71,15.71,102.35
2022-01-21,2410.63,2414.7,2373.91,2384.76,14.41,90.82
2022-01-24,2375.05,2418.98,2368.2,2418.98,10.56,74.51
2022-01-25,2397.0,2413.84,2347.49,2347.49,12.14,76.21
2022-01-26,2359.99,2368.55,2335.24,2359.4,11.37,67.47
2022-01-27,2361.2,2366.11,2315.56,2317.53,10.82,65.97
2022-01-28,2328.7,2339.57,2284.83,2311.33,13.91,83.25
2022-02-07,2370.31,2424.41,2370.31,2416.59,24.18,132.79
2022-02-08,2404.63,2458.7,2402.05,2456.87,25.3,133.73
2022-02-09,2434.79,2463.16,2433.0,2459.69,20.68,108.39
2022-02-10,2460.28,2503.84,2450.18,2493.9,19.44,116.5
2022-02-11,2485.26,2531.56,2485.26,2495.78,21.78,133.13
2022-02-14,2519.37,2529.99,2470.8,2484.76,21.49,139.9
2022-02-15,2479.51,2479.51,2439.67,2455.13,16.18,100.76
2022-02-16,2435.95,2468.81,2431.39,2454.53,12.73,85.05
2022-02-17,2451.26,2468.15,2433.19,2460.0,13.27,87.54
2022-02-18,2445.51,2488.78,2439.98,2488.78,11.94,86.61
2022-02-21,2489.52,2499.47,2483.31,2498.7,12.78,88.39
2022-02-22,2514.14,2528.25,2488.76,2517.7,21.69,129.83
2022-02-23,2503.72,2509.6,2470.33,2487.12,17.82,118.08
2022-02-24,2489.44,2545.62,2489.44,2519.23,41.13,244.1
2022-02-25,2499.28,2513.45,2492.34,2498.29,29.8,180.87
2022-02-28,2510.91,2530.63,2504.1,2518.27,27.3,170.38
2022-03-01,2511.63,2519.32,2473.05,2494.07,24.52,150.75
2022-03-02,2536.32,2538.88,2450.42,2469.47,34.5,240.15
2022-03-04,2479.65,2490.36,2438.79,2449.3,39.58,235.63
2022-03-07,2462.13,2462.13,2369.57,2379.38,34.22,231.24
2022-03-08,2361.1,2364.42,2273.52,2310.12,31.89,193.15
2022-03-09,2309.15,2309.15,2167.04,2242.15,28.83,179.33
2022-03-10,2249.79,2292.11,2249.79,2291.04,24.69,165.14
2022-03-11,2262.34,2280.08,2223.64,2278.1,22.31,139.11
2022-03-14,2256.46,2291.66,2225.47,2227.36,18.94,120.28
2022-03-15,2216.01,2216.09,2110.97,2112.47,25.24,146.24
2022-03-16,2142.18,2180.39,2085.23,2176.47,21.26,128.73
2022-03-17,2200.53,2240.61,2186.0,2215.46,21.03,129.84
2022-03-18,2214.26,2233.66,2203.62,2225.05,21.35,122.79
2022-03-21,2224.56,2245.5,2217.57,2233.34,17.63,108.15
2022-03-22,2235.95,2257.35,2235.89,2252.49,18.85,117.22
2022-03-24,2247.57,2247.57,2223.05,2225.78,17.02,104.22
2022-03-25,2217.97,2244.55,2213.64,2218.51,15.1,96.0
2022-03-28,2209.24,2257.07,2191.73,2241.76,16.76,98.7
2022-03-29,2238.64,2242.32,2218.24,2236.18,13.49,76.8
2022-03-30,2238.99,2243.45,2217.06,2232.26,14.63,84.71
2022-04-01,2210.11,2231.09,2199.6,2229.71,12.15,69.42
2022-04-06,2228.91,2257.34,2223.21,2256.97,15.04,82.47
2022-04-07,2245.2,2272.55,2244.84,2244.84,13.0,80.35
2022-04-08,2244.7,2274.43,2240.88,2270.99,11.62,81.55
2022-04-11,2274.3,2278.71,2225.05,2236.52,14.59,91.46
2022-04-12,2227.76,2254.52,2209.59,2247.72,12.84,83.04
2022-04-13,2252.62,2267.41,2239.92,2244.85,13.69,88.08
2022-04-15,2275.48,2280.89,2226.52,2229.61,13.68,88.72
2022-04-18,2220.2,2220.77,2192.98,2197.65,11.89,71.66
2022-04-19,2198.85,2244.68,2198.75,2242.11,15.81,93.94
2022-04-20,2226.87,2229.02,2171.76,2175.85,14.26,86.41
