code,name,stage,stage_label,confidence,close,ma34,price_position,ma_slope,crossover_count,volume_ratio
801783,股份制银行,1,熊市,0.9,4200.32,4690.43,-0.1045,-0.0209,0,1.13
801179,铁路公路,1,熊市,0.9,1594.01,1681.62,-0.0521,-0.0148,0,0.97
801014,饲料,1,熊市,0.394,4397.15,4661.72,-0.0568,-0.0078,0,1.16
801193,证券,1,熊市,0.429,6655.28,6995.43,-0.0486,0.0084,1,0.89
801782,国有大型银行,1,熊市,0.394,1784.79,1950.57,-0.085,-0.0022,1,1.09
801095,乘用车,1,熊市,0.9,17405.25,19665.47,-0.1149,-0.0189,0,0.71
801127,饮料乳品,1,熊市,0.469,7499.66,7897.3,-0.0504,-0.0071,1,0.75
801785,农商行,1,熊市,0.9,787.5,814.4,-0.033,-0.0109,0,1.12
801113,小家电,1,熊市,0.429,5094.91,5563.14,-0.0842,0.0047,0,0.81
801223,通信服务,2,熊牛转换,0.4,2519.7,2388.9,0.0548,0.0038,3,1.11
801769,出版,2,熊牛转换,0.35,1765.62,1695.44,0.0414,0.0066,1,1.18
801982,化妆品,2,熊牛转换,0.5,7300.21,7409.33,-0.0147,-0.0022,4,1.01
801126,非白酒,2,熊牛转换,0.438,3955.09,4095.32,-0.0342,-0.0094,0,1.22
801129,调味发酵品,2,熊牛转换,0.5,6858.31,6882.42,-0.0035,0.0008,3,1.02
801155,中药,2,熊牛转换,0.452,6358.63,6531.33,-0.0264,0.0002,0,1.05
801152,生物制品,2,熊牛转换,0.345,6246.05,6601.62,-0.0539,0.0014,0,1.1
801721,房屋建设,2,熊牛转换,0.438,3313.28,3419.4,-0.031,-0.0049,0,1.24
801111,白色家电,2,熊牛转换,0.5,18836.1,18945.38,-0.0058,0.0007,3,1.06
801125,白酒,2,熊牛转换,0.457,44017.54,45935.31,-0.0417,-0.0025,2,1.5
801114,厨卫电器,2,熊牛转换,0.476,10489.17,10514.32,-0.0024,0.0029,4,0.89
801204,专业连锁,2,熊牛转换,0.436,4942.81,4850.41,0.0191,-0.0043,3,0.78
801784,城商行,2,熊牛转换,0.452,1019.83,1031.56,-0.0114,-0.0079,0,1.08
801231,综合,3,牛市,0.581,5106.0,3837.01,0.3307,0.0642,0,0.92
801736,风电设备,3,牛市,0.581,3189.47,2457.15,0.298,0.061,0,0.95
801735,光伏设备,3,牛市,0.714,7395.3,6401.63,0.1552,0.0603,0,1.32
801733,其他电源设备,3,牛市,0.581,45708.35,36320.95,0.2585,0.0539,0,0.81
801731,电机,3,牛市,0.643,16722.83,15334.31,0.0905,0.0421,0,0.76
801726,工程咨询服务,3,牛市,0.424,2294.93,2171.62,0.0568,0.0213,0,1.05
801962,油服工程,3,牛市,0.714,3154.94,2344.03,0.3459,0.0417,0,1.47
801963,炼化及贸易,3,牛市,0.645,3392.64,2784.18,0.2185,0.0353,0,1.17
801724,专业工程,3,牛市,0.645,2235.75,1870.92,0.195,0.0371,0,1.18
801737,电池,3,牛市,0.364,23623.09,22208.06,0.0637,0.0452,0,0.88
801722,装修装饰,3,牛市,0.581,4775.53,4065.28,0.1747,0.0416,0,0.9
801971,环境治理,3,牛市,0.645,2161.22,1964.18,0.1003,0.0185,0,1.02
801713,装修建材,3,牛市,0.645,6092.19,5159.57,0.1808,0.0344,0,1.02
801712,玻璃玻纤,3,牛市,0.645,16901.5,10865.83,0.5555,0.0872,0,1.15
801972,环保设备,3,牛市,0.581,2285.22,1941.82,0.1768,0.0283,0,0.92
801711,水泥,3,牛市,0.581,5435.52,5060.25,0.0742,0.0253,0,0.89
801219,酒店餐饮,3,牛市,0.342,1987.62,1858.5,0.0695,0.0187,0,0.81
801723,基础建设,3,牛市,0.645,2440.61,2306.44,0.0582,0.0144,0,1.13
801194,保险,3,牛市,0.364,1426.74,1363.67,0.0463,0.0218,0,0.97
801952,焦炭,3,牛市,0.714,1578.98,1417.67,0.1138,0.0311,0,1.31
801102,通信设备,3,牛市,0.581,7460.69,5718.25,0.3047,0.0914,0,0.82
801093,汽车零部件,3,牛市,0.581,9224.41,8114.23,0.1368,0.0336,0,0.81
801995,电视广播,3,牛市,0.581,1344.12,1229.35,0.0934,0.0304,0,0.89
801096,商用车,3,牛市,0.645,9709.48,9153.21,0.0608,0.0243,0,1.03
801765,广告营销,3,牛市,0.645,3407.69,2884.41,0.1814,0.0482,0,1.1
801764,游戏,3,牛市,0.424,3794.33,3552.19,0.0682,0.0435,0,1.02
801072,通用设备,3,牛市,0.645,8785.97,6883.16,0.2764,0.0557,0,1.02
801103,IT服务,3,牛市,0.645,6221.33,5744.03,0.0831,0.0235,1,1.02
801074,专用设备,3,牛市,0.643,13500.66,11203.79,0.205,0.0451,0,0.8
801218,专业服务,3,牛市,0.581,6623.99,5999.09,0.1042,0.0281,0,0.88
801101,计算机设备,3,牛市,0.4,3183.07,3072.5,0.036,0.0221,0,0.79
801745,军工电子,3,牛市,0.643,7638.14,6286.99,0.2149,0.0409,0,0.67
801743,地面兵装,3,牛市,0.364,21581.79,20301.97,0.063,0.033,0,0.85
801077,工程机械,3,牛市,0.581,27286.45,23940.67,0.1398,0.0364,0,0.99
801078,自动化设备,3,牛市,0.581,19567.77,16405.11,0.1928,0.0438,0,0.9
801951,煤炭开采,3,牛市,0.714,3451.62,3137.28,0.1002,0.0188,0,1.22
801742,航空装备,3,牛市,0.643,12447.59,10365.39,0.2009,0.0343,0,0.8
801741,航天装备,3,牛市,0.643,37616.56,23241.28,0.6185,0.1265,0,0.58
801738,电网设备,3,牛市,0.581,7035.29,5198.38,0.3534,0.0609,0,0.93
801016,种植业,3,牛市,0.714,2943.23,2646.84,0.112,0.0218,0,1.23
801202,贸易,3,牛市,0.645,5233.91,4631.16,0.1302,0.0314,0,1.07
801086,电子化学品,3,牛市,0.581,9779.16,7328.02,0.3345,0.0636,0,0.83
801082,其他电子,3,牛市,0.581,17744.0,14644.15,0.2117,0.055,0,0.96
801084,光学光电子,3,牛市,0.581,1833.54,1640.14,0.1179,0.0271,0,0.91
801083,元件,3,牛市,0.581,15847.98,12373.82,0.2808,0.0692,0,0.94
801081,半导体,3,牛市,0.645,8144.47,6668.01,0.2214,0.0596,0,1.01
801056,能源金属,3,牛市,0.581,23855.06,18109.65,0.3173,0.0804,0,0.91
801054,小金属,3,牛市,0.645,42942.93,28369.48,0.5137,0.0991,0,1.07
801053,贵金属,3,牛市,0.645,33052.83,23493.29,0.4069,0.0827,0,1.18
801055,工业金属,3,牛市,0.645,4088.55,2988.75,0.368,0.0879,0,1.13
801051,金属新材料,3,牛市,0.581,11063.0,9322.65,0.1867,0.0427,0,0.9
801115,照明设备,3,牛市,0.645,4342.77,3822.2,0.1362,0.0241,0,1.09
801045,特钢,3,牛市,0.581,5511.13,4499.24,0.2249,0.0369,0,0.88
801043,冶钢原料,3,牛市,0.645,4331.32,3187.25,0.359,0.064,0,1.09
801039,非金属材料,3,牛市,0.714,6152.56,4797.77,0.2824,0.0421,0,1.23
801038,农化制品,3,牛市,0.645,6835.97,5129.97,0.3326,0.0547,0,1.19
801037,橡胶,3,牛市,0.645,5687.07,5103.72,0.1143,0.0267,0,1.02
801036,塑料,3,牛市,0.643,5112.51,4245.73,0.2042,0.0503,0,0.79
801032,化学纤维,3,牛市,0.581,5421.0,4581.8,0.1832,0.0388,0,0.89
801034,化学制品,3,牛市,0.645,7811.99,6544.09,0.1937,0.0394,0,1.15
801033,化学原料,3,牛市,0.645,3842.84,3111.81,0.2349,0.0387,0,1.13
801018,动物保健,3,牛市,0.645,5354.5,4761.28,0.1246,0.0311,0,1.01
801012,农产品加工,3,牛市,0.424,2488.05,2400.25,0.0366,0.0221,0,1.0
801044,普钢,3,牛市,0.667,2802.27,2552.65,0.0978,0.0265,0,1.25
801116,家电零部件,3,牛市,0.581,8398.43,7037.26,0.1934,0.0606,0,0.86
801085,消费电子,3,牛市,0.581,10212.21,9326.57,0.095,0.0496,0,0.81
801163,燃气,3,牛市,0.581,3506.56,3090.46,0.1346,0.0308,0,0.93
801992,航运港口,3,牛市,0.645,3460.62,3016.77,0.1471,0.0164,0,1.12
801142,家居用品,3,牛市,0.581,2084.64,1888.41,0.1039,0.0269,0,0.88
801131,纺织制造,3,牛市,0.581,2028.37,1874.59,0.082,0.0241,0,0.94
801132,服装家纺,3,牛市,0.581,1641.63,1548.27,0.0603,0.0179,0,0.87
801141,包装印刷,3,牛市,0.643,3327.13,2860.04,0.1633,0.0358,0,0.75
801143,造纸,3,牛市,0.581,2667.29,2359.0,0.1307,0.0257,0,0.86
801124,食品加工,4,牛熊转换,0.35,14425.45,14165.64,0.0183,0.0057,0,0.86
801178,物流,4,牛熊转换,0.435,4760.33,4791.47,-0.0065,0.0004,2,0.82
801991,航空机场,4,牛熊转换,0.35,3206.33,3047.14,0.0522,0.0166,0,0.87
801076,轨交设备,4,牛熊转换,0.476,6387.98,6329.14,0.0093,0.008,3,1.04
801994,教育,4,牛熊转换,0.513,2415.08,2440.19,-0.0103,0.007,4,0.74
801993,旅游及景区,4,牛熊转换,0.389,2457.95,2531.96,-0.0292,0.0095,1,0.9
801181,房地产开发,4,牛熊转换,0.35,2627.57,2597.38,0.0116,0.0166,0,0.95
801183,房地产服务,4,牛熊转换,0.389,1040.67,982.91,0.0588,0.0111,1,1.1
801017,养殖业,4,牛熊转换,0.364,2984.56,3196.79,-0.0664,0.0022,2,0.87
801206,互联网电商,4,牛熊转换,0.476,11743.95,12068.62,-0.0269,0.0094,2,0.82
801015,渔业,4,牛熊转换,0.35,903.69,842.17,0.073,0.0242,0,0.94
801161,电力,4,牛熊转换,0.476,3331.18,3244.38,0.0268,0.0042,4,1.11
801881,摩托车及其他,4,牛熊转换,0.371,3667.11,3591.08,0.0212,0.0196,2,0.95
801191,多元金融,4,牛熊转换,0.378,1373.06,1329.0,0.0332,0.0112,0,0.77
801156,医疗服务,4,牛熊转换,0.333,6843.32,6674.37,0.0253,0.0291,2,0.82
801744,航海装备,4,牛熊转换,0.4,3503.0,3148.35,0.1126,0.0156,3,1.12
801153,医疗器械,4,牛熊转换,0.476,6625.1,6724.96,-0.0148,0.0093,2,0.98
801154,医药商业,4,牛熊转换,0.378,5360.77,5271.77,0.0169,0.0084,0,0.69
801151,化学制药,4,牛熊转换,0.364,12526.95,13576.75,-0.0773,0.0034,2,0.94
801145,文娱用品,4,牛熊转换,0.35,2040.89,1933.75,0.0554,0.0066,1,1.07
801133,饰品,4,牛熊转换,0.297,1742.41,1699.76,0.0251,0.0039,1,1.42
801767,数字媒体,4,牛熊转换,0.35,2135.24,1950.03,0.095,0.0269,1,1.17
801766,影视院线,4,牛熊转换,0.297,1464.42,1399.64,0.0463,0.0257,1,1.33
801981,个护用品,4,牛熊转换,0.476,1622.27,1611.65,0.0066,-0.0041,3,1.14
801128,休闲食品,4,牛熊转换,0.35,2022.81,1984.23,0.0194,0.0013,0,0.84
801104,软件开发,4,牛熊转换,0.35,7461.87,7381.36,0.0109,0.0205,0,0.87
801112,黑色家电,4,牛熊转换,0.35,2378.34,2265.58,0.0498,0.0156,0,0.84
801092,汽车服务,4,牛熊转换,0.35,546.71,522.62,0.0461,0.0118,1,0.84
801203,一般零售,4,牛熊转换,0.467,3489.82,3621.13,-0.0363,0.0063,1,0.57
