date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.0008415,0.0082472044
2000-01-04,1002.04,1032.72,981.6,1022.49,0.00290914,0.0287934186
2000-01-05,920.25,1068.51,920.25,1031.7,0.0034505,0.0348990075
2000-01-06,1022.49,1065.44,1018.4,1063.39,0.00365452,0.0372393695
2000-01-07,1074.64,1119.63,1058.28,1105.32,0.0092245,0.09817343699999999
2000-01-10,1104.29,1145.19,1083.84,1134.97,0.01044781,0.1137438446
2000-01-11,1157.46,1170.76,1092.02,1106.34,0.0213632,0.23936895600000002
2000-01-12,1087.93,1118.61,1061.35,1064.42,0.0061565,0.0649839
2000-01-13,1064.42,1076.69,1040.9,1041.92,0.0037668,0.038808973
2000-01-14,1043.97,1060.33,1012.27,1021.47,0.003004,0.03023075
2000-01-17,1017.38,1040.9,997.96,1033.74,0.00278851,0.027743407999999997
2000-01-18,1037.83,1042.94,1022.49,1036.81,0.00275739,0.0278429206
2000-01-19,1042.94,1065.44,1034.76,1054.19,0.00238548,0.024536313799999997
2000-01-20,1058.28,1063.39,1040.9,1058.28,0.00332954,0.0341828596
2000-01-21,1058.28,1058.28,1025.56,1037.83,0.0073646,0.07471689
2000-01-24,1030.67,1037.83,1002.04,1022.49,0.00773986,0.07658898900000001
2000-01-25,1014.31,1040.9,1009.2,1029.65,0.00544012,0.0546146704
2000-01-26,1032.72,1050.1,1019.43,1040.9,0.00305499,0.0309238597
2000-01-27,1063.39,1063.39,1022.49,1024.54,0.00635003,0.0638131359
2000-01-28,1021.47,1032.72,1002.04,1025.56,0.01173403,0.11629626970000001
2000-02-14,1042.94,1112.47,1042.94,1109.41,0.01881892,0.19961614739999997
2000-02-15,1119.63,1121.68,1053.17,1064.42,0.02148007,0.228909453
2000-02-16,1053.17,1073.62,1025.56,1048.06,0.0182564,0.1865922084
2000-02-17,1051.12,1089.98,1020.45,1030.67,0.01853871,0.1905327075
2000-02-18,1022.49,1081.8,1020.45,1053.17,0.01093441,0.1124115014
2000-02-21,1073.62,1134.97,1032.72,1132.92,0.02118569,0.22363521190000002
2000-02-22,1135.99,1153.37,1064.42,1066.46,0.0156167,0.1675876484
2000-02-23,1053.17,1096.11,1044.99,1073.62,0.0083456,0.08771374859999999
2000-02-24,1078.73,1124.74,1078.73,1103.27,0.01538329,0.1665768716
2000-02-25,1123.72,1123.72,1101.23,1112.47,0.01282167,0.13911562630000002
2000-02-28,1122.7,1165.64,1114.52,1150.31,0.02647747,0.2978144447
2000-02-29,1155.42,1160.53,1094.07,1114.52,0.0133827,0.1465037847
2000-03-01,1112.47,1124.74,1099.18,1122.7,0.01025068,0.1104181326
2000-03-02,1124.74,1134.97,1081.8,1097.14,0.01025068,0.1104181326
2000-03-03,1104.29,1118.61,1087.93,1107.36,0.01106845,0.11936180960000001
2000-03-06,1109.41,1117.59,1073.62,1073.62,0.01005151,0.1071159284
2000-03-07,1063.39,1066.46,1042.94,1061.35,0.0067693,0.06980629599999999
2000-03-08,1061.35,1080.78,1053.17,1068.51,0.00621406,0.0647747724
2000-03-09,1063.39,1073.62,1049.08,1067.48,0.00749067,0.0772046541
2000-03-10,1072.6,1073.62,1042.94,1050.1,0.005395,0.0555600208
2000-03-13,1042.94,1069.53,1032.72,1065.44,0.00483607,0.049760646900000004
2000-03-14,1027.61,1061.35,1027.61,1043.97,0.00860622,0.08748060369999999
2000-03-15,1042.94,1091.0,1040.9,1077.71,0.01169954,0.1224028066
2000-03-16,1073.62,1073.62,1025.56,1032.72,0.00900637,0.09139079060000001
2000-03-17,1025.56,1046.01,1025.56,1044.99,0.00485972,0.0493461235
2000-03-20,1053.17,1087.93,1040.9,1079.75,0.00854002,0.0895922495
2000-03-21,1082.82,1109.41,1074.64,1101.23,0.01185257,0.1269949857
2000-03-22,1101.23,1112.47,1075.66,1098.16,0.00694472,0.0739665584
2000-03-23,1101.23,1130.88,1079.75,1124.74,0.01796463,0.1955853667
2000-03-24,1129.86,1132.92,1094.07,1098.16,0.0176351,0.1932633062
2000-03-27,1083.84,1155.42,1083.84,1148.26,0.01851184,0.2061835414
2000-03-28,1155.42,1224.95,1155.42,1198.36,0.04156961,0.48765978950000005
2000-03-29,1201.43,1207.57,1150.31,1171.78,0.01769704,0.2021323892
2000-03-30,1226.99,1286.3,1194.27,1228.02,0.04110234,0.4939239952
2000-03-31,1228.02,1257.67,1208.59,1236.2,0.0326649,0.3955499841
2000-04-03,1236.2,1278.12,1226.99,1228.02,0.02435762,0.299872404
2000-04-04,1215.75,1216.77,1166.67,1168.71,0.02113758,0.2462020891
2000-04-05,1161.55,1191.21,1146.22,1174.85,0.01254425,0.14306877
2000-04-06,1171.78,1200.41,1171.78,1199.39,0.01236235,0.143544402
2000-04-07,1207.57,1225.97,1185.07,1225.97,0.01775648,0.2100565981
2000-04-10,1237.22,1255.62,1228.02,1247.44,0.01891488,0.2303783954
2000-04-11,1249.49,1258.69,1216.77,1222.9,0.01433914,0.17234822530000002
2000-04-12,1224.95,1224.95,1187.12,1198.36,0.01027785,0.1206820265
2000-04-13,1198.36,1232.11,1192.23,1224.95,0.01070061,0.1273765808
2000-04-14,1226.99,1232.11,1202.45,1221.88,0.00863085,0.1024520625
2000-04-17,1221.88,1232.11,1170.76,1183.03,0.01293448,0.1509706192
2000-04-19,1221.88,1269.94,1220.86,1241.31,0.02449251,0.2993942927
2000-04-20,1243.35,1276.07,1242.33,1267.89,0.02831898,0.34990330909999995
2000-04-21,1276.07,1286.3,1232.11,1242.33,0.01748439,0.21488968719999998
2000-04-24,1242.33,1327.2,1237.22,1325.15,0.04661877,0.5924430002000001
2000-04-25,1328.22,1337.42,1289.37,1314.93,0.02124095,0.2720017711
2000-04-26,1329.24,1380.37,1308.79,1309.82,0.05231573,0.6900785528
2000-04-27,1306.75,1306.75,1224.95,1230.06,0.02447129,0.3031762337
2000-04-28,1232.11,1276.07,1228.02,1266.87,0.01569647,0.19276151789999998
2000-05-08,1267.89,1281.19,1226.99,1264.83,0.00851567,0.104571007
2000-05-09,1257.67,1260.74,1237.22,1244.38,0.00686647,0.0835708284
2000-05-10,1226.99,1240.29,1175.87,1176.89,0.01033781,0.1216693843
2000-05-11,1226.99,1240.29,1175.87,1176.89,0.0,0.0
2000-05-12,1161.55,1186.09,1140.08,1146.22,0.0062432,0.070166714
2000-05-15,1149.28,1163.6,1148.26,1158.49,0.00479703,0.0542384428
2000-05-16,1155.42,1174.85,1150.31,1163.6,0.0045956,0.052139618
2000-05-17,1165.64,1168.71,1150.31,1151.33,0.00502843,0.0568446121
2000-05-18,1151.33,1196.32,1151.33,1196.32,0.00719467,0.0829794107
2000-05-19,1196.32,1219.84,1184.05,1206.54,0.0092579,0.1089145492
2000-05-22,1206.54,1277.1,1206.54,1251.53,0.01312151,0.15918400230000002
2000-05-23,1252.56,1257.67,1226.99,1240.29,0.01042233,0.1263013938
2000-05-24,1240.29,1283.23,1240.29,1253.58,0.01220104,0.150817059
2000-05-25,1262.78,1303.68,1257.67,1288.34,0.0172934,0.21664317510000003
2000-05-26,1289.37,1299.59,1267.89,1274.03,0.0138915,0.1742737792
2000-05-29,1279.14,1338.45,1278.12,1314.93,0.02427919,0.3123237273
2000-05-30,1308.79,1327.2,1265.85,1277.1,0.01421604,0.1807274531
2000-05-31,1268.92,1298.57,1262.78,1287.32,0.00986206,0.1237812908
2000-06-01,1288.34,1327.2,1267.89,1325.15,0.01452253,0.18463113239999998
2000-06-02,1327.2,1329.24,1298.57,1309.82,0.00889105,0.11417477779999999
2000-06-05,1303.68,1321.06,1257.67,1265.85,0.012864,0.1621157884
2000-06-06,1262.78,1308.79,1258.69,1303.68,0.01184977,0.1492819409
2000-06-07,1308.79,1368.1,1296.52,1337.42,0.03217818,0.4212939732
2000-06-08,1337.42,1341.51,1310.84,1329.24,0.01162517,0.15022288279999998
2000-06-09,1329.24,1416.16,1309.82,1370.14,0.04957445,0.6634772715999999
2000-06-12,1371.17,1409.0,1359.92,1389.57,0.03306833,0.44910094520000005
2000-06-13,1390.59,1446.83,1390.59,1400.82,0.02508346,0.347120151
2000-06-14,1400.82,1400.82,1359.92,1374.23,0.01839922,0.2476794973
2000-06-15,1375.26,1390.59,1354.81,1379.35,0.01052405,0.1408083094
2000-06-16,1379.35,1390.59,1339.47,1346.63,0.01306297,0.17353918829999998
2000-06-19,1341.81,1383.5,1329.39,1347.82,0.03921137,0.7405178105
2000-06-20,1350.95,1400.54,1330.3,1380.4,0.0632592,1.2711906952
2000-06-21,1379.14,1409.71,1367.03,1393.29,0.04794777,0.990124495
2000-06-22,1393.29,1410.2,1369.2,1379.13,0.04230507,0.8528895044
2000-06-23,1383.44,1405.26,1368.56,1394.73,0.03710744,0.7120852053
2000-06-26,1399.84,1417.48,1393.09,1398.58,0.02815427,0.5308379289999999
2000-06-27,1401.9,1412.06,1381.63,1386.36,0.02446717,0.4355639864
2000-06-28,1389.13,1434.39,1387.77,1425.83,0.03146921,0.5481097783
2000-06-29,1432.88,1440.69,1400.55,1404.86,0.02070028,0.3649765224
2000-06-30,1401.88,1402.87,1373.11,1379.21,0.02686167,0.4895533814
2000-07-03,1368.66,1373.68,1338.8,1341.5,0.02245175,0.39363508909999995
2000-07-04,1335.49,1356.5,1329.15,1355.18,0.01573067,0.27736438539999997
2000-07-05,1356.69,1390.81,1350.17,1358.82,0.01182916,0.2078743388
2000-07-06,1361.05,1372.63,1333.22,1350.72,0.01081025,0.17876804359999998
2000-07-07,1349.07,1377.6,1345.42,1368.8,0.01269248,0.22695116
2000-07-10,1369.33,1410.73,1367.67,1399.43,0.01656725,0.2990584181
2000-07-11,1402.64,1408.84,1377.05,1384.01,0.01476209,0.2631494146
2000-07-12,1386.95,1403.93,1380.08,1393.14,0.01354858,0.232501873
2000-07-13,1397.78,1421.71,1367.05,1385.82,0.03102538,0.5746570986
2000-07-14,1399.39,1442.03,1383.67,1409.91,0.05710084,1.1649361869
2000-07-17,1411.23,1435.99,1395.91,1401.12,0.02028612,0.390521295
2000-07-18,1399.56,1420.1,1392.18,1409.74,0.01345214,0.254064287
2000-07-19,1415.04,1422.52,1405.67,1416.08,0.01313589,0.2368989895
2000-07-20,1417.12,1445.47,1397.45,1418.71,0.02002423,0.3662076405
2000-07-21,1420.8,1435.9,1397.09,1416.08,0.01973448,0.3355135206
2000-07-24,1420.16,1440.75,1400.23,1425.79,0.02007822,0.3178175219
2000-07-25,1391.14,1408.35,1380.2,1393.01,0.02232212,0.41043361
2000-07-26,1392.49,1412.18,1384.01,1390.3,0.0153047,0.2693893158
2000-07-27,1395.47,1431.8,1377.97,1410.51,0.04064603,0.6565201502
2000-07-28,1411.83,1429.71,1398.39,1425.73,0.01981497,0.3113304386
2000-07-31,1428.06,1459.28,1418.46,1444.74,0.03108763,0.4747043453
2000-08-01,1443.94,1461.78,1428.65,1454.39,0.01939453,0.3105674787
2000-08-02,1450.56,1457.18,1425.17,1438.47,0.01652152,0.2585107056
2000-08-03,1440.22,1450.64,1428.87,1439.24,0.0151299,0.2488414898
2000-08-04,1438.25,1445.17,1400.84,1409.93,0.02280158,0.36824262469999997
2000-08-07,1398.51,1410.11,1378.06,1386.15,0.0191134,0.2974048131
2000-08-08,1388.52,1421.03,1382.6,1409.09,0.01849242,0.2984578214
2000-08-09,1410.65,1434.17,1401.05,1421.21,0.01660209,0.2827311177
2000-08-10,1424.34,1433.89,1395.09,1408.16,0.01339228,0.22406782760000002
2000-08-11,1408.49,1419.04,1380.74,1387.14,0.01579127,0.2438694145
2000-08-14,1389.78,1412.52,1386.61,1401.43,0.01081198,0.18043995440000002
2000-08-15,1403.66,1423.76,1387.14,1411.16,0.01158253,0.20633977280000002
2000-08-16,1412.81,1422.67,1400.23,1420.02,0.00907937,0.1523058146
2000-08-17,1422.08,1448.03,1411.71,1425.83,0.06312203,1.1293851997
2000-08-18,1425.46,1441.42,1413.55,1424.46,0.04410672,0.782217402
2000-08-21,1428.37,1443.76,1403.65,1427.8,0.05332242,0.9200041134
2000-08-22,1428.1,1437.82,1395.45,1398.39,0.04148485,0.7305915587999999
2000-08-23,1388.37,1407.98,1336.32,1389.81,0.06402061,1.080738875
2000-08-24,1386.46,1398.39,1367.24,1385.65,0.03529282,0.60498729
2000-08-25,1382.2,1418.04,1375.38,1404.21,0.0369833,0.6778905395999999
2000-08-28,1405.35,1425.16,1398.41,1412.64,0.03384146,0.6452326252
2000-08-29,1414.17,1439.97,1397.86,1428.86,0.04310278,0.8243802345
2000-08-30,1433.32,1439.92,1401.35,1402.02,0.03446936,0.6648517322999999
2000-08-31,1394.03,1406.94,1360.68,1365.94,0.04985796,0.8705112705
2000-09-01,1360.82,1397.74,1348.01,1369.48,0.05294571,1.049974258
2000-09-04,1369.01,1410.56,1360.88,1401.0,0.05418585,1.1555617083
2000-09-05,1407.74,1414.21,1354.25,1360.13,0.04505025,0.9185580411
2000-09-06,1357.5,1369.72,1330.19,1345.66,0.04491737,0.8758830688
2000-09-07,1351.85,1387.51,1344.19,1368.25,0.04083073,0.8583463447
2000-09-08,1368.05,1379.93,1354.71,1362.23,0.02733148,0.5580468820000001
