date,open,high,low,close,volume,amount
2011-10-10,1935.6,1974.59,1917.32,1936.89,0.11543257,1.3358344334999999
2011-10-11,1980.32,2002.28,1900.37,1930.55,0.13684915,1.6404426229
2011-10-12,1920.81,1995.74,1904.15,1985.71,0.18351416,2.2312861683
2011-10-13,1984.3,2021.66,1971.1,1998.69,0.19487426,2.3623918353
2011-10-14,1989.12,2015.38,1964.01,1992.71,0.13239194,1.6242276479
2011-10-17,2004.92,2029.11,1972.87,2009.58,0.15777717,2.0196369838
2011-10-18,1989.24,2007.27,1926.07,1938.21,0.2006095,2.4796293174
2011-10-19,1948.09,1970.64,1914.01,1935.06,0.11913017,1.3744354505
2011-10-20,1923.8,1939.3,1851.97,1868.49,0.16661269,1.8536202631999998
2011-10-21,1868.5,1880.96,1805.18,1814.09,0.13303928,1.3854195792
2011-10-24,1819.18,1842.53,1763.13,1825.7,0.13008258,1.4548031475
2011-10-25,1829.54,1897.16,1808.1,1884.77,0.18801053,2.4143714129
2011-10-26,1875.12,1922.51,1855.99,1902.88,0.16390067,1.9979847336
2011-10-27,1927.84,1973.33,1900.11,1917.74,0.20508397,2.6969417112
2011-10-28,1935.71,1959.57,1908.61,1945.88,0.21192772,2.8160815544999998
2011-10-31,1952.26,1982.71,1927.04,1977.62,0.1917038,2.5649203619
2011-11-01,1962.38,2006.54,1940.71,1980.19,0.25033298,3.2427650054000003
2011-11-02,1953.29,2025.79,1939.31,2019.22,0.25532681,3.2609017021
2011-11-03,2025.75,2109.09,2016.15,2064.34,0.47632791,6.2061604287
2011-11-04,2060.09,2100.92,2040.73,2070.95,0.31610593,4.3093758471
2011-11-07,2061.04,2111.11,2049.05,2080.85,0.22043844,2.9477134155
2011-11-08,2078.45,2091.85,2037.74,2050.67,0.18514802,2.4691728468000003
2011-11-09,2054.06,2082.03,2022.08,2075.54,0.175621,2.372517277
2011-11-10,2062.24,2090.48,2033.85,2058.85,0.20780739,2.9118226495
2011-11-11,2057.12,2095.38,2040.92,2063.35,0.17578797,2.3982329539
2011-11-14,2075.52,2127.44,2066.19,2105.7,0.23506431,3.0814884579000004
2011-11-15,2113.51,2144.39,2088.13,2113.44,0.26931716,3.984616992
2011-11-16,2113.24,2149.66,2052.74,2076.55,0.36403756,4.5350671119
