date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.09597952,0.9079434123000001
2000-01-04,1003.31,1031.97,988.7,1025.67,0.24150347,2.400090569
2000-01-05,1019.48,1062.55,1006.9,1035.49,0.39951726,4.0896723067
2000-01-06,1029.93,1082.61,1018.73,1075.56,0.41095688,4.1479618628
2000-01-07,1081.1,1127.75,1075.14,1109.91,0.66203826,6.8161884607
2000-01-10,1116.3,1149.35,1078.28,1127.37,0.5929928,5.7317496577
2000-01-11,1128.42,1141.84,1060.44,1077.48,0.45434754,4.5745261067000005
2000-01-12,1072.55,1091.26,1028.55,1037.62,0.2997256,2.8995719088
2000-01-13,1036.05,1052.13,1014.88,1029.61,0.18856605,1.7537542959999999
2000-01-14,1034.71,1051.71,1008.82,1018.08,0.20964149,1.8508828737
2000-01-17,1015.34,1043.02,995.16,1034.77,0.24650881,2.1420284158
2000-01-18,1036.41,1053.43,1012.9,1026.52,0.22293579,1.9342490759
2000-01-19,1024.59,1045.88,1015.52,1033.22,0.17990385,1.6153813121
2000-01-20,1035.21,1062.74,1023.55,1052.22,0.25004414,2.4558325661000002
2000-01-21,1059.84,1077.19,1030.08,1038.84,0.37435818,3.5030241889999996
2000-01-24,1036.35,1051.46,995.38,1030.0,0.36011091,3.2062263160000004
2000-01-25,1031.08,1060.45,1008.77,1034.09,0.29552939,2.6135725916
2000-01-26,1038.61,1052.22,1018.82,1031.8,0.28842228,2.2039216130000003
2000-01-27,1033.48,1055.13,1013.02,1030.01,0.40784619,3.6047743974
2000-01-28,1033.01,1066.12,1010.51,1050.72,0.47658719,4.4505838711
2000-02-14,1073.93,1147.72,1067.27,1143.13,0.70925131,6.7816091452
2000-02-15,1181.15,1206.78,1104.57,1128.07,0.96699976,9.4899667561
2000-02-16,1136.1,1167.62,1097.1,1147.64,0.86953332,9.1404793296
2000-02-17,1163.66,1212.57,1087.8,1115.96,1.1447744,11.458343018199999
2000-02-18,1108.78,1157.28,1072.33,1140.54,0.63938757,6.433521795599999
2000-02-21,1146.82,1196.71,1119.14,1169.91,0.76215988,7.7052120131
2000-02-22,1191.75,1225.28,1122.54,1136.09,1.07590282,9.550321864099999
2000-02-23,1125.94,1150.4,1086.87,1114.72,0.63319877,5.6240533134
2000-02-24,1110.58,1158.3,1094.54,1129.92,0.5143072,4.7952773996
2000-02-25,1140.84,1153.28,1106.75,1123.24,0.67857822,6.2605610097
2000-02-28,1130.46,1186.87,1114.76,1168.47,0.92500432,9.148188510499999
