date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.03145669,0.33599946880000003
2000-01-04,1001.03,1029.55,988.86,1024.42,0.07579566,0.8246404807
2000-01-05,1024.36,1049.32,1005.26,1024.59,0.11536733,1.1984519581
2000-01-06,1019.36,1066.9,1008.78,1061.24,0.17084449,1.851616816
2000-01-07,1069.78,1121.74,1054.72,1112.39,0.43316835,4.8810641812
2000-01-10,1120.65,1147.34,1083.84,1127.97,0.32861398,4.0058046947
2000-01-11,1134.87,1141.41,1058.08,1073.76,0.26720692,2.6979765957
2000-01-12,1069.82,1093.96,1032.89,1047.66,0.18634918,1.9389256100999999
2000-01-13,1045.26,1059.41,1017.7,1030.31,0.10713784,1.0706722773000001
2000-01-14,1024.49,1037.05,999.99,1010.93,0.10327716,0.9516982303
2000-01-17,1008.3,1031.29,991.16,1022.68,0.08818488,0.8378994696
2000-01-18,1025.46,1039.13,1003.15,1020.51,0.1020517,1.0077353962
2000-01-19,1018.87,1038.8,1010.06,1025.19,0.09851615,0.8899295629999999
2000-01-20,1023.98,1053.8,1015.49,1041.29,0.13541578,1.4490162023
2000-01-21,1044.13,1061.65,1016.19,1033.93,0.21813851,2.199586475
2000-01-24,1034.04,1045.78,1002.88,1025.79,0.17657982,1.8765938315000001
2000-01-25,1028.17,1055.41,1009.85,1029.19,0.14573478,1.4933414885
2000-01-26,1029.61,1048.57,1014.68,1032.43,0.11410592,1.1831469465
2000-01-27,1037.46,1060.39,1015.69,1037.79,0.21982859,2.3288679046
2000-01-28,1041.39,1056.37,1015.68,1040.43,0.24910469,2.4731365266
2000-02-14,1063.36,1133.99,1055.69,1131.66,0.34422841,3.8771676599
2000-02-15,1154.49,1187.84,1092.03,1120.14,0.47598719,5.3863081405
2000-02-16,1117.62,1159.29,1075.2,1133.93,0.49114921,4.7647002470999995
2000-02-17,1152.93,1204.64,1071.98,1105.17,0.75216911,7.3885724512
2000-02-18,1100.33,1133.93,1050.66,1113.85,0.56790531,5.2136079221
2000-02-21,1118.71,1160.05,1082.55,1131.25,0.75979005,7.2886057475
2000-02-22,1136.56,1171.08,1095.33,1114.67,0.5323202,4.8932184295
2000-02-23,1109.52,1139.5,1081.94,1107.32,0.55866431,5.4424253561
2000-02-24,1108.17,1142.61,1094.14,1124.56,0.29102318,3.0723549549
2000-02-25,1125.15,1146.89,1098.74,1126.83,0.38412475,3.9281321655
2000-02-28,1128.03,1189.46,1111.8,1179.28,0.47310742,5.3912366051
2000-02-29,1189.41,1225.96,1148.89,1191.59,0.6504667,6.5602628927
2000-03-01,1185.61,1234.58,1161.63,1199.12,0.42670811,4.53704549
2000-03-02,1193.69,1226.23,1163.36,1189.84,0.39427846,4.0664008
2000-03-03,1201.53,1246.45,1181.27,1219.16,0.49142329,5.3012382277
2000-03-06,1220.81,1241.72,1149.69,1152.56,0.43843619,4.5738686969
2000-03-07,1141.74,1168.5,1114.93,1161.86,0.22622244,2.2670073822
2000-03-08,1162.38,1193.32,1144.12,1180.99,0.23160507,2.3903736319999997
2000-03-09,1183.56,1217.53,1161.8,1186.04,0.47375567,4.2282069687
2000-03-10,1188.18,1211.37,1154.73,1170.2,0.46594712,4.3013621733
2000-03-13,1168.3,1201.67,1154.83,1189.01,0.24025,2.2277919434
2000-03-14,1176.68,1186.03,1118.21,1160.87,0.29473788,2.6520787619
