date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.11013295,1.0328833399
2000-01-04,1001.98,1030.84,989.37,1024.93,0.16078184,1.6146677498
2000-01-05,1023.77,1051.31,1009.24,1024.22,0.22386721,2.2286908066
2000-01-06,1020.64,1070.56,1011.37,1065.85,0.29354985,3.0009661492000004
2000-01-07,1077.25,1118.93,1066.55,1105.83,0.60245557,6.309119734199999
2000-01-10,1112.96,1137.75,1084.05,1123.54,0.58873473,6.2496425988999995
2000-01-11,1124.38,1126.98,1051.36,1063.9,0.3966046,4.1153248225
2000-01-12,1057.91,1082.56,1025.46,1040.27,0.34600123,3.4450836295999996
2000-01-13,1041.21,1060.28,1024.06,1037.23,0.19242944,1.8621497779
2000-01-14,1042.5,1054.27,1018.61,1028.58,0.18583069,1.9068563484
2000-01-17,1026.79,1052.8,1013.61,1046.58,0.19000686,1.9788189251
2000-01-18,1045.98,1069.28,1031.53,1052.79,0.19882529,2.1517455644
2000-01-19,1054.98,1090.8,1041.83,1076.03,0.25580896,2.9754961574000003
2000-01-20,1084.06,1100.61,1063.06,1085.88,0.37210733,3.7253554632999997
2000-01-21,1086.81,1105.68,1056.89,1076.52,0.3892191,4.0422288205
2000-01-24,1077.57,1107.05,1046.35,1089.51,0.50835698,5.423992601799999
2000-01-25,1095.17,1124.68,1065.83,1090.42,0.45884512,5.5161247965
2000-01-26,1093.49,1115.92,1068.78,1090.33,0.36184015,4.0405505194
2000-01-27,1095.0,1120.14,1068.21,1095.81,0.49929638,5.6635286462
2000-01-28,1096.54,1131.64,1070.07,1112.19,0.64676892,7.4031453167
2000-02-14,1146.27,1218.63,1136.35,1215.91,0.77288318,9.594987656499999
2000-02-15,1244.79,1276.14,1172.89,1197.78,1.16158802,14.7489673597
2000-02-16,1202.18,1240.51,1163.87,1218.21,1.25823586,14.8019337593
2000-02-17,1245.1,1292.88,1145.87,1180.34,1.39216179,17.144971666300002
2000-02-18,1171.38,1226.93,1137.73,1210.11,0.88034026,10.570395160599999
2000-02-21,1224.75,1269.99,1178.18,1231.42,0.93444456,12.0978374563
2000-02-22,1248.45,1278.82,1185.89,1203.72,0.92459033,11.4689890167
2000-02-23,1199.48,1220.67,1157.85,1169.78,0.89323989,9.5776904535
2000-02-24,1164.03,1203.62,1151.57,1191.75,0.50954843,5.905523302200001
2000-02-25,1193.76,1207.23,1158.99,1173.61,0.44407393,5.2398063433
2000-02-28,1176.04,1231.5,1156.45,1217.89,0.69766254,8.3035528909
2000-02-29,1226.82,1262.64,1179.13,1220.47,0.821871,9.5206918793
2000-03-01,1226.43,1248.23,1186.63,1211.47,0.74942913,8.211258574
2000-03-02,1212.39,1251.22,1192.24,1225.85,0.75603986,8.098949574
2000-03-03,1232.26,1274.26,1216.57,1248.43,0.84003205,9.857008432799999
2000-03-06,1262.03,1298.23,1210.72,1222.12,1.15179696,13.6102072384
2000-03-07,1209.77,1248.81,1187.72,1237.32,0.70316335,8.783738556
2000-03-08,1246.06,1272.71,1216.44,1246.0,0.70142395,9.044785468099999
2000-03-09,1247.72,1272.61,1220.71,1250.95,0.67123087,7.9242220232000005
2000-03-10,1249.66,1269.16,1210.58,1230.62,0.65666492,7.7477642103
2000-03-13,1228.22,1262.44,1213.01,1250.22,0.76379359,8.8076357808
2000-03-14,1229.84,1256.26,1174.8,1228.16,0.97649695,11.0855505231
2000-03-15,1226.77,1261.99,1211.85,1234.57,0.72423931,8.2094923974
2000-03-16,1223.75,1237.05,1158.09,1172.64,0.59588805,6.8007208638
2000-03-17,1167.97,1219.66,1161.14,1209.03,0.53411054,5.9079280787
2000-03-20,1203.58,1262.29,1181.79,1249.16,0.77386197,8.8882316752
2000-03-21,1260.91,1289.46,1233.18,1266.88,0.77780561,8.965084258500001
2000-03-22,1278.11,1312.9,1241.5,1279.83,0.5991238,7.8369714752999995
