date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01113278,0.1043114419
2000-01-04,998.34,1026.18,981.61,1019.07,0.02418341,0.2411798971
2000-01-05,1016.87,1064.74,1007.35,1032.66,0.06917899,0.6695224726
2000-01-06,1031.41,1089.34,1024.77,1080.39,0.14764228,1.4144330448
2000-01-07,1087.94,1119.07,1073.13,1107.51,0.22081033,2.3354099819
2000-01-10,1114.15,1136.48,1081.71,1116.64,0.12950973,1.3956900033000001
2000-01-11,1116.82,1122.11,1049.05,1062.95,0.078516,0.8051801562
2000-01-12,1064.18,1073.28,1013.08,1021.16,0.05345879,0.5249721586
2000-01-13,1021.33,1037.56,1008.65,1017.05,0.03633079,0.34591833439999997
2000-01-14,1018.97,1030.73,998.54,1007.77,0.03119309,0.31154380239999996
2000-01-17,1003.36,1034.11,992.59,1029.52,0.05165827,0.5508058576
2000-01-18,1031.42,1063.42,1023.59,1041.61,0.08527073,0.8935568036
2000-01-19,1046.78,1073.91,1037.63,1062.07,0.08913702,0.9644517320999999
2000-01-20,1064.67,1082.9,1049.74,1071.17,0.08913007,0.9947139237
2000-01-21,1076.64,1101.63,1052.57,1063.74,0.13532606,1.5639966306
2000-01-24,1059.52,1092.18,1039.79,1081.23,0.15659751,1.7662663180000002
2000-01-25,1080.82,1109.85,1060.61,1079.28,0.12648882,1.5249187362
2000-01-26,1083.26,1094.71,1059.83,1076.04,0.07455055,0.9369249167
2000-01-27,1077.16,1089.54,1057.6,1072.65,0.11193813,1.2966331285
2000-01-28,1081.62,1109.6,1052.89,1087.86,0.11338338,1.3254825116
2000-02-14,1118.12,1196.95,1107.5,1194.89,0.2022371,2.296722038
2000-02-15,1220.69,1285.66,1174.8,1207.94,0.35889351,4.233253686399999
2000-02-16,1208.02,1265.05,1169.4,1234.74,0.32346998,3.6906990325
2000-02-17,1270.91,1306.75,1162.73,1214.05,0.46068801,5.399431249
2000-02-18,1206.76,1247.06,1146.66,1227.63,0.242137,2.7865206156999998
2000-02-21,1233.5,1290.12,1188.89,1281.16,0.34985944,4.1591569474000005
2000-02-22,1289.66,1318.62,1202.69,1216.79,0.27951444,3.394400876
2000-02-23,1199.9,1245.89,1165.53,1200.75,0.28942028,3.3371194794
2000-02-24,1197.82,1254.5,1177.56,1231.07,0.24683988,2.9652026918
2000-02-25,1238.2,1263.55,1195.01,1239.67,0.22843729,2.8408085888
2000-02-28,1255.04,1317.02,1233.0,1301.66,0.39887358,5.494233405599999
2000-02-29,1315.05,1345.82,1249.76,1311.52,0.34393824,4.7793924502
2000-03-01,1335.98,1365.72,1293.35,1323.55,0.45535027,6.1096479005
2000-03-02,1337.12,1371.18,1288.04,1323.8,0.35916391,4.9271711405000005
2000-03-03,1341.41,1405.19,1311.66,1342.17,0.31143968,4.1490800298
2000-03-06,1362.51,1406.19,1303.62,1334.87,0.47944698,6.274976845199999
2000-03-07,1313.98,1356.36,1269.56,1332.13,0.23496064,2.9808240708
2000-03-08,1338.83,1382.08,1301.85,1364.72,0.1936352,2.5302469088999997
2000-03-09,1368.31,1390.83,1315.19,1325.94,0.19919611,2.5964014904
2000-03-10,1327.2,1375.77,1291.71,1331.23,0.24661698,3.2391851532
2000-03-13,1342.41,1388.63,1327.92,1378.32,0.19834147,2.7853192635000004
2000-03-14,1344.81,1381.51,1297.11,1361.46,0.08678588,1.0686659256
2000-03-15,1340.74,1402.45,1327.94,1384.76,0.09101815,1.210291423
2000-03-16,1372.76,1421.94,1282.17,1331.94,0.2407326,3.4909869077999995
2000-03-17,1331.76,1396.21,1301.05,1349.91,0.20019858,2.8215103035
2000-03-20,1329.56,1417.79,1298.85,1388.52,0.2058976,2.8608235768
2000-03-21,1410.64,1436.8,1363.42,1387.86,0.31679193,4.4328430577999995
2000-03-22,1396.8,1424.03,1349.54,1396.89,0.23245342,3.1473537158
2000-03-23,1403.59,1441.72,1366.0,1427.95,0.24109832,3.3309480418
2000-03-24,1429.85,1454.6,1362.05,1367.38,0.27338251,3.8696229381
2000-03-27,1375.61,1449.68,1362.86,1418.39,0.24572666,3.4067381181
2000-03-28,1438.4,1495.49,1398.89,1444.4,0.20091782,2.7344519200999997
2000-03-29,1446.3,1475.34,1393.84,1434.48,0.19368154,2.7109508718
2000-03-30,1441.14,1474.26,1412.87,1448.94,0.14774407,2.0941752468
2000-03-31,1454.48,1467.23,1411.36,1427.44,0.11364975,1.5588233881
2000-04-03,1438.2,1467.94,1411.48,1430.51,0.09452741,1.2648596751999999
2000-04-04,1420.35,1431.77,1361.79,1374.64,0.13028727,1.6972366069
2000-04-05,1358.58,1404.79,1332.85,1371.62,0.20341865,2.5998217546
2000-04-06,1379.94,1415.89,1364.63,1404.0,0.18358888,2.3980399876
2000-04-07,1410.64,1426.26,1379.89,1398.23,0.15877309,2.0519986756
2000-04-10,1400.41,1440.06,1375.67,1404.4,0.17372842,2.3360386536
2000-04-11,1403.51,1411.62,1365.71,1385.48,0.10380114,1.3577139462999999
2000-04-12,1386.71,1414.39,1358.73,1394.9,0.12128555,1.5473813744999998
2000-04-13,1397.67,1415.17,1375.9,1391.13,0.09043742,1.1602381927
2000-04-14,1395.89,1413.32,1365.06,1386.64,0.12041613,1.5493045863
