date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01242628,0.08199013690000001
2000-01-04,1003.96,1028.74,986.64,1018.14,0.01438795,0.0968684336
2000-01-05,1011.73,1041.56,999.79,1021.39,0.02202113,0.1511379297
2000-01-06,1019.72,1051.43,1007.83,1045.39,0.02727924,0.19165818199999998
2000-01-07,1052.4,1091.31,1044.61,1078.64,0.05722013,0.4161423804
2000-01-10,1082.39,1092.78,1046.43,1082.47,0.05346144,0.40718063369999996
2000-01-11,1085.79,1116.87,1044.57,1055.81,0.05271705,0.4019183797
2000-01-12,1110.73,1115.44,1062.04,1070.76,0.03414107,0.2539229475
2000-01-13,1066.0,1084.6,1057.47,1066.69,0.0171908,0.1183144169
2000-01-14,1065.25,1076.54,1034.87,1040.22,0.01752925,0.1209364775
2000-01-17,1034.31,1062.19,1020.11,1052.2,0.01544087,0.1051903827
2000-01-18,1052.46,1058.47,1032.74,1037.95,0.01595742,0.1134633194
2000-01-19,1034.22,1054.98,1026.13,1037.81,0.01508046,0.103640281
2000-01-20,1039.72,1054.75,1034.87,1050.4,0.01799553,0.12687476179999999
2000-01-21,1048.34,1053.27,1018.02,1029.42,0.03477161,0.23996054449999998
2000-01-24,1024.56,1025.42,987.24,1002.88,0.03832345,0.2576741888
2000-01-25,1002.02,1057.88,994.51,1042.35,0.04897844,0.33022045969999997
2000-01-26,1040.08,1066.64,1027.62,1038.19,0.02645017,0.191274028
2000-01-27,1033.99,1048.13,1008.89,1022.0,0.03599562,0.2479108299
2000-01-28,1045.03,1066.46,1010.58,1041.19,0.06269576,0.4092054397
2000-02-14,1058.7,1131.14,1055.53,1125.22,0.08574395,0.6310055167999999
2000-02-15,1138.19,1169.02,1078.56,1101.4,0.11750101,0.910334022
2000-02-16,1097.24,1131.56,1061.52,1119.32,0.10866654,0.7972336629000001
2000-02-17,1133.7,1169.79,1049.89,1092.89,0.12478549,0.9577555326999999
2000-02-18,1089.58,1118.87,1062.04,1083.19,0.04939362,0.36292529219999997
2000-02-21,1098.24,1137.17,1058.54,1123.0,0.11561546,1.0133567533
2000-02-22,1158.41,1176.9,1095.46,1108.18,0.12550095,1.0364972405
2000-02-23,1110.58,1161.2,1094.23,1154.95,0.07909709,0.6116118439
2000-02-24,1181.0,1190.5,1129.72,1145.06,0.15500605,1.1677831789
2000-02-25,1149.92,1192.62,1124.77,1174.19,0.15945399,1.2415428693000001
2000-02-28,1203.58,1242.13,1179.56,1238.85,0.14807864,1.2370349771
2000-02-29,1289.84,1315.53,1278.01,1308.37,0.14020054,1.1278955617
2000-03-01,1369.53,1399.73,1245.05,1285.43,0.24930449,2.038914506
2000-03-02,1282.65,1352.94,1243.82,1318.1,0.27947675,2.2457221659999997
2000-03-03,1327.54,1361.28,1283.06,1305.8,0.14894364,1.3188167089
2000-03-06,1313.4,1338.07,1229.95,1232.67,0.13646067,1.2092769190000001
2000-03-07,1203.73,1236.56,1183.25,1223.39,0.08624188,0.6925825945
2000-03-08,1227.66,1271.22,1206.82,1262.19,0.06760755,0.5538347575
2000-03-09,1268.23,1279.67,1221.31,1237.11,0.0600941,0.5175106582
2000-03-10,1235.0,1254.93,1192.66,1205.99,0.05199956,0.4250388415
2000-03-13,1215.14,1274.35,1209.84,1256.1,0.07804904,0.5368575254
2000-03-14,1245.44,1283.7,1174.13,1252.06,0.16102855,1.0661655203
2000-03-15,1251.19,1278.14,1224.04,1245.44,0.10148413,0.6922435687999999
2000-03-16,1231.78,1255.12,1176.57,1194.87,0.06614725,0.4833325843
2000-03-17,1184.95,1246.87,1180.12,1235.29,0.06602653,0.5373967771
2000-03-20,1253.92,1300.79,1249.75,1291.43,0.0987883,0.8370088344
2000-03-21,1314.57,1334.3,1271.62,1298.22,0.19628899,2.1710046905000002
2000-03-22,1298.03,1338.07,1275.07,1313.09,0.11275303,0.9927419605
2000-03-23,1317.21,1357.01,1290.0,1334.78,0.12741703,1.2246567857
2000-03-24,1349.75,1365.61,1281.3,1296.72,0.1258881,1.1801937121
2000-03-27,1284.66,1344.26,1278.09,1328.97,0.12232567,1.0802492794
2000-03-28,1349.92,1381.27,1310.9,1346.47,0.14819291,1.1850400585
2000-03-29,1351.28,1381.03,1306.72,1354.64,0.12369855,1.2677857457
2000-03-30,1363.58,1407.57,1340.59,1379.71,0.14023764,1.5782460133
2000-03-31,1379.33,1438.12,1347.36,1392.1,0.16332399,1.6699853572
2000-04-03,1393.37,1430.56,1359.99,1365.82,0.09531157,0.9191140823
2000-04-04,1356.63,1360.0,1302.72,1309.06,0.0795742,0.7518826671
2000-04-05,1308.49,1341.88,1290.85,1318.9,0.0497793,0.464957633
2000-04-06,1320.71,1361.92,1312.49,1355.61,0.05249933,0.5113164847999999
2000-04-07,1361.84,1384.42,1335.6,1354.26,0.06129376,0.537111177
2000-04-10,1350.94,1402.59,1338.69,1379.32,0.08916063,0.78036332
2000-04-11,1387.01,1415.94,1352.1,1360.88,0.0824991,0.8199571729
2000-04-12,1371.5,1392.59,1342.18,1364.99,0.10150718,1.1290738081
2000-04-13,1368.53,1391.52,1354.07,1372.86,0.06072176,0.5657594150999999
2000-04-14,1376.07,1437.25,1359.74,1401.77,0.13019877,1.1981295840000001
2000-04-17,1405.83,1451.64,1347.85,1407.66,0.15616203,1.6255295515000001
2000-04-18,1404.71,1449.96,1356.21,1411.51,0.05828064,0.4788391
