date,open,high,low,close,volume,amount
2021-12-13,5596.17,5736.31,5485.02,5639.64,11.51183377,188.8687823444
2021-12-14,5646.04,5766.84,5503.43,5625.58,9.78427433,167.21977745040002
2021-12-15,5608.33,5714.14,5511.86,5576.0,8.85282372,136.0416208327
2021-12-16,5602.55,5728.06,5508.25,5624.62,8.81297483,131.7455139808
2021-12-17,5607.83,5723.75,5498.65,5583.0,8.83652391,131.5189745804
2021-12-20,5559.32,5692.86,5379.41,5497.87,10.58688713,166.1020072624
2021-12-21,5469.88,5584.83,5367.06,5482.81,8.12275566,121.16050210270001
2021-12-22,5496.95,5645.32,5418.18,5531.38,9.36401438,130.3052623333
2021-12-23,5544.48,5667.57,5444.35,5553.92,9.48640024,130.56972058
2021-12-24,5562.52,5626.0,5337.54,5410.23,10.98155446,153.7011701242
2021-12-27,5418.44,5585.74,5320.5,5439.05,8.21826117,114.8701933181
2021-12-28,5470.0,5726.42,5418.74,5660.85,10.24815304,182.0675025248
2021-12-29,5624.37,5827.7,5554.1,5675.54,10.12538095,175.4940853721
2021-12-30,5661.05,5785.42,5565.82,5647.24,8.53726999,138.86342135520002
2021-12-31,5649.42,5850.27,5586.29,5769.6,9.89257384,161.2812032146
2022-01-04,5794.03,5876.28,5528.31,5682.39,10.00919172,171.1819844405
2022-01-05,5638.12,5728.65,5471.71,5563.55,9.36265653,143.23686541290002
2022-01-06,5547.49,5755.92,5459.43,5638.9,9.84700269,169.6685561641
2022-01-07,5629.31,5680.22,5388.09,5423.83,10.00692678,161.5118655273
2022-01-10,5430.26,5593.0,5353.47,5494.11,7.90285249,131.63729176569998
2022-01-11,5484.47,5681.71,5381.99,5551.48,11.34016327,187.1664143991
2022-01-12,5584.36,5695.65,5458.94,5584.54,9.95542498,168.3138785495
2022-01-13,5579.39,5659.28,5382.61,5432.54,9.729758,174.40845416049999
2022-01-14,5407.69,5571.68,5338.82,5474.7,8.65440179,149.5124041101
2022-01-17,5429.03,5592.29,5331.28,5527.63,6.19620467,101.00070927729999
2022-01-18,5491.3,5597.41,5373.33,5496.4,7.000515,101.2846816308
2022-01-19,5440.13,5538.58,5243.57,5376.28,7.14354185,112.77347690059999
2022-01-20,5297.26,5395.59,5091.94,5199.39,8.83872611,140.6371193336
2022-01-21,5154.17,5281.13,5042.24,5164.3,6.19172503,89.5917685476
2022-01-24,5098.76,5359.02,5012.24,5285.62,6.30056261,110.7208138636
2022-01-25,5216.28,5339.34,5068.63,5134.13,6.32892444,99.5224905508
2022-01-26,5123.39,5255.25,5028.75,5174.11,4.83744282,74.9679036724
2022-01-27,5119.61,5259.48,5017.39,5095.17,5.35501671,82.988492166
2022-01-28,5083.59,5225.94,4909.54,5096.53,6.13909631,99.60190174959999
2022-02-07,5140.37,5270.6,5044.01,5171.73,5.63942207,92.02772570309999
2022-02-08,5143.4,5207.27,4980.54,5148.9,7.35513292,113.1629688344
2022-02-09,5135.4,5293.11,5063.74,5227.58,7.09975565,118.1578127786
2022-02-10,5226.41,5328.14,5127.31,5219.19,7.27292531,115.2476857607
2022-02-11,5178.22,5334.64,5074.74,5165.45,8.07091342,131.9930278347
2022-02-14,5154.66,5365.51,5118.79,5235.37,7.02979862,122.08417201350001
2022-02-15,5241.28,5326.32,5126.99,5280.24,7.36619553,123.7396367241
2022-02-16,5340.57,5530.73,5281.39,5423.02,8.79609072,167.0042324906
2022-02-17,5451.11,5733.82,5377.61,5607.95,13.21585381,246.7887413679
2022-02-18,5561.51,5687.55,5484.44,5599.21,10.40565964,197.0604243329
2022-02-21,5611.93,5747.02,5508.14,5645.89,9.80003624,193.73377164509998
2022-02-22,5646.71,5791.4,5534.62,5713.09,11.01526307,218.57579525810002
2022-02-23,5745.64,5952.82,5664.74,5864.56,13.0988789,252.6148086958
