date,open,high,low,close,volume,amount
2021-12-13,7104.63,7144.94,6809.6,6904.31,0.28147905,24.989009123400002
2021-12-14,6911.17,6977.2,6766.35,6866.51,0.23555014,16.271259910599998
2021-12-15,6910.03,6959.76,6717.72,6737.38,0.20000165,13.997718349500001
2021-12-16,6737.72,6900.68,6661.5,6818.02,0.17088197,13.83335268
2021-12-17,6806.84,6868.44,6566.15,6597.87,0.22264122,15.4636857708
2021-12-20,6590.61,6694.65,6449.65,6516.7,0.18160312,13.2894361848
2021-12-21,6482.33,6685.26,6434.35,6651.24,0.18266319,14.680188745
2021-12-22,6670.33,6830.49,6588.75,6745.53,0.17947246,12.995958905
2021-12-23,6767.54,6945.24,6672.34,6801.05,0.27017826,17.92163784
2021-12-24,6807.0,6877.05,6505.51,6575.71,0.24672394,16.4760651651
2021-12-27,6546.48,6620.73,6393.96,6501.42,0.17537069,12.1914685574
2021-12-28,6526.56,6659.79,6393.09,6574.65,0.16737385,13.552332146300001
2021-12-29,6602.02,6738.5,6508.99,6602.88,0.1829693,13.6529706349
2021-12-30,6614.28,6690.62,6508.47,6580.44,0.14965476,11.8910009634
2021-12-31,6612.85,6813.46,6572.59,6687.3,0.2016469,13.9607120576
2022-01-04,6678.96,6726.83,6368.69,6441.71,0.21799678,16.684018396400003
2022-01-05,6417.5,6510.61,6176.36,6242.96,0.29019276,17.1277530166
2022-01-06,6215.11,6309.5,6038.9,6204.86,0.27314313,17.1915667229
2022-01-07,6203.24,6293.04,5996.37,6066.07,0.3054887,15.9682966934
2022-01-10,6067.86,6147.67,5947.94,6069.29,0.27154894,14.6705208731
2022-01-11,6093.09,6156.9,5921.83,5963.17,0.23890882,13.534682043
2022-01-12,6060.31,6217.83,5956.44,6126.48,0.27522804,19.5595878758
2022-01-13,6100.67,6211.45,5971.71,6026.03,0.25654032,15.029220107899999
2022-01-14,6011.43,6176.91,5928.72,6071.57,0.25378497,16.4956646198
2022-01-17,6075.87,6185.71,5946.66,6096.94,0.23391926,13.5881465375
2022-01-18,6131.52,6275.11,6013.16,6128.34,0.20316837,14.8973369165
2022-01-19,6097.2,6157.4,5894.66,5987.12,0.23356887,14.976650890899998
2022-01-20,5974.36,6037.74,5707.78,5762.12,0.34197765,19.0378406578
2022-01-21,5751.29,5876.32,5607.64,5692.19,0.27945124,16.0133213405
2022-01-24,5702.62,5961.12,5617.36,5868.19,0.27945016,15.412683673699998
2022-01-25,5841.12,5927.35,5672.49,5709.19,0.28409337,12.737862515
2022-01-26,5801.84,5896.94,5633.24,5746.77,0.22458251,13.331034710099999
