date,open,high,low,close,volume,amount
2021-12-13,2720.15,2757.23,2697.16,2735.59,20.43310866,76.40337460159999
2021-12-14,2725.31,2747.98,2674.61,2685.73,20.02269922,74.3631243195
2021-12-15,2681.01,2752.87,2669.79,2719.37,25.88347155,88.84001782989999
2021-12-16,2716.29,2834.36,2708.95,2824.18,37.12606172,146.8491260275
2021-12-17,2830.09,2899.39,2802.15,2825.18,33.85327184,124.3291130682
2021-12-20,2828.85,2882.23,2773.64,2790.87,26.34505807,98.3742832849
2021-12-21,2785.81,2853.15,2751.17,2833.63,22.22143267,80.81364479300001
2021-12-22,2838.03,2852.54,2771.46,2788.86,21.3238347,77.2989960938
2021-12-23,2798.94,2833.53,2779.76,2812.32,19.68625012,72.2561856766
2021-12-24,2813.82,2823.81,2716.63,2729.67,24.02484016,84.8898288829
2021-12-27,2696.96,2730.38,2649.67,2695.22,18.76860788,67.8325125208
2021-12-28,2693.43,2722.18,2658.36,2694.47,16.33744381,59.777776278699996
2021-12-29,2689.31,2724.13,2660.68,2680.72,14.86307914,53.0371007837
2021-12-30,2689.0,2717.86,2664.21,2679.67,14.27116106,52.786248401499996
2021-12-31,2673.33,2712.1,2660.44,2695.36,13.13118037,48.4644125091
2022-01-04,2698.48,2752.95,2682.05,2730.11,18.47773693,69.0761381815
2022-01-05,2736.98,2752.18,2664.38,2686.14,20.28393459,72.9953868222
2022-01-06,2678.62,2789.2,2667.73,2752.76,25.17693509,102.02640956549999
2022-01-07,2755.61,2883.86,2745.62,2848.46,37.13161622,149.7467466635
2022-01-10,2885.12,2907.9,2812.44,2857.51,29.18663143,116.6496556866
2022-01-11,2861.16,2938.66,2832.65,2875.68,27.42505421,114.5289701219
2022-01-12,2843.45,2853.85,2760.75,2805.38,29.36896813,108.3203523755
2022-01-13,2801.28,2839.81,2763.44,2776.15,19.28212021,73.448837258
2022-01-14,2764.02,2773.99,2692.92,2710.86,20.22794997,72.17961989289999
2022-01-17,2693.14,2728.36,2661.77,2700.2,15.78576638,57.1894918834
2022-01-18,2698.7,2782.38,2682.77,2750.51,17.56437998,74.23662506720001
2022-01-19,2789.72,2850.87,2761.17,2814.35,28.93943123,129.3138516643
2022-01-20,2810.85,2888.23,2772.41,2805.14,27.16997471,112.63215370540001
2022-01-21,2792.48,2805.43,2722.47,2737.77,18.75649426,74.8107220128
2022-01-24,2730.53,2792.97,2683.0,2755.6,16.10130021,61.9843715596
2022-01-25,2738.43,2764.35,2632.68,2638.88,18.31733381,66.9837538501
2022-01-26,2631.79,2712.86,2614.17,2672.6,14.73257211,57.816904913100004
2022-01-27,2666.32,2690.33,2598.73,2617.07,15.96412608,56.7226350988
2022-01-28,2631.7,2647.06,2510.23,2567.71,20.52284215,77.3963029722
2022-02-07,2591.34,2726.94,2584.79,2706.46,26.05200031,96.02304477930001
2022-02-08,2718.21,2800.87,2688.94,2792.04,28.91994232,109.139240979
2022-02-09,2788.43,2824.92,2754.35,2791.67,22.03131021,82.8209824862
2022-02-10,2793.28,2845.27,2758.34,2814.81,20.25399442,80.8374998763
2022-02-11,2805.77,2866.59,2775.7,2790.17,20.51261015,86.12983376
2022-02-14,2768.42,2799.2,2705.65,2728.07,17.63997488,70.58615014760001
2022-02-15,2728.2,2747.48,2671.64,2701.54,15.97233446,59.27958376390001
2022-02-16,2714.2,2808.33,2704.93,2767.93,21.24473517,80.1666501867
2022-02-17,2764.2,2806.7,2731.89,2763.72,18.80920792,68.21685452060001
2022-02-18,2744.98,2850.28,2731.18,2838.8,24.35051687,101.3937504908
2022-02-21,2846.1,2870.35,2791.46,2830.06,19.47106968,84.8660930803
2022-02-22,2808.93,2841.11,2751.11,2789.0,18.92530815,78.8605944711
2022-02-23,2785.68,2806.86,2749.34,2783.61,15.37375031,62.9327457996
2022-02-24,2768.69,2793.23,2662.42,2700.43,25.49782879,96.61974419229999
