date,open,high,low,close,volume,amount
2021-12-13,6055.83,6126.97,5873.25,5990.06,3.17235615,46.3154241536
2021-12-14,5988.38,6062.54,5807.25,5869.96,2.90858712,35.7692952386
2021-12-15,5875.94,6042.49,5801.69,5887.87,2.23457077,32.8981862598
2021-12-16,5891.12,6127.54,5852.4,6020.38,4.34885588,45.3332855179
2021-12-17,6026.14,6155.08,5913.51,5983.07,3.38426185,38.7057939305
2021-12-20,5949.24,6111.01,5863.33,5938.97,2.64082752,37.5387993518
2021-12-21,5922.82,6088.79,5829.02,5980.63,2.21936675,31.669531393000003
2021-12-22,6011.06,6109.07,5893.16,5942.77,1.97901758,29.795567339699996
2021-12-23,5947.93,6010.93,5806.44,5868.25,2.152387,33.9785392972
2021-12-24,5883.93,5929.64,5667.91,5751.89,2.19057363,37.954195593
2021-12-27,5757.11,5926.03,5680.07,5821.28,1.85428482,33.0417925835
2021-12-28,5845.48,6044.2,5776.51,6002.74,1.83511709,38.9554284866
2021-12-29,6006.18,6252.62,5951.07,6124.33,1.80494858,47.3944872508
2021-12-30,6148.83,6343.53,6065.72,6221.76,1.95241912,36.5231257294
2021-12-31,6275.49,6418.84,6147.63,6299.51,2.35696679,42.251460070300006
2022-01-04,6324.14,6476.44,6135.67,6276.29,2.70255839,46.088589132399996
2022-01-05,6280.52,6370.75,6000.83,6140.02,2.58153663,43.4321862193
2022-01-06,6129.55,6368.73,6036.49,6268.48,3.34946235,47.168192616999995
2022-01-07,6257.84,6408.02,5948.64,6075.72,4.43204861,62.601692324
2022-01-10,6063.67,6200.34,5830.36,5956.99,3.58369236,60.5170943525
2022-01-11,5969.31,6085.98,5780.24,5885.03,4.34329808,63.1076791522
2022-01-12,5928.22,6012.57,5763.17,5874.24,3.47441439,50.767866585200004
2022-01-13,5833.13,5890.62,5570.54,5659.21,3.28294105,49.519839840299994
2022-01-14,5615.55,5832.16,5514.71,5708.15,3.25863723,48.6366004264
2022-01-17,5686.8,5884.67,5639.06,5783.84,2.24121152,35.7844487016
2022-01-18,5791.7,5983.26,5694.95,5843.52,2.65828909,42.838371901500004
2022-01-19,5844.93,5950.32,5616.58,5694.01,4.31580771,57.123681660699994
2022-01-20,5672.35,5780.93,5480.46,5612.2,4.99403006,64.4097912494
2022-01-21,5546.16,5756.52,5445.35,5645.13,3.25426335,45.7069932435
2022-01-24,5628.24,5905.02,5537.36,5811.6,2.7237301,37.9507742793
2022-01-25,5834.07,5912.56,5656.99,5675.01,2.8101567,42.304836625300005
2022-01-26,5701.81,5796.49,5587.28,5671.9,1.92281737,27.873451205
2022-01-27,5721.87,5814.72,5562.99,5593.85,1.9976047,34.744483861599996
2022-01-28,5664.28,5728.34,5423.61,5546.08,2.28749587,35.1509520108
2022-02-07,5674.69,5857.44,5462.95,5646.36,2.85106509,41.065526225700005
2022-02-08,5672.21,5823.27,5511.26,5735.59,3.28753083,41.6717607602
2022-02-09,5717.93,5983.98,5610.97,5887.54,2.86398005,42.1271639797
2022-02-10,5869.35,5956.66,5701.03,5804.18,2.42694887,35.518419768
2022-02-11,5788.47,5938.33,5651.41,5794.94,2.61505302,39.7651319283
2022-02-14,5760.0,5930.61,5652.11,5762.83,2.24351645,34.4383758598
2022-02-15,5758.63,5851.04,5622.7,5774.25,2.05469903,30.608761121399997
2022-02-16,5849.76,5943.52,5690.9,5785.26,2.32759984,36.924413229
2022-02-17,5754.48,5997.5,5673.51,5904.82,1.96634267,36.405211275999996
2022-02-18,5870.18,6141.42,5817.88,6024.83,4.48536908,59.7973287737
2022-02-21,6061.0,6182.03,5952.8,6059.47,3.3908371,50.5935452436
2022-02-22,6098.03,6174.52,5814.55,5927.53,5.44178338,68.07322198
2022-02-23,5970.29,6094.1,5818.14,6009.0,4.0639138,51.8955884943
2022-02-24,5977.76,6075.73,5743.83,5834.9,4.2687441,54.3811963019
2022-02-25,5874.44,6104.49,5832.81,5959.52,3.80630194,47.4747472302
2022-02-28,5961.68,6066.14,5840.07,5929.7,2.56383807,39.8603418913
2022-03-01,5912.54,5983.3,5735.73,5811.77,2.6255845,45.2676314307
2022-03-02,5792.18,5896.78,5711.7,5782.64,2.48499167,35.055322098699996
2022-03-04,5674.11,5765.71,5546.19,5618.73,3.67282401,42.4855357907
2022-03-07,5649.29,5715.62,5424.5,5500.22,4.09920511,46.8655914003
2022-03-08,5519.67,5570.53,5185.67,5251.43,5.65743574,65.7569288295
2022-03-09,5223.93,5291.61,4926.83,5149.82,5.03594897,57.671576423599994
2022-03-10,5298.53,5413.79,5188.83,5340.17,3.36800254,45.61863343899999
2022-03-11,5269.17,5376.92,5096.73,5311.81,3.42367807,44.292046895
2022-03-14,5232.53,5381.77,5117.01,5154.77,2.60505696,35.0303242895
2022-03-15,5117.62,5243.74,4869.71,4895.45,3.89150421,45.6165883837
2022-03-16,5002.88,5098.45,4771.89,5047.82,3.16100139,42.267536075100004
2022-03-17,5158.67,5302.59,5059.87,5146.93,3.41007103,48.4023228261
2022-03-18,5145.12,5223.61,5011.25,5137.87,2.70861612,35.3240789071
2022-03-21,5132.12,5328.21,5024.34,5220.21,3.80295243,47.106106679700005
2022-03-22,5209.36,5400.91,5150.25,5279.45,2.84214619,37.799393351599996
2022-03-24,5258.1,5332.07,5136.29,5234.29,2.042301,29.1580529846
2022-03-25,5230.48,5340.08,5136.3,5176.35,2.02266322,29.849172807600002
2022-03-28,5137.41,5222.59,4961.54,5108.92,2.16650747,31.0634063486
2022-03-29,5129.73,5274.52,5077.51,5164.46,1.81822217,27.3209955299
2022-03-30,5182.41,5297.31,5136.88,5266.77,2.08298799,26.627706822399997
2022-04-01,5217.39,5369.41,5157.82,5312.24,2.40673882,32.254681588000004
2022-04-06,5312.3,5486.18,5188.44,5401.6,4.01993358,45.8096286125
2022-04-07,5360.12,5502.85,5243.34,5266.96,3.81910289,40.3281110304
2022-04-08,5286.72,5360.77,5087.8,5232.37,3.09868332,39.2508663771
2022-04-11,5204.65,5225.0,4946.78,5017.2,2.90057016,38.6446646522
2022-04-12,4994.58,5091.21,4889.36,4990.64,2.7338418,31.594481456300002
2022-04-13,4929.88,5028.72,4803.71,4904.47,2.58548598,32.589023719000004
2022-04-15,4938.67,5121.81,4876.75,5001.82,3.95293922,40.4526703043
2022-04-18,4955.9,5075.93,4836.33,5012.8,2.41854915,26.7024969237
2022-04-19,5002.76,5127.73,4938.58,5054.58,2.29735433,25.4225863452
2022-04-20,5040.58,5089.31,4850.97,4873.93,2.56885235,27.427216556399998
