date,open,high,low,close,volume,amount
2014-02-21,6649.09,6758.03,6622.65,6660.72,1.43756885,22.6045210639
2014-02-24,6624.02,6624.3,6478.03,6524.97,1.51903369,24.086349568200003
2014-02-25,6522.27,6566.03,6279.61,6337.7,1.48952618,24.6427232597
2014-02-26,6342.38,6511.64,6323.82,6511.36,1.39807982,23.933470003000004
2014-02-27,6515.75,6548.96,6362.46,6364.89,1.37304877,24.0010971859
2014-02-28,6335.46,6448.58,6317.25,6440.14,1.19649569,20.7214892675
2014-03-03,6447.44,6497.19,6404.17,6497.19,1.21215151,20.299934104400002
2014-03-04,6463.54,6635.92,6428.26,6580.61,1.64531764,29.399121596700002
2014-03-05,6580.1,6586.0,6499.71,6507.01,1.10514446,18.9976021196
2014-03-06,6476.61,6490.22,6398.86,6463.83,0.91062799,15.489735698299999
2014-03-07,6481.21,6658.93,6480.05,6579.03,1.6287551,29.5068830416
2014-03-10,6481.22,6481.22,6278.47,6290.6,1.29412992,20.7946994301
2014-03-11,6267.72,6301.81,6208.96,6278.52,0.92004953,13.8197230923
2014-03-12,6256.81,6329.35,6218.27,6329.35,1.09743104,14.8056713701
2014-03-13,6336.07,6381.64,6310.95,6331.84,0.87309574,12.6059340231
2014-03-14,6302.29,6327.03,6256.85,6273.98,0.90864576,12.9021223547
2014-03-17,6282.23,6348.58,6248.61,6348.58,0.96237591,13.9337354256
2014-03-18,6351.27,6394.29,6314.08,6355.22,0.99688072,15.0542178646
2014-03-19,6325.73,6326.23,6264.6,6291.91,1.02749877,14.6806194589
2014-03-20,6261.79,6309.58,6135.01,6137.91,0.9564629,13.988726268499999
2014-03-21,6095.23,6307.31,6042.95,6288.7,1.37547917,21.8985734939
2014-03-24,6277.38,6372.16,6270.04,6336.56,1.18208698,20.3726014145
2014-03-25,6305.74,6370.52,6273.12,6330.87,1.03977939,16.1291438912
2014-03-26,6328.36,6481.25,6249.2,6424.54,1.22367612,22.011970529899997
2014-03-27,6397.86,6411.94,6297.34,6309.71,1.17195934,19.3855387614
2014-03-28,6302.28,6356.27,6237.43,6245.96,0.99229092,15.7144800022
2014-03-31,6218.78,6278.07,6166.35,6191.98,0.65039003,10.0847828158
2014-04-01,6182.33,6270.04,6180.81,6253.3,0.63149459,9.832343543
2014-04-02,6250.72,6311.34,6243.93,6263.99,0.79356874,12.8568720541
2014-04-03,6278.5,6301.16,6220.55,6251.02,0.87896604,13.417288212
2014-04-04,6241.63,6517.47,6232.7,6487.71,1.86142868,32.4727655549
2014-04-08,6448.89,6648.38,6440.34,6607.08,1.91614095,33.5664413544
2014-04-09,6624.05,6668.76,6577.96,6624.6,1.22166158,20.3563540282
2014-04-10,6630.1,6658.8,6562.61,6611.77,1.55742264,26.068540984000002
2014-04-11,6596.35,6608.31,6536.77,6541.39,1.15164246,18.1031574003
2014-04-14,6505.88,6694.08,6505.88,6651.17,1.55848391,25.477405690700003
2014-04-15,6625.71,6644.66,6562.23,6589.41,1.1546666,18.668214889
2014-04-16,6543.76,6570.74,6456.91,6460.06,1.19243705,20.550880840799998
2014-04-17,6469.26,6500.18,6451.76,6452.38,0.8739639,13.855764736600001
2014-04-18,6429.6,6491.52,6408.77,6470.94,0.79283385,12.7877508305
2014-04-21,6429.89,6483.45,6348.02,6351.65,0.89794405,14.373793170299999
2014-04-22,6337.66,6366.55,6209.45,6300.78,1.06325085,17.0231622558
2014-04-23,6296.86,6359.06,6273.96,6318.02,0.95862577,14.6566062499
2014-04-24,6309.89,6331.05,6248.26,6249.14,0.78453623,11.9818995389
2014-04-25,6252.51,6262.94,6184.93,6193.01,0.92784801,13.9529905078
2014-04-28,6234.47,6254.09,6080.09,6085.97,1.10494964,15.8500038328
2014-04-29,6057.38,6199.85,6057.38,6199.85,1.01254704,14.1882105324
2014-04-30,6188.98,6189.16,6156.72,6164.99,0.75959757,10.5456664682
2014-05-05,6146.72,6200.69,6094.76,6187.78,0.84251712,11.3170144481
2014-05-06,6184.42,6264.67,6172.8,6219.53,0.81618113,11.504047816400002
2014-05-07,6182.07,6217.75,6156.18,6173.11,0.9972139,14.0035439672
2014-05-08,6173.67,6287.42,6172.44,6247.86,1.26210433,18.4012441666
2014-05-09,6276.59,6506.4,6274.77,6472.44,2.67181393,36.249474815
2014-05-12,6541.04,6887.34,6506.54,6843.1,3.42701204,52.695276506800006
2014-05-13,6913.71,6930.1,6693.02,6725.02,4.47111383,61.9786262713
2014-05-14,6689.65,6700.02,6617.59,6635.88,2.64395091,35.1845469634
2014-05-15,6550.63,6562.88,6450.84,6457.61,2.47217474,32.3200710937
2014-05-16,6454.89,6497.99,6399.23,6460.14,1.70256042,22.9802588135
2014-05-19,6451.48,6507.36,6401.38,6483.15,1.81586909,25.5244271327
2014-05-20,6547.94,6562.78,6398.05,6405.64,1.79605901,24.7173778404
2014-05-21,6367.01,6467.42,6339.9,6459.01,1.38599565,18.3545297241
2014-05-22,6448.58,6489.77,6393.66,6393.81,1.21617812,17.3595079716
2014-05-23,6384.63,6413.88,6372.22,6404.4,0.97102324,13.7581336644
2014-05-26,6438.74,6458.26,6429.55,6454.9,1.42313767,20.284513388900002
2014-05-27,6458.08,6458.08,6403.01,6403.01,1.01414743,14.404458764300001
2014-05-28,6392.45,6447.26,6376.47,6443.61,1.26279665,18.1505802473
2014-05-29,6438.65,6454.81,6381.36,6382.41,1.35237028,19.3358746503
2014-05-30,6383.05,6564.05,6382.5,6516.28,2.1753682,29.2669228706
2014-06-03,6506.05,6622.2,6506.05,6518.5,2.58484234,35.9024716248
2014-06-04,6484.88,6485.76,6353.48,6380.52,1.88125057,27.373308565100004
2014-06-05,6381.61,6506.79,6381.24,6465.87,1.35995805,22.6665332089
2014-06-06,6466.85,6467.49,6386.92,6426.23,1.22241967,18.9747569056
2014-06-09,6436.69,6522.4,6410.37,6433.08,1.16894428,20.7769702396
2014-06-10,6416.2,6455.87,6372.9,6453.84,1.14156192,16.748362978299998
2014-06-11,6434.21,6525.55,6423.01,6515.14,1.57371644,24.0648535733
2014-06-12,6483.32,6546.67,6444.76,6476.09,1.78445083,27.0240998685
2014-06-13,6456.73,6577.19,6456.09,6533.1,2.05868864,29.7645944281
2014-06-16,6562.83,6575.24,6527.41,6553.42,1.95845619,26.429265723
2014-06-17,6579.32,6601.61,6512.14,6515.35,1.82859044,27.421101991300002
2014-06-18,6527.79,6693.57,6489.28,6655.15,2.9809254,41.3050370389
2014-06-19,6618.85,6646.21,6487.79,6510.66,3.52559391,46.19940032979999
2014-06-20,6497.04,6579.48,6475.57,6535.99,1.83673619,25.4103514761
2014-06-23,6531.09,6675.11,6506.81,6634.8,2.33550854,33.4858009158
