date,open,high,low,close,volume,amount
2014-02-21,996.97,1010.57,990.37,997.9,2.79638075,23.278709227399997
2014-02-24,991.66,991.66,967.09,975.91,2.52179159,20.0614817999
2014-02-25,977.11,981.77,944.35,947.4,2.95887778,25.737748328000002
2014-02-26,945.46,965.46,937.99,965.46,2.50695122,20.9248830351
2014-02-27,963.04,964.51,946.06,946.8,2.48593559,19.9985692875
2014-02-28,945.18,961.3,944.9,960.47,2.37923104,20.119507277
2014-03-03,960.53,971.39,958.64,971.39,2.73074451,23.6728677607
2014-03-04,966.95,974.88,960.85,974.46,2.80459291,27.4898245575
2014-03-05,974.57,976.9,967.62,969.16,2.26660133,20.9873152597
2014-03-06,966.41,970.73,957.33,967.63,1.98618827,19.548966814
2014-03-07,971.22,980.97,968.58,970.54,2.43994753,22.4321859277
2014-03-10,956.77,956.77,930.03,931.86,2.73819295,22.6104256319
2014-03-11,929.34,936.99,925.19,935.09,1.7188802,14.942617489100002
2014-03-12,929.22,940.3,926.0,940.27,1.89942072,16.0037829554
2014-03-13,938.67,946.5,937.19,942.57,1.75466115,14.0078440878
2014-03-14,937.52,940.05,930.32,934.83,1.39160765,11.3856720648
2014-03-17,937.84,945.78,935.97,945.78,1.65999282,14.1907737954
2014-03-18,945.47,949.51,942.27,947.0,1.84921632,15.2969470175
2014-03-19,944.15,944.32,934.89,940.62,1.97050654,15.7338200228
2014-03-20,939.96,945.31,926.6,926.6,2.03347698,16.2275459828
2014-03-21,923.75,951.02,919.64,949.82,2.58336523,18.98702084
2014-03-24,948.74,962.86,947.02,961.7,3.02778846,21.4585006696
2014-03-25,957.7,980.06,955.99,969.23,3.47378568,22.875906297600004
2014-03-26,969.05,973.3,961.86,969.83,2.45619758,18.171373279
2014-03-27,966.06,968.84,956.84,957.15,2.18976188,16.3527662982
2014-03-28,957.25,973.6,949.68,959.25,3.62150498,23.1537493804
2014-03-31,958.48,962.37,945.55,951.64,2.39476707,16.1791114384
2014-04-01,951.1,958.51,949.6,956.92,1.66495984,11.1684230329
2014-04-02,963.28,968.57,961.18,964.99,2.42563144,18.1517321588
2014-04-03,965.07,972.41,960.88,967.34,3.47514604,22.2768186191
2014-04-04,961.89,975.58,960.43,972.73,2.71810104,18.0095737702
2014-04-08,968.82,985.42,967.34,982.3,3.17710822,21.7568188335
2014-04-09,982.73,985.17,977.93,979.86,2.32982284,17.1514598304
2014-04-10,980.6,986.65,975.89,983.21,3.30194755,22.2780613539
2014-04-11,980.06,986.26,978.83,983.64,2.85199413,19.5130609803
2014-04-14,983.5,990.19,980.4,990.16,2.58563711,18.6672313087
2014-04-15,987.95,987.95,979.36,980.34,2.70470581,19.4157229679
2014-04-16,977.85,985.22,977.64,981.23,2.35936613,17.461074707999998
2014-04-17,982.76,983.66,979.28,981.32,1.75614284,13.0433970925
2014-04-18,983.78,984.38,978.42,982.58,1.83136492,13.879142506300001
2014-04-21,979.66,981.51,966.03,966.38,2.09792107,15.937802488099999
2014-04-22,967.25,969.91,956.16,965.94,2.60543141,21.5794766315
2014-04-23,965.02,974.24,964.86,970.7,1.68929361,13.2915470571
2014-04-24,972.06,974.11,966.48,967.2,1.86108703,16.0476734834
2014-04-25,968.09,968.87,952.59,952.81,1.92707201,14.621645806099998
2014-04-28,950.13,951.56,933.43,933.93,1.99621437,14.6276286224
2014-04-29,933.89,945.89,933.85,945.65,1.40063795,10.7017680212
2014-04-30,942.84,945.3,940.07,943.86,1.22008775,9.4683747636
2014-05-05,941.59,949.32,938.86,949.32,1.46940247,10.735228298400001
2014-05-06,948.89,955.11,947.57,952.16,1.42548605,11.7066956023
2014-05-07,949.35,952.51,946.16,946.18,1.46775086,13.1818831106
2014-05-08,942.21,952.76,940.12,944.93,1.50456664,12.3776431892
2014-05-09,945.28,967.41,945.25,958.16,2.62158217,19.5844740145
2014-05-12,961.35,1006.18,959.5,1005.75,5.57998906,44.42205484310001
2014-05-13,1007.04,1011.07,982.65,988.86,4.48393912,37.636427795500005
2014-05-14,985.54,988.72,980.51,980.72,2.61971427,22.838907416599998
2014-05-15,975.33,976.59,962.62,963.8,2.4316903,20.3337781683
2014-05-16,961.95,968.25,959.17,967.54,1.86700632,16.6514656479
2014-05-19,964.56,967.7,956.33,965.14,1.80558477,15.240156458800001
2014-05-20,968.88,971.91,957.14,958.51,1.60973152,14.153565560899999
2014-05-21,954.55,964.65,948.19,963.37,1.62796857,12.9879288347
2014-05-22,962.51,968.73,954.27,954.33,1.71919602,13.6419019838
2014-05-23,954.13,959.88,953.03,959.76,1.4133643,11.062195304000001
2014-05-26,963.88,967.92,963.22,966.58,1.54105075,13.189777682699999
2014-05-27,965.72,966.29,961.6,963.1,1.44884597,12.2932117648
2014-05-28,964.16,971.29,960.18,970.51,2.12161496,17.6037756908
2014-05-29,969.74,970.18,957.43,957.67,1.8892893,16.0309835302
2014-05-30,957.39,967.1,956.38,962.46,1.99828982,15.9129774842
2014-06-03,962.96,971.26,962.29,964.13,2.03823261,16.5409157078
2014-06-04,962.0,962.26,946.32,951.27,1.85628987,14.8818697004
2014-06-05,949.82,957.35,949.32,957.35,1.65439519,14.022080369700001
2014-06-06,957.86,958.55,949.57,953.36,1.55968381,12.784202170599999
2014-06-09,952.33,960.65,951.78,953.89,1.65594224,13.093554924200001
2014-06-10,956.5,964.02,955.53,963.93,2.03292524,15.240957742
2014-06-11,964.64,978.19,963.6,977.5,3.80514187,27.4948168383
2014-06-12,972.84,988.5,970.98,982.48,3.79138413,28.900850080500003
2014-06-13,980.55,993.13,980.55,989.95,4.21722056,36.0478641133
2014-06-16,989.12,992.3,985.53,989.84,3.20973306,27.5897428352
2014-06-17,988.79,988.93,977.87,978.84,2.61027343,21.983833877600002
2014-06-18,978.72,994.39,972.25,988.88,3.52337279,28.2197487742
2014-06-19,986.2,986.2,958.21,962.1,2.99486319,23.277077811799998
2014-06-20,965.49,980.99,965.43,980.3,3.17273318,26.052512597800003
2014-06-23,981.0,1016.46,981.0,1011.27,5.30504942,44.3868492011
2014-06-24,1012.12,1026.08,1007.33,1020.96,6.22425932,54.055874158900004
2014-06-25,1015.43,1015.48,1004.22,1008.71,4.51412028,40.9571439359
2014-06-26,1006.93,1017.79,1006.93,1013.28,4.05018067,36.8804327023
2014-06-27,1011.73,1022.78,1006.05,1014.18,4.85262764,40.121865939
2014-06-30,1010.77,1018.14,1009.33,1018.14,5.47103635,39.2124104894
2014-07-01,1023.05,1054.25,1021.42,1036.17,6.57309407,54.5909945715
2014-07-02,1029.78,1032.99,1019.57,1032.99,4.46343834,38.0878741741
2014-07-03,1053.81,1063.77,1042.93,1057.44,7.34968411,61.3810169899
2014-07-04,1052.27,1061.12,1049.02,1055.19,5.11156701,44.716681961000006
2014-07-07,1051.41,1052.36,1040.66,1044.84,3.48999056,30.427984767399998
2014-07-08,1045.5,1055.8,1038.85,1054.75,3.56526255,30.6425304344
2014-07-09,1051.05,1057.68,1035.49,1035.73,4.03155141,33.2076598609
2014-07-10,1033.16,1044.71,1029.24,1039.9,3.82281899,29.541013077
2014-07-11,1038.92,1051.37,1037.02,1045.73,3.96596403,29.9538848633
2014-07-14,1049.3,1067.75,1048.04,1067.62,4.44787692,38.339611486100004
2014-07-15,1064.76,1065.73,1055.39,1063.96,3.97877587,31.5905441988
2014-07-16,1062.0,1073.88,1060.86,1061.6,4.93703059,37.0888120978
2014-07-17,1060.24,1070.24,1054.44,1061.75,4.70249507,36.5376115004
2014-07-18,1059.13,1074.92,1057.37,1065.61,4.56053973,31.619837220900003
2014-07-21,1063.02,1064.3,1054.1,1057.42,4.36456472,31.651116687
2014-07-22,1063.43,1103.11,1063.3,1096.9,8.89446615,65.9615050939
2014-07-23,1096.72,1110.75,1096.72,1108.46,9.4451968,75.48250581479999
2014-07-24,1098.93,1118.86,1093.08,1114.2,8.0626143,64.35807530390001
2014-07-25,1119.66,1157.3,1119.65,1148.6,10.65883597,89.7072180555
2014-07-28,1154.05,1199.1,1154.05,1186.75,12.63749408,106.95314111629999
2014-07-29,1190.95,1207.44,1180.82,1197.58,11.87666612,104.29091083709999
2014-07-30,1183.61,1195.43,1181.34,1188.02,10.72953553,88.5955882608
2014-07-31,1195.25,1215.03,1195.25,1214.94,9.94173502,90.05984875280001
2014-08-01,1207.99,1210.26,1190.46,1193.55,10.61974641,89.7068874206
2014-08-04,1194.17,1225.03,1189.96,1225.03,11.19172457,95.6775826691
