date,open,high,low,close,volume,amount
2021-12-13,33142.93,33542.82,32603.51,33134.17,2.67355672,177.22402425060002
2021-12-14,32888.04,33229.32,31947.81,32373.22,2.374598,167.766598841
2021-12-15,32280.55,32746.02,31093.96,31270.99,2.28741375,179.7794033959
2021-12-16,31240.48,31457.35,30556.69,31151.27,1.76739448,122.93032372280001
2021-12-17,31020.13,31284.03,30369.0,30543.59,1.83486542,115.69480923040001
2021-12-20,30136.39,30778.68,28579.42,28807.14,3.10151054,211.65235167080002
2021-12-21,28553.66,29218.11,28080.87,28811.33,2.28052428,148.5369807694
2021-12-22,29002.71,29403.5,28616.62,28791.75,2.0109641,123.81224848629999
2021-12-23,29253.85,29519.91,28151.78,28509.96,2.13086652,135.0300199623
2021-12-24,28539.39,28739.39,26905.03,27203.19,2.62004042,167.3664374761
2021-12-27,27340.1,28109.71,26892.48,27569.35,1.86612798,126.90197912629999
2021-12-28,27629.76,29225.9,27549.0,29082.11,2.89779552,215.5659792149
2021-12-29,29101.34,30089.27,28654.57,28976.0,2.91705552,214.1458897036
2021-12-30,29070.55,29409.21,28305.14,28598.05,2.15451899,149.1062218034
2021-12-31,28923.58,29676.5,28669.43,29537.59,2.6900952,189.0822975521
2022-01-04,30147.49,30378.31,27753.39,28111.24,3.64743383,244.7804983168
2022-01-05,27863.9,28079.4,26734.45,27020.33,2.4115905,155.0639748461
2022-01-06,26750.42,27812.62,26405.23,27545.64,2.5085874,168.6172741325
2022-01-07,27410.34,27537.34,25895.17,26250.94,2.86025402,187.9274669445
2022-01-10,26283.43,27200.61,26019.31,26716.26,2.08995409,136.4947470395
2022-01-11,26763.89,27178.19,25916.15,26334.83,2.31943105,139.3774470848
2022-01-12,27212.92,27891.72,26722.01,27516.79,3.2632528,193.4243694975
2022-01-13,27645.37,27824.88,26400.23,26729.4,2.83230414,198.10686993439998
2022-01-14,26440.98,27088.91,26157.68,26824.71,1.99125451,127.3698998926
2022-01-17,26681.75,26877.25,25942.46,26490.67,2.01972545,125.0205376264
2022-01-18,26307.79,27088.43,26049.94,26592.64,1.69686746,111.52738608850001
2022-01-19,26414.11,26519.42,25043.09,25440.14,2.21590362,148.20141801030002
2022-01-20,25526.17,25862.98,25028.57,25196.66,2.38967688,116.13715009389999
2022-01-21,25033.2,25858.21,24616.0,25299.6,2.03191259,109.9132425177
2022-01-24,25163.59,27147.18,24998.67,26904.96,2.92793147,198.1345568242
2022-01-25,26822.13,27457.04,26360.18,26542.38,2.72421702,182.2089318095
2022-01-26,26999.05,27263.83,26035.06,26530.5,1.80136963,123.0700949897
2022-01-27,27027.38,27311.33,26113.74,26187.86,1.99292193,147.9669925162
2022-01-28,26356.01,26616.15,25104.01,25589.93,3.0087901,138.5579054831
2022-02-07,26278.34,26902.53,25250.79,25676.88,2.50843372,144.5696212654
2022-02-08,25675.09,25771.82,24073.75,24859.74,2.08129989,129.4401088903
2022-02-09,24772.59,25744.18,24231.27,25530.62,2.61148082,135.6223486087
2022-02-10,25521.45,25891.68,24895.02,25463.39,2.1341171,116.34563579459999
2022-02-11,25493.74,26790.48,24999.36,25773.78,2.53928286,171.86743332490002
2022-02-14,25609.84,26885.22,25376.03,26283.22,2.07792703,140.50207382600001
2022-02-15,26405.28,27136.02,25870.31,27040.27,1.97508002,136.32876379340001
2022-02-16,27336.33,27811.8,26781.21,26978.93,2.00120127,141.463084839
2022-02-17,26909.14,29163.76,26695.92,28749.76,3.76407277,274.0642978838
2022-02-18,28375.35,28925.84,28125.14,28521.39,2.20933624,150.2011016305
2022-02-21,28602.29,28969.02,28022.4,28464.93,2.09474678,143.31733410520002
2022-02-22,29208.22,29747.85,28711.84,29445.6,3.2856642,226.2368175566
2022-02-23,29384.7,30236.06,29252.74,29897.22,3.03911646,176.4803077869
2022-02-24,29362.78,29912.1,28229.8,28890.01,3.49196333,208.2924791225
2022-02-25,29539.22,30232.06,29007.99,29689.29,2.41993809,151.50209609569998
2022-02-28,29775.76,30687.57,29577.07,30317.6,2.74967339,177.4296285208
2022-03-01,30249.18,30336.36,28613.22,29186.26,2.86424762,202.6081263216
2022-03-02,29125.29,29399.96,28470.45,29085.76,1.98549621,121.04752272200001
2022-03-04,28685.54,29151.45,27857.05,28098.91,2.37764264,145.1358292884
2022-03-07,28013.77,28538.22,27276.45,27685.66,3.12668831,146.2533910796
2022-03-08,28079.87,28341.61,25177.41,25295.46,6.49112858,259.326558915
2022-03-09,24611.14,24857.15,23397.66,24375.27,4.19319435,171.27280402120002
2022-03-10,25635.63,25938.83,24740.68,25406.9,3.78858227,199.48289979959998
2022-03-11,24530.58,25167.85,23811.69,25028.13,2.90572273,140.8331283889
2022-03-14,24410.7,25013.12,23813.51,24053.57,2.53823058,131.2611653991
2022-03-15,23758.29,25312.79,23488.78,24361.03,3.07533665,187.4644242841
2022-03-16,24904.52,25738.34,24000.42,25532.15,3.32756292,210.64534618119998
2022-03-17,25739.5,26369.9,25156.34,25386.25,3.26353063,199.19560308529998
2022-03-18,25018.71,25259.4,24411.48,25007.29,2.11870039,128.9844266398
2022-03-21,24956.02,26243.52,24703.11,25709.12,2.6004669,159.6250123529
2022-03-22,25695.17,26486.53,25344.89,25829.82,2.18578097,135.4854598403
2022-03-24,25380.41,25925.91,24803.56,25551.08,2.42989562,140.0047229012
2022-03-25,25567.78,26061.88,25084.06,25443.1,2.45597479,147.0216337613
2022-03-28,25018.02,25204.5,23949.49,24361.85,2.23222053,131.2621016212
2022-03-29,24468.78,25056.71,24117.67,24647.58,1.88393088,117.4065321823
2022-03-30,24816.24,25589.3,24503.54,25407.98,2.02540411,133.1427733836
2022-04-01,24316.82,25239.34,24237.27,24792.77,1.60309416,99.3853998363
2022-04-06,24871.58,24977.22,24077.84,24424.18,1.42306358,88.0151140525
2022-04-07,24177.83,24783.03,23822.96,24267.68,1.66453992,108.1696370729
2022-04-08,24319.25,24564.04,23422.12,23619.42,1.86842567,117.98445192209999
2022-04-11,23192.83,23252.67,21448.11,21509.67,2.93687668,169.4886413953
2022-04-12,21336.12,21968.31,21121.58,21793.43,1.96924535,109.156406929
2022-04-13,21629.38,22783.14,21453.56,22129.48,2.25975389,122.1145022067
2022-04-15,21916.26,22116.77,21181.92,21708.32,1.66451309,95.540448667
2022-04-18,21586.44,21893.74,20790.0,21772.88,1.3413791,82.6870623733
2022-04-19,21876.8,22171.53,21603.77,21760.81,1.2971812,68.49270840060001
2022-04-20,21920.84,21982.97,20945.0,21017.7,1.32663774,69.8033740788
2022-04-21,20850.01,21232.48,19941.65,20066.75,1.68003122,92.7848276715
2022-04-22,19858.36,20175.48,19403.86,19619.7,1.42761928,79.5645653538
2022-04-25,19228.6,19375.13,17936.52,17953.58,2.3058917,116.0159927051
2022-04-26,18057.04,18307.83,17474.39,17654.82,2.13915909,93.9613356384
2022-04-27,17538.74,19403.3,17293.4,19383.19,2.8497362,135.0899747477
2022-04-28,19756.77,20858.4,19539.13,20276.8,3.43946932,188.10258225029997
2022-04-29,20476.92,21743.01,20182.35,21616.21,3.2736275,189.9622390336
2022-05-06,20936.42,21483.47,20714.81,21066.55,2.00020318,116.82759745610001
2022-05-10,20642.5,21927.05,20566.09,21818.83,2.1848636,136.3475638129
2022-05-11,21741.66,23511.47,21506.51,22620.97,3.19407751,208.9284711523
2022-05-12,22308.43,22819.08,22038.82,22367.33,1.99465178,123.891136679
2022-05-13,22594.92,22871.97,22067.44,22302.78,1.62208081,90.76222663530001
2022-05-16,22526.2,23092.45,22260.16,22351.81,1.59150366,95.10246193549999
2022-05-17,22284.04,24092.65,22190.38,23560.76,3.23399098,203.60951292389998
