date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.08023992,0.7878597457
2000-01-04,1000.75,1026.17,984.03,1018.96,0.12736424,1.2524569407
2000-01-05,1019.03,1048.19,1003.45,1026.22,0.274899,2.7370683564999996
2000-01-06,1022.82,1070.48,1009.25,1065.29,0.36694565,3.7183715676999998
2000-01-07,1073.37,1113.53,1061.55,1097.11,0.69877986,7.2821720841
2000-01-10,1107.52,1132.63,1079.34,1116.77,0.51312438,5.3074851961
2000-01-11,1119.57,1134.11,1053.82,1071.49,0.44219072,4.705103832
2000-01-12,1069.62,1098.01,1033.71,1054.69,0.53032099,5.0146233661
2000-01-13,1048.2,1068.31,1024.29,1039.79,0.26283948,2.6896687973
2000-01-14,1038.03,1052.7,1007.17,1018.48,0.21531048,2.0585401236000003
2000-01-17,1015.21,1045.24,995.18,1036.75,0.2110092,2.2562581649
2000-01-18,1042.07,1069.03,1016.83,1043.83,0.28476531,3.2815239355
2000-01-19,1045.87,1068.49,1029.63,1054.59,0.28879435,3.4840622791
2000-01-20,1055.82,1084.0,1038.14,1070.67,0.26883531,2.8804083075999998
2000-01-21,1074.43,1106.93,1048.85,1079.26,0.41849911,4.687247784599999
2000-01-24,1074.66,1101.68,1035.23,1076.61,0.45373182,5.1166221678
2000-01-25,1080.2,1098.3,1050.24,1070.34,0.32742159,3.5291818416000003
2000-01-26,1070.62,1089.25,1047.82,1063.34,0.28511569,3.0706912202999996
2000-01-27,1066.9,1095.55,1044.06,1075.16,0.44926894,4.5814801738
2000-01-28,1074.76,1109.05,1052.69,1089.15,0.51874085,5.6672586049
2000-02-14,1125.45,1190.36,1100.49,1185.12,0.73974805,8.412519233400001
2000-02-15,1209.95,1257.23,1154.46,1188.2,1.01725287,11.7031855375
2000-02-16,1193.2,1233.3,1159.35,1211.54,0.79615327,8.9729050158
2000-02-17,1240.49,1284.54,1166.74,1200.49,1.40233044,16.893411310999998
2000-02-18,1209.02,1250.59,1147.37,1233.69,1.14355317,14.8410490228
2000-02-21,1249.41,1310.75,1203.26,1281.85,1.41173137,18.074252894100002
2000-02-22,1297.21,1326.32,1216.99,1229.02,1.25697078,14.543559993199999
2000-02-23,1211.44,1236.71,1159.38,1176.01,0.72665573,8.22241852
2000-02-24,1173.81,1221.02,1157.62,1210.79,0.4400854,5.1126053353
2000-02-25,1214.25,1251.23,1180.61,1215.73,0.58976734,7.3795736236
2000-02-28,1213.45,1280.19,1194.24,1267.64,0.82561106,10.3742306233
2000-02-29,1287.16,1323.78,1231.88,1272.08,0.93257771,11.8255174125
2000-03-01,1272.01,1305.87,1224.13,1253.98,0.60589203,7.13126792
2000-03-02,1253.62,1290.64,1219.77,1261.02,0.56162086,6.6493535
2000-03-03,1275.19,1308.66,1239.29,1271.94,0.70834836,8.7853926162
2000-03-06,1273.92,1298.67,1205.48,1211.4,0.66385632,7.5590886974
2000-03-07,1198.89,1246.26,1181.61,1233.27,0.45609845,5.0245745629
2000-03-08,1243.51,1267.65,1211.14,1242.44,0.41879408,4.9100747772
2000-03-09,1245.41,1271.79,1220.29,1245.55,0.4469355,5.9078920029
2000-03-10,1243.68,1262.62,1207.8,1223.59,0.37760788,4.7056625927999995
2000-03-13,1225.78,1259.67,1205.66,1245.87,0.38308205,4.6161820450999995
2000-03-14,1227.56,1248.29,1176.13,1224.34,0.63663063,6.7713320148000005
2000-03-15,1230.43,1261.87,1207.86,1234.15,0.67089539,7.229552282699999
2000-03-16,1225.93,1239.93,1159.86,1174.59,0.46103116,4.7754804463
2000-03-17,1167.24,1218.8,1161.97,1206.83,0.36755077,3.8782234517000003
2000-03-20,1197.66,1257.64,1178.38,1246.77,0.50374662,5.480045059199999
2000-03-21,1247.68,1273.52,1215.28,1242.15,0.57234512,6.268346036900001
2000-03-22,1242.31,1271.96,1222.68,1250.85,0.40746958,4.4042687893
2000-03-23,1252.7,1281.7,1232.97,1262.29,0.49351417,5.4816066588
2000-03-24,1270.5,1305.03,1245.03,1257.53,0.73230892,8.0718957009
2000-03-27,1261.5,1320.67,1247.85,1299.95,0.85776485,9.7132916213
2000-03-28,1310.11,1341.38,1279.44,1315.22,0.69853335,8.390773773400001
2000-03-29,1319.44,1352.91,1283.79,1320.15,0.66204399,8.534363585
2000-03-30,1322.53,1353.43,1298.3,1327.18,0.60468126,7.4431769227
2000-03-31,1325.93,1354.3,1295.79,1320.75,0.81117102,9.4435107172
2000-04-03,1325.18,1355.38,1296.93,1316.97,0.66694464,7.8788833759
2000-04-04,1312.08,1328.99,1269.09,1287.78,0.56609128,6.7047109224
2000-04-05,1279.96,1319.74,1262.71,1295.34,0.58154172,6.763746983200001
2000-04-06,1298.3,1331.67,1286.04,1319.53,0.55778738,6.931173168200001
2000-04-07,1325.18,1345.51,1300.61,1325.94,0.52953812,6.4620206316
2000-04-10,1328.53,1353.22,1307.4,1332.09,0.54573153,6.280673857999999
2000-04-11,1332.28,1357.18,1296.49,1318.49,0.50212743,6.0360862823
2000-04-12,1318.48,1347.36,1293.5,1320.27,0.39961765,5.0051539295
2000-04-13,1323.31,1362.84,1305.83,1347.58,0.59122064,8.201592545499999
2000-04-14,1350.68,1373.38,1318.38,1342.49,0.59139565,7.645166304299999
2000-04-17,1334.84,1359.6,1288.83,1318.74,0.65483989,7.921704103500001
2000-04-18,1327.47,1358.92,1290.03,1323.17,0.14467848,1.70874818
2000-04-19,1343.86,1372.69,1317.32,1344.66,0.71890191,9.1442921181
2000-04-20,1347.8,1381.42,1325.36,1351.49,0.85293375,10.717377405299999
2000-04-21,1354.03,1373.65,1318.54,1335.77,0.56190298,6.7461446089
2000-04-24,1334.3,1358.16,1307.29,1329.31,0.49184818,6.108495124
2000-04-25,1330.98,1355.36,1303.48,1326.36,0.40356808,5.009193555
2000-04-26,1329.29,1345.43,1305.22,1316.32,0.337534,4.1350986329
2000-04-27,1316.01,1331.03,1282.93,1292.03,0.33172396,3.9460768375
2000-04-28,1291.84,1318.68,1268.5,1302.26,0.39896719,5.073865212099999
