date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.12385673,1.2163220355
2000-01-04,1002.51,1034.83,988.76,1025.39,0.14054239,1.3830963604
2000-01-05,1026.51,1056.35,1007.52,1026.95,0.15559387,1.2867385452
2000-01-06,1018.73,1068.38,1012.89,1063.87,0.1724243,1.4778242675
2000-01-07,1072.06,1126.34,1062.28,1111.66,0.46837962,4.422868730199999
2000-01-10,1129.25,1155.4,1103.86,1137.58,0.47298548,4.693541908
2000-01-11,1145.01,1149.47,1075.77,1087.3,0.42826254,3.8609296757
2000-01-12,1081.12,1106.06,1048.59,1063.71,0.24668567,2.0954715502
2000-01-13,1062.07,1097.99,1044.97,1072.08,0.2217532,2.2689674089
2000-01-14,1073.74,1095.79,1046.0,1058.94,0.19947046,1.9167675524
2000-01-17,1062.19,1090.55,1042.23,1084.5,0.21336392,2.1436198163999998
2000-01-18,1086.57,1103.55,1064.71,1080.82,0.19594574,1.9751374572999998
2000-01-19,1079.54,1108.76,1067.12,1089.17,0.23030998,2.3948727808
2000-01-20,1091.26,1112.87,1073.91,1095.98,0.22397685,2.3062389065
2000-01-21,1101.54,1133.55,1074.3,1101.96,0.3517405,4.2390040919
2000-01-24,1101.15,1140.27,1074.55,1123.51,0.41638429,5.1536894517
2000-01-25,1135.23,1161.32,1100.57,1128.84,0.34377192,3.7571175862
2000-01-26,1138.86,1156.38,1102.32,1120.76,0.23998241,2.5996276522999997
2000-01-27,1131.79,1149.47,1101.16,1119.43,0.30127135,3.2111250754
2000-01-28,1122.04,1144.15,1089.56,1123.64,0.36587339,3.9372782517
2000-02-14,1153.7,1228.42,1138.85,1226.36,0.54624899,5.8704726409
2000-02-15,1253.93,1305.51,1205.21,1221.0,0.81162908,9.154895842
2000-02-16,1217.31,1271.2,1177.82,1238.82,0.68646805,7.7698099786000006
2000-02-17,1268.8,1329.14,1175.82,1202.44,0.94381059,9.2516780461
2000-02-18,1189.35,1225.48,1145.85,1194.18,0.43088842,4.2118683805
2000-02-21,1197.83,1252.04,1161.49,1225.56,0.68818396,6.7561938954
2000-02-22,1236.99,1263.92,1170.7,1178.51,0.52584538,4.9945326385
2000-02-23,1170.8,1205.74,1136.89,1160.25,0.39238284,3.7160589864999998
2000-02-24,1163.53,1201.52,1148.57,1185.86,0.3112086,3.1201684452
2000-02-25,1196.86,1218.44,1157.11,1179.89,0.43160154,4.2272830234
2000-02-28,1187.16,1243.06,1164.17,1220.88,0.65806145,6.0652392461
2000-02-29,1231.15,1274.59,1180.12,1231.39,0.59305662,5.702997445599999
2000-03-01,1235.35,1294.28,1213.79,1258.12,0.52278189,5.423125874299999
2000-03-02,1263.66,1290.58,1228.41,1267.69,0.42815492,4.6114622743
2000-03-03,1292.97,1335.78,1262.08,1293.1,0.75169763,9.0948134842
2000-03-06,1292.4,1332.11,1232.22,1239.62,0.89175419,8.159730759
2000-03-07,1216.71,1256.68,1196.08,1240.1,0.39293077,3.8935917672
2000-03-08,1243.54,1280.51,1226.87,1267.37,0.33907252,3.559420322
2000-03-09,1269.37,1298.4,1237.89,1269.84,0.40661358,4.1519694072
2000-03-10,1271.52,1290.18,1230.49,1244.99,0.43699303,4.2254853723000005
2000-03-13,1242.7,1305.24,1231.9,1286.58,0.47726983,4.9123448646
2000-03-14,1261.41,1287.51,1211.94,1253.66,0.56275489,5.9758855325
2000-03-15,1254.42,1302.37,1235.82,1271.2,0.52873971,5.0771789738
2000-03-16,1267.16,1285.69,1192.84,1213.07,0.43659605,4.4090973174
2000-03-17,1206.94,1271.99,1202.32,1258.06,0.37835035,4.1665130769
2000-03-20,1254.8,1349.92,1240.02,1342.51,0.60613502,6.6880546339
2000-03-21,1371.12,1426.41,1331.44,1379.78,1.21233187,14.679187009000001
2000-03-22,1376.68,1413.56,1337.82,1376.54,0.70535603,7.9766323026
2000-03-23,1383.87,1418.37,1349.26,1397.98,0.66168547,7.0695327585
2000-03-24,1415.21,1457.13,1356.93,1372.02,0.94111287,11.4404006043
2000-03-27,1382.31,1453.49,1363.51,1430.98,0.83924053,10.4678309031
2000-03-28,1445.56,1481.54,1404.0,1448.48,0.84653941,9.7813693759
2000-03-29,1451.45,1469.2,1386.28,1419.75,0.64928522,7.874204220599999
2000-03-30,1425.35,1480.42,1415.28,1456.89,0.58375272,6.677011801900001
2000-03-31,1457.58,1478.73,1411.57,1436.96,0.49269238,5.6697508712
2000-04-03,1438.29,1486.64,1415.39,1437.43,0.46315831,5.5803629378999995
2000-04-04,1433.11,1447.7,1380.52,1394.39,0.3964967,4.3491362801
2000-04-05,1384.86,1424.67,1368.21,1404.15,0.3249613,3.624907288
2000-04-06,1405.98,1442.36,1394.03,1434.09,0.32001346,3.5184774395
2000-04-07,1442.37,1463.54,1408.55,1434.5,0.38730144,3.9814915799
2000-04-10,1444.13,1477.72,1416.47,1448.73,0.49273856,4.9943239099
2000-04-11,1446.73,1470.58,1413.66,1433.44,0.41897022,4.5043371182
2000-04-12,1436.53,1450.83,1396.37,1418.17,0.27266568,2.8571384408999996
2000-04-13,1421.67,1459.36,1398.85,1437.42,0.46195201,4.9673073951
2000-04-14,1441.09,1456.18,1405.12,1421.83,0.44132416,4.417716973
2000-04-17,1416.96,1430.65,1362.14,1383.4,0.39802392,4.1199986186
2000-04-18,1393.97,1420.52,1365.76,1395.36,0.19741443,2.08518884
2000-04-19,1411.55,1460.74,1399.19,1441.6,0.48879405,4.4624444982
2000-04-20,1449.15,1486.57,1423.71,1462.79,0.67948042,6.255005172100001
2000-04-21,1467.07,1516.05,1443.34,1465.86,0.59302934,5.525960863099999
2000-04-24,1468.45,1503.92,1436.67,1472.31,0.57552601,5.450420107899999
2000-04-25,1477.05,1499.83,1445.06,1464.27,0.31043763,3.0568068549
2000-04-26,1460.79,1492.5,1437.94,1459.39,0.3820394,3.4174496238
2000-04-27,1460.29,1480.81,1425.49,1436.92,0.31372073,2.980981916
2000-04-28,1434.25,1473.15,1414.99,1457.51,0.2902958,3.0358979301
2000-05-08,1465.09,1496.17,1429.52,1454.8,0.19582828,1.9585163266999999
2000-05-09,1454.75,1483.7,1422.89,1444.33,0.35982553,3.4183109217000003
2000-05-10,1441.6,1450.71,1384.66,1395.49,0.35913277,3.3928368756
2000-05-11,1387.69,1417.44,1362.4,1377.98,0.2559734,2.3727327519
2000-05-12,1379.0,1406.27,1345.37,1373.65,0.24954127,2.4673588447999997
2000-05-15,1373.09,1395.05,1339.91,1369.13,0.36121879,3.3516644610000004
2000-05-16,1371.08,1403.27,1356.55,1384.21,0.2710982,2.5149250777
2000-05-17,1387.6,1412.08,1366.7,1385.38,0.36070891,3.0422218762
2000-05-18,1383.54,1430.3,1365.69,1424.76,0.44691328,4.1500804666
2000-05-19,1427.98,1453.18,1408.84,1444.28,0.29940662,2.8257480257
2000-05-22,1449.37,1514.85,1434.11,1488.74,0.7139749,6.9949372011
2000-05-23,1496.61,1548.21,1471.6,1523.14,0.64337883,6.912702052
2000-05-24,1531.2,1562.83,1496.84,1529.71,0.63459177,6.930222398
2000-05-25,1534.43,1572.33,1510.16,1546.2,0.5556316,6.1059993095000005
2000-05-26,1550.59,1580.86,1517.52,1541.86,0.49202478,5.4271419867
2000-05-29,1552.03,1598.99,1518.72,1572.7,0.41723957,4.6190690804
2000-05-30,1586.75,1619.94,1536.68,1571.13,0.78321539,8.5106592704
2000-05-31,1564.41,1598.82,1534.62,1572.28,0.42738433,4.5686080641
2000-06-01,1578.45,1614.29,1553.02,1584.67,0.4696164,4.8468824447
2000-06-02,1585.61,1610.67,1555.58,1577.83,0.43916642,4.535212884
2000-06-05,1588.54,1622.65,1532.26,1554.7,0.60510739,6.069587188200001
2000-06-06,1563.13,1599.19,1534.32,1588.35,0.46213123,5.1780480385
2000-06-07,1601.42,1626.3,1577.08,1598.51,0.445808,5.2133974531
2000-06-08,1610.23,1634.66,1567.08,1591.87,0.50861586,5.731263832200001
2000-06-09,1595.21,1624.17,1547.65,1561.57,0.46535809,5.037916753999999
2000-06-12,1557.75,1607.15,1527.94,1593.56,0.41103278,4.3520658301
2000-06-13,1602.33,1634.58,1578.79,1620.55,0.36530891,4.1486588304000005
2000-06-14,1623.84,1646.95,1587.84,1612.96,0.45236426,5.0948292405
2000-06-15,1612.27,1640.91,1583.45,1618.83,0.27568743,3.4428839494
2000-06-16,1626.75,1663.97,1580.89,1624.47,0.4206527,5.479261565599999
2000-06-19,1619.79,1650.89,1588.36,1613.68,0.34250988,4.2995175016000005
2000-06-20,1614.14,1643.92,1583.74,1612.97,0.44477631,5.0706695535
2000-06-21,1608.53,1672.49,1601.33,1647.09,0.40770962,5.519624633099999
2000-06-22,1649.72,1689.25,1631.99,1663.03,0.37420893,4.5863300550999995
2000-06-23,1666.7,1711.26,1651.47,1689.81,0.44171004,6.3635027324
2000-06-26,1696.43,1744.32,1674.79,1716.03,0.57649255,6.8615823142
2000-06-27,1716.8,1757.14,1675.43,1706.91,0.61481784,7.1798735744
2000-06-28,1705.78,1751.42,1687.11,1717.07,0.55640914,6.2998464091
2000-06-29,1720.63,1741.7,1663.55,1688.44,0.48331897,5.916512243500001
2000-06-30,1679.62,1717.53,1647.5,1676.44,0.46802713,5.6547531228
2000-07-03,1663.52,1681.46,1620.16,1641.9,0.31380185,3.7406102955000002
2000-07-04,1631.56,1684.14,1619.98,1675.8,0.20010262,2.4628304559
2000-07-05,1681.14,1714.66,1654.41,1690.2,0.20539235,2.5028824426
2000-07-06,1690.42,1719.55,1666.83,1690.03,0.19698432,2.4707462807
2000-07-07,1689.73,1742.03,1681.5,1727.04,0.228218,2.9335798082999998
2000-07-10,1735.87,1781.8,1707.99,1746.14,0.37598138,5.0415069168
2000-07-11,1750.93,1781.98,1717.77,1745.62,0.39936109,4.8633485674
2000-07-12,1747.24,1780.9,1722.59,1752.0,0.36930844,4.5228899992
2000-07-13,1756.46,1795.19,1726.14,1759.21,0.42615555,6.2613101747
2000-07-14,1762.84,1801.56,1741.37,1779.13,0.28449058,3.9643316634
2000-07-17,1795.95,1834.4,1760.04,1795.67,0.41790403,5.3594446332
2000-07-18,1795.84,1823.99,1776.76,1804.53,0.29324904,3.7097489093
2000-07-19,1809.12,1850.3,1789.79,1826.92,0.38413944,5.306299485
2000-07-20,1827.84,1856.55,1793.68,1823.6,0.44650105,5.2628037951
2000-07-21,1825.41,1850.09,1795.0,1819.41,0.38604827,4.5978395474000004
2000-07-24,1823.41,1844.79,1770.14,1793.29,0.43804057,5.2168535992
2000-07-25,1790.38,1837.94,1772.17,1813.18,0.30503125,3.6811424735000005
2000-07-26,1816.64,1847.88,1792.03,1819.83,0.42067481,4.9004449812
2000-07-27,1823.52,1852.58,1796.28,1818.58,0.43296495,5.234517304700001
2000-07-28,1822.07,1861.12,1801.27,1832.38,0.42238411,5.570653876000001
2000-07-31,1835.88,1866.85,1800.08,1832.12,0.52642219,6.2983644696
2000-08-01,1833.12,1868.92,1810.34,1840.01,0.36685724,4.4829979312
2000-08-02,1841.78,1876.48,1818.41,1852.61,0.39304915,4.9187243095
2000-08-03,1848.88,1869.78,1817.96,1840.17,0.32143124,4.1244212434
2000-08-04,1837.78,1854.85,1783.45,1800.91,0.34785929,4.4073367727
2000-08-07,1795.32,1840.96,1775.27,1821.8,0.34932733,4.3746596982999995
2000-08-08,1827.79,1857.94,1803.31,1831.02,0.28015568,3.6450432404
2000-08-09,1837.54,1875.5,1811.04,1858.35,0.36941697,5.0577321449
2000-08-10,1867.66,1897.22,1832.73,1861.28,0.39293167,5.4815638462
2000-08-11,1862.24,1899.83,1845.57,1876.02,0.39654352,5.740644753200001
2000-08-14,1884.8,1933.16,1869.19,1914.64,0.39464464,6.4140159538
2000-08-15,1923.98,1955.4,1892.32,1921.75,0.41870205,6.6823509162
2000-08-16,1926.84,1964.67,1899.82,1936.1,0.6350149,7.8430900864
2000-08-17,1941.9,1981.84,1914.93,1953.22,0.58053177,7.2896903738
2000-08-18,1958.25,1993.49,1925.57,1955.76,0.58926478,7.727644617999999
2000-08-21,1959.95,2002.14,1935.89,1969.58,0.71847228,8.8391532262
2000-08-22,1970.22,1998.96,1901.7,1921.51,0.65723048,8.8022580429
2000-08-23,1898.75,1949.69,1804.77,1913.78,0.93029645,11.4225210249
2000-08-24,1912.94,1953.27,1878.47,1916.02,0.66125216,8.894658681000001
2000-08-25,1916.59,1939.15,1885.6,1913.87,0.39212747,5.2112003438
2000-08-28,1922.46,1961.75,1897.96,1935.25,0.45010091,5.717244168300001
2000-08-29,1936.9,1966.68,1909.9,1937.55,0.4084858,5.443769480499999
2000-08-30,1938.18,1954.74,1885.97,1914.57,0.41056841,5.5171799215999995
2000-08-31,1899.7,1908.86,1830.7,1843.32,0.47485969,5.9276682997000005
2000-09-01,1823.88,1861.59,1799.8,1826.5,0.36976416,4.7436176001999995
2000-09-04,1821.62,1860.19,1799.79,1850.94,0.28127216,3.5491450782
2000-09-05,1854.19,1870.93,1798.97,1811.37,0.24512881,3.1720152061
2000-09-06,1799.99,1823.6,1748.58,1770.79,0.29499556,3.7891531453
2000-09-07,1774.76,1827.82,1767.81,1801.51,0.23321969,3.1212661411
2000-09-08,1800.03,1825.3,1776.25,1809.06,0.17822101,2.292208149
2000-09-11,1808.48,1843.19,1781.36,1820.27,0.26758406,3.7689105794
2000-09-12,1813.52,1842.17,1778.71,1822.56,0.27311885,3.716585111
2000-09-13,1823.03,1856.77,1798.84,1837.41,0.30080373,4.0508568764
2000-09-14,1832.01,1865.07,1812.28,1839.67,0.33835655,4.6694507526999995
2000-09-15,1832.51,1857.12,1804.68,1832.22,0.19840191,2.7074792053
2000-09-18,1830.43,1862.61,1797.17,1808.53,0.2466519,3.0687108631
2000-09-19,1798.51,1813.78,1747.18,1768.96,0.22366786,2.8431439256
2000-09-20,1770.93,1814.38,1757.7,1797.94,0.20773185,2.760884408
2000-09-21,1806.98,1834.76,1773.46,1792.98,0.22120586,3.5327466382
2000-09-22,1785.45,1811.53,1757.88,1778.69,0.16869602,2.4189642469
2000-09-25,1780.49,1812.23,1749.96,1764.54,0.20037335,2.7845108956
2000-09-26,1762.22,1790.89,1740.12,1765.85,0.13229671,1.8169767694999999
2000-09-27,1768.93,1803.13,1754.08,1788.26,0.11462814,1.6098415072999999
