date,open,high,low,close,volume,amount
2021-12-13,22087.92,22880.76,21977.79,22352.14,8.19537114,131.4625426318
2021-12-14,22161.3,22365.01,21896.19,22119.65,4.56395734,68.7027927837
2021-12-15,22071.76,22340.3,21874.02,21963.87,3.925498,51.35823948149999
2021-12-16,21956.22,22211.8,21760.38,22114.38,3.49859679,49.219642616499996
2021-12-17,22185.06,22376.97,21782.54,21829.63,3.79762504,53.627896087799996
2021-12-20,21760.14,21921.82,21430.36,21509.9,3.63677776,47.0971992884
2021-12-21,21509.51,21860.81,21424.0,21712.5,3.27116805,38.1194984589
2021-12-22,21739.27,21808.01,21375.25,21490.94,3.331095,39.7160077784
2021-12-23,21490.27,21740.28,21166.04,21611.31,3.37054228,50.2263376741
2021-12-24,21559.88,21777.56,21216.86,21291.5,3.20375732,43.552493007200006
2021-12-27,21304.0,21672.67,21171.75,21482.79,2.62485372,36.0768144365
2021-12-28,21528.04,21845.68,21439.49,21676.14,3.03133332,41.8799327404
2021-12-29,21708.73,21855.44,21321.51,21447.09,2.74438287,38.0257705486
2021-12-30,21387.54,21561.19,21236.85,21401.96,2.96178387,40.8549352036
2021-12-31,21420.85,21628.38,21179.93,21343.48,3.35556159,44.6139770119
2022-01-04,21358.95,21540.19,21082.37,21338.39,3.67829606,44.9507133122
2022-01-05,21356.42,21625.54,21076.52,21357.16,4.20393622,56.9592967946
2022-01-06,21252.76,22116.21,21148.65,21939.33,6.39858603,94.7984432918
2022-01-07,21896.56,22999.7,21764.69,22641.68,10.20883834,147.0925365477
2022-01-10,22772.74,23093.53,22255.94,22727.65,5.93538503,83.9327924897
2022-01-11,22762.87,22977.9,22286.98,22430.73,5.19300165,71.4871005704
2022-01-12,22444.42,22578.98,21988.52,22346.48,4.19084136,56.1806005134
2022-01-13,22274.64,22469.39,21881.38,21956.92,3.63269289,50.588101960799996
2022-01-14,21918.57,21989.82,21452.93,21544.67,3.8108284,48.3145782191
2022-01-17,21499.73,21751.13,21308.46,21619.09,2.86335079,38.0146939046
2022-01-18,21547.11,21966.49,21303.2,21761.0,4.02947468,54.477509368599996
2022-01-19,21849.1,22470.79,21753.23,22211.77,5.25098605,81.0674480629
2022-01-20,22181.27,22401.53,21687.02,22066.23,3.89475587,56.184652599799996
2022-01-21,21957.41,22034.7,21260.13,21403.43,3.51583549,57.4332042456
2022-01-24,21264.08,21489.28,20907.93,21125.09,2.61077255,38.844028337800005
2022-01-25,21031.13,21260.68,20273.16,20336.26,4.04632307,53.0221684745
2022-01-26,20363.7,20701.38,20118.89,20508.02,2.61596249,36.0259629663
2022-01-27,20433.63,20504.53,19655.71,19722.53,3.46032207,50.927808595100004
2022-01-28,19772.83,20001.52,19243.95,19507.16,3.09940711,43.3538051679
2022-02-07,19831.47,20197.17,19650.33,20043.2,3.04850208,37.026792836999995
2022-02-08,20193.35,20618.32,19958.25,20382.35,3.96107637,47.9417398524
2022-02-09,20404.79,20492.36,19893.51,20192.77,3.20722084,44.4180211596
2022-02-10,20150.47,20283.64,19826.96,20015.99,2.55745576,38.175559631300004
2022-02-11,19969.24,20184.27,19594.88,19819.53,3.33224924,43.766878139300005
2022-02-14,19671.95,19832.78,19228.7,19421.9,2.65648761,37.3308310819
2022-02-15,19388.16,19720.95,19271.53,19620.68,2.13185802,29.4378782965
2022-02-16,19735.28,19936.68,19492.04,19689.61,2.33791898,35.731090017
2022-02-17,19705.26,19900.34,19439.05,19683.71,2.36420632,36.420818313699996
2022-02-18,19537.12,19847.1,19422.02,19787.26,2.31848108,31.619448317600003
2022-02-21,19778.31,19821.41,19521.21,19683.67,2.23868632,28.0798894113
2022-02-22,19531.98,19569.1,19194.62,19278.9,2.97150034,35.0080639814
2022-02-23,19344.9,19650.29,19275.29,19569.54,2.74800784,34.761071627
2022-02-24,19513.52,19610.26,18874.83,19063.8,4.06473501,48.609126076
2022-02-25,19160.65,19419.28,19017.54,19171.94,2.51718773,33.763756550500005
2022-02-28,19141.6,19176.16,18657.58,18814.5,3.37473643,47.5499254037
2022-03-01,18817.88,19049.3,18745.47,18925.35,2.3757078,32.6322747363
2022-03-02,18839.7,18912.52,18663.63,18808.32,2.09621378,27.637700343600002
2022-03-04,18585.49,18667.28,18246.96,18347.64,3.59863404,42.222553722600004
2022-03-07,18213.36,18264.51,17687.13,17783.91,3.65560228,47.6230453636
2022-03-08,17727.22,17908.68,17010.57,17216.57,3.98246319,47.7903763388
2022-03-09,17261.32,17374.04,15994.05,16696.6,4.33782367,50.756282776400006
2022-03-10,17038.5,17179.87,16779.98,16907.3,3.10839551,37.9986941002
2022-03-11,16681.46,17348.18,16382.23,17298.08,3.45320104,43.1609098733
2022-03-14,17122.72,17414.49,16881.63,16912.18,2.60952969,29.791043510300003
2022-03-15,16838.41,16916.87,15960.2,15997.23,3.62612988,39.8041026723
2022-03-16,16337.71,16600.23,15660.46,16500.72,3.77225514,43.3700436409
2022-03-17,16724.71,17195.97,16595.33,16879.29,4.02726919,51.0103565359
2022-03-18,16789.76,17145.37,16616.02,17020.38,3.10774042,38.3123123898
2022-03-21,17078.0,17202.06,16745.3,16950.67,2.73712657,31.3671082033
2022-03-22,16870.51,17120.69,16717.2,16927.92,2.56073827,27.3317607356
2022-03-24,16844.61,16953.97,16579.43,16714.75,2.22518782,27.2954181394
2022-03-25,16706.98,16826.7,16385.92,16420.99,2.02349297,25.4044385217
2022-03-28,16370.95,16604.2,16033.34,16483.96,2.24482366,26.1158759413
2022-03-29,16487.92,16567.86,16087.89,16144.06,1.95774908,25.33090488
2022-03-30,16242.43,16808.6,16163.1,16772.52,3.16286308,39.9863265763
2022-04-01,16543.1,16750.23,16397.4,16638.25,2.18312272,25.3339222755
2022-04-06,16528.18,17118.19,16383.69,16949.23,4.46455529,47.411035427899996
2022-04-07,16816.62,17114.81,16618.18,16650.16,3.96183916,43.7435924042
2022-04-08,16756.84,17942.78,16682.17,17749.85,9.52986181,110.1435181258
2022-04-11,17711.17,17809.13,17096.06,17223.69,7.51255899,77.1642428287
2022-04-12,17110.61,17496.99,16916.02,17354.65,5.31097516,53.632466451499994
2022-04-13,17174.04,17249.09,16804.53,16880.04,4.24402892,44.8070142678
2022-04-15,17063.37,17263.8,16744.34,16869.6,3.67858707,35.8566526082
2022-04-18,16720.31,16818.29,16401.81,16609.6,2.88150741,28.8975995677
2022-04-19,16582.35,16838.44,16226.45,16380.4,3.50420262,35.1808696546
2022-04-20,16432.68,16583.13,16053.57,16170.07,3.55771922,33.641338671199996
2022-04-21,16108.84,16191.44,15536.22,15608.29,3.92174035,37.8949254984
2022-04-22,15498.57,15825.18,15244.85,15641.66,2.86982329,29.818537799
2022-04-25,15183.03,15330.58,14421.41,14449.59,4.49586295,46.3806228999
2022-04-26,14459.4,14625.47,13825.28,13909.47,4.05233228,38.9224219596
2022-04-27,13839.36,14720.95,13761.62,14651.71,5.15806224,47.399155621999995
2022-04-28,14568.41,14770.08,14218.12,14568.38,3.16270629,33.0455954721
2022-04-29,14509.64,15297.89,14317.95,15121.16,4.7508365,44.7966472337
2022-05-06,14993.59,15362.92,14813.31,15038.79,4.41134181,40.4994355592
2022-05-10,14764.85,15252.68,14578.24,15150.31,3.49408503,34.258504959899994
2022-05-11,15133.24,15540.49,15065.16,15185.71,3.77416617,39.0958210804
2022-05-12,15096.55,15356.19,14888.51,15107.91,4.11685434,36.153283655500005
2022-05-13,15201.14,15645.67,15097.68,15313.63,5.10607392,48.1289794463
2022-05-16,15579.21,15872.98,15313.33,15381.13,6.39884138,57.37214123729999
2022-05-17,15367.71,15510.92,15112.05,15406.81,4.48600703,37.0204509266
2022-05-18,15421.93,15515.08,15208.76,15283.54,3.44987814,30.611486101599997
2022-05-19,15049.65,15279.36,14904.15,15240.48,3.87732718,34.887839681799996
2022-05-20,15299.95,15778.77,15232.31,15653.07,5.10715819,50.4490691326
2022-05-23,15701.89,15810.61,15421.72,15594.41,3.55188179,32.168026308099996
2022-05-24,15633.96,15858.25,15148.26,15182.72,4.63728165,40.6574257574
2022-05-25,15128.91,15468.71,15033.54,15424.01,3.28721629,29.8384111054
2022-05-26,15513.53,16386.24,15419.37,16163.07,8.41162295,82.65513165819999
2022-05-27,16128.33,16363.88,15835.0,16073.46,5.54218343,54.276578047200005
2022-05-30,16115.04,16254.14,15712.45,15942.08,4.80132126,44.9238069966
2022-05-31,15952.13,16213.27,15751.38,16092.0,4.38771238,48.8365874125
2022-06-01,16025.39,16219.7,15859.72,16012.71,3.95369772,39.588213103200005
2022-06-02,16021.71,16335.82,15934.66,16214.26,3.60706624,36.2424999964
2022-06-06,16205.76,16509.46,16044.2,16413.27,4.08855237,44.256520600900004
2022-06-07,16410.07,16690.43,16244.26,16414.66,3.93837012,43.5015515806
2022-06-08,16416.62,16544.08,16043.27,16315.31,4.33763854,39.5965166993
