date,open,high,low,close,volume,amount
2021-12-13,15209.01,15600.49,15084.67,15291.68,3.40491205,85.3757095988
2021-12-14,15238.38,15528.41,15084.51,15315.08,4.07842077,86.80814499479999
2021-12-15,15249.5,15464.25,14991.79,15163.4,3.72408447,81.1866556572
2021-12-16,15172.63,15604.17,15015.45,15443.32,4.00637915,88.1419927168
2021-12-17,15432.67,15672.73,15117.44,15219.39,4.01351376,93.2901300542
2021-12-20,15151.13,15322.87,14777.42,14864.68,3.46105527,76.46292634939999
2021-12-21,14947.7,15206.02,14764.3,15072.6,2.80159123,58.9795727753
2021-12-22,15056.7,15317.37,14780.09,15049.15,3.21050556,70.7614195942
2021-12-23,15035.84,15238.58,14808.27,15007.01,3.36944591,68.3675264789
2021-12-24,15069.17,15235.44,14692.52,14862.47,4.04880046,71.331346664
2021-12-27,14837.19,15083.45,14629.63,14838.83,2.76319558,53.4120066364
2021-12-28,14860.03,15352.87,14705.22,15165.33,4.81884011,79.9135978958
2021-12-29,15148.03,15329.06,14828.43,14999.69,4.89998937,75.05868108
2021-12-30,14977.11,15265.61,14840.28,15062.62,3.55302358,64.161940698
2021-12-31,15074.68,15252.83,14833.73,15007.98,3.15046041,58.7437895457
2022-01-04,15098.95,15327.26,14859.87,15045.81,3.68021703,71.5940758456
2022-01-05,15021.75,15127.5,14405.93,14554.44,4.26988541,81.7925367377
2022-01-06,14462.25,14740.46,14285.61,14520.75,3.28904933,61.705549194
2022-01-07,14566.76,14775.31,14245.31,14389.44,3.46118366,62.6818331266
2022-01-10,14317.78,14464.33,13957.14,14282.15,3.08973764,58.434221814
2022-01-11,14254.31,14504.55,14057.56,14205.66,2.78201061,54.3434513755
2022-01-12,14272.31,14518.94,14125.41,14392.43,2.72286793,55.044923627299994
2022-01-13,14426.64,14546.01,14088.23,14183.3,2.87674455,58.5205257142
2022-01-14,14150.85,14426.55,13932.3,14142.26,2.94824928,71.34095444180001
2022-01-17,14104.06,14553.68,14025.95,14339.17,3.63100544,64.09353872300001
2022-01-18,14350.66,14739.25,14135.09,14496.89,3.12890716,63.266364618500006
2022-01-19,14457.41,14621.01,14180.54,14352.52,2.89152022,53.5923805555
2022-01-20,14327.4,14632.25,14052.02,14309.91,3.13187042,60.020867615600004
2022-01-21,14304.25,14458.44,13986.08,14150.81,2.30279255,47.385930951499994
2022-01-24,14076.06,14309.77,13808.28,14105.45,2.07761911,43.615645306400005
2022-01-25,14059.35,14378.35,13682.89,13786.81,2.85553963,52.4906106406
2022-01-26,13840.66,14042.35,13502.72,13739.31,2.08067565,41.2674694608
2022-01-27,13564.33,13654.66,12841.89,12887.5,2.61054814,59.823194879700004
2022-01-28,12946.87,13330.04,12816.04,13077.08,2.25314924,48.9186038693
2022-02-07,13276.22,13490.12,13003.86,13196.85,2.13350891,40.1280990837
2022-02-08,13222.04,13342.49,12820.81,13120.35,1.92175348,39.1917603945
2022-02-09,13153.78,13341.92,12973.61,13257.59,1.91320363,38.1626857577
2022-02-10,13210.69,13293.78,12922.93,13065.74,1.90337177,44.827594587200004
2022-02-11,12994.27,13218.85,12719.88,12918.05,2.12474352,46.9852126837
2022-02-14,12815.46,12975.97,12631.75,12836.98,1.60098732,34.7833730126
2022-02-15,12836.05,13250.48,12761.13,13154.83,1.70427091,40.5225116278
2022-02-16,13236.99,13582.47,13136.09,13450.83,2.34990934,45.5100766731
2022-02-17,13451.5,13681.6,13268.66,13466.87,1.91611566,39.3217918933
2022-02-18,13393.59,13532.13,13245.08,13438.55,1.67599008,30.645611701500002
2022-02-21,13461.49,13676.15,13283.1,13488.44,2.60071999,41.9422974246
2022-02-22,13421.21,13501.7,13127.49,13297.28,2.61252688,44.2447837075
2022-02-23,13360.41,13782.06,13320.44,13724.58,2.99159285,55.348634635699995
2022-02-24,13673.4,13935.9,13268.6,13494.5,4.26220041,66.5035146572
2022-02-25,13621.18,13838.09,13468.33,13583.47,2.64742015,44.7988633799
2022-02-28,13579.77,13726.32,13298.12,13587.74,2.7822974,44.960288876099995
2022-03-01,13662.42,13796.74,13492.65,13627.69,2.38569502,40.0483153418
2022-03-02,13544.85,13702.27,13404.56,13569.91,1.98571337,34.9439433973
2022-03-04,13288.45,13433.83,13075.01,13172.31,2.28082328,37.7492089298
2022-03-07,13131.11,13222.34,12646.98,12747.2,2.56006687,52.297647074
2022-03-08,12808.29,12913.29,12326.74,12432.12,2.79383915,53.1908483989
2022-03-09,12502.46,12649.09,11764.29,12239.94,3.15694173,55.185559570500004
2022-03-10,12512.56,12676.8,12195.09,12317.83,3.31423959,56.7330806854
2022-03-11,12120.76,12391.96,11698.2,12309.18,3.04844104,52.3649310916
2022-03-14,12165.1,12260.87,11750.06,11797.99,2.95372778,46.680190468199996
2022-03-15,11680.5,11860.84,11116.15,11160.72,3.78450041,61.6498481186
2022-03-16,11334.69,11739.07,10962.27,11661.8,4.25189462,65.9324769156
2022-03-17,11836.66,12124.93,11657.52,11849.45,3.70712489,58.844846682299995
2022-03-18,11827.84,12051.87,11592.73,11856.01,2.95212852,52.0688867518
2022-03-21,11903.38,12165.39,11762.47,12000.55,2.63476238,45.182201817
2022-03-22,11968.34,12084.25,11801.65,11937.97,2.36170961,36.367091995500004
2022-03-24,11982.62,12053.73,11748.33,11844.01,2.367612,38.4666941613
2022-03-25,11863.17,11977.54,11575.6,11611.7,2.16785464,37.3037068372
2022-03-28,11513.41,11692.88,11320.63,11546.83,2.18067431,35.0485667297
2022-03-29,11554.14,11694.49,11288.35,11364.68,2.3036716,37.7708937308
2022-03-30,11520.71,11735.49,11376.69,11617.74,2.32961317,43.048903110699996
2022-04-01,11539.85,11718.05,11429.56,11576.7,2.36148109,35.8383747778
2022-04-06,11558.5,11673.9,11349.62,11475.93,2.16273919,35.4708922865
2022-04-07,11413.41,11524.37,11153.72,11185.51,2.49597026,40.5451605731
2022-04-08,11239.22,11356.96,10943.63,11088.62,2.44975159,36.9858874819
2022-04-11,11027.03,11116.97,10471.6,10526.31,2.69752028,44.223191263500006
2022-04-12,10535.16,10841.16,10390.32,10799.78,2.38891861,36.2649603936
2022-04-13,10728.7,10980.5,10487.71,10660.03,2.95554038,38.4153270127
2022-04-15,10674.36,10765.03,10378.58,10532.16,2.61600771,35.0779239817
2022-04-18,10380.25,10670.75,10034.6,10594.44,2.03986687,34.624534564099996
2022-04-19,10627.86,10880.63,10467.71,10611.91,1.91446579,31.2610659081
2022-04-20,10634.38,10817.15,10461.42,10550.51,2.14474049,33.7309951709
2022-04-21,10420.36,10567.04,10016.6,10065.74,2.8533587,47.7815849109
2022-04-22,10009.27,10114.61,9721.74,9876.88,2.22163307,35.2754627573
2022-04-25,9753.45,9782.47,9121.08,9137.0,3.29517903,45.351153163199996
2022-04-26,9172.83,9455.02,8901.16,9020.0,3.10629127,43.4753155792
2022-04-27,8893.64,9705.48,8815.16,9652.68,3.2959689,47.8798678119
2022-04-28,9618.77,9970.98,9411.94,9758.78,2.55962182,42.755372328
2022-04-29,9873.24,10239.62,9726.9,10133.22,2.9675225,45.5643572643
2022-05-06,10071.46,10283.6,9849.13,10034.92,1.88843454,28.910248841799998
2022-05-10,9905.51,10341.85,9843.89,10247.04,2.48103055,39.4149282474
2022-05-11,10299.41,10601.96,10163.03,10336.71,3.03791442,48.1967314447
2022-05-12,10296.95,10470.53,10194.56,10365.77,2.22120162,31.0279178169
2022-05-13,10418.32,10535.76,10263.9,10412.84,2.00038805,27.686554278000003
