date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01070512,0.2368138357
2000-01-04,1002.51,1077.61,993.44,1069.38,0.0706336,1.5898977469
2000-01-05,1070.12,1105.52,1042.59,1052.2,0.07981994,1.8775802939
2000-01-06,1043.34,1127.53,1030.73,1109.4,0.07396069,1.7532132596
2000-01-07,1115.19,1163.57,1099.9,1128.91,0.13792243,3.4266136242000003
2000-01-10,1136.99,1156.51,1107.09,1141.12,0.08373298,2.1026124016
2000-01-11,1139.62,1139.95,1066.85,1073.29,0.08972175,2.1031284765000002
2000-01-12,1066.21,1089.17,1023.57,1024.86,0.04559591,1.0362849559
2000-01-13,1024.97,1038.75,1006.65,1016.06,0.02125509,0.4668332834
2000-01-14,1018.06,1028.25,994.77,1000.45,0.02106091,0.4664524538
2000-01-17,997.71,1020.18,981.0,1012.95,0.01855385,0.4001488365
2000-01-18,1016.2,1020.28,990.76,994.18,0.01512787,0.33204552
2000-01-19,994.39,1021.68,990.0,1006.21,0.01970413,0.4485871775
2000-01-20,1007.08,1045.34,1003.93,1036.32,0.03178694,0.6963030809999999
2000-01-21,1039.98,1084.6,1032.55,1041.22,0.0593044,1.4081558039
2000-01-24,1037.97,1081.94,1026.03,1056.92,0.06089941,1.4282107153999999
2000-01-25,1060.78,1081.28,1035.53,1047.8,0.04051442,0.9269745622
2000-01-26,1041.43,1048.35,1017.35,1028.91,0.03155302,0.710903895
2000-01-27,1057.9,1126.29,1034.72,1115.01,0.13290953,3.2886962096
2000-01-28,1152.18,1182.06,1102.34,1129.67,0.15293245,3.8327196354
2000-02-14,1194.56,1242.67,1163.18,1242.67,0.11525298,3.0019961092000003
2000-02-15,1298.75,1367.03,1256.57,1289.51,0.22522659,6.8049665736
2000-02-16,1288.01,1353.24,1239.8,1294.71,0.17753634,5.0537309169
2000-02-17,1314.85,1383.65,1173.13,1173.13,0.21951015,6.0442095097
2000-02-18,1153.72,1198.23,1091.97,1193.52,0.08433653,2.1287636056
2000-02-21,1182.93,1198.45,1127.45,1141.21,0.07266044,1.8509414614
2000-02-22,1133.88,1182.31,1115.17,1131.08,0.05204479,1.3216813148
2000-02-23,1126.19,1146.54,1113.12,1126.87,0.08142813,2.3229796655
2000-02-24,1128.01,1158.51,1118.82,1150.61,0.06089223,1.662194185
2000-02-25,1159.72,1180.83,1132.36,1150.37,0.08178457,2.2704812793999998
2000-02-28,1156.83,1244.22,1153.05,1242.85,0.1005998,2.8505571902
2000-02-29,1316.73,1325.55,1248.0,1304.36,0.33399967,8.9558817725
2000-03-01,1322.25,1325.2,1242.34,1249.59,0.14050156,3.7974703128
2000-03-02,1256.55,1314.84,1237.03,1275.13,0.08289649,2.2288829928
2000-03-03,1303.83,1318.96,1254.18,1271.57,0.11288263,3.8468967082
2000-03-06,1264.69,1284.35,1181.11,1184.64,0.10049074,2.585149896
2000-03-07,1161.14,1197.61,1154.09,1189.62,0.04270358,1.0931626555
2000-03-08,1181.61,1238.01,1160.16,1218.84,0.06219011,1.8593838398
2000-03-09,1213.43,1224.37,1185.22,1190.3,0.043105,1.2232063754
2000-03-10,1183.26,1222.48,1166.77,1186.57,0.03997865,1.1424241201
2000-03-13,1183.94,1222.27,1175.81,1200.29,0.03594432,1.0294992877
2000-03-14,1179.64,1188.91,1140.61,1177.15,0.0534425,1.3909612907
2000-03-15,1176.7,1265.94,1167.78,1199.66,0.05962249,1.5553509575
2000-03-16,1184.31,1215.82,1151.94,1176.45,0.06854291,1.7789481099000002
2000-03-17,1178.12,1260.7,1176.64,1234.86,0.15736485,4.3975699447
2000-03-20,1203.4,1282.46,1195.85,1261.91,0.10655191,3.0072894197
2000-03-21,1274.52,1281.23,1237.94,1255.78,0.05550853,1.5695036037
2000-03-22,1265.19,1336.22,1251.29,1284.25,0.12800112,3.7927863155000003
2000-03-23,1282.83,1301.58,1255.01,1288.7,0.0619296,1.754480636
2000-03-24,1303.08,1315.4,1236.96,1241.03,0.06953351,1.9484464072999998
2000-03-27,1243.48,1293.83,1229.2,1270.25,0.05689946,1.6367736528999999
2000-03-28,1279.29,1323.77,1256.58,1300.87,0.09655474,2.648412758
2000-03-29,1313.22,1335.36,1278.47,1292.7,0.0759222,2.128005412
2000-03-30,1286.3,1301.42,1261.56,1276.35,0.04790785,1.3195938076
2000-03-31,1267.82,1269.56,1243.0,1251.95,0.03853056,1.0499395613
2000-04-03,1241.99,1267.37,1230.89,1245.07,0.03115187,0.8555450812000001
2000-04-04,1225.69,1242.03,1203.88,1217.62,0.04961886,1.2956423990000001
2000-04-05,1212.65,1238.87,1206.19,1216.16,0.03028421,0.8112014044
2000-04-06,1219.39,1240.63,1215.02,1233.28,0.02494555,0.6731879159
2000-04-07,1241.52,1247.24,1220.27,1228.74,0.02038597,0.5597376499
2000-04-10,1232.52,1256.74,1218.46,1226.3,0.02859286,0.8020969363
2000-04-11,1227.35,1267.91,1200.75,1252.97,0.05043075,1.3547691428
2000-04-12,1254.29,1257.49,1205.33,1212.57,0.03044405,0.8057950757
2000-04-13,1211.55,1242.43,1203.61,1215.54,0.03126946,0.8117938365
2000-04-14,1215.49,1221.38,1195.49,1200.89,0.03054388,0.7806121598000001
2000-04-17,1190.76,1194.2,1149.82,1155.22,0.05043231,1.2644322753
2000-04-18,1161.89,1182.05,1150.74,1166.57,0.02008072,0.50684991
2000-04-19,1176.64,1200.12,1167.26,1191.66,0.03641736,0.9157481718000001
2000-04-20,1191.39,1205.48,1173.18,1183.73,0.02244807,0.5750227272999999
2000-04-21,1185.31,1218.68,1180.21,1190.91,0.02531239,0.6607314914
2000-04-24,1195.85,1199.11,1165.13,1169.23,0.02034689,0.5337038834000001
2000-04-25,1168.3,1183.46,1152.69,1172.17,0.01579087,0.41878417700000004
2000-04-26,1175.64,1191.29,1167.49,1174.21,0.01224512,0.321025862
2000-04-27,1175.81,1204.31,1169.01,1184.61,0.02571994,0.70391403
2000-04-28,1190.45,1237.3,1186.5,1226.77,0.05910416,1.7008777146
2000-05-08,1233.84,1244.31,1202.56,1208.71,0.01924098,0.5502566075
2000-05-09,1212.31,1222.03,1184.42,1196.05,0.01673021,0.43535491
2000-05-10,1194.13,1204.05,1168.5,1180.14,0.01087565,0.3155832408
2000-05-11,1157.2,1165.93,1135.35,1143.22,0.01749734,0.4554496566
2000-05-12,1145.77,1164.32,1128.58,1135.34,0.02259026,0.566916968
2000-05-15,1140.63,1147.71,1106.48,1122.08,0.01509829,0.3883939858
2000-05-16,1136.81,1142.72,1120.84,1129.37,0.00777162,0.198695832
2000-05-17,1132.19,1157.9,1128.69,1132.49,0.00892455,0.2326084154
2000-05-18,1136.01,1151.98,1127.34,1142.64,0.00662106,0.16456325
2000-05-19,1150.95,1178.82,1146.48,1164.66,0.01578412,0.4312639029
2000-05-22,1160.09,1202.72,1152.88,1184.65,0.02377453,0.657947264
