date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.00862014,0.15659408460000002
2000-01-04,1002.25,1041.46,994.55,1027.45,0.02646664,0.4242768132
2000-01-05,1025.81,1082.26,1014.71,1037.59,0.07828937,1.2507501274
2000-01-06,1028.42,1084.28,1020.99,1075.38,0.06346676,1.1961822793
2000-01-07,1086.13,1126.31,1069.19,1095.27,0.13184332,2.2224002449
2000-01-10,1109.82,1126.9,1079.25,1096.97,0.09500884,1.5926641175
2000-01-11,1095.46,1118.45,1052.21,1070.03,0.09361794,1.6149399342
2000-01-12,1066.14,1089.35,1038.34,1046.07,0.0509542,0.808097321
2000-01-13,1047.7,1056.14,1032.46,1037.12,0.02506669,0.434480285
2000-01-14,1039.77,1049.6,1026.49,1028.7,0.02085757,0.33916200399999996
2000-01-17,1027.12,1045.0,1016.39,1042.79,0.021753,0.3836445711
2000-01-18,1044.23,1069.5,1030.24,1040.0,0.02272525,0.36685686
2000-01-19,1035.72,1071.96,1034.76,1058.21,0.02470537,0.4664746114
2000-01-20,1059.9,1083.65,1056.14,1077.11,0.03428229,0.6794649741
2000-01-21,1083.06,1111.45,1060.7,1077.05,0.06909853,1.3060666344
2000-01-24,1072.09,1124.5,1054.7,1122.77,0.09492296,1.9655535816
2000-01-25,1134.2,1160.02,1093.39,1116.7,0.12112209,2.3385829691
2000-01-26,1115.08,1168.9,1099.39,1136.3,0.07259659,1.7047317887
2000-01-27,1149.36,1194.68,1128.35,1179.1,0.08821309,1.8708429790999999
2000-01-28,1182.86,1220.82,1157.08,1181.71,0.11937609,2.5258013959
2000-02-14,1218.3,1289.79,1207.75,1289.17,0.13955056,2.5597252607
2000-02-15,1303.75,1376.78,1266.8,1294.25,0.19480987,3.6220680005
2000-02-16,1298.33,1351.44,1279.83,1320.24,0.11996193,2.1024853885
2000-02-17,1339.28,1387.43,1209.24,1245.98,0.18065142,3.9280419133
2000-02-18,1240.9,1324.08,1211.83,1301.44,0.08641122,1.7833168362
2000-02-21,1301.05,1381.95,1273.48,1339.92,0.23068097,4.2985707328
2000-02-22,1349.1,1373.32,1271.82,1286.44,0.17547274,3.2315967288
2000-02-23,1269.17,1318.7,1217.76,1246.12,0.16389603,2.9146539773
2000-02-24,1239.5,1310.41,1234.62,1288.32,0.1431162,2.49517442
2000-02-25,1296.27,1316.46,1254.11,1277.47,0.14562096,2.5587091268
2000-02-28,1272.48,1352.33,1271.93,1340.06,0.14573701,2.5720466746
2000-02-29,1353.93,1388.96,1300.58,1326.63,0.15441675,2.783176783
2000-03-01,1341.93,1355.48,1290.78,1312.72,0.10397603,1.8477220953
2000-03-02,1308.06,1367.18,1289.51,1346.38,0.09233626,1.8339859653
2000-03-03,1358.3,1417.7,1342.85,1387.43,0.10454372,2.2149614426
2000-03-06,1406.79,1428.79,1326.76,1343.9,0.1047368,2.022569709
2000-03-07,1324.49,1374.34,1314.35,1354.65,0.06633693,1.4087040193
2000-03-08,1359.34,1405.61,1352.95,1384.62,0.05989311,1.1742925464
2000-03-09,1401.03,1425.66,1367.78,1411.11,0.09624102,1.6248439186
2000-03-10,1416.12,1426.35,1373.56,1391.61,0.12183309,2.544903679
2000-03-13,1394.38,1421.76,1372.29,1408.17,0.11033816,2.1805706776
2000-03-14,1333.7,1407.57,1305.22,1359.13,0.23542137,4.6455168478
2000-03-15,1302.26,1377.68,1273.16,1317.63,0.12175969,2.4610927991
2000-03-16,1297.32,1321.39,1217.87,1243.1,0.09246518,1.6672599149
2000-03-17,1232.6,1320.23,1231.05,1305.3,0.08249236,1.5276234672
2000-03-20,1286.06,1356.43,1268.32,1332.76,0.19516918,3.5336706656
2000-03-21,1380.29,1406.76,1348.29,1392.68,0.2338749,4.4760227589
2000-03-22,1402.32,1437.36,1346.39,1386.13,0.22378577,4.1193958297
2000-03-23,1396.11,1446.86,1377.74,1437.05,0.23367387,4.5486391476
2000-03-24,1470.88,1517.59,1418.32,1437.67,0.26725009,5.6106175735
2000-03-27,1453.94,1522.11,1416.32,1476.37,0.14104775,2.9263094557
2000-03-28,1551.71,1584.76,1432.0,1486.19,0.1691666,3.4303521696
2000-03-29,1483.32,1517.07,1448.11,1495.78,0.11758413,2.5404335383000003
2000-03-30,1488.55,1544.83,1452.64,1538.67,0.12615112,2.5346046972
2000-03-31,1527.8,1540.59,1458.25,1486.81,0.13097812,2.5443488753
2000-04-03,1498.07,1510.54,1434.83,1452.97,0.09640446,1.876026552
2000-04-04,1437.93,1460.14,1419.55,1434.04,0.05912362,1.1097282481
2000-04-05,1427.91,1453.18,1407.12,1423.67,0.04322133,0.8372875017
2000-04-06,1430.1,1461.47,1421.52,1450.05,0.04083371,0.7593151265000001
2000-04-07,1448.62,1473.07,1425.78,1433.84,0.03184485,0.5791344403
2000-04-10,1439.13,1462.2,1410.9,1449.63,0.07025766,1.2798600082
2000-04-11,1450.48,1462.35,1406.8,1430.5,0.0470372,0.9717622022
2000-04-12,1432.68,1452.87,1388.41,1405.41,0.04562887,0.8573759425
2000-04-13,1438.63,1454.18,1387.07,1414.65,0.04907467,0.9532558529999999
2000-04-14,1410.52,1434.39,1392.01,1399.29,0.03975111,0.7726212737999999
2000-04-17,1391.67,1403.24,1340.57,1356.03,0.05307536,0.9623196297
2000-04-18,1364.11,1386.29,1333.5,1368.7,0.02037569,0.4324623
2000-04-19,1378.36,1414.96,1362.38,1397.73,0.04486186,0.8319439009
2000-04-20,1405.81,1419.49,1390.05,1397.35,0.0396381,0.7589635248000001
2000-04-21,1397.7,1435.17,1387.22,1415.14,0.07802076,1.4708186338
2000-04-24,1409.98,1433.13,1378.84,1405.88,0.0520361,1.0437502049
2000-04-25,1406.53,1415.25,1383.52,1406.19,0.03620458,0.8086160609
2000-04-26,1403.67,1434.78,1387.55,1408.69,0.04030901,0.9785634004000001
2000-04-27,1406.93,1435.04,1391.19,1415.6,0.03783383,0.7077889065999999
2000-04-28,1413.82,1464.65,1407.02,1457.45,0.04060979,0.8546557197
2000-05-08,1474.51,1507.42,1454.64,1477.14,0.05531713,1.1177245075
2000-05-09,1476.53,1486.26,1436.74,1462.63,0.04058544,0.8815779052
2000-05-10,1462.55,1467.79,1427.96,1438.36,0.04151711,0.8063239426000001
2000-05-11,1423.59,1451.41,1414.5,1433.1,0.03401107,0.8771502631
2000-05-12,1424.95,1447.86,1420.94,1434.2,0.02546924,0.4891055558
2000-05-15,1429.92,1456.27,1419.92,1435.23,0.02830925,0.5739014333
2000-05-16,1447.51,1493.96,1439.99,1459.64,0.07367193,1.4933469673
2000-05-17,1463.92,1475.76,1441.74,1460.92,0.03179475,0.6563403723
2000-05-18,1461.72,1506.19,1450.85,1490.88,0.06496689,1.2774935012
2000-05-19,1497.79,1509.14,1478.63,1502.74,0.05152843,1.1256059423
2000-05-22,1519.09,1583.89,1503.99,1569.67,0.07850501,1.8063503764
2000-05-23,1568.92,1600.53,1539.48,1579.46,0.0565518,1.2941556302
2000-05-24,1576.67,1622.05,1559.81,1596.46,0.08212935,1.8987778426
2000-05-25,1590.37,1609.09,1578.35,1584.01,0.03158513,0.7851751025
2000-05-26,1592.01,1635.69,1560.95,1614.58,0.07768982,1.7685150851
2000-05-29,1607.64,1672.04,1599.72,1650.39,0.07144768,1.5071858653999999
2000-05-30,1657.17,1717.75,1637.55,1692.26,0.09902797,2.477972291
2000-05-31,1690.7,1764.88,1624.14,1720.12,0.24956342,6.1709160637
2000-06-01,1713.57,1819.3,1701.03,1786.85,0.12390224,3.2003085093
2000-06-02,1780.81,1793.07,1699.49,1763.08,0.17631504,4.4365883343
2000-06-05,1766.56,1789.19,1702.04,1753.59,0.1029159,2.2712460945
2000-06-06,1732.05,1759.9,1706.49,1745.87,0.08784525,1.8845014946
2000-06-07,1734.23,1754.99,1693.56,1703.99,0.06179244,1.3198384509
2000-06-08,1698.85,1710.56,1635.43,1668.18,0.12769596,2.9580416785000003
2000-06-09,1670.82,1697.26,1648.24,1666.67,0.04735703,1.0512983551000001
2000-06-12,1657.02,1678.21,1649.73,1667.85,0.04397437,1.0666421138
2000-06-13,1675.48,1685.96,1638.44,1651.71,0.03350938,0.7149060709999999
2000-06-14,1654.77,1681.16,1646.68,1661.49,0.05440456,1.0734015501
2000-06-15,1659.2,1692.66,1645.39,1663.95,0.05444426,1.2331733079
2000-06-16,1669.73,1684.41,1645.54,1658.78,0.04270114,0.9130391926000001
2000-06-19,1658.76,1672.38,1624.79,1647.72,0.07026292,1.4380453818
2000-06-20,1644.34,1678.35,1631.78,1660.2,0.03906899,0.8806998641
2000-06-21,1652.05,1679.48,1645.94,1670.42,0.02606555,0.5494103689000001
2000-06-22,1665.2,1698.37,1660.41,1667.06,0.03526317,0.8143081542
2000-06-23,1667.8,1694.61,1658.14,1677.18,0.04880541,1.0981224206
2000-06-26,1678.52,1716.7,1661.09,1681.77,0.06337068,1.2479681102
2000-06-27,1692.84,1698.07,1646.06,1669.86,0.03580365,0.7287138559999999
2000-06-28,1674.28,1689.47,1633.7,1654.56,0.05462204,1.1766480078000001
2000-06-29,1650.0,1660.56,1612.67,1642.86,0.07918063,1.4905979246
2000-06-30,1652.43,1667.39,1625.45,1645.71,0.0385511,0.6610115655
2000-07-03,1634.26,1655.83,1593.63,1633.63,0.0367423,0.6626223492000001
2000-07-04,1632.56,1671.12,1618.05,1652.01,0.04343347,0.9606400139
2000-07-05,1646.78,1687.96,1637.5,1676.09,0.03291448,0.6894503482
2000-07-06,1676.41,1691.75,1654.86,1669.06,0.02316061,0.39860600350000003
2000-07-07,1674.24,1698.09,1647.53,1683.07,0.03466324,0.7130571815000001
2000-07-10,1682.12,1694.0,1643.32,1660.71,0.03776249,0.7466895511
2000-07-11,1666.1,1682.3,1619.44,1661.16,0.05625558,1.0922554092
2000-07-12,1661.07,1666.59,1630.67,1647.23,0.03406817,0.6054868193999999
2000-07-13,1639.37,1676.23,1618.87,1652.16,0.05538476,1.0615381461
2000-07-14,1651.91,1677.66,1633.51,1653.08,0.02909983,0.5469683799
2000-07-17,1653.99,1695.82,1635.18,1676.4,0.03730266,0.8252523653
2000-07-18,1681.33,1713.23,1663.83,1686.22,0.03818261,0.8826146325
2000-07-19,1690.3,1716.14,1679.35,1693.41,0.03279254,0.727689348
2000-07-20,1694.46,1713.33,1668.6,1685.24,0.02729816,0.5546546681
2000-07-21,1678.8,1692.82,1666.68,1678.35,0.02666926,0.5503319078
2000-07-24,1673.27,1681.8,1653.84,1660.94,0.029021,0.5931611962
2000-07-25,1658.85,1668.03,1644.79,1652.21,0.02448736,0.5103926395
2000-07-26,1653.87,1685.61,1639.05,1663.83,0.03015628,0.6285049954
2000-07-27,1673.72,1700.22,1663.47,1685.69,0.05560817,1.1366762664
2000-07-28,1685.81,1700.98,1667.27,1685.78,0.03449911,0.7187405095999999
2000-07-31,1685.35,1733.6,1670.97,1721.0,0.05348821,1.1832905296
2000-08-01,1722.98,1756.45,1710.04,1730.42,0.04469567,1.0093518918000002
2000-08-02,1732.55,1754.58,1707.49,1741.93,0.06162975,1.3161429642
2000-08-03,1737.71,1758.43,1723.15,1733.75,0.04514113,1.001263692
2000-08-04,1736.52,1760.14,1715.86,1730.55,0.0527625,1.0928665058
2000-08-07,1724.83,1761.64,1712.11,1752.37,0.0476604,1.011496924
2000-08-08,1758.28,1794.2,1748.48,1779.17,0.07427958,1.6989341271
2000-08-09,1774.82,1794.41,1753.54,1765.34,0.07032694,1.5614051305
2000-08-10,1764.95,1792.45,1757.83,1783.72,0.08197862,1.7891490018
2000-08-11,1789.25,1816.05,1773.46,1793.44,0.08500642,2.0627231428
2000-08-14,1797.68,1807.39,1761.58,1784.24,0.04245874,1.0352284984
2000-08-15,1781.04,1795.2,1763.76,1783.25,0.03684727,0.829640948
2000-08-16,1776.6,1798.39,1756.29,1780.17,0.0416891,0.9808670877
2000-08-17,1776.54,1797.95,1763.32,1786.05,0.02914262,0.6090792746
2000-08-18,1784.79,1814.32,1773.98,1803.21,0.04121524,0.8585191264
2000-08-21,1804.34,1812.97,1778.22,1790.28,0.04472211,0.9170160685
2000-08-22,1799.66,1870.53,1774.51,1812.51,0.07643813,1.8684954297
2000-08-23,1813.32,1867.25,1763.01,1857.72,0.08197681,1.8328056738999998
2000-08-24,1848.58,1899.87,1812.07,1877.96,0.06901743,1.5628936391
2000-08-25,1878.17,1881.34,1841.12,1860.79,0.03173498,0.682687281
2000-08-28,1864.27,1910.49,1845.25,1888.75,0.04684329,1.0404126727
2000-08-29,1889.33,1912.06,1846.87,1865.41,0.05846567,1.5306733085
2000-08-30,1867.77,1893.0,1837.63,1862.37,0.03780338,0.8599407065000001
2000-08-31,1852.13,1869.9,1826.81,1838.38,0.03662032,0.7682192869
2000-09-01,1829.64,1849.51,1820.0,1838.54,0.02782664,0.5951673066
2000-09-04,1836.16,1847.95,1816.59,1832.48,0.02436576,0.5173191308
2000-09-05,1832.28,1865.03,1815.62,1832.3,0.03112041,0.7156148041
2000-09-06,1833.6,1866.84,1812.06,1836.99,0.0406387,0.9866018065000001
2000-09-07,1837.95,1864.67,1765.16,1790.47,0.04380818,1.1852984586
2000-09-08,1778.18,1803.62,1763.91,1793.92,0.0326088,0.813536088
2000-09-11,1795.35,1824.08,1775.38,1819.26,0.02229903,0.5698999852000001
2000-09-12,1812.29,1831.89,1798.38,1824.64,0.01691259,0.399841601
2000-09-13,1826.94,1858.81,1812.03,1838.61,0.02114393,0.4770075435
2000-09-14,1843.75,1868.94,1824.79,1852.79,0.02153825,0.5058595474
