date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.04857242,0.6623035373
2000-01-04,996.91,1058.46,985.76,1047.43,0.11066619,1.6127084908000002
2000-01-05,1050.39,1106.93,1028.3,1060.7,0.21195029,3.3875917855
2000-01-06,1051.88,1127.99,1040.84,1119.83,0.19123187,2.7739630888
2000-01-07,1130.16,1193.16,1111.43,1160.76,0.4458927,6.2003078799
2000-01-10,1171.51,1201.07,1141.22,1178.95,0.32464736,4.9181635651999995
2000-01-11,1180.23,1216.31,1115.75,1148.61,0.42693323,6.176552699299999
2000-01-12,1142.32,1168.7,1086.66,1104.25,0.24071787,3.4156197551
2000-01-13,1106.18,1133.28,1077.31,1099.64,0.15077888,2.2698285149
2000-01-14,1105.27,1120.92,1080.13,1092.24,0.1369363,2.1324360744999997
2000-01-17,1088.87,1124.63,1076.16,1119.02,0.12890129,1.9822438475
2000-01-18,1120.74,1141.7,1088.92,1106.05,0.12326047,1.8398099648
2000-01-19,1108.63,1141.93,1089.66,1128.8,0.19820308,3.0496293367000002
2000-01-20,1135.26,1165.65,1119.36,1155.18,0.31800667,4.9856819403
2000-01-21,1159.17,1226.42,1140.86,1187.27,0.52221725,9.2741188307
2000-01-24,1190.72,1240.48,1161.71,1221.08,0.40670894,7.0877795612
2000-01-25,1234.74,1275.18,1189.59,1230.76,0.42972448,7.5347575473
2000-01-26,1230.72,1255.46,1204.96,1232.81,0.19304121,3.4843849015
2000-01-27,1252.04,1325.21,1233.06,1306.74,0.32611673,6.049447778099999
2000-01-28,1326.37,1419.66,1298.51,1371.28,0.44070752,7.7186194721
2000-02-14,1430.84,1506.48,1407.91,1505.81,0.42851595,7.422892549
2000-02-15,1584.26,1640.2,1493.68,1541.02,0.55463745,9.1341363449
2000-02-16,1548.87,1633.81,1510.22,1590.31,0.45024708,8.7815854389
2000-02-17,1634.23,1707.41,1441.49,1459.41,0.68154095,14.7783731751
2000-02-18,1419.41,1521.88,1355.61,1499.13,0.4030492,8.242698286
2000-02-21,1505.5,1554.49,1410.29,1459.03,0.48060107,8.7147674895
2000-02-22,1455.44,1506.29,1390.09,1408.6,0.32586523,5.7013008342
2000-02-23,1385.5,1417.56,1323.1,1341.07,0.22299185,4.1750002866
2000-02-24,1337.7,1403.28,1317.03,1392.74,0.199946,3.7444965193
