date,open,high,low,close,volume,amount
2021-12-13,6724.93,6820.35,6590.78,6696.37,1.50994258,32.1322780118
2021-12-14,6683.91,6793.48,6615.48,6724.5,1.69139615,30.624149513699997
2021-12-15,6734.44,6871.91,6601.92,6657.86,1.75412315,34.4391763076
2021-12-16,6683.52,6851.61,6618.3,6725.14,1.46789882,33.1064679607
2021-12-17,6710.18,6756.27,6473.83,6506.85,1.66471665,35.6682095524
2021-12-20,6486.6,6587.55,6336.98,6363.78,1.3272226,26.313893956199998
2021-12-21,6369.26,6486.38,6303.78,6418.03,0.98928175,19.1811706163
2021-12-22,6430.65,6627.54,6390.94,6534.47,1.49951745,27.6305400012
2021-12-23,6578.08,6654.87,6447.62,6518.99,2.05285648,33.7361700401
2021-12-24,6522.56,6590.75,6311.09,6346.98,1.70138599,29.1952682177
2021-12-27,6351.7,6463.87,6255.28,6334.71,1.39205249,22.5361071123
2021-12-28,6342.81,6517.09,6310.96,6486.55,1.58773934,26.135279092399998
2021-12-29,6462.33,6605.33,6397.06,6503.94,1.46838072,26.0776753406
2021-12-30,6554.07,6626.55,6434.4,6495.01,1.84126127,32.9105361274
2021-12-31,6513.01,6656.42,6390.34,6551.91,2.73564525,45.325432987
2022-01-04,6663.67,6748.08,6444.5,6586.32,2.4391633,49.444321922700006
2022-01-05,6591.78,6685.37,6297.6,6436.95,2.58538885,52.72003694520001
2022-01-06,6389.41,6621.52,6272.55,6431.36,2.35797073,48.1679599811
2022-01-07,6414.85,6515.48,6259.48,6300.28,1.93103928,37.6995780486
2022-01-10,6336.23,6583.68,6226.45,6521.32,2.32783116,47.746403852
2022-01-11,6563.34,6657.84,6332.3,6394.61,2.66400876,55.59323093850001
2022-01-12,6427.24,6597.0,6356.9,6526.22,2.11140191,43.17352135189999
2022-01-13,6529.88,6692.86,6377.08,6477.49,2.84408803,56.924001068500004
2022-01-14,6459.32,6741.84,6405.31,6612.47,2.68027552,58.4528968405
2022-01-17,6632.67,6929.26,6557.3,6811.83,2.94535841,67.4858998345
2022-01-18,6785.75,6878.17,6589.07,6645.26,2.46453067,56.1344612318
2022-01-19,6640.45,6705.85,6414.47,6517.27,2.54563291,50.1277006691
2022-01-20,6538.07,6591.98,6247.78,6286.72,2.64612272,54.0908686029
2022-01-21,6298.07,6353.77,6079.18,6120.78,2.14043415,40.9988562481
2022-01-24,6088.81,6212.62,6007.57,6105.37,1.4940488,27.6653422958
2022-01-25,6078.78,6162.8,5835.42,5860.23,1.69852197,29.885975516
2022-01-26,5884.53,6008.75,5809.23,5939.79,1.1500627,20.1992790765
2022-01-27,5946.28,6017.91,5727.56,5742.67,1.38788555,25.163046928099998
2022-01-28,5780.99,5936.71,5683.53,5807.31,1.29886094,23.6541081747
2022-02-07,5909.17,5987.47,5761.45,5837.91,1.16029453,20.4084761016
2022-02-08,5831.54,5902.44,5678.36,5847.61,1.09622514,20.1700993089
2022-02-09,5845.88,6025.4,5788.43,5983.06,1.40660869,26.768315645900003
2022-02-10,5972.26,6046.27,5870.01,5939.33,1.22683399,22.6598930004
2022-02-11,5916.8,5950.06,5720.03,5760.01,1.32290127,22.6158399333
2022-02-14,5733.53,5891.69,5635.72,5741.69,1.43661816,25.1556911867
2022-02-15,5733.35,5898.0,5691.77,5862.85,1.19465501,22.4669539078
2022-02-16,5892.16,5938.16,5786.84,5851.18,0.98791102,18.8008192955
2022-02-17,5833.33,5953.55,5782.21,5865.39,1.14965179,20.9290941588
2022-02-18,5823.67,5902.79,5756.22,5846.8,1.08569273,18.6826257479
2022-02-21,5874.92,5989.53,5794.63,5908.3,1.63721324,26.9098452221
2022-02-22,5862.9,5954.97,5733.11,5883.86,1.71385813,28.2828438285
2022-02-23,5901.23,6329.68,5865.7,6226.26,2.48569794,53.6643511626
2022-02-24,6187.3,6314.16,5963.83,6104.3,2.53963386,51.726929578800004
2022-02-25,6200.74,6342.08,6061.18,6152.87,2.00855645,41.5790235406
2022-02-28,6147.16,6262.21,6045.25,6187.82,1.95603765,35.9449206559
2022-03-01,6186.66,6237.87,6064.55,6155.25,1.5305619,29.8244765021
2022-03-02,6114.58,6233.43,6040.32,6167.99,1.40029551,29.1871594808
2022-03-04,6046.21,6258.06,5964.53,6067.83,1.87459618,36.4640083413
2022-03-07,6034.49,6096.95,5806.28,5880.04,1.90610431,33.8965727117
2022-03-08,5880.98,6118.64,5692.27,5867.1,2.12067408,43.1729769253
2022-03-09,5886.3,6048.03,5617.64,5912.22,2.30148083,49.540482267200005
2022-03-10,6075.57,6184.2,5906.41,6020.71,2.40476485,51.747867755
2022-03-11,5924.51,6076.83,5770.47,5955.26,2.59764549,50.237363672200004
2022-03-14,5901.66,6015.98,5763.17,5793.24,2.12705452,38.7839664011
2022-03-15,5753.47,5861.11,5491.03,5553.3,2.3743659,44.2568744613
2022-03-16,5661.61,5768.24,5331.96,5697.5,2.54429649,49.171475594700006
2022-03-17,5817.22,6254.07,5770.47,6040.91,3.34991436,77.57470549199999
