date,open,high,low,close,volume,amount
2021-12-13,21644.64,21866.27,21280.52,21481.13,4.30003173,132.84304800639998
2021-12-14,21315.64,21414.05,20871.99,20988.6,4.28743087,132.9945919761
2021-12-15,20940.47,21175.34,20799.61,20926.6,2.75913135,86.42582866389999
2021-12-16,20902.46,21075.97,20283.24,20701.08,3.70488517,142.8063701307
2021-12-17,20585.07,20711.04,20235.23,20262.29,2.45078181,86.6601497618
2021-12-20,20151.85,20325.55,19466.08,19597.52,4.6395642,136.7163359417
2021-12-21,19585.61,20041.47,19512.54,19917.76,2.79079121,91.2554299966
2021-12-22,20132.54,20416.13,19893.39,20057.07,2.4528521,87.06087418370001
2021-12-23,20202.97,20380.18,19860.32,20063.02,2.6099441,91.5753143109
2021-12-24,20153.58,20186.67,19025.5,19288.15,3.95173191,132.09848711799998
2021-12-27,19170.55,19368.87,18827.84,19000.43,2.95755504,89.07822405440001
2021-12-28,19083.01,19310.55,18903.19,19233.22,2.38624767,81.2202587537
2021-12-29,19274.16,19297.66,18757.74,19048.66,2.10304753,76.32251669600001
2021-12-30,19001.02,19290.89,18852.79,18961.79,2.09908879,72.3324529575
2021-12-31,19205.89,19376.19,18901.19,19060.97,2.08661063,74.10493810189999
2022-01-04,19389.28,19639.01,18856.87,19185.7,3.16608392,119.1356741501
2022-01-05,18927.19,19096.37,18294.54,18454.69,2.83521731,127.9308789409
2022-01-06,18298.54,18480.1,17929.38,18115.59,3.31311509,105.9419748935
2022-01-07,18212.0,18388.79,17788.96,17901.18,3.31910552,97.81512000709999
2022-01-10,17838.51,18140.22,17468.74,17977.88,2.85823491,90.2148929744
2022-01-11,17930.88,17974.59,17320.83,17424.97,3.10397386,111.5344831127
2022-01-12,17757.07,18294.18,17615.64,18239.62,3.69517928,148.02279807940002
2022-01-13,18296.42,18394.16,17763.32,18014.94,2.96000709,108.33412324860001
2022-01-14,17764.53,18091.19,17623.81,17818.37,2.59306034,83.65979603529999
2022-01-17,17816.25,18507.89,17743.59,18397.7,2.37309096,105.8666460511
2022-01-18,18353.55,18656.83,18138.72,18482.27,2.48491043,81.8066406074
2022-01-19,18464.77,18660.77,17692.52,17911.38,3.11730305,119.7024760726
2022-01-20,17863.49,18027.69,17515.72,17767.97,2.61298278,82.25088712729999
2022-01-21,17747.41,17961.84,17430.56,17605.99,1.98508514,61.4273733702
2022-01-24,17380.78,17748.35,17172.21,17621.35,2.16035465,69.3476577771
2022-01-25,17492.68,17805.29,16991.06,17040.87,3.10093837,88.38348681149999
2022-01-26,17213.18,17554.68,16979.16,17324.91,2.34035933,78.55503536270001
2022-01-27,17230.47,17372.87,16720.88,16755.5,2.73262998,73.6157077562
2022-01-28,16718.5,16924.62,15818.5,16214.41,2.92097655,117.4365420106
2022-02-07,16882.67,17368.66,16667.07,16962.58,2.70295847,100.64673016129998
2022-02-08,16895.71,17012.47,16346.92,16712.34,2.35493597,80.1525601962
2022-02-09,16809.03,17241.51,16604.26,17126.65,2.54644717,87.97749799
2022-02-10,17192.74,17291.33,16722.34,16847.5,2.28525184,70.4874463028
2022-02-11,16653.18,16862.35,16225.81,16332.3,2.46015136,82.4987929975
2022-02-14,16307.39,16512.59,15921.59,16243.83,2.48428197,68.3331950638
2022-02-15,16235.58,16706.02,16199.86,16612.58,2.82869828,82.1093103485
2022-02-16,16791.45,17039.35,16687.87,16768.82,2.5062063,69.2570149213
2022-02-17,16839.31,17123.88,16593.29,16901.71,2.14037742,79.2065239108
2022-02-18,16682.25,16991.07,16580.78,16848.29,2.26766587,57.0961201353
2022-02-21,16750.68,16978.7,16619.35,16777.55,2.04916415,55.0886187503
2022-02-22,16612.06,16657.39,16288.69,16468.78,2.25608664,65.1330602014
2022-02-23,16628.51,17265.68,16519.44,17192.09,3.04502403,118.750744175
2022-02-24,16994.96,17195.71,16432.56,16644.01,3.65501074,112.5210985464
2022-02-25,16884.85,17187.19,16782.81,16861.92,3.08051409,85.1103178739
2022-02-28,16809.24,16963.38,16612.53,16828.53,2.27742242,63.850938509799995
2022-03-01,17097.2,17296.34,16829.57,17012.93,2.97867531,89.06643230190001
2022-03-02,16823.32,16932.05,16587.55,16833.99,2.26979198,62.6691919071
2022-03-04,16212.5,16463.22,15793.38,16060.3,3.39276717,114.9042280741
2022-03-07,15747.94,15801.91,15316.93,15488.74,2.62334745,89.4802762319
2022-03-08,15384.07,15601.99,14614.34,14890.73,3.51316553,110.4138738115
2022-03-09,14929.2,15249.41,14206.5,15071.26,3.98031603,108.1654364557
2022-03-10,15542.27,15614.45,15242.74,15330.52,2.79515173,96.4257187058
2022-03-11,14946.53,15483.58,14765.34,15385.71,2.64639278,78.231199872
2022-03-14,15128.94,15233.65,14816.21,14842.73,2.20949542,63.4827098125
2022-03-15,14505.69,14943.59,14126.43,14257.19,3.2644466,83.7970742971
2022-03-16,14635.99,15137.38,14149.87,15093.35,3.88527417,126.5481600655
2022-03-17,15565.43,15709.44,15285.66,15339.53,3.51082045,124.1268456822
2022-03-18,15300.78,15616.9,15166.14,15411.26,2.76077517,73.8381637889
2022-03-21,15658.79,16052.19,15424.32,15742.62,2.97245893,107.8165044386
2022-03-22,15687.51,15924.57,15538.18,15764.88,2.1260537,61.565904293900005
2022-03-24,15632.89,15918.67,15477.77,15725.01,2.12810467,57.6082794231
2022-03-25,15739.17,15834.42,15119.46,15181.84,2.46778615,81.7867350234
2022-03-28,15118.81,15369.43,14805.71,15104.53,3.96809696,81.271857469
2022-03-29,15210.01,15427.81,14902.01,15023.85,3.18523458,67.9228150114
2022-03-30,14940.35,15510.07,14714.69,15465.48,4.66576669,109.59390047629999
2022-04-01,14980.67,15600.41,14921.85,15404.57,2.96208029,82.2808684834
