date,open,high,low,close,volume,amount
2021-12-13,5653.29,5770.9,5546.71,5645.12,4.46585829,50.5126994228
2021-12-14,5641.82,5661.75,5387.34,5415.22,5.94837855,70.65378672029999
2021-12-15,5410.04,5519.01,5313.65,5429.16,4.18793558,52.3034459175
2021-12-16,5415.06,5487.77,5342.08,5440.3,3.24262291,34.1284527674
2021-12-17,5419.38,5471.85,5324.24,5357.74,3.40583734,33.7351808165
2021-12-20,5335.91,5395.42,5238.89,5287.61,3.07119398,31.0339956825
2021-12-21,5292.77,5387.13,5251.93,5352.76,2.99173023,27.2973087367
2021-12-22,5361.78,5417.59,5279.81,5345.02,3.00335341,28.772060778
2021-12-23,5353.21,5519.55,5315.29,5480.57,3.94852812,47.82842243859999
2021-12-24,5490.02,5508.89,5317.62,5347.11,3.50864284,38.1660551996
2021-12-27,5344.68,5436.64,5269.33,5352.34,2.17263071,25.0554501966
2021-12-28,5369.9,5484.93,5299.78,5437.3,2.60371372,31.0967920948
2021-12-29,5422.82,5475.4,5322.1,5361.61,2.51724139,28.001907003499998
2021-12-30,5347.71,5413.99,5308.54,5353.96,2.17032111,21.3365724074
2021-12-31,5386.44,5428.64,5291.4,5352.97,2.64473904,27.864268720100004
2022-01-04,5357.14,5437.73,5273.88,5347.94,3.14350383,29.5326820698
2022-01-05,5347.89,5358.51,5174.8,5215.09,3.0674829,31.505389905300003
2022-01-06,5187.64,5317.33,5159.62,5260.9,3.24725123,24.360459980599998
2022-01-07,5277.04,5416.85,5207.0,5263.77,3.9274813,35.760503989499995
2022-01-10,5251.88,5329.24,5184.13,5265.71,3.01892785,28.013656542899998
2022-01-11,5260.6,5342.1,5195.52,5263.06,3.35396938,29.1413326327
2022-01-12,5290.29,5365.82,5239.01,5315.61,2.82287533,24.6508105415
2022-01-13,5316.14,5403.32,5233.9,5293.98,4.08463425,32.0625906653
2022-01-14,5267.19,5318.88,5123.95,5169.56,3.74466883,29.061447403800003
2022-01-17,5145.01,5223.53,5087.56,5180.91,2.60770565,20.9823521192
2022-01-18,5171.69,5193.72,5101.93,5139.7,2.01548032,17.2654668807
2022-01-19,5125.4,5175.4,5055.82,5090.45,2.41005916,19.855409675
2022-01-20,5090.69,5106.09,4972.57,5001.36,2.31483555,19.6228379191
2022-01-21,5002.51,5029.14,4899.0,4950.3,1.91837303,16.160378157100002
2022-01-24,4918.38,4988.57,4881.1,4934.32,1.50076472,11.558163804600001
2022-01-25,4938.97,4991.22,4760.0,4773.09,2.23208615,19.6840148726
2022-01-26,4778.63,4846.52,4725.52,4804.52,1.58750184,14.6299729446
2022-01-27,4806.68,4829.69,4625.67,4652.5,1.7825923,15.967158216400001
2022-01-28,4686.55,4768.62,4575.59,4702.45,1.92910753,15.4681201019
2022-02-07,4720.27,4857.35,4672.96,4765.47,2.6501635,17.571601526
2022-02-08,4767.61,4852.7,4705.63,4829.04,1.97629576,14.7705583425
2022-02-09,4834.79,4910.43,4795.46,4866.12,2.04582676,17.962597805999998
2022-02-10,4864.24,4900.1,4799.94,4854.73,1.70151105,13.2674231224
