date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.08337428,1.6104449644999999
2000-01-04,995.36,1049.02,981.78,1033.99,0.18524933,3.2049730229000004
2000-01-05,1033.36,1063.48,1011.13,1030.79,0.23913117,3.7691493254000004
2000-01-06,1022.86,1080.54,1012.74,1071.9,0.25376382,4.0591364178
2000-01-07,1078.16,1132.98,1071.38,1116.0,0.57403269,9.4174849446
2000-01-10,1133.55,1165.84,1103.67,1148.04,0.54654764,9.159017923099999
2000-01-11,1152.19,1159.43,1072.64,1091.2,0.47385828,7.1518974332
2000-01-12,1086.21,1112.5,1038.38,1049.34,0.30685316,4.5489154269
2000-01-13,1043.56,1067.57,1023.4,1043.56,0.18501899,2.7875318483
2000-01-14,1045.09,1059.71,1016.15,1027.94,0.13834939,2.3083601469
2000-01-17,1026.29,1052.22,1009.18,1043.7,0.13350737,2.0298550376
2000-01-18,1044.41,1057.53,1021.29,1034.19,0.13129429,2.1496216644
2000-01-19,1034.32,1064.87,1021.05,1048.0,0.15819016,2.7355430717
2000-01-20,1050.46,1094.24,1038.96,1076.25,0.24964606,4.3093259126
2000-01-21,1084.83,1123.47,1058.51,1084.06,0.38845014,6.4310738758
2000-01-24,1083.51,1125.7,1062.33,1107.82,0.38031724,6.021178889600001
2000-01-25,1112.44,1137.62,1069.34,1085.48,0.33183654,5.3539714485
2000-01-26,1085.64,1107.73,1060.75,1080.06,0.21479426,3.5545745849
2000-01-27,1094.83,1154.37,1077.05,1139.94,0.46900118,8.8201848935
2000-01-28,1154.77,1202.91,1121.64,1156.66,0.58038775,11.1196854704
2000-02-14,1211.17,1267.17,1199.93,1267.17,0.56604014,10.7239735423
2000-02-15,1329.91,1386.91,1281.07,1322.94,1.00979427,21.5749137356
2000-02-16,1320.89,1396.98,1290.75,1385.31,0.98336367,21.3273873463
2000-02-17,1418.17,1461.99,1259.4,1287.0,0.96914645,21.8324925787
2000-02-18,1237.19,1344.35,1190.24,1327.99,0.68782161,13.300341234500001
2000-02-21,1324.52,1371.56,1236.56,1277.56,0.76699079,15.210266683199999
2000-02-22,1275.24,1318.5,1225.08,1245.16,0.44392437,8.2337752638
2000-02-23,1234.86,1261.22,1187.59,1206.9,0.41085542,7.2217318611
2000-02-24,1196.6,1256.45,1189.77,1243.83,0.30861063,5.9655150571
2000-02-25,1243.15,1270.96,1208.99,1235.54,0.39460806,7.1696416999
2000-02-28,1237.11,1327.91,1225.75,1319.74,0.49792536,10.492237805
2000-02-29,1346.95,1371.46,1278.71,1315.27,0.54526513,10.549626545599999
2000-03-01,1327.82,1358.29,1277.02,1308.89,0.46496488,8.968485358999999
2000-03-02,1300.42,1358.14,1278.9,1324.57,0.37408327,6.913319789
2000-03-03,1339.99,1374.96,1307.2,1337.43,0.46488937,8.9184063186
2000-03-06,1352.19,1370.03,1255.61,1271.62,0.54324484,9.8958414768
2000-03-07,1247.64,1289.51,1230.39,1272.65,0.26777104,4.5566795631
2000-03-08,1269.25,1323.02,1248.71,1316.54,0.25358643,5.602997994
2000-03-09,1323.42,1363.97,1296.16,1334.29,0.50556421,9.7291163759
2000-03-10,1334.5,1370.98,1292.27,1309.99,0.52714903,9.0020387746
