date,open,high,low,close,volume,amount
2021-12-13,7762.86,7998.42,7691.24,7858.48,12.90712342,230.31587917189998
2021-12-14,7829.64,8036.86,7750.02,7956.4,16.43877054,260.18111370720004
2021-12-15,7962.11,8104.82,7839.0,7937.68,17.50267776,272.95408550400003
2021-12-16,7958.13,8100.25,7840.05,7984.78,14.97438777,242.33867563150002
2021-12-17,7958.18,8061.42,7795.61,7879.16,14.76379842,230.0983827311
2021-12-20,7853.68,8013.14,7709.49,7782.26,13.90356449,229.163242992
2021-12-21,7796.61,8043.08,7723.44,7950.42,13.54635545,236.5970439462
2021-12-22,7966.33,8136.91,7863.76,7989.04,15.65362675,255.0124130612
2021-12-23,7992.19,8124.64,7869.2,7974.55,14.92489668,238.44592766830002
2021-12-24,7989.7,8107.62,7796.61,7906.56,14.8652128,231.6565207756
2021-12-27,7908.68,8026.73,7722.56,7851.37,12.57211694,197.7018045877
2021-12-28,7871.42,8039.94,7769.06,7929.79,14.06315439,216.484043077
2021-12-29,7914.74,8001.32,7724.4,7832.51,12.83278592,208.5456576759
2021-12-30,7829.75,8074.47,7772.47,7946.36,15.72817054,249.17404512139998
2021-12-31,7970.59,8122.8,7845.16,7998.16,15.81359785,248.0157498739
2022-01-04,8040.15,8240.08,7901.17,8094.4,18.14303981,301.1627804211
2022-01-05,8085.44,8274.08,7896.54,8032.55,18.81463318,326.77205382209996
2022-01-06,7968.8,8116.72,7738.87,7907.53,15.76458474,289.9277347501
2022-01-07,7928.23,8064.77,7686.24,7741.68,16.23006937,283.00159165040003
2022-01-10,7711.36,7936.72,7570.28,7826.18,13.89692235,241.6242965157
2022-01-11,7816.82,7909.1,7585.84,7647.94,13.98743405,229.7196188268
2022-01-12,7665.17,7815.88,7578.64,7715.29,12.50427847,208.0825032384
2022-01-13,7759.96,7911.48,7591.17,7666.15,16.11901405,258.4144054148
2022-01-14,7615.77,7815.02,7507.96,7645.72,14.63701569,245.99351312060003
2022-01-17,7734.14,8125.28,7668.74,8013.46,24.60876829,421.4682569096
2022-01-18,8069.29,8399.07,7909.94,8093.62,32.79611392,567.9419883853
2022-01-19,8028.61,8240.12,7917.19,8098.83,25.17694625,408.09395235690005
2022-01-20,8083.34,8230.5,7862.59,8024.37,25.0074019,418.5198267612
2022-01-21,7977.79,8191.77,7830.5,7968.14,20.1713894,352.29494270730004
2022-01-24,7925.72,8179.65,7842.48,8011.99,17.95748373,308.7293603912
2022-01-25,7954.4,8052.97,7598.32,7646.09,21.41574348,341.9331003169
2022-01-26,7649.17,7861.85,7429.24,7619.78,18.23049724,288.629896475
2022-01-27,7612.57,7697.92,7200.74,7271.06,17.34122494,287.88195854
2022-01-28,7320.82,7495.64,7136.87,7225.06,14.24651711,235.87179019389998
2022-02-07,7361.02,7485.36,7097.59,7200.77,13.23098954,219.4870327406
2022-02-08,7181.03,7344.38,6949.54,7214.17,14.8434463,241.6838821959
2022-02-09,7220.8,7495.09,7148.42,7400.65,19.64404689,322.6460215504
2022-02-10,7370.04,7458.47,7203.59,7305.71,14.74896077,246.7842584793
2022-02-11,7281.52,7442.55,7064.5,7182.26,18.40064914,318.1620161495
2022-02-14,7112.93,7314.05,6939.98,7131.54,15.44475397,280.3496154333
2022-02-15,7142.72,7316.34,7043.7,7214.5,12.79591683,214.9268620665
2022-02-16,7301.01,7388.67,7139.05,7215.64,13.09554315,217.5423825105
2022-02-17,7178.36,7308.76,7062.12,7156.36,14.03346586,223.4410603403
2022-02-18,7129.99,7312.36,7061.08,7241.26,14.14336599,225.4797980523
2022-02-21,7277.43,7484.61,7215.38,7385.74,19.36431861,303.42361326540004
2022-02-22,7316.15,7384.69,7138.76,7246.06,17.32710989,280.0895551675
2022-02-23,7259.31,7464.32,7187.48,7385.27,19.4636912,294.0835727652
2022-02-24,7316.26,7410.69,6954.42,7093.93,22.85344328,347.05404377879995
2022-02-25,7171.51,7298.16,7062.31,7139.03,14.10803863,213.9683065525
2022-02-28,7184.57,7283.08,7033.27,7181.14,14.44781013,220.0382895709
2022-03-01,7169.0,7303.83,7077.71,7204.12,14.63431061,237.2191789904
2022-03-02,7156.99,7303.03,7067.15,7178.32,15.79182992,253.59873270330002
2022-03-04,7014.25,7133.11,6895.65,6983.49,15.24154607,239.28244072580003
2022-03-07,6938.6,6988.04,6659.38,6734.54,14.43840536,229.4027165277
2022-03-08,6749.55,6884.06,6547.92,6617.23,16.43009067,249.9809318352
2022-03-09,6629.7,6721.86,6200.29,6554.1,19.46725884,275.3099157551
2022-03-10,6689.44,6783.78,6519.79,6581.32,17.07469187,255.2435990807
2022-03-11,6441.93,6662.84,6317.52,6605.03,16.32427884,243.06410930299998
2022-03-14,6528.94,6678.92,6383.67,6427.28,14.66684643,223.81124014259998
2022-03-15,6383.01,6561.79,6131.69,6191.0,17.01069925,255.1122595866
2022-03-16,6307.61,6480.9,6058.46,6428.59,18.54077395,278.4910646339
2022-03-17,6538.27,6717.14,6436.26,6571.17,19.93034727,319.5258356622
2022-03-18,6536.87,6646.51,6437.25,6563.52,14.82242437,214.27892477720002
2022-03-21,6561.46,6709.64,6440.11,6586.55,17.21099056,241.9005956388
2022-03-22,6574.17,6707.66,6463.25,6581.8,17.50354527,246.0501845351
2022-03-24,6499.72,6546.83,6345.82,6414.26,12.60201461,177.4476895666
2022-03-25,6444.07,6527.91,6306.5,6333.41,11.40953886,163.0548952649
2022-03-28,6279.24,6413.96,6178.77,6316.84,11.52030546,163.1090486843
2022-03-29,6336.43,6402.48,6195.1,6250.54,10.52525264,148.53694669639998
2022-03-30,6293.11,6430.33,6227.93,6387.88,9.67997511,153.89074980430001
2022-04-01,6326.72,6448.61,6228.86,6349.4,10.31297543,167.4493858946
2022-04-06,6353.95,6460.03,6235.0,6325.5,10.60796119,166.3814360616
2022-04-07,6311.8,6370.95,6119.61,6135.44,11.70272897,170.2499345977
2022-04-08,6131.61,6196.68,5951.65,6064.02,10.25450577,147.75086408110002
2022-04-11,6022.07,6065.84,5719.8,5773.21,10.55804683,154.12926981549998
2022-04-12,5750.78,5903.37,5634.24,5859.66,8.80606111,135.5116149164
2022-04-13,5811.22,5876.98,5658.01,5700.92,8.6833388,122.3465882068
2022-04-15,5710.41,5806.26,5578.53,5690.49,9.17661424,131.2425976334
2022-04-18,5665.08,5798.24,5534.85,5732.3,7.53772566,115.6732124588
2022-04-19,5739.77,5858.68,5647.55,5710.86,7.3991393,113.046413969
2022-04-20,5772.22,5877.79,5653.28,5697.22,9.83835893,135.2585915502
2022-04-21,5633.39,5752.67,5464.92,5513.41,10.39120368,136.5423125207
2022-04-22,5472.0,5550.46,5326.94,5380.36,8.95181426,120.69435539770001
2022-04-25,5301.53,5333.27,4948.4,4963.99,12.02041695,147.03240364040002
2022-04-26,4961.01,5036.32,4689.42,4722.17,11.56207627,146.5022958815
2022-04-27,4664.33,4977.75,4591.55,4950.36,11.4012253,140.9521262861
2022-04-28,4911.14,4986.81,4753.65,4836.63,8.79837935,110.0354670386
2022-04-29,4886.26,5210.76,4831.87,5164.07,10.87929436,149.6347676282
2022-05-06,5053.71,5313.53,4984.03,5170.09,10.78680628,131.0286100871
2022-05-10,5045.76,5262.48,5000.24,5221.61,9.03522042,116.0929400918
2022-05-11,5219.52,5424.46,5175.16,5255.67,11.28514362,153.9263823223
2022-05-12,5216.97,5358.62,5170.57,5282.33,7.97600356,108.75389852040001
2022-05-13,5322.89,5380.36,5211.58,5284.69,7.59602031,98.9280647832
2022-05-16,5310.46,5391.01,5203.25,5255.85,8.67528754,103.3288635949
2022-05-17,5256.88,5315.29,5154.21,5265.06,7.78723707,99.3585166107
2022-05-18,5319.6,5429.88,5233.41,5283.58,10.19746194,134.2858622501
2022-05-19,5190.72,5284.89,5123.17,5239.53,7.71104766,102.83368859469999
2022-05-20,5253.7,5392.57,5207.27,5326.73,8.38930932,113.9850996221
2022-05-23,5350.48,5445.96,5271.38,5380.18,8.77809597,116.50545590790001
2022-05-24,5382.16,5432.85,5079.44,5087.23,10.44884773,137.9970292965
2022-05-25,5103.11,5245.38,5053.54,5172.75,7.74588695,106.98482248209999
2022-05-26,5188.49,5279.89,5049.48,5217.58,8.5053838,113.36827479610001
