date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.04774113,0.8082743683
2000-01-04,999.73,1043.68,979.77,1034.36,0.14181916,2.4451229928
2000-01-05,1034.09,1053.31,1009.41,1019.4,0.15295653,2.5809658491
2000-01-06,1013.06,1090.17,1001.91,1073.69,0.25165528,4.2666764334
2000-01-07,1085.7,1151.81,1080.51,1142.49,0.54961392,9.4803044009
2000-01-10,1156.09,1185.57,1123.15,1151.56,0.49920275,9.071679808899999
2000-01-11,1153.68,1159.9,1073.34,1084.92,0.29499281,5.2644509042
2000-01-12,1080.85,1101.67,1035.51,1048.34,0.18572665,3.0165018262
2000-01-13,1048.52,1056.44,1029.57,1036.33,0.08343649,1.3451535791
2000-01-14,1036.86,1052.27,1013.44,1020.69,0.08797868,1.4104868638999999
2000-01-17,1019.91,1042.84,1006.4,1037.36,0.07692816,1.2173728279
2000-01-18,1039.68,1053.4,1016.16,1027.44,0.09357011,1.6386268531000001
2000-01-19,1025.52,1052.1,1019.33,1039.68,0.10166793,1.9929936352000002
2000-01-20,1048.31,1063.06,1029.29,1051.91,0.14690079,2.6456077519
2000-01-21,1059.17,1094.4,1042.01,1070.63,0.25345659,4.4333309443
2000-01-24,1073.75,1099.3,1054.57,1079.14,0.32772538,6.575786642000001
2000-01-25,1081.84,1111.57,1062.26,1081.32,0.20228295,3.7983171625
2000-01-26,1081.66,1098.89,1063.75,1082.75,0.11160274,2.1955219954
2000-01-27,1092.86,1117.42,1076.27,1103.24,0.26419022,5.1101517934
2000-01-28,1105.86,1156.66,1091.14,1127.12,0.37511474,7.1015614621
2000-02-14,1151.15,1238.35,1142.61,1233.82,0.5681181,10.8360662507
2000-02-15,1241.23,1301.72,1183.05,1212.29,0.87395424,17.4218555021
2000-02-16,1212.6,1242.35,1161.71,1205.35,0.59528227,11.6770866461
2000-02-17,1225.07,1275.89,1133.17,1169.11,0.7484347,14.1798910751
2000-02-18,1168.34,1202.08,1111.86,1181.77,0.33659085,6.1370403742
2000-02-21,1180.45,1230.88,1126.76,1166.63,0.43133882,7.5969609920000005
2000-02-22,1173.27,1198.9,1126.51,1142.8,0.2853835,4.8887771498
2000-02-23,1134.68,1144.38,1100.75,1106.33,0.19335603,3.0978289914999997
2000-02-24,1094.15,1131.56,1089.66,1124.09,0.17432976,3.5912611794
2000-02-25,1123.2,1133.64,1095.69,1110.99,0.20822015,3.7319879712
2000-02-28,1111.22,1152.85,1090.35,1141.8,0.33288043,6.4930880893
2000-02-29,1149.45,1200.39,1113.1,1163.11,0.55457336,10.3131535674
2000-03-01,1161.96,1194.15,1132.46,1151.19,0.33002516,6.2892699237
2000-03-02,1148.23,1170.26,1122.71,1143.02,0.26985537,5.3402171937
2000-03-03,1146.44,1193.09,1136.92,1161.42,0.47333238,8.182390743500001
2000-03-06,1178.48,1212.88,1123.96,1139.07,0.5922529,9.9791501468
2000-03-07,1129.6,1207.87,1113.33,1201.06,0.79689957,13.0797402434
2000-03-08,1229.45,1259.37,1190.58,1224.04,1.05662757,18.1766890819
2000-03-09,1229.55,1296.61,1198.67,1261.94,0.93265094,16.4802487048
2000-03-10,1257.35,1275.38,1202.43,1218.09,0.67299842,12.1629318903
2000-03-13,1225.52,1267.03,1213.09,1235.07,0.53370567,10.4626358757
2000-03-14,1197.01,1218.7,1141.78,1171.2,0.71554744,12.263253332
2000-03-15,1168.26,1192.02,1125.55,1153.24,0.5787888,9.2959977396
2000-03-16,1142.68,1145.8,1092.72,1099.29,0.43598164,6.9146580455999995
2000-03-17,1094.86,1139.67,1090.96,1130.56,0.34920791,5.9288372545
2000-03-20,1124.67,1147.75,1098.31,1138.46,0.35365939,6.0888395582
2000-03-21,1140.97,1175.14,1121.61,1155.41,0.39390651,6.422490438400001
2000-03-22,1156.15,1185.79,1145.47,1162.26,0.26743219,4.739168572900001
2000-03-23,1163.0,1182.09,1135.28,1167.62,0.29203161,5.1216310179
2000-03-24,1173.91,1203.73,1154.1,1161.44,0.34995628,6.077592695700001
2000-03-27,1161.79,1191.48,1148.07,1174.77,0.30063386,5.020438995
2000-03-28,1182.16,1198.68,1155.9,1176.26,0.36493422,5.8321799569
2000-03-29,1177.76,1194.49,1158.69,1175.6,0.2894637,4.8165940986
2000-03-30,1179.99,1198.56,1164.09,1177.98,0.22588889,3.8807664745999997
2000-03-31,1181.37,1204.51,1157.03,1176.46,0.30024347,5.1147945217
2000-04-03,1179.8,1203.05,1164.41,1171.61,0.19779359,3.6780761744
2000-04-04,1169.07,1174.47,1132.04,1146.82,0.20980957,3.7379454797000005
2000-04-05,1142.46,1159.42,1133.15,1147.98,0.18027049,3.1930010425999997
2000-04-06,1150.85,1172.59,1142.8,1166.27,0.20577084,3.5498873068
2000-04-07,1171.49,1192.18,1161.16,1178.3,0.29296985,5.1544536766
2000-04-10,1185.38,1193.09,1162.83,1173.23,0.23027442,4.159422222
2000-04-11,1173.64,1203.52,1158.73,1187.08,0.3030656,5.490819939600001
2000-04-12,1188.81,1212.32,1158.45,1185.06,0.39741564,7.0880400003999995
2000-04-13,1186.28,1209.39,1170.93,1194.47,0.31792975,5.5253175484
2000-04-14,1198.36,1247.37,1185.49,1223.93,0.51330004,9.0361894797
2000-04-17,1228.51,1258.72,1180.87,1203.6,0.45375491,8.382050897200001
2000-04-18,1203.35,1229.86,1179.46,1198.17,0.12095291,2.02603427
2000-04-19,1202.63,1221.31,1182.92,1194.93,0.20587214,3.7428723985000003
2000-04-20,1177.32,1209.45,1153.18,1190.65,0.42670408,7.741678426799999
2000-04-21,1187.87,1196.9,1158.99,1173.74,0.34168224,5.9119336522
2000-04-24,1171.64,1181.17,1144.74,1155.67,0.24542663,4.0151584451
2000-04-25,1157.58,1183.2,1136.36,1165.71,0.20006298,3.3741317137999998
2000-04-26,1168.35,1181.32,1149.51,1166.67,0.15037362,2.6059337466
2000-04-27,1169.42,1189.95,1149.08,1164.3,0.28331418,5.3412144903
