date,open,high,low,close,volume,amount
2021-12-13,8613.27,8731.46,8242.8,8318.38,1.04379095,26.337952452199996
2021-12-14,8273.23,8390.53,7943.25,8046.59,1.01468765,30.7064316326
2021-12-15,8008.08,8257.84,7928.26,8169.85,0.88981044,25.7745645674
2021-12-16,8121.68,8179.83,7891.31,8035.75,0.75022711,19.9622723074
2021-12-17,7978.04,8091.29,7827.02,7917.83,0.79915691,17.4529050152
2021-12-20,7891.44,8037.56,7749.04,7854.1,0.76232483,16.964810544200002
2021-12-21,7836.35,8015.5,7751.39,7937.28,0.62027791,13.5343585046
2021-12-22,7931.74,8011.66,7812.73,7887.28,0.72874047,14.687646293299998
2021-12-23,7840.55,7935.85,7718.09,7842.81,0.62094805,15.5113600069
2021-12-24,7828.05,7866.6,7539.94,7647.91,0.59310113,15.5702748478
2021-12-27,7680.83,7848.53,7543.41,7795.96,0.46564698,12.929946206099999
2021-12-28,7814.89,8134.27,7753.51,8089.82,0.78287543,23.6600991539
2021-12-29,8058.16,8231.71,7889.96,8070.91,1.0022196,22.9321548379
2021-12-30,8066.66,8172.17,7917.86,8034.96,0.8864478,16.8856751414
2021-12-31,8043.45,8149.62,7870.85,7960.23,0.68005884,14.8637699363
2022-01-04,7991.36,8085.77,7811.9,7919.35,0.67406521,15.467626058599999
2022-01-05,7912.66,8270.22,7775.91,8143.26,1.0579983,31.5524308827
2022-01-06,8033.8,8253.4,7932.16,8024.76,0.73463862,20.2301984498
2022-01-07,8024.92,8337.45,7934.04,8137.15,0.97885595,25.886802328
2022-01-10,8163.81,8410.5,7947.8,8245.82,0.8838262,24.698926164499998
2022-01-11,8231.48,8328.31,7920.06,7963.63,0.86647159,20.7463310189
2022-01-12,7938.31,8052.01,7822.91,7985.83,0.69496245,15.9182015926
2022-01-13,7954.41,8028.46,7670.3,7757.67,0.78694414,16.7417183702
2022-01-14,7712.7,7860.01,7558.99,7688.09,0.92442893,16.772545126700003
2022-01-17,7661.6,7745.49,7439.87,7617.25,0.94997601,18.9973772276
2022-01-18,7624.78,7885.27,7478.4,7717.77,0.84346665,17.8857541198
2022-01-19,7649.58,7814.19,7471.73,7629.6,0.68106977,15.649438742300001
2022-01-20,7619.67,7745.07,7468.23,7588.39,0.58675695,13.9091864882
2022-01-21,7563.95,7634.87,7298.96,7422.85,0.51525047,13.2649606301
2022-01-24,7481.55,7562.71,7249.65,7340.96,0.38786148,11.2568606991
2022-01-25,7351.95,7460.5,7145.42,7188.43,0.52333671,12.3672861163
2022-01-26,7181.75,7376.29,7046.51,7138.03,0.44816829,11.6109417907
2022-01-27,7144.62,7199.8,6899.73,6954.5,0.47547,9.8704212779
2022-01-28,6969.93,7201.22,6823.31,7043.69,0.54216403,10.3493244451
2022-02-07,7134.79,7258.07,6930.4,7012.84,0.41203371,9.969880529800001
2022-02-08,6975.11,7082.0,6783.64,6950.38,0.38622511,11.0873444788
2022-02-09,6955.4,7088.08,6847.4,7044.62,0.44464687,11.8442440952
2022-02-10,7041.52,7100.61,6846.61,6957.66,0.75205286,11.758496638199999
2022-02-11,6953.64,7187.37,6804.41,6974.31,1.212053,18.6901760043
2022-02-14,6912.06,7017.41,6734.1,6859.56,0.82237543,13.3790454443
2022-02-15,6852.83,7083.32,6765.01,7019.96,0.7007401,12.8901077051
2022-02-16,7028.26,7118.71,6919.45,6990.03,0.53533832,10.2598169427
2022-02-17,6996.71,7074.82,6896.51,6984.82,0.58432943,10.74007845
2022-02-18,6928.41,7028.29,6854.36,6953.61,0.44456892,9.2032372377
2022-02-21,6951.95,7225.6,6876.92,7106.09,0.67991921,12.701924656500001
2022-02-22,7080.08,7132.02,6853.47,6934.53,0.72114095,13.0502224001
2022-02-23,6940.21,7123.22,6856.27,7084.36,0.69379472,10.1578477068
2022-02-24,7037.5,7086.62,6774.7,6863.69,0.85403002,12.9276487242
2022-02-25,6928.67,7125.86,6852.0,7054.74,0.78575283,15.2735696976
2022-02-28,7024.52,7109.97,6837.76,6944.23,0.74788131,17.4186237322
2022-03-01,6939.9,7047.17,6841.65,6906.71,0.64788157,14.6103681582
2022-03-02,6892.19,6974.91,6752.54,6825.19,0.79854165,13.6091910198
2022-03-04,6685.2,6778.63,6577.35,6634.76,0.9384602,15.5719234743
2022-03-07,6594.74,6640.02,6305.92,6373.24,1.18996177,19.5865631512
2022-03-08,6373.28,6480.46,6130.73,6175.64,1.09678292,18.36015406
2022-03-09,6173.3,6274.13,5851.05,6077.34,0.93605361,15.7500135882
2022-03-10,6222.72,6348.5,6148.88,6228.99,1.03236178,15.139023334
2022-03-11,6147.42,6302.23,6020.26,6268.09,0.96987861,13.950263381300001
2022-03-14,6190.93,6246.41,5972.44,6005.86,0.76978016,13.6588409724
2022-03-15,5991.48,6020.82,5656.38,5678.57,0.93593349,16.0447869177
2022-03-16,5800.57,5912.85,5539.84,5860.16,1.10709886,17.9485125733
2022-03-17,5949.28,6223.12,5871.52,6094.28,1.21025773,20.453144145499998
2022-03-18,6078.79,6192.69,5964.61,6097.06,1.05059717,14.854969553
2022-03-21,6106.66,6256.25,5999.79,6166.54,0.8843204,13.602717164000001
2022-03-22,6146.94,6215.39,6024.86,6105.97,0.77100525,12.8369996708
2022-03-24,6109.04,6259.83,6011.0,6178.6,0.8497053,14.7935829701
2022-03-25,6235.44,6481.37,6093.37,6165.86,1.19303208,24.311310845999998
2022-03-28,6068.53,6161.64,5890.73,6003.42,1.0689672,21.2041961533
2022-03-29,5995.15,6121.06,5832.24,5875.96,0.89310181,16.5232478166
2022-03-30,5920.77,6163.93,5854.84,6123.0,0.79817744,14.8365952433
2022-04-01,6073.34,6221.85,5998.44,6127.35,0.69278906,13.3808734505
2022-04-06,6124.4,6194.81,5993.45,6090.11,0.57621226,11.0746264057
2022-04-07,6094.79,6203.12,5910.64,5933.89,0.72275119,12.946169763599999
2022-04-08,5918.39,5991.65,5770.67,5852.32,0.54965463,10.3051983488
2022-04-11,5803.69,5868.84,5582.21,5639.79,0.62790816,12.302850984200001
2022-04-12,5604.5,5801.9,5504.45,5779.43,0.66704985,12.3365854746
2022-04-13,5722.95,5921.03,5628.86,5743.39,0.68671283,12.522417224000002
2022-04-15,5916.78,6155.26,5853.07,5993.4,0.69154431,14.784487998800001
2022-04-18,5977.37,6053.6,5855.66,5947.55,0.54584195,11.083708995699999
2022-04-19,5952.0,6030.82,5774.2,5862.08,0.64708531,13.1548974006
2022-04-20,5851.98,6016.01,5772.67,5867.63,0.67754047,12.601818883499998
2022-04-21,5809.57,6092.55,5724.3,5849.42,0.90189873,17.650356361500002
2022-04-22,5801.19,6021.5,5710.43,5901.66,1.02430317,20.3501149018
2022-04-25,5855.92,6107.09,5663.36,5705.63,1.13159074,24.329440737
2022-04-26,5751.75,5943.25,5476.05,5626.53,1.12680802,21.954089266599997
2022-04-27,5402.13,5819.78,5265.45,5716.08,1.19455891,22.0619495069
2022-04-28,5705.82,5818.76,5535.04,5647.74,0.97394711,16.1731487366
2022-04-29,5702.3,6040.67,5604.49,6006.42,1.46531225,28.7395023596
2022-05-06,5793.63,6001.46,5684.9,5867.56,1.43520584,30.764457499200002
2022-05-10,5661.09,5904.27,5572.74,5786.96,1.34320996,27.698150721399998
2022-05-11,5797.9,6088.7,5678.07,5901.45,1.43358061,30.9571082354
2022-05-12,5843.37,6029.98,5774.71,5967.92,1.24000317,26.0420738342
2022-05-13,5972.1,6051.11,5825.42,5896.69,1.08632199,22.5874743585
2022-05-16,5881.18,6133.0,5812.84,5972.0,0.98775323,21.1097284734
2022-05-17,5937.37,6073.02,5826.04,5988.3,0.90616955,17.6288649009
2022-05-18,6018.86,6081.25,5851.58,5963.01,0.7972585,17.079199266099998
2022-05-19,5868.61,5992.84,5803.27,5933.74,0.84326263,14.9063329442
2022-05-20,5951.07,6204.31,5892.21,6105.45,1.0021292,20.0942184152
2022-05-23,6109.93,6181.89,5962.55,6045.68,0.78048009,15.713249809
2022-05-24,6039.58,6228.84,5870.52,5945.01,1.13450279,20.1679736456
