date,open,high,low,close,volume,amount
2021-12-13,15177.89,15715.45,15064.76,15340.48,0.61100938,13.101743624000001
2021-12-14,15275.16,15393.94,14984.63,15081.04,0.53521129,10.6095623177
2021-12-15,15113.06,15223.2,14803.95,14967.78,0.44352992,8.674635735399999
2021-12-16,14961.72,15074.6,14773.89,14953.37,0.36309028,7.0158491307
2021-12-17,15007.59,15043.77,14597.95,14638.26,0.36831434,7.0043822646
2021-12-20,14644.52,14870.67,14543.76,14709.19,0.3321662,6.4082374305
2021-12-21,14677.63,15318.9,14643.1,15088.6,0.53771935,10.423807327899999
2021-12-22,15301.26,15392.61,14850.37,15106.16,0.42249136,7.3255175185
2021-12-23,15097.13,15151.49,14754.46,14968.21,0.41535759,6.8102128609
2021-12-24,14967.73,15005.7,14658.35,14808.15,0.39790673,5.9737815647
2021-12-27,14770.86,15366.7,14648.57,15245.24,0.44598829,10.528835649400001
2021-12-28,15166.13,15537.18,15132.7,15391.59,0.46089041,9.051183054800001
2021-12-29,15354.69,15438.52,15062.83,15159.95,0.35912942,7.752953345800001
2021-12-30,15090.89,15560.06,15066.34,15348.38,0.41930476,7.5704888712
2021-12-31,15299.71,15588.84,15179.52,15444.29,0.419977,7.9533028798
2022-01-04,15481.22,15861.39,15335.37,15719.88,0.69106538,12.0907209971
2022-01-05,15644.43,16084.06,15389.84,15803.78,0.72252021,12.9282782588
2022-01-06,15611.79,15971.16,15495.1,15699.14,0.53579369,10.2559243391
2022-01-07,15721.51,16318.9,15611.52,16059.53,0.76340096,15.1689500222
2022-01-10,16194.75,16558.33,15911.22,16311.97,0.57100883,12.670978899200001
2022-01-11,16348.41,16599.54,15793.2,15876.43,0.6476007,15.832743501600001
2022-01-12,15943.49,16052.9,15570.96,15803.3,0.40768793,8.2183262902
2022-01-13,15778.74,15870.18,15327.04,15405.9,0.49156618,8.4942889718
2022-01-14,15398.41,15481.2,14989.84,15103.32,0.46036079,9.0863388679
2022-01-17,15080.89,15266.04,14845.07,15042.87,0.3954511,7.466355346
2022-01-18,15074.3,15395.21,14813.99,15249.72,0.63578205,8.989057462
2022-01-19,15207.81,15732.74,15075.95,15491.12,0.61561427,10.2306736268
2022-01-20,15490.27,16011.17,15269.68,15770.22,0.62325172,11.2017204294
2022-01-21,15820.07,15851.08,15193.54,15286.09,0.4679347,7.838256100700001
2022-01-24,15282.76,15422.59,14889.68,15178.56,0.34783434,6.618080754
2022-01-25,15192.72,15327.33,14643.72,14715.99,0.49045101,6.598220283200001
2022-01-26,14666.65,14960.99,14466.5,14646.14,0.3303638,5.815744746900001
2022-01-27,14604.12,14649.15,14090.94,14143.07,0.37651391,6.5169217173
2022-01-28,14392.83,14598.6,14053.48,14199.97,0.27189023,5.1896178624000004
2022-02-07,14382.62,14696.71,14220.43,14486.8,0.30058082,5.2265877448
2022-02-08,14453.15,14641.4,14243.98,14511.8,0.30782584,5.0923645750999995
2022-02-09,14564.25,14877.78,14368.62,14732.67,0.32595346,6.0379128737
2022-02-10,14663.4,14732.74,14201.14,14363.06,0.31565119,6.8393189224
2022-02-11,14419.08,14936.67,14213.2,14580.04,0.52990009,9.0827314494
2022-02-14,14451.23,14536.58,14021.82,14186.27,0.36250362,6.4935591282
2022-02-15,14184.57,14510.94,14018.04,14158.8,0.32991519,6.1145857557
2022-02-16,14215.98,14575.22,14150.33,14541.04,0.27743104,6.0162448608000005
2022-02-17,14620.3,14816.82,14350.61,14426.14,0.29989498,5.5634181176999995
2022-02-18,14453.87,14666.82,14172.38,14517.83,0.3226688,6.0978645172000006
2022-02-21,14483.04,14763.63,14384.3,14679.12,0.28714328,5.1119981298
2022-02-22,14662.7,14712.33,14324.79,14459.2,0.30155947,4.7866277337
2022-02-23,14466.82,14622.42,14298.02,14429.47,0.26656788,4.6122198205
2022-02-24,14394.67,14421.6,13694.45,13889.86,0.46690335,7.1622629316
2022-02-25,14021.2,14484.69,13975.75,14215.57,0.38803101,8.1995068201
2022-02-28,14224.8,14250.82,13501.36,13725.62,0.4488344,9.4864394251
2022-03-01,13743.57,13904.09,13569.86,13729.21,0.28989558,5.7522715663
2022-03-02,13714.35,13772.84,13453.03,13652.09,0.23047347,4.455876587900001
2022-03-04,13425.47,13590.1,13248.2,13423.79,0.28984118,4.9778654625
2022-03-07,13321.17,13372.22,12957.91,13057.32,0.2955431,5.2708360437
2022-03-08,13100.2,13224.25,12529.62,12603.76,0.39225128,6.3539430972
2022-03-09,12649.25,12757.51,11788.34,12290.37,0.46480924,7.3150191766
2022-03-10,12541.45,12670.25,12192.6,12284.58,0.39981529,7.226354881900001
2022-03-11,12160.27,12325.27,11847.24,12251.36,0.32682573,5.3219401139
2022-03-14,12164.39,12319.36,11903.27,11965.2,0.3112075,5.7321921516
