date,open,high,low,close,volume,amount
2021-12-13,83181.14,84758.47,82059.76,82395.86,4.88751155,520.2251133132
2021-12-14,82159.21,84231.17,81462.64,83269.55,4.00109074,390.75996718849996
2021-12-15,82840.11,83544.95,81589.24,82287.95,3.88542966,335.8247928344
2021-12-16,81850.81,82630.27,79636.18,81303.33,3.70613107,411.4100949112
2021-12-17,80733.56,81123.89,78387.35,78814.44,3.16883012,358.9377376635
2021-12-20,78663.69,80353.52,78358.17,79059.11,2.64368501,279.2055137686
2021-12-21,78783.65,79632.88,77178.41,78192.85,2.41682877,260.01691226869997
2021-12-22,78345.96,79181.32,77894.91,78493.42,2.14816952,209.79761938849998
2021-12-23,78771.61,80999.4,77552.62,80699.55,3.49168311,357.0204142758
2021-12-24,81193.61,83664.44,80833.85,82196.78,3.67094704,415.8154643471
2021-12-27,81539.57,81985.11,79605.3,80634.37,2.5516543,295.1640784605
2021-12-28,80674.88,82090.74,80165.21,81179.33,2.41888028,259.401189502
2021-12-29,81509.85,81681.95,76977.34,77216.91,3.15262786,411.0065359837
2021-12-30,77292.33,78958.12,76780.16,78181.67,2.40148229,285.5894750681
2021-12-31,78139.58,78400.38,76404.58,77325.14,2.17243495,264.16583677470004
2022-01-04,77325.44,77867.6,75453.62,77192.55,2.54689241,267.6600293125
2022-01-05,76890.92,77993.84,75803.44,76365.28,2.52227261,250.4729735343
2022-01-06,76226.97,77046.38,73829.08,75104.33,2.11375475,287.9933132905
2022-01-07,74883.21,75425.01,73318.37,73709.98,2.15846367,230.4451696081
2022-01-10,72952.25,74458.4,71773.74,73748.32,1.95704215,240.5234183682
2022-01-11,73387.22,74157.54,72478.52,72836.49,1.48320357,176.56066136919998
2022-01-12,73104.48,74157.3,72772.54,73646.96,1.64606312,203.1825235986
2022-01-13,73690.21,73884.89,70279.83,70647.29,2.25423789,323.7497079272
2022-01-14,70433.0,71370.35,69928.7,70237.25,1.63028792,198.86518025459998
2022-01-17,70144.43,70793.52,68870.66,70378.66,1.61085898,190.45476994470002
2022-01-18,70385.57,72435.49,69844.53,71639.88,2.35317756,251.89828919310003
2022-01-19,72304.3,72512.62,70548.1,71458.39,1.83658312,209.4179962877
2022-01-20,71492.39,73495.51,71148.39,73015.45,1.93607799,243.56362886990001
2022-01-21,72679.98,74583.28,72189.87,73902.4,2.27372876,272.2579435723
2022-01-24,73077.97,74261.36,72199.23,73003.38,1.58501276,191.1926348552
2022-01-25,72603.16,73487.91,71448.8,71761.91,2.27876598,215.59031657740002
2022-01-26,71699.27,73178.87,70528.96,72167.41,2.03958693,238.6546031444
2022-01-27,73251.56,74027.82,71377.11,71759.13,1.81322803,252.0441826014
2022-01-28,71663.53,72165.09,68978.27,69263.94,1.73819971,250.90045580580002
2022-02-07,69875.35,71126.36,68066.88,68854.48,1.84731917,253.22654750490003
2022-02-08,68863.12,69082.78,65537.36,67314.2,2.04698591,261.24405336169997
2022-02-09,67177.07,70197.99,66755.77,69853.94,2.32272651,259.1310353707
2022-02-10,69843.03,70304.56,68339.98,69145.79,1.68113819,180.3834759709
2022-02-11,68751.28,71090.73,68087.77,69023.16,2.04546592,255.6307606631
2022-02-14,68560.63,70580.51,68366.2,69960.47,1.57099748,191.4579450925
2022-02-15,70137.5,71632.27,69643.17,70999.05,1.73722885,210.5063737926
2022-02-16,71204.11,71830.69,70607.92,71216.74,1.89395729,152.0905774561
2022-02-17,71438.98,71893.06,70445.24,70846.28,1.61347572,152.2240937977
2022-02-18,70580.3,71662.12,69942.25,71458.9,1.3599592,138.6778420499
2022-02-21,71327.05,72175.98,70402.72,70926.81,2.49992858,172.4056354339
2022-02-22,70360.68,70500.62,68236.95,68817.49,2.3687734,239.0738565583
2022-02-23,68926.99,69868.98,68275.79,69589.95,2.64024986,191.0920881247
2022-02-24,68927.3,69277.37,66258.44,67031.0,3.13692124,318.6881670143
2022-02-25,67481.57,68664.95,67309.75,67997.5,2.21605788,195.48596989849997
2022-02-28,67774.49,68314.48,66855.34,68003.81,2.20653759,171.14447568149998
2022-03-01,68291.5,70275.38,68182.31,69921.51,3.04783467,268.8308684415
2022-03-02,69211.17,69733.58,68369.14,69176.4,2.00022016,161.84786824559998
2022-03-04,66095.53,67023.68,65195.44,66031.43,2.51205598,215.0744756265
2022-03-07,65328.86,65540.54,62731.43,63017.43,2.68175099,297.3319976875
2022-03-08,64676.52,65755.51,63222.36,63810.66,2.78380399,289.8699422935
2022-03-09,64085.68,65321.89,61723.66,64114.82,3.33664763,316.4604240461
