date,open,high,low,close,volume,amount
2021-12-13,6361.22,6460.73,6218.58,6266.88,2.83378427,49.5442802074
2021-12-14,6215.82,6335.74,6149.8,6227.41,2.05135131,35.093047118099996
2021-12-15,6212.04,6263.38,6051.92,6102.59,1.82126266,32.5315672663
2021-12-16,6098.64,6188.02,5990.52,6067.63,1.57933471,29.105799335900002
2021-12-17,6063.88,6108.42,5925.66,5984.8,1.80301004,27.087665586999996
2021-12-20,5980.93,6074.33,5883.24,5931.84,1.95259704,28.1254640339
2021-12-21,5963.8,6093.36,5888.03,6045.42,1.9526234,29.7642360495
2021-12-22,6039.51,6176.57,5978.95,6077.94,1.890994,26.3586789201
2021-12-23,6095.41,6227.5,5973.07,6126.99,2.43750887,36.6492607533
2021-12-24,6152.64,6324.91,6077.62,6190.71,2.85749867,42.992209173599996
2021-12-27,6155.98,6254.8,6021.49,6113.98,1.84736973,28.468680831599997
2021-12-28,6112.55,6287.62,6048.72,6220.74,1.92299733,29.9848521381
2021-12-29,6217.79,6272.47,6004.06,6052.61,2.04154678,34.251417483000004
2021-12-30,6036.49,6095.8,5955.65,6031.75,1.39296075,24.3063501046
2021-12-31,6023.28,6066.74,5827.72,5933.02,1.54225925,30.3843805823
2022-01-04,5922.15,5984.5,5772.64,5904.54,1.86323177,34.4129472976
2022-01-05,5905.63,6024.77,5795.84,5874.57,2.24637566,36.2223023657
2022-01-06,5867.9,5943.77,5725.3,5785.59,1.63902737,28.5430400389
2022-01-07,5768.75,5814.63,5586.63,5619.21,1.72363114,31.609618458299998
2022-01-10,5578.3,5619.42,5391.99,5552.22,1.38922688,34.911320828200004
2022-01-11,5556.57,5589.63,5363.39,5393.62,1.27236274,30.4364989308
2022-01-12,5400.39,5527.88,5340.66,5463.17,1.34197803,28.809557165300003
2022-01-13,5451.97,5505.53,5338.87,5365.51,1.51652263,25.605446958
2022-01-14,5337.72,5435.21,5265.56,5316.59,1.58120705,26.9532769958
2022-01-17,5304.3,5368.69,5216.47,5316.5,1.40401044,21.8108226876
2022-01-18,5315.89,5462.85,5245.28,5368.76,1.87789573,32.538226208000005
2022-01-19,5338.55,5398.72,5211.26,5290.08,1.62716227,26.099556558200003
2022-01-20,5290.13,5420.34,5223.02,5368.52,1.44705411,29.1083363348
2022-01-21,5347.39,5593.51,5281.38,5457.91,1.4460492,35.9851790631
2022-01-24,5455.83,5568.39,5368.22,5459.12,1.08799151,24.842446568000003
2022-01-25,5441.22,5482.88,5249.26,5281.69,1.37654272,22.426900599699998
2022-01-26,5267.13,5400.94,5200.21,5329.88,0.94017942,17.0379621236
2022-01-27,5344.74,5409.46,5161.51,5186.38,1.19170392,19.4607672889
2022-01-28,5178.22,5281.63,5070.43,5135.45,1.19627152,17.7950472651
2022-02-07,5214.33,5342.68,5044.87,5115.28,1.12548452,22.1282671691
2022-02-08,5141.82,5190.27,4971.93,5086.34,0.94643491,18.7795088407
2022-02-09,5081.55,5281.7,5064.44,5235.93,0.96521187,22.2774644679
2022-02-10,5237.11,5291.62,5137.19,5216.68,0.8989667,19.6108844973
2022-02-11,5198.35,5277.06,5092.0,5130.41,1.00794858,19.7779309738
2022-02-14,5121.55,5318.34,5086.57,5247.31,1.07346685,22.2471355871
2022-02-15,5228.96,5426.16,5199.68,5354.03,0.99163365,20.4783969279
2022-02-16,5352.4,5485.79,5315.38,5430.05,0.98036984,19.189492806500002
2022-02-17,5443.93,5499.09,5340.93,5395.54,1.00644359,16.369402942
2022-02-18,5364.46,5453.74,5312.89,5410.16,0.89481175,14.5032367428
2022-02-21,5421.64,5495.88,5326.08,5412.56,0.99119832,15.650704326500001
2022-02-22,5393.3,5436.23,5281.26,5364.94,1.07441732,16.2108073292
2022-02-23,5357.8,5425.71,5289.16,5378.53,0.89196053,14.7152224473
2022-02-24,5354.45,5378.23,5123.05,5194.87,1.49224689,22.604989315
2022-02-25,5217.0,5327.43,5164.03,5251.96,1.09214113,19.403774438699998
2022-02-28,5229.75,5263.9,5131.71,5223.96,1.0327015,16.5962854982
2022-03-01,5285.58,5591.06,5274.4,5509.41,2.24286328,42.4336656726
2022-03-02,5460.44,5508.21,5339.26,5406.8,1.73657526,28.2887209654
2022-03-04,5304.33,5390.64,5221.44,5272.36,1.35962964,23.341032183000003
2022-03-07,5232.59,5246.83,4963.34,5001.13,1.47886208,29.250517388600002
2022-03-08,5014.03,5097.08,4808.01,4861.92,1.46306609,28.4865430268
2022-03-09,4857.27,4916.53,4574.48,4774.94,1.64551763,29.1892674898
2022-03-10,4876.75,5020.39,4819.42,4965.67,1.37245931,26.6720693548
2022-03-11,4878.69,5026.57,4814.68,4988.63,1.30746526,20.258494211600002
2022-03-14,4873.78,4907.83,4682.36,4736.06,1.11333118,23.453507676100003
2022-03-15,4664.54,4732.57,4462.76,4497.07,1.39511588,23.2560523452
2022-03-16,4559.65,4678.33,4399.89,4638.44,1.70089722,25.8940812181
2022-03-17,4677.36,4840.3,4622.26,4728.61,1.90924968,28.8821014375
