date,open,high,low,close,volume,amount
2021-12-13,2951.17,3019.34,2920.96,2956.39,0.89214382,26.463841646
2021-12-14,2949.92,3016.03,2909.82,2970.14,1.11181193,31.5367371794
2021-12-15,2965.87,2994.18,2888.67,2918.82,1.34748986,34.513663480700004
2021-12-16,2914.35,3005.55,2877.34,2960.46,1.35325082,32.5252432489
2021-12-17,2963.98,2985.83,2881.75,2912.03,1.09003751,27.596185196900002
2021-12-20,2905.45,2984.84,2871.51,2905.67,0.92974378,24.7471778147
2021-12-21,2897.54,2983.46,2877.62,2939.98,1.03072403,22.6468187431
2021-12-22,2942.79,2979.62,2895.77,2941.42,0.93101972,19.9142933656
2021-12-23,2943.24,2976.05,2877.33,2929.52,0.87369201,21.2937816427
2021-12-24,2928.96,3098.38,2900.89,3066.05,1.53998143,45.326830302299996
2021-12-27,3064.74,3148.13,3011.24,3094.48,1.48803001,41.7377116589
2021-12-28,3070.05,3108.97,2996.36,3031.07,1.22418918,33.7673041662
2021-12-29,3025.04,3052.6,2939.23,2951.98,0.99266504,26.614465439299998
2021-12-30,2939.36,2987.55,2912.72,2954.92,0.81949348,22.8989509335
2021-12-31,2955.5,2996.69,2905.2,2954.52,1.12048675,30.3994035866
2022-01-04,2949.01,3013.1,2881.4,2992.32,1.70415665,40.0463227936
2022-01-05,2993.98,3053.0,2902.55,2938.43,1.4713608,37.3246321164
2022-01-06,2929.73,2985.38,2852.72,2906.87,1.23031599,35.4751301665
2022-01-07,2920.74,2941.03,2816.9,2840.2,1.18254435,31.6951677505
2022-01-10,2825.76,2876.87,2757.43,2832.87,1.2066684,34.614881393000005
2022-01-11,2836.22,2869.79,2763.13,2785.3,1.30921057,33.5421707021
2022-01-12,2785.65,2884.15,2760.31,2856.17,1.77165351,37.2105593916
2022-01-13,2839.02,2896.07,2789.46,2820.49,1.75403976,35.437612806
2022-01-14,2805.39,2862.42,2754.37,2775.79,1.43845834,30.748765666799997
2022-01-17,2769.28,2808.46,2698.95,2765.06,1.21695788,27.192848429899996
2022-01-18,2763.57,2776.73,2687.74,2722.04,1.21908773,26.418137326799997
2022-01-19,2716.68,2769.84,2681.15,2745.57,0.97528821,18.7950336597
2022-01-20,2741.01,2774.11,2649.43,2696.04,1.22467015,28.3421540252
2022-01-21,2695.66,2790.64,2658.71,2729.32,1.10060893,27.5765172423
2022-01-24,2712.99,2756.24,2654.94,2705.52,0.8612754,19.45371536
2022-01-25,2697.93,2727.1,2614.61,2627.18,0.93576548,18.620417495199998
2022-01-26,2624.59,2670.71,2588.01,2628.26,0.60521163,13.281515325099999
2022-01-27,2627.15,2654.27,2537.54,2555.32,0.68159593,14.5568948246
2022-01-28,2575.1,2614.36,2512.67,2546.92,0.61075001,13.8842709482
2022-02-07,2567.18,2635.55,2540.71,2583.21,0.76481566,13.9386360745
2022-02-08,2580.73,2612.77,2507.18,2581.87,0.67925407,13.6058351749
2022-02-09,2578.34,2637.36,2556.62,2611.89,0.54899819,13.256565956
2022-02-10,2610.72,2683.05,2581.56,2621.92,0.61291084,16.9219921969
2022-02-11,2609.28,2635.25,2548.9,2580.5,0.69098154,15.555230541199998
2022-02-14,2570.45,2641.73,2538.63,2593.01,0.61645885,16.1804055379
2022-02-15,2605.64,2643.05,2558.22,2596.47,0.5475036,12.1429463983
2022-02-16,2604.8,2639.93,2562.76,2619.8,0.49323063,11.9723952411
2022-02-17,2614.19,2645.8,2572.33,2588.99,0.54684387,12.280885981900001
2022-02-18,2578.04,2599.27,2536.46,2570.92,0.46324835,11.0486615916
2022-02-21,2567.12,2612.93,2536.64,2574.24,0.51525853,11.5291345027
2022-02-22,2563.41,2572.32,2481.31,2519.73,0.59554293,15.4116050117
2022-02-23,2542.54,2602.05,2525.34,2566.19,0.58441422,15.830708653599999
2022-02-24,2574.82,2620.46,2495.24,2532.02,0.85148899,19.8435523524
2022-02-25,2546.53,2602.5,2524.26,2548.85,0.49867372,12.4179217909
2022-02-28,2547.59,2583.44,2489.55,2553.34,0.52488581,13.564287834100002
2022-03-01,2550.12,2604.75,2519.81,2579.56,0.57620017,13.4315892176
2022-03-02,2570.17,2587.38,2518.54,2555.91,0.47693153,11.684916293699999
2022-03-04,2501.22,2541.16,2463.42,2510.4,0.47084277,10.602635365800001
2022-03-07,2495.31,2500.1,2395.29,2422.44,0.55577399,13.3111770474
2022-03-08,2421.94,2453.6,2319.76,2341.61,0.63041615,15.098758406300002
2022-03-09,2350.56,2370.86,2197.2,2286.25,0.69367755,14.660863631500002
2022-03-10,2325.62,2353.2,2264.64,2283.24,0.52382669,12.9079205706
2022-03-11,2251.47,2318.52,2208.24,2302.47,0.72824634,14.8065112226
2022-03-14,2288.08,2303.17,2203.86,2216.7,0.66205347,15.400458663
2022-03-15,2191.59,2212.35,2076.99,2088.73,0.83182936,18.8913091334
2022-03-16,2117.05,2164.18,2027.64,2131.86,0.74465126,16.3066626209
2022-03-17,2171.28,2266.97,2157.35,2211.92,0.75994604,19.8795051362
2022-03-18,2201.01,2235.54,2156.59,2212.16,0.56564097,12.2453532362
2022-03-21,2215.1,2283.92,2189.81,2251.39,0.84515676,14.5497709156
2022-03-22,2236.54,2258.15,2196.02,2221.65,0.62145322,10.6869123116
2022-03-24,2205.78,2231.95,2176.2,2193.55,0.43036993,8.7692154685
2022-03-25,2193.99,2242.55,2155.94,2178.49,0.76314461,12.753690026900001
2022-03-28,2166.63,2188.91,2116.88,2162.74,0.74461898,11.7114632055
2022-03-29,2169.68,2218.09,2123.86,2146.55,1.4951143,14.7059433772
2022-03-30,2171.01,2218.69,2141.07,2208.42,1.30276998,16.1869142983
2022-04-01,2198.81,2251.44,2163.92,2220.91,0.73634488,12.0112265256
2022-04-06,2218.71,2243.89,2160.79,2203.56,0.85020843,14.2319156722
2022-04-07,2199.31,2243.0,2155.4,2167.36,0.78731619,14.3821419132
2022-04-08,2171.45,2187.7,2112.91,2151.13,0.63768568,11.2558909883
2022-04-11,2163.04,2235.12,2120.21,2169.46,0.9980106,19.8261414501
2022-04-12,2165.5,2260.73,2133.2,2241.48,1.059759,22.0861840469
2022-04-13,2231.41,2277.09,2171.24,2209.12,1.26677657,23.768343718
2022-04-15,2276.52,2388.9,2238.81,2352.49,1.39525878,27.99091269
2022-04-18,2340.6,2409.04,2295.78,2357.95,1.3638329,27.5987114283
2022-04-19,2346.59,2386.55,2292.73,2333.09,1.16715361,22.608809905700003
2022-04-20,2331.79,2461.11,2299.63,2407.63,1.83848465,36.7655083669
2022-04-21,2396.68,2441.38,2317.19,2348.59,1.57158012,29.465678183
2022-04-22,2315.96,2379.55,2257.33,2316.56,1.56926982,28.2685948362
2022-04-25,2241.84,2299.66,2130.89,2154.22,1.55892965,27.7687685207
2022-04-26,2148.47,2260.78,2095.13,2153.36,1.40277884,27.6636058178
2022-04-27,2119.17,2179.3,2038.53,2155.76,1.35167992,23.9192466826
2022-04-28,2086.76,2159.93,1992.85,2051.32,1.42338249,29.7592646277
2022-04-29,2046.13,2141.54,2009.38,2110.35,1.30547702,26.3266863908
2022-05-06,2154.32,2198.39,2082.43,2129.74,0.8340707,17.268958034300002
2022-05-10,2132.78,2210.74,2093.59,2187.89,0.84893873,17.690145639100002
2022-05-11,2191.37,2253.44,2145.17,2181.55,1.15428774,23.7280240748
2022-05-12,2158.83,2247.42,2138.57,2205.18,0.93493599,19.528091566300002
2022-05-13,2200.37,2244.09,2155.95,2201.75,0.81867894,16.9547115216
2022-05-16,2197.58,2228.64,2155.32,2173.15,0.94567907,15.871893647
2022-05-17,2174.52,2195.15,2121.71,2155.83,0.80529144,14.118137105999999
2022-05-18,2153.68,2212.45,2120.62,2166.77,0.90829959,16.7031210003
2022-05-19,2130.18,2184.34,2098.79,2156.11,0.83023532,14.5403775244
2022-05-20,2158.63,2262.92,2150.05,2246.62,1.0943177,21.8985530095
2022-05-23,2240.76,2265.15,2191.87,2229.33,0.92904125,18.2196575541
2022-05-24,2224.29,2281.9,2167.83,2200.18,1.12830963,21.6098115562
2022-05-25,2199.02,2258.03,2171.51,2223.19,1.09864061,20.0029150301
2022-05-26,2217.29,2238.79,2153.56,2205.43,0.89966185,16.351432840999998
2022-05-27,2208.59,2231.59,2153.9,2181.69,0.77051594,13.354522813900001
2022-05-30,2196.17,2248.18,2164.38,2210.87,0.80053149,15.0873436397
2022-05-31,2208.46,2332.54,2180.37,2311.98,1.39966727,24.9230966848
2022-06-01,2314.24,2361.36,2246.41,2269.72,1.33851043,24.0617442225
2022-06-02,2268.95,2317.66,2218.63,2288.37,2.52284141,24.0560934877
2022-06-06,2284.68,2383.38,2254.88,2367.64,2.40417223,27.0978695531
2022-06-07,2357.27,2402.27,2317.93,2351.33,2.65478868,26.3241132284
2022-06-08,2336.91,2374.53,2262.58,2312.78,2.34298093,27.5441123292
2022-06-09,2296.97,2319.26,2233.1,2250.81,1.91913069,21.5487415283
2022-06-10,2236.99,2294.21,2217.21,2273.93,1.45507957,19.2406897878
2022-06-13,2254.75,2283.03,2209.91,2255.64,1.2331438,15.731621586800001
2022-06-14,2235.61,2286.12,2198.4,2277.76,1.21750073,15.725563071099998
2022-06-15,2280.23,2343.55,2252.36,2293.17,1.31562474,19.2742923587
2022-06-16,2289.64,2380.66,2278.85,2338.76,1.45166223,21.047843726
2022-06-17,2321.75,2354.39,2277.86,2322.52,1.3059049,17.0374070724
2022-06-20,2330.76,2378.88,2296.61,2346.04,1.03127162,18.2923728048
