date,open,high,low,close,volume,amount
2021-12-13,12129.72,12348.81,11946.4,12059.58,2.34199993,53.4113665108
2021-12-14,12027.84,12155.37,11853.82,11973.17,1.913017,41.739100326999996
2021-12-15,11939.39,12005.81,11599.79,11652.15,1.81028332,40.6383212901
2021-12-16,11667.67,11801.75,11459.91,11736.38,2.0715949,38.7868215611
2021-12-17,11714.11,11809.59,11524.21,11588.2,1.56629432,26.934661929
2021-12-20,11550.98,11759.62,11472.67,11643.24,1.74395699,28.3712089917
2021-12-21,11609.28,11815.88,11399.7,11614.62,2.21886379,32.5376867413
2021-12-22,11642.19,11718.45,11408.15,11571.7,2.97647621,30.2235171785
2021-12-23,11584.82,11714.49,11448.17,11618.81,3.49721929,30.656493044
2021-12-24,11531.52,11791.17,11480.01,11698.32,3.09714361,38.4646137647
2021-12-27,11697.67,12149.01,11625.7,12040.84,2.59791891,47.6532955224
2021-12-28,12016.6,12119.73,11739.72,11888.99,2.28778644,43.2965165921
2021-12-29,11938.23,11984.64,11457.93,11513.3,1.97316553,39.0051507737
2021-12-30,11502.89,11662.74,11393.46,11567.06,1.74409739,28.1035942215
2021-12-31,11563.53,11759.47,11506.54,11628.45,1.83553204,25.569263031
2022-01-04,11650.21,11760.85,11374.27,11687.25,2.45736299,36.2166256493
2022-01-05,11732.98,11969.52,11553.79,11763.24,2.53225619,43.59765013810001
2022-01-06,11817.4,11876.74,11561.63,11721.16,1.96118222,35.7454240713
2022-01-07,11743.97,11875.64,11529.94,11614.5,2.33541488,36.819065755
2022-01-10,11628.95,11785.25,11271.04,11545.44,2.19651928,38.4158050872
2022-01-11,11493.28,11677.65,11295.23,11332.0,1.6856749,30.0036647735
2022-01-12,11396.67,11591.85,11213.3,11532.64,1.82712864,27.2122308928
2022-01-13,11580.37,11674.42,11270.44,11316.05,2.22895692,30.8440968823
2022-01-14,11297.63,11392.03,11007.27,11030.32,2.25431142,32.2625197752
2022-01-17,11033.75,11190.24,10803.72,11091.22,1.75635577,27.7381807877
2022-01-18,11129.22,11245.84,10953.25,11093.42,1.79805413,26.488348348600002
2022-01-19,11143.03,11255.79,10945.39,11072.38,2.63815601,32.1463836624
2022-01-20,11121.56,11274.42,10959.57,11121.66,2.12521596,29.2049985392
2022-01-21,11092.55,11288.97,10940.72,11188.38,1.72233665,26.4709839446
2022-01-24,11142.09,11243.15,10871.3,10968.08,1.21427362,21.238264227200002
2022-01-25,10952.48,11108.35,10673.12,10741.13,1.70156598,27.8080298211
2022-01-26,10755.36,10877.54,10485.3,10664.64,1.19795533,20.4946961143
2022-01-27,10548.32,10672.79,10333.43,10362.48,1.13510635,21.4085935504
2022-01-28,10414.48,10800.14,10293.85,10394.3,1.26600331,24.704601544099997
2022-02-07,10555.08,10714.33,10321.86,10415.64,1.65244601,29.5405936387
2022-02-08,10420.82,10546.56,10194.22,10443.54,1.66244845,27.3896681462
2022-02-09,10450.15,10621.88,10363.93,10558.57,1.55393776,23.145656208600002
2022-02-10,10589.43,10716.61,10402.56,10648.66,1.58665158,26.505777022600004
2022-02-11,10615.69,10654.77,10377.76,10462.71,1.5442384,24.0198940546
2022-02-14,10375.11,10625.06,10262.37,10513.1,1.20872702,21.2725262726
2022-02-15,10504.82,10785.53,10443.66,10672.26,1.1796376,19.5147908715
2022-02-16,10697.66,10815.75,10530.33,10703.63,1.14173294,18.11557006
2022-02-17,10709.66,10769.67,10565.83,10628.24,1.19922874,16.8705608384
2022-02-18,10552.92,10734.63,10454.18,10666.73,0.9863835,15.8042291306
2022-02-21,10641.31,10901.59,10534.69,10773.91,1.33779573,23.329423125100003
2022-02-22,10719.82,10750.6,10421.03,10503.45,1.15326967,19.6155798587
2022-02-23,10481.12,10622.55,10350.28,10522.62,1.29784645,22.0962179412
2022-02-24,10486.65,10661.3,10277.85,10400.32,2.2539211,36.1144044347
2022-02-25,10467.13,10852.71,10413.78,10665.18,1.84351588,34.0987759662
2022-02-28,10620.3,10771.21,10386.58,10654.32,1.70869432,40.2862585404
2022-03-01,10660.17,10902.51,10570.79,10821.86,1.51819551,28.6310089667
2022-03-02,10810.84,10898.64,10635.68,10725.34,1.31461724,23.9041989397
2022-03-04,10624.29,10738.56,10476.05,10634.03,1.13666777,19.889442827899998
2022-03-07,10606.0,10647.42,10136.71,10189.08,1.62783647,32.564812381100005
2022-03-08,10269.76,10364.02,9713.98,9765.26,1.62544653,31.1176334472
2022-03-09,9776.6,9892.86,9205.82,9574.25,2.68425163,34.378173968
2022-03-10,9811.57,9980.25,9649.23,9796.37,2.73180184,29.9356700791
2022-03-11,9717.69,9965.3,9497.76,9931.99,1.99733952,25.7074231104
2022-03-14,9842.58,10015.88,9597.09,9651.68,2.02122324,29.0438226514
2022-03-15,9587.18,9682.82,9113.51,9225.81,2.18017993,32.29514924
2022-03-16,9362.56,9515.92,8984.02,9448.84,2.26235644,31.6848266225
2022-03-17,9590.18,9863.8,9410.01,9707.4,1.93741893,31.2732054321
2022-03-18,9690.49,9805.12,9541.04,9658.77,1.58090005,33.262140512399995
2022-03-21,9716.98,9871.4,9477.22,9622.96,1.85840541,28.916554640100003
2022-03-22,9617.71,9722.54,9486.22,9641.18,1.40930514,18.6672364106
2022-03-24,9653.63,9738.36,9478.71,9658.8,1.44217524,20.8846805862
