date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.06543539,0.7558188108
2000-01-04,1001.77,1032.17,986.62,1027.5,0.16433101,1.9772035868
2000-01-05,1027.51,1050.86,1012.01,1028.83,0.17371135,2.0480853348
2000-01-06,1024.64,1064.25,1012.34,1059.36,0.23156787,2.7728697419
2000-01-07,1066.34,1110.15,1055.6,1099.92,0.54715738,7.1150674136
2000-01-10,1105.33,1149.16,1076.56,1131.54,0.56058677,7.240381918400001
2000-01-11,1128.74,1139.39,1061.13,1081.27,0.40463862,5.1245909364
2000-01-12,1077.61,1095.15,1037.7,1052.65,0.25508741,3.0945772979000004
2000-01-13,1049.41,1064.52,1032.25,1043.3,0.10961992,1.2889252682999999
2000-01-14,1043.79,1055.66,1018.58,1027.78,0.10360395,1.1551251262
2000-01-17,1026.81,1052.01,1013.82,1044.96,0.10158127,1.2282389079
2000-01-18,1045.06,1057.4,1024.85,1037.42,0.0899478,1.0425401079
2000-01-19,1036.09,1058.04,1027.99,1046.57,0.10448855,1.2876002606999999
2000-01-20,1048.02,1076.83,1036.73,1064.15,0.18055859,2.4513260243
2000-01-21,1066.35,1085.52,1042.52,1057.53,0.27192593,3.4337008444999997
2000-01-24,1058.02,1093.84,1035.42,1083.39,0.30680376,3.7903247101999997
2000-01-25,1085.59,1115.08,1062.11,1078.98,0.29005021,3.5001306279000004
2000-01-26,1080.44,1101.09,1063.73,1081.15,0.16969769,2.058664325
2000-01-27,1084.35,1103.85,1058.13,1082.2,0.28919071,3.6649447417000003
2000-01-28,1082.42,1107.54,1061.15,1092.86,0.30553632,3.7597565793000003
2000-02-14,1127.93,1187.99,1111.61,1185.8,0.56806082,7.544979015599999
2000-02-15,1205.67,1245.31,1152.13,1166.89,0.79678605,10.8269005574
2000-02-16,1169.73,1202.22,1133.97,1180.51,0.55530332,7.8046445989999995
2000-02-17,1203.62,1249.02,1135.75,1171.24,1.10721452,14.361533773
2000-02-18,1168.13,1208.54,1118.53,1176.09,0.58027485,7.1671232873
2000-02-21,1182.78,1241.07,1151.99,1207.56,0.76823691,9.8219684725
2000-02-22,1221.53,1247.61,1151.93,1163.68,0.53287902,6.8511702438
2000-02-23,1154.87,1192.41,1124.77,1165.12,0.46499372,5.6805291939
2000-02-24,1174.51,1207.34,1151.23,1180.49,0.37322445,4.7081156132999995
2000-02-25,1182.02,1206.83,1153.16,1177.91,0.45323178,5.4001501993
2000-02-28,1177.09,1215.85,1154.79,1197.74,0.49188627,6.4514211076
2000-02-29,1214.53,1245.5,1169.85,1207.48,0.57097028,7.425876199299999
2000-03-01,1213.14,1242.03,1179.15,1196.44,0.44258302,5.6678183477
2000-03-02,1197.96,1230.58,1172.93,1202.53,0.48136564,6.1753628477
2000-03-03,1209.87,1261.41,1196.39,1225.6,0.70677417,8.9364674336
2000-03-06,1233.42,1260.38,1177.8,1187.9,0.64678155,7.8817723421000006
2000-03-07,1177.62,1201.14,1151.61,1182.57,0.34145258,4.0419253209
2000-03-08,1186.05,1223.64,1167.53,1209.45,0.3231763,3.9708981677999997
2000-03-09,1210.86,1225.95,1184.72,1201.86,0.29748001,3.679735811
2000-03-10,1202.83,1217.84,1170.62,1185.05,0.28342398,3.5118430692000002
2000-03-13,1186.3,1226.51,1175.63,1214.08,0.34813571,4.1868866441
2000-03-14,1196.55,1227.13,1157.16,1204.63,0.42773359,5.3021444667
2000-03-15,1212.23,1255.53,1201.12,1230.33,0.42767424,5.5756457036
2000-03-16,1221.48,1232.15,1151.72,1166.41,0.44964266,5.3880816278
2000-03-17,1168.68,1222.45,1162.65,1208.46,0.38025339,4.818097036
2000-03-20,1201.12,1268.48,1187.7,1256.58,0.57429486,7.8490393444
2000-03-21,1263.13,1308.07,1238.85,1282.83,0.65188266,8.3860233925
2000-03-22,1283.71,1308.76,1254.64,1274.9,0.44743655,5.9340030643
2000-03-23,1280.88,1328.44,1268.92,1307.55,0.61837137,8.4518388982
2000-03-24,1317.4,1352.22,1277.58,1297.45,0.59483994,8.9631577439
2000-03-27,1310.79,1365.76,1292.39,1348.75,0.59511236,8.8750285148
2000-03-28,1367.17,1397.71,1330.35,1362.46,0.70113497,9.445802779600001
2000-03-29,1370.55,1391.96,1321.4,1352.09,0.53266889,7.947691214
2000-03-30,1361.9,1418.36,1345.23,1392.21,0.67472611,9.7375360389
2000-03-31,1404.25,1421.31,1354.29,1385.7,0.52764713,8.0823003033
2000-04-03,1376.17,1405.12,1348.09,1368.79,0.50984647,7.5808044275999995
2000-04-04,1361.3,1376.25,1316.05,1329.67,0.42788515,5.9603134009000005
2000-04-05,1329.97,1362.26,1308.34,1341.46,0.30833304,4.3682028989
2000-04-06,1349.73,1383.11,1335.43,1369.35,0.32665976,4.9053374907
